date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,62.0,50.668682,15.633985,1.411057,73.686,2.13,74.81,0.0,0.0,0.0
2020-08-11,60.0,47.380127,14.95032,1.451173,73.7346,0.46,74.02,-0.0630199430199383,-0.01260398860398766,-0.050415954415950634
2020-08-12,62.0,52.845472,14.397138,1.451562,73.802,0.43,75.33,-0.007174941761832088,-0.011518179235556546,0.004343237473724459
2020-08-13,64.0,55.10705,14.673978,1.451825,73.884,1.61,75.92,0.08372555713569341,0.007530568038693444,0.07619498909699997
2020-08-14,62.0,52.66358,14.709496,1.450948,73.9796,0.78,75.39,0.11171055704531341,0.02836656584001744,0.08334399120529597
2020-08-17,64.0,54.743104,14.858675,1.308493,74.0592,2.54,75.9,0.1730468326776844,0.05730261920755084,0.11574421347013356
2020-08-18,68.0,61.914981,16.033139,1.309461,74.1712,3.45,77.93,0.3810675975443303,0.12205561487490674,0.25901198266942355
2020-08-19,67.0,59.178676,17.388913,1.204595,74.2626,1.92,77.38,0.4958295347185384,0.1968103988436331,0.2990191358749053
2020-08-20,70.0,64.44057,18.92459,1.455141,74.3786,4.91,79.09,0.7165025107414209,0.3007488212231907,0.4157536895182302
2020-08-21,69.0,64.076454,20.609868,1.644869,74.5552,4.11,79.02,0.8756451271611496,0.4157280824107825,0.4599170447503671
2020-08-24,69.0,65.254416,22.504867,1.829461,74.7302,1.9,79.41,1.0214617625081104,0.5368748184302481,0.4845869440778623
2020-08-25,70.0,68.139296,24.26451,2.072478,74.9186,3.92,80.41,1.203837055016308,0.6702672657474601,0.5335697892688479
2020-08-26,71.0,73.396385,26.702649,2.514081,75.1282,4.46,82.62,1.5093010356991954,0.8380740197378072,0.6712270159613882
2020-08-27,69.0,68.443513,28.966635,2.767575,75.3114,3.42,81.72,1.6596297836906473,1.0023851725283752,0.6572446111622721
2020-08-28,71.0,69.668116,31.068909,2.952294,75.5198,3.54,82.22,1.7983815972601178,1.1615844574747238,0.636797139785394
2020-08-31,70.0,66.819756,33.034246,3.010947,75.7222,1.62,81.71,1.8459121452446254,1.2984499950287043,0.5474621502159212
2020-09-01,72.0,70.237199,35.144306,3.078987,75.9312,0.51,83.04,1.9682120088194353,1.4324023977868505,0.5358096110325847
2020-09-02,77.0,76.766886,37.857815,3.423589,76.195,5.74,86.41,2.310433132602327,1.608008544749946,0.7024245878523812
2020-09-03,68.0,58.92135,38.05117,3.399724,76.4048,-0.16,82.09,2.207609988755877,1.727928833551132,0.47968115520474486
2020-09-04,63.0,51.361274,36.123362,3.258799,76.5544,-2.64,79.55,1.8992715143604215,1.76219736971299,0.1370741446474315
2020-09-08,50.0,44.300103,33.843973,3.159283,76.7268,-7.73,76.62,1.4023194730037432,1.6902217903711407,-0.2879023173673976
2020-09-09,59.0,47.559451,31.84588,2.942756,76.8888,-9.91,77.85,1.0951083924763907,1.5711991107921908,-0.4760907183158001
2020-09-10,49.0,44.696964,30.333733,2.86519,77.0072,-6.69,76.6,0.7422209830321549,1.4054034852401835,-0.6631825022080287
2020-09-11,48.0,43.43567,28.184321,2.857711,77.09,-4.41,76.04,0.4126115199857452,1.206845092189296,-0.7942335722035507
2020-09-14,47.0,43.247915,26.188439,2.818656,77.1444,-0.86,75.96,0.143286595718763,0.9941333928951893,-0.8508467971764263
2020-09-15,48.0,46.691102,24.335119,2.753082,77.19,-1.0,77.07,0.019191152538439837,0.7991449448238395,-0.7799537922853996
2020-09-16,46.0,44.046547,22.91896,2.840468,77.2258,-0.72,76.05,-0.1596208459935866,0.6073917866603543,-0.7670126326539409
2020-09-17,45.0,40.937495,22.79617,2.991946,77.2254,-1.66,74.78,-0.3992072169688754,0.4060719859345084,-0.8052792029033837
2020-09-18,41.0,36.995912,23.303004,3.303049,77.1744,-3.9,73.0,-0.7243622686792435,0.17998513501175803,-0.9043474036910015
2020-09-21,39.0,34.132737,24.273232,3.690475,77.0638,-7.15,71.56,-1.0857303317721971,-0.07315795834503303,-1.012572373427164
2020-09-22,42.0,40.064658,24.496783,3.872492,77.0178,-3.66,73.27,-1.2200702064829585,-0.30254040797261816,-0.9175297985103403
2020-09-23,38.0,35.071832,25.151286,4.18418,76.9124,-5.38,70.76,-1.5116462313249173,-0.544361572643078,-0.9672846586818392
2020-09-24,40.0,37.25258,25.759038,4.270463,76.827,-2.18,71.41,-1.6710103962999625,-0.7696913373744549,-0.9013190589255076
2020-09-25,41.0,40.054645,26.107601,4.288581,76.754,0.96,72.25,-1.7098169597841064,-0.9577164618563854,-0.752100497927721
2020-09-28,42.0,43.239295,25.542958,4.178395,76.703,-0.05,73.23,-1.6425592307784171,-1.094685015640792,-0.5478742151376252
2020-09-29,43.0,44.023592,25.018647,4.044773,76.6066,3.83,73.47,-1.5520005059930213,-1.186148113711238,-0.36585239228178335
2020-09-30,43.0,44.058278,24.096346,3.744251,76.5178,2.9,73.48,-1.4625656018905744,-1.2414316113471053,-0.22113399054346905
2020-10-01,45.0,47.623285,22.941496,2.801739,76.4394,3.11,74.5,-1.2944605846947468,-1.2520374060166337,-0.04242317867811307
2020-10-02,43.0,43.047037,22.589563,2.306804,76.3822,-0.42,72.92,-1.274042573106044,-1.2564384394345158,-0.017604133671528244
2020-10-05,46.0,47.768031,22.090059,1.997254,76.3564,1.13,74.3,-1.133441081711993,-1.2318389678900115,0.09839788617801837
2020-10-06,45.0,43.211735,22.014534,1.948426,76.2796,-1.1,72.67,-1.1403950006287573,-1.2135501744377608,0.0731551738090035
2020-10-07,44.0,44.402985,22.243637,1.753281,76.2394,-2.0,73.01,-1.1057247661546654,-1.1919850927811417,0.08626032662647631
2020-10-08,47.0,48.792091,21.678739,1.638616,76.2034,1.89,74.3,-0.9630546420948605,-1.1461990026438855,0.18314436054902505
2020-10-09,50.0,53.286899,20.288329,1.619663,76.1872,1.97,75.76,-0.7238338367249924,-1.0617259694601069,0.33789213273511454
2020-10-12,62.0,60.237787,20.498263,1.867701,76.2734,7.97,78.46,-0.31277669477738357,-0.9119361145235623,0.5991594197461787
2020-10-13,61.0,60.518972,20.693202,2.022003,76.3706,7.63,78.58,0.02241367791408777,-0.7250661560360323,0.7474798339501201
2020-10-14,60.0,59.835445,20.478189,2.204288,76.4736,5.52,78.4,0.27041281688417484,-0.5259703614519909,0.7963831783361658
2020-10-15,59.0,58.107764,20.101326,2.363369,76.5592,2.9,77.96,0.42653279394751564,-0.3354697303720896,0.7620025243196052
2020-10-16,59.0,60.055556,19.895217,2.538482,76.632,0.24,78.65,0.5990309777555751,-0.14856958874655662,0.7476005665021317
2020-10-19,55.0,52.711277,18.616959,2.49418,76.6722,-2.35,76.73,0.5741901704513026,-0.004017636906984784,0.5782078073582874
2020-10-20,57.0,55.944692,17.360825,2.558397,76.732,-0.77,77.8,0.6335406471166039,0.12349401989773294,0.510046627218871
2020-10-21,60.0,60.967771,17.250038,2.568867,76.845,2.19,79.67,0.8219942610610076,0.26319406813038787,0.5588001929306197
2020-10-22,62.0,63.597091,17.22135,2.65461,76.9538,2.7,80.77,1.0480249356777307,0.42016024163985644,0.6278646940378743
2020-10-23,64.0,66.430847,17.658461,2.84346,77.0764,6.93,82.05,1.315279453560592,0.5991840840240036,0.7160953695365885
2020-10-26,59.0,56.987961,16.711826,2.830406,77.159,2.21,79.52,1.307854594881249,0.7409181861954527,0.5669364086857963
2020-10-27,60.0,58.711714,15.832808,2.832965,77.2452,0.68,80.21,1.3421758070853969,0.8611697103734415,0.4810060967119554
2020-10-28,44.0,46.085824,16.00016,2.732007,77.2032,-6.12,75.83,1.0043684855121597,0.8898094654011852,0.11455902011097452
2020-10-29,56.0,52.447113,15.314567,2.676987,77.2228,-4.5,78.36,0.9300821966953805,0.8978640116600243,0.03221818503535623
2020-10-30,62.0,58.106913,15.555854,2.59749,77.262,1.92,81.05,1.0758683556372688,0.9334648804554733,0.14240347518179552
2020-11-02,62.0,58.600084,15.779906,2.586823,77.3076,1.36,81.3,1.1977706926357712,0.9863260428915329,0.21144464974423827
2020-11-03,66.0,60.993514,16.004949,2.448063,77.3696,8.81,82.51,1.3761526296843272,1.0642913602500919,0.3118612694342353
2020-11-04,73.0,68.91166,17.700492,2.812759,77.5106,11.61,87.46,1.8950997013926383,1.2304530284786013,0.664646672914037
2020-11-05,72.0,69.856837,19.503172,3.187194,77.6216,8.78,88.17,2.3367237638263134,1.4517071755481439,0.8850165882781695
2020-11-06,72.0,69.600069,20.916038,3.492637,77.749,8.35,88.09,2.649714425119626,1.6913086254624403,0.9584057996571858
