date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-06-22,73.0,58.532738,124.324804,0.79739,68.3486,0.29,72.53
2020-06-23,74.0,60.906989,121.364154,0.848979,68.6022,0.78,73.2
2020-06-24,70.0,53.260521,118.386628,0.830969,68.7698,-0.1,71.64
2020-06-25,72.0,54.902093,115.456419,0.805334,68.9536,1.17,72.06
2020-06-26,54.0,40.550503,111.730234,1.147889,69.0588,-6.07,68.13
2020-06-29,65.0,47.105331,108.217982,1.215813,69.177,-4.56,69.86
2020-06-30,68.0,50.629468,105.051711,1.219145,69.3338,-1.03,70.9
2020-07-01,70.0,54.404298,102.201087,1.221901,69.5636,0.06,72.1
2020-07-02,73.0,58.400514,99.698453,1.276153,69.7752,7.88,73.5
2020-07-06,75.0,62.174723,97.450039,1.463615,70.0036,7.33,74.98
2020-07-07,74.0,60.265015,95.403365,1.571316,70.217,5.08,74.5
2020-07-08,74.0,62.043667,93.502882,1.718704,70.4498,4.27,75.18
2020-07-09,75.0,63.959865,91.809739,1.900275,70.7358,3.31,75.93
2020-07-10,76.0,66.441208,90.286954,2.096391,70.9326,2.63,76.95
2020-07-13,72.0,60.543837,89.012262,2.149428,71.0982,1.49,75.61
2020-07-14,73.0,61.718094,87.333324,2.219806,71.3016,1.14,76.04
2020-07-15,72.0,60.811568,85.842791,2.293278,71.4954,-0.12,75.84
2020-07-16,71.0,60.381765,84.21269,2.352776,71.6614,-1.56,75.75
2020-07-17,71.0,60.681046,82.743628,2.378071,71.8328,0.3,75.84
2020-07-20,75.0,67.569747,81.641174,2.512903,72.0274,2.83,78.19
2020-07-21,73.0,65.518213,80.713388,2.625389,72.199,2.58,77.8
2020-07-22,74.0,66.744963,79.579854,2.755947,72.3602,3.29,78.24
2020-07-23,69.0,55.207547,77.559942,2.692973,72.5018,0.0,75.84
2020-07-24,68.0,53.425654,75.133552,2.629354,72.6616,-3.56,75.41
2020-07-27,70.0,57.101424,73.101426,2.151746,72.8342,-1.71,76.47
2020-07-28,68.0,51.748759,70.89558,1.763167,72.9648,-3.91,75.18
2020-07-29,72.0,55.250668,68.930415,1.413359,73.1032,0.45,76.18
2020-07-30,74.0,57.697361,66.876711,1.152844,73.2672,2.0,76.92
2020-07-31,68.0,48.060508,63.840279,1.068152,73.346,-2.71,74.4
2020-08-03,67.0,47.18484,61.020734,1.124898,73.422,-1.38,74.14
2020-08-04,66.0,45.568528,58.187892,1.193448,73.4822,-3.29,73.67
2020-08-05,66.0,46.739041,55.557396,1.262719,73.5398,-3.86,73.95
2020-08-06,69.0,51.909785,53.423801,1.271052,73.6246,1.14,75.25
2020-08-07,69.0,50.567729,51.697618,1.26286,73.7048,1.05,74.92
2020-08-10,69.0,50.228702,49.799855,1.279149,73.768,1.59,74.84
2020-08-11,67.0,46.806918,48.10371,1.329861,73.8138,0.11,74.03
2020-08-12,69.0,52.52578,46.554936,1.330421,73.8786,0.15,75.36
2020-08-13,70.0,54.391851,45.651027,1.330929,73.956,1.21,75.83
2020-08-14,69.0,51.603257,44.446919,1.332595,74.0462,0.52,75.23
2020-08-17,72.0,54.055409,43.41805,1.19443,74.1224,2.4,75.81
2020-08-18,76.0,61.269844,43.147096,1.193458,74.2302,3.22,77.79
2020-08-19,73.0,58.473231,43.101034,1.092396,74.3228,1.85,77.23
2020-08-20,76.0,63.531046,43.258771,1.317695,74.4342,4.76,78.81
2020-08-21,75.0,63.373218,43.60362,1.490475,74.6078,3.92,78.78
2020-08-24,74.0,64.876716,44.19898,1.671846,74.78,1.89,79.26
2020-08-25,75.0,67.919852,44.751813,1.917865,74.965,3.96,80.29
2020-08-26,76.0,72.672862,45.890498,2.330833,75.1628,4.31,82.21
2020-08-27,73.0,68.248952,46.947849,2.572396,75.3388,3.36,81.43
2020-08-28,73.0,69.627433,47.929674,2.761748,75.544,3.42,81.97
2020-08-31,72.0,66.79367,48.887069,2.838616,75.749,1.48,81.48
2020-09-01,75.0,70.181081,49.980607,2.929292,75.9534,0.66,82.75
2020-09-02,78.0,76.518456,51.681217,3.266181,76.2068,5.45,85.87
2020-09-03,68.0,57.879008,50.974883,3.242467,76.4036,-0.6,81.48
2020-09-04,64.0,50.566515,48.202934,3.120007,76.5436,-2.97,79.06
2020-09-08,52.0,43.519713,45.111952,3.043941,76.7046,-7.94,76.18
2020-09-09,61.0,46.791497,42.311598,2.850112,76.8546,-9.91,77.36
2020-09-10,52.0,44.308463,40.038788,2.793439,76.9626,-6.36,76.3
2020-09-11,50.0,43.122772,37.238734,2.795905,77.0364,-4.14,75.79
2020-09-14,49.0,42.286458,35.065507,2.781128,77.0752,-0.97,75.44
2020-09-15,51.0,46.500531,33.047512,2.729353,77.1108,-0.78,76.76
2020-09-16,48.0,43.494928,30.878371,2.830282,77.1328,-0.92,75.6
2020-09-17,46.0,40.460078,29.67026,2.995424,77.1162,-1.9,74.35
2020-09-18,42.0,36.509574,29.153866,3.315047,77.0486,-3.83,72.55
2020-09-21,40.0,34.418528,29.177507,3.670826,76.9398,-6.84,71.51
2020-09-22,43.0,39.710433,28.506869,3.846014,76.8874,-3.45,72.99
2020-09-23,39.0,34.592072,28.357453,4.146185,76.776,-5.22,70.47
2020-09-24,40.0,36.920039,28.225681,4.228895,76.682,-1.94,71.14
2020-09-25,42.0,39.713616,27.85238,4.239754,76.606,0.62,71.95
2020-09-28,42.0,43.002514,26.700294,4.117961,76.5478,-0.08,72.93
2020-09-29,44.0,44.23937,25.6305,3.966544,76.45,4.02,73.3
2020-09-30,43.0,44.183558,24.214507,3.647814,76.3596,3.01,73.28
2020-10-01,45.0,48.130095,22.641665,2.708316,76.2828,3.41,74.4
2020-10-02,43.0,43.355069,21.945347,2.231858,76.2216,-0.21,72.78
2020-10-05,46.0,48.017623,21.115624,1.934766,76.1962,1.15,74.14
2020-10-06,43.0,43.508616,20.726217,1.887783,76.1178,-1.0,72.55
2020-10-07,44.0,44.944287,20.653669,1.705258,76.0734,-1.94,72.96
2020-10-08,48.0,49.058878,19.929507,1.593638,76.0332,1.91,74.17
2020-10-09,49.0,53.25628,18.515914,1.574816,76.0052,1.86,75.52
2020-10-12,62.0,60.323737,18.9396,1.846058,76.0818,7.83,78.23
2020-10-13,61.0,60.607756,19.333023,2.00843,76.166,7.39,78.35
2020-10-14,60.0,59.914925,19.29459,2.201475,76.256,5.39,78.17
2020-10-15,59.0,58.31947,19.112316,2.365294,76.3324,2.98,77.77
2020-10-16,59.0,60.093301,19.093108,2.528312,76.3952,0.2,78.39
2020-10-19,55.0,52.726744,17.988007,2.491557,76.4268,-2.36,76.5
2020-10-20,57.0,55.956936,16.891697,2.550925,76.481,-0.79,77.55
2020-10-21,60.0,60.76845,16.914749,2.539955,76.5864,1.97,79.3
2020-10-22,62.0,63.309108,16.936154,2.600074,76.6858,2.47,80.33
2020-10-23,64.0,66.319422,17.430444,2.767944,76.8022,6.73,81.65
2020-10-26,59.0,57.008482,16.517096,2.745105,76.8818,2.14,79.21
2020-10-27,60.0,58.869024,15.668987,2.748308,76.9644,0.81,79.94
2020-10-28,44.0,45.958659,15.849568,2.647534,76.9194,-5.96,75.54
2020-10-29,56.0,51.897225,15.113157,2.592488,76.9316,-4.67,77.84
2020-10-30,62.0,58.273676,15.400336,2.521794,76.9716,2.02,80.81
2020-11-02,63.0,59.080087,15.667002,2.529783,77.0204,1.6,81.22
2020-11-03,66.0,61.169504,15.865078,2.405933,77.0808,8.92,82.28
2020-11-04,73.0,69.179716,17.552882,2.812421,77.2208,12.14,87.29
2020-11-05,73.0,70.28647,19.343879,3.227959,77.3392,9.06,88.13
2020-11-06,72.0,69.836349,20.89358,3.548564,77.4704,8.34,87.99
2020-11-09,72.0,69.954761,22.823095,3.889799,77.5924,7.04,88.07
2020-11-10,70.0,65.848746,23.591134,4.06059,77.7006,-0.46,86.89
2020-11-11,70.0,66.687455,24.346978,4.204225,77.7928,-0.87,87.36
2020-11-12,70.0,65.871979,24.921644,4.261531,77.8182,-0.97,87.14
2020-11-13,72.0,68.632145,25.617992,4.388308,77.9608,0.61,88.61
2020-11-16,72.0,68.798529,26.491722,4.334109,78.1536,2.08,88.7
2020-11-17,71.0,66.193726,27.243394,4.24317,78.3916,0.82,88.08
2020-11-18,69.0,61.918137,27.319542,4.165281,78.585,-0.13,87.03
2020-11-19,70.0,64.060948,27.138095,4.140988,78.8176,-0.77,87.93
2020-11-20,68.0,59.606211,27.060597,4.110931,79.0382,-2.12,86.82
2020-11-23,67.0,57.887787,26.24174,3.91179,79.257,-1.93,86.38
2020-11-24,70.0,62.680464,25.894071,3.767769,79.4858,1.34,88.2
2020-11-25,69.0,62.705579,25.65126,3.009244,79.738,0.32,88.21
2020-11-27,73.0,65.551671,25.938409,2.381091,80.038,2.91,89.35
2020-11-30,71.0,58.658728,25.656275,1.944636,80.3414,1.55,87.72
2020-12-01,75.0,63.812558,26.151406,1.471981,80.7066,1.78,89.77
2020-12-02,77.0,67.010133,26.791371,1.104004,81.0718,3.45,91.25
2020-12-03,76.0,66.327801,27.565184,1.271788,81.4842,1.95,91.09
2020-12-04,75.0,66.557009,28.158571,1.424703,81.8852,3.96,91.19
2020-12-07,74.0,64.938486,28.311731,1.517958,82.2632,1.2,90.85
2020-12-08,73.0,63.567512,28.017977,1.576569,82.616,-0.75,90.57
2020-12-09,69.0,55.936873,26.760689,1.523867,82.9278,-2.42,88.89
2020-12-10,68.0,53.8246,24.92651,1.493016,83.2298,-3.08,88.38
2020-12-11,68.0,55.11312,23.155561,1.443543,83.5166,-2.32,88.74
2020-12-14,66.0,50.362546,21.847142,1.469393,83.8132,-3.27,87.61
2020-12-15,68.0,52.094119,20.394595,1.479241,84.0914,-0.94,88.05
2020-12-16,66.0,51.262514,19.206506,1.485401,84.3976,-0.59,87.86
2020-12-17,64.0,47.68166,18.141605,1.485401,84.679,-1.93,87.03
2020-12-18,62.0,44.760708,17.636348,1.571981,84.9218,-1.48,86.31
2020-12-21,63.0,46.807764,17.738123,1.577514,85.146,-1.5,86.73
2020-12-22,62.0,43.810522,17.832628,1.606619,85.3016,-2.11,86.01
2020-12-23,62.0,45.883736,17.457364,1.679648,85.4628,-0.71,86.41
2020-12-24,63.0,47.449832,17.108904,1.72822,85.6336,0.46,86.71
2020-12-28,66.0,56.452342,16.559214,1.718503,85.8522,2.27,88.7
2020-12-29,64.0,52.509211,16.091237,1.715073,86.0422,2.19,87.89
2020-12-30,62.0,47.722823,15.175434,1.726941,86.2484,0.46,86.81
2020-12-31,63.0,51.348933,14.325045,1.598884,86.45,1.06,87.63
2021-01-04,53.0,45.837171,14.427262,1.499134,86.5902,-2.69,86.31
2021-01-05,63.0,48.923488,14.522177,1.310364,86.7236,-1.01,87.0
2021-01-06,54.0,45.447472,15.197436,1.1396,86.8134,-0.77,86.14
2021-01-07,66.0,55.632008,14.532939,0.944072,87.0036,1.24,88.72
2021-01-08,68.0,59.339258,13.763792,1.043131,87.2026,4.15,89.89
2021-01-11,63.0,51.155751,12.803184,1.024864,87.448,0.93,87.81
2021-01-12,54.0,47.938181,12.937658,0.984497,87.6286,0.85,86.87
2021-01-13,55.0,49.713746,13.062527,0.982378,87.7596,-1.53,87.36
2021-01-14,53.0,46.868184,12.771295,0.980429,87.8662,-3.72,86.55
2021-01-15,53.0,46.269587,12.914034,0.986449,87.9482,-1.63,86.38
2021-01-19,65.0,56.308917,12.683945,1.082483,87.9868,2.71,89.22
2021-01-20,70.0,67.362356,14.287135,1.800159,88.1042,7.6,94.0
2021-01-21,69.0,67.748395,16.203706,2.281407,88.2286,8.85,94.21
2021-01-22,70.0,68.54962,17.890843,2.644272,88.3598,9.55,94.63
2021-01-25,69.0,68.709074,19.690576,2.925968,88.5162,6.15,94.71
2021-01-26,69.0,70.116407,21.361757,3.203932,88.677,1.49,95.4
2021-01-27,61.0,53.427177,20.643277,3.219948,88.7532,-3.46,90.95
2021-01-28,64.0,57.603272,20.118638,3.2737,88.8342,-2.08,92.66
2021-01-29,62.0,53.69194,18.938035,3.225533,88.8876,-3.53,91.37
2021-02-01,67.0,60.952067,19.053019,3.340361,89.019,-0.79,94.65
2021-02-02,68.0,63.418831,19.648144,3.433283,89.1976,5.51,95.96
2021-02-03,75.0,73.151278,21.762965,4.233243,89.4978,11.09,102.94
2021-02-04,75.0,72.37882,23.726728,4.691996,89.815,12.38,102.68
2021-02-05,76.0,74.353129,25.752503,5.2962,90.1762,10.34,104.44
2021-02-08,76.0,73.676436,27.77445,5.758952,90.4968,8.62,104.23
2021-02-09,75.0,72.127904,29.651973,5.968532,90.808,0.81,103.77
2021-02-10,76.0,72.862344,30.924307,6.042589,91.1074,1.6,104.32
2021-02-11,76.0,73.02933,32.10576,6.035731,91.4418,0.0,104.44
2021-02-12,76.0,73.483264,33.260535,5.855044,91.7414,0.5,104.75
2021-02-16,77.0,74.654003,34.771911,5.551947,92.0272,1.71,105.54
2021-02-17,78.0,75.235291,36.071075,5.385999,92.324,1.54,105.93
2021-02-18,77.0,72.304722,37.277442,5.415657,92.606,0.81,105.29
2021-02-19,76.0,68.489023,38.056376,5.361146,92.8778,-0.3,104.44
2021-02-22,73.0,61.388261,37.653416,5.232474,93.1206,-2.68,102.71
2021-02-23,73.0,62.121651,35.788513,5.079015,93.403,-2.76,103.01
2021-02-24,74.0,64.942273,34.336973,4.9565,93.7192,-1.04,104.19
2021-02-25,68.0,52.782017,32.492491,4.343836,93.9604,-3.49,100.8
2021-02-26,68.0,53.609861,30.653811,3.801169,94.2302,-1.57,101.1
2021-03-01,72.0,59.653347,29.344248,2.853896,94.5388,0.46,103.48
2021-03-02,72.0,58.752871,28.488485,2.129412,94.846,-0.93,103.22
2021-03-03,69.0,50.401828,26.65961,1.459982,95.1168,-0.23,100.57
2021-03-04,71.0,53.440851,24.96137,1.511785,95.4246,0.59,101.7
2021-03-05,75.0,60.674526,23.646552,1.524667,95.787,1.32,104.85
2021-03-08,68.0,49.032693,21.991645,1.668045,96.0744,-2.75,100.38
2021-03-09,70.0,52.624321,20.454944,1.684902,96.3866,1.44,102.02
2021-03-10,69.0,52.117859,19.397724,1.712965,96.6886,0.11,101.81
2021-03-11,73.0,58.683858,18.716833,1.742344,97.0152,0.17,105.03
2021-03-12,69.0,52.582609,17.528707,1.728061,97.3074,2.11,102.5
2021-03-15,69.0,53.039823,16.320373,1.691267,97.6256,0.69,102.72
2021-03-16,71.0,56.086697,16.370148,1.616404,97.9568,2.34,104.19
2021-03-17,70.0,55.874229,16.052601,1.495424,98.3128,-0.88,104.11
2021-03-18,66.0,48.374901,15.178485,1.440883,98.5942,-1.4,101.07
2021-03-19,66.0,49.053163,14.178703,1.410842,98.8984,-1.33,101.35
2021-03-22,66.0,49.512391,13.335873,1.427099,99.1546,-2.55,101.53
2021-03-23,66.0,50.941046,12.901216,1.424396,99.3982,-1.96,102.07
2021-03-24,66.0,49.706799,12.573345,1.375061,99.6746,0.55,101.63
2021-03-25,66.0,49.677341,11.907418,1.341342,99.9696,0.27,101.62
2021-03-26,65.0,48.501016,11.289057,1.335165,100.2472,-0.29,101.24
2021-03-29,67.0,51.890919,10.512045,1.30996,100.562,0.22,102.29
2021-03-30,66.0,51.988161,10.14354,1.292757,100.8808,0.68,102.32
2021-03-31,67.0,54.653305,10.382928,1.245968,101.159,1.49,103.13
2021-04-01,72.0,63.663829,11.61222,1.52234,101.4088,5.19,106.49
2021-04-05,75.0,71.701762,14.036349,2.333842,101.7436,8.47,110.95
2021-04-06,73.0,69.872988,16.287326,2.77674,102.0602,7.96,110.46
2021-04-07,74.0,72.195331,18.567053,3.316227,102.405,8.55,111.95
2021-04-08,73.0,73.051149,20.976902,3.766004,102.7474,5.66,112.52
2021-04-09,74.0,74.546165,23.020335,4.25446,103.199,2.33,113.53
2021-04-12,71.0,69.223068,24.594833,4.503138,103.5904,1.6,112.23
2021-04-13,72.0,70.090015,26.144553,4.730566,104.0174,0.69,112.72
2021-04-14,71.0,67.499143,27.323516,4.901159,104.3664,-0.37,112.1
2021-04-15,74.0,71.457613,28.822579,5.169825,104.7324,0.64,114.26
2021-04-16,74.0,70.940674,30.214566,5.233302,104.9564,1.7,114.14
2021-04-19,75.0,71.586315,31.646475,5.253976,105.1926,1.57,114.49
2021-04-20,75.0,69.037715,32.427012,5.176098,105.3828,1.65,113.95
2021-04-21,74.0,68.890984,32.643336,5.059662,105.5766,-0.3,113.92
2021-04-22,72.0,62.71787,33.013664,4.786855,105.7538,-1.32,112.63
2021-04-23,75.0,68.332258,33.679885,4.517733,105.9674,0.45,115.0
2021-04-26,76.0,69.379895,34.61297,4.103821,106.1886,1.36,115.5
2021-04-27,75.0,64.981206,34.979811,3.608566,106.3846,0.55,114.55
2021-04-28,80.0,71.857982,36.78881,3.121372,106.6328,4.72,117.95
2021-04-29,82.0,74.534827,38.468594,2.648915,106.907,4.03,119.64
2021-04-30,80.0,66.620245,39.032614,2.275388,107.1548,1.89,117.68
2021-05-03,79.0,64.621987,39.17483,2.259872,107.409,2.27,117.15
2021-05-04,76.0,58.201489,37.089621,2.086926,107.6616,-2.21,115.34
2021-05-05,76.0,59.16702,35.340672,2.011819,107.9162,-3.26,115.74
2021-05-06,77.0,61.848183,33.350551,1.993819,108.1698,-0.69,116.87
2021-05-07,77.0,63.514887,32.152123,2.043593,108.5058,0.38,117.6
2021-05-10,72.0,53.195675,30.018287,1.935531,108.7756,-0.65,114.59
2021-05-11,70.0,50.026023,28.910419,1.890672,108.976,-1.94,113.5
2021-05-12,65.0,41.499672,28.474955,2.111207,109.1118,-5.87,110.01
2021-05-13,66.0,45.618209,28.070596,2.259107,109.3294,-5.23,111.45
2021-05-14,69.0,51.876568,26.709199,2.264212,109.5738,-0.58,113.92
2021-05-17,70.0,53.123171,25.342617,2.264744,109.7658,0.84,114.45
2021-05-18,68.0,49.647566,23.704731,2.29236,110.0206,2.83,113.12
2021-05-19,69.0,50.845415,22.856986,2.301774,110.2518,1.91,113.58
2021-05-20,70.0,55.256182,21.313578,2.236353,110.5226,1.26,115.35
2021-05-21,69.0,53.390634,19.834957,2.238215,110.7162,0.23,114.71
2021-05-24,73.0,60.824164,19.313573,2.326274,111.0272,4.36,118.05
2021-05-25,73.0,61.004639,19.131419,2.401655,111.3356,4.01,118.14
2021-05-26,73.0,62.808749,19.045204,2.467931,111.6322,3.18,119.02
2021-05-27,72.0,59.795662,18.714708,2.360756,111.9126,2.98,118.13
2021-05-28,71.0,58.805733,18.321511,2.368659,112.248,-0.18,117.84
2021-06-01,72.0,61.679871,18.153164,2.472394,112.6022,0.78,119.06
2021-06-02,71.0,59.730182,18.155819,2.556865,112.9422,-0.41,118.53
2021-06-03,69.0,55.621775,17.508602,2.583537,113.2484,-0.63,117.38
2021-06-04,72.0,61.347975,17.767624,2.712975,113.6094,1.56,119.68
2021-06-07,72.0,62.348865,18.113277,2.844098,113.9794,0.89,120.12
2021-06-08,71.0,61.568438,18.716646,2.944486,114.353,1.17,119.92
2021-06-09,72.0,62.772808,19.276918,3.000142,114.7152,2.57,120.4
2021-06-10,74.0,66.021842,20.237511,2.786583,115.104,1.74,121.76
2021-06-11,73.0,64.900527,21.235692,2.599429,115.4716,1.16,121.51
2021-06-14,72.0,67.159092,22.297429,2.63823,115.7908,2.11,122.45
2021-06-15,72.0,62.41949,23.409072,2.584953,116.0002,0.85,121.42
2021-06-16,71.0,59.562748,23.209723,2.310757,116.2064,-0.81,120.77
2021-06-17,73.0,62.333236,23.311886,2.041725,116.4022,0.19,121.74
2021-06-18,71.0,55.457301,23.051425,1.834435,116.554,-1.91,120.11
2021-06-21,74.0,60.367617,23.007992,1.527238,116.7196,0.32,121.81
2021-06-22,74.0,61.756386,23.166552,1.553771,116.9216,1.29,122.33
2021-06-23,74.0,60.872872,23.65226,1.54466,117.1098,0.32,122.13
2021-06-24,74.0,61.957203,24.103275,1.585517,117.3178,1.99,122.5
2021-06-25,74.0,61.987872,23.861174,1.547916,117.4828,0.57,122.51
2021-06-28,72.0,62.086618,23.493868,1.449766,117.6508,0.17,122.54
2021-06-29,74.0,60.562137,23.303762,1.410629,117.8064,0.11,122.27
2021-06-30,74.0,59.513016,22.797911,1.295796,117.9692,-0.33,122.09
2021-07-01,74.0,60.930271,22.557705,0.96224,118.1396,-0.06,122.44
2021-07-02,76.0,70.032536,23.831982,1.172763,118.3922,2.22,125.26
2021-07-06,77.0,72.322614,25.411781,1.450282,118.616,3.21,126.19
