date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,58.0,57.108691,132.186713,5.549237,205.1092,3.84,209.38,0.0,0.0,0.0
2020-08-11,59.0,58.957395,128.835079,5.375329,205.3318,3.2,211.06,0.13401709401708217,0.026803418803416437,0.10721367521366573
2020-08-12,60.0,60.135921,125.596983,4.978518,205.4916,3.86,212.13,0.32284510677669687,0.08601175639807253,0.23683335037862435
2020-08-13,58.0,54.269998,122.423962,4.591036,205.448,0.06,208.39,0.16876055715218286,0.10256151654889459,0.06619904060328827
2020-08-14,58.0,53.637252,119.357897,4.426718,205.311,-0.67,207.97,0.012611573176798174,0.08457152787447532,-0.07195995469767714
2020-08-17,46.0,46.78395,116.045897,4.195286,205.014,-3.79,203.07,-0.5007542868970916,-0.03249363507983806,-0.4682606518172535
2020-08-18,46.0,44.580615,112.803624,3.922414,204.624,-5.1,201.31,-1.0376562651669587,-0.2335261610972622,-0.8041301040696965
2020-08-19,47.0,47.18331,109.845314,3.912696,204.3224,-2.58,203.02,-1.310070564208388,-0.4488350417194874,-0.8612355224889007
2020-08-20,47.0,45.60516,106.914205,3.938265,204.089,-2.94,201.85,-1.601904324833896,-0.6794488983423692,-0.9224554264915268
2020-08-21,47.0,46.559406,104.121864,3.911415,204.255,-0.32,202.43,-1.7660258828757378,-0.896764295249043,-0.8692615876266948
2020-08-24,58.0,53.927889,101.637325,3.96094,204.3662,3.0,207.34,-1.4828045863800412,-1.0139723534752427,-0.4688322329047985
2020-08-25,57.0,51.827615,99.410584,3.922883,204.36,1.47,206.0,-1.3509040881412204,-1.0813587004084382,-0.26954538773278225
2020-08-26,58.0,53.59946,97.320931,3.933485,204.3126,2.66,207.22,-1.1348463862373706,-1.0920562375742247,-0.0427901486631459
2020-08-27,60.0,57.630127,95.537298,3.897956,204.3918,3.81,210.15,-0.7189054928797702,-1.017426088635334,0.29852059575556367
2020-08-28,58.0,53.464981,93.881068,3.533725,204.4692,0.18,207.71,-0.5794770950311943,-0.9298362899145061,0.3503591948833118
2020-08-31,56.0,49.023779,91.739214,3.220379,204.534,-0.55,204.87,-0.690187300761977,-0.8819064920840003,0.1917191913220233
2020-09-01,57.0,49.953859,89.640563,3.057643,204.5748,-0.85,205.46,-0.7219951565252813,-0.8499242249722565,0.12792906844697516
2020-09-02,60.0,56.577086,87.864751,3.130962,204.68,-0.05,210.04,-0.37333185085236664,-0.7546057501482786,0.38127389929591193
2020-09-03,66.0,52.523637,86.381641,3.089792,204.8708,-0.07,207.56,-0.2937428580789856,-0.6624331717344201,0.3686903136554345
2020-09-04,68.0,57.041027,84.904798,3.207523,204.9476,2.96,210.94,0.041590316977988095,-0.5216284739919385,0.5632187909699266
2020-09-08,56.0,45.397586,82.744529,3.291661,205.2134,-1.45,202.48,-0.37103001956685944,-0.4915087831069227,0.12047876354006326
2020-09-09,54.0,45.092948,80.738564,3.249632,205.3884,-3.72,202.22,-0.7108205394289087,-0.5353711343713199,-0.17544940505758877
2020-09-10,53.0,42.483321,78.376592,3.199832,205.4362,-3.64,200.01,-1.145233960523882,-0.6573436996018324,-0.48789026092204957
2020-09-11,53.0,43.922432,76.060568,3.275993,205.5032,-4.75,200.92,-1.3999426641108244,-0.8058634925036308,-0.5940791716071936
2020-09-14,54.0,44.611267,74.01891,3.306988,205.582,-0.56,201.34,-1.550042729153489,-0.9546993398336024,-0.5953433893198866
2020-09-15,51.0,40.364959,71.537998,3.610089,205.3948,-2.09,198.0,-1.9164169370455681,-1.1470428592759956,-0.7693740777695726
2020-09-16,53.0,44.897212,69.347918,3.640784,205.4212,0.33,200.68,-1.9678335735758878,-1.3112010021359741,-0.6566325714399137
2020-09-17,49.0,38.091868,66.542948,4.202781,205.2728,-3.03,194.83,-2.452358476001905,-1.5394324969091602,-0.9129259790927446
2020-09-18,48.0,38.143651,63.501034,4.643137,205.2334,-3.22,194.86,-2.8016317360108474,-1.7918723447294975,-1.0097593912813498
2020-09-21,48.0,37.183522,59.750128,5.10388,205.0022,-2.02,194.0,-3.111955438456505,-2.0558889634748994,-1.0560664749816056
2020-09-22,45.0,34.588715,56.542114,5.61127,204.657,-4.51,191.62,-3.5094802145782467,-2.346607213695569,-1.1628730008826778
2020-09-23,41.0,29.470561,53.095119,6.587222,204.0992,-4.47,186.12,-4.219683612228266,-2.7212224934021085,-1.4984611188261576
2020-09-24,48.0,44.045208,50.538198,6.594916,203.6634,0.13,195.11,-4.010872215945767,-2.97915243791084,-1.031719778034927
2020-09-25,48.0,43.871448,48.163915,6.362172,203.269,0.49,194.95,-3.814329130927348,-3.1461877765141417,-0.6681413544132062
2020-09-28,52.0,49.406394,46.785807,6.125549,203.0222,3.89,199.07,-3.2882132765006418,-3.174592876511442,-0.1136203999891996
2020-09-29,43.0,46.663976,45.152113,6.040673,202.7238,5.73,196.79,-3.020422071163466,-3.143758715441847,0.12333664427838098
2020-09-30,46.0,51.931834,44.146123,5.891005,202.5028,3.0,200.97,-2.4427460889629344,-3.003556190146065,0.5608101011831303
2020-10-01,44.0,48.919394,43.105439,5.332367,202.3538,1.85,198.55,-2.1553618169942865,-2.833917315515709,0.6785554985214226
2020-10-02,46.0,50.639547,41.577998,4.931565,202.2914,0.42,199.9,-1.79794836383374,-2.6267235251793153,0.8287751613455754
2020-10-05,56.0,53.036581,40.446887,4.076133,202.298,2.55,201.8,-1.3458671869833552,-2.3705522575401234,1.0246850705567683
2020-10-06,55.0,52.019969,39.807665,4.005464,202.2594,0.06,201.09,-1.0329731915936406,-2.103036444350827,1.0700632527571865
2020-10-07,64.0,55.283222,39.214101,4.094635,202.299,2.54,203.6,-0.5758286289197656,-1.797594881264615,1.2217662523448494
2020-10-08,66.0,60.350893,39.056205,4.649299,202.407,4.04,207.98,0.13829692450190123,-1.4104165201113117,1.548713444613213
2020-10-09,65.0,59.619933,39.10416,5.055543,202.5672,2.84,207.54,0.6611212535416371,-0.9961089653807219,1.657230218922359
2020-10-12,69.0,66.210832,39.688531,6.084638,202.8904,6.48,214.12,1.5881075939170444,-0.47926565352116873,2.067373247438213
2020-10-13,65.0,60.831906,40.231161,6.590538,203.1188,3.54,210.81,2.0322352669300585,0.023034530569076728,2.009200736360982
2020-10-14,65.0,61.261946,40.771328,7.052332,203.3106,1.56,211.23,2.3905434407501502,0.4965363126052914,1.894007128144859
2020-10-15,63.0,57.03877,40.288034,7.1612,203.3922,0.51,208.6,2.4342259878656023,0.8840742476573537,1.5501517402082485
2020-10-16,61.0,53.433881,39.538001,7.106769,203.4314,-3.69,206.21,2.2500544679376446,1.157270291713412,1.0927841762242327
2020-10-19,60.0,52.654153,38.502699,6.944517,203.3798,-2.43,205.69,2.03863741422839,1.3335437162164077,0.7050936980119822
2020-10-20,62.0,55.781183,38.080411,6.621204,203.3528,-1.51,208.03,2.0364316038952097,1.4741212937521682,0.5623103101430416
2020-10-21,52.0,48.269133,36.529847,5.389223,203.1898,-2.73,202.91,1.6030631587179869,1.499909666745332,0.10315349197265489
2020-10-22,61.0,51.677413,35.090037,5.018489,203.0552,-0.39,205.4,1.4438934292062697,1.4887064192375197,-0.044812990031249944
2020-10-23,61.0,51.152676,34.083335,4.54151,202.9882,-0.32,205.04,1.2740152259796673,1.4457681805859492,-0.17175295460628193
2020-10-26,50.0,45.734743,31.840729,4.432795,202.8516,-3.31,201.14,0.8152899644661602,1.3196725373619915,-0.5043825728958313
2020-10-27,46.0,39.437037,29.99048,4.539281,202.7038,-3.56,195.68,0.011043221520054658,1.0579466741936043,-1.0469034526735497
2020-10-28,41.0,33.982363,29.339281,5.556016,202.473,-7.61,189.77,-1.0906434656487818,0.6282286462251272,-1.718872111873909
2020-10-29,40.0,34.264014,29.023747,6.269144,202.2114,-7.36,189.94,-1.927798067098422,0.1170233035604174,-2.0448213706588394
2020-10-30,40.0,33.450372,28.923442,7.01183,201.9552,-6.02,189.04,-2.63351408741255,-0.4330841746341761,-2.200429912778374
2020-11-02,41.0,35.573901,28.278028,7.568046,201.7106,-2.8,190.2,-3.0638783302522654,-0.959243005757794,-2.1046353244944713
2020-11-03,46.0,47.578042,26.38034,7.632739,201.5224,4.3,197.93,-2.749504123585325,-1.3172952293233002,-1.4322088942620248
2020-11-04,45.0,47.504059,24.701116,7.694973,201.3598,4.18,197.87,-2.4766524901729383,-1.549166681493228,-0.9274858086797104
2020-11-05,56.0,54.034376,23.702738,7.585277,201.2746,7.36,202.96,-1.828615996870667,-1.605056544568716,-0.22355945230195107
2020-11-06,55.0,51.720262,22.820777,7.47891,201.0968,5.81,201.26,-1.4356687044330272,-1.5711789765415782,0.13551027210855104
2020-11-09,63.0,64.781635,23.758505,7.547978,201.2412,8.59,214.93,-0.020958789224835073,-1.2611349390782298,1.2401761498533947
2020-11-10,65.0,66.590253,24.667103,8.069994,201.4932,9.91,217.47,1.2902920992058284,-0.7508495314214181,2.0411416306272465
2020-11-11,65.0,67.006912,25.668918,8.578151,201.745,7.43,218.05,2.3491890391534014,-0.13084181730645417,2.4800308564598557
2020-11-12,63.0,61.93035,26.002477,8.882816,201.8344,6.58,214.51,2.8696446013441914,0.469255466423675,2.400389134920516
2020-11-13,65.0,65.558081,26.769162,9.554455,202.0648,1.93,219.08,3.6092648326749384,1.0972573396739278,2.5120074930010103
2020-11-16,67.0,67.934273,27.845828,10.413108,202.2936,2.26,222.38,4.410856012974818,1.759977074334106,2.6508789386407123
2020-11-17,69.0,69.493406,28.450325,11.311632,202.737,3.03,224.65,5.169699746680152,2.441921608803315,2.727778137876837
2020-11-18,69.0,68.936835,29.312956,12.049598,203.1786,4.56,224.3,5.677401250333247,3.0890175371093016,2.5883837132239456
2020-11-19,69.0,69.142153,29.77647,12.702164,203.6698,2.51,224.57,6.032011815869652,3.6776163928613723,2.3543954230082793
2020-11-20,68.0,66.987627,30.206875,13.17613,204.1184,0.44,223.35,6.1437777938155875,4.170848673052216,1.9729291207633715
2020-11-23,72.0,71.311927,31.185706,13.826149,204.6682,1.86,228.83,6.598480166350839,4.656374971711941,1.9421051946388985
2020-11-24,77.0,76.546391,32.797609,14.734853,205.4582,5.88,237.5,7.571156040373069,5.239331185444167,2.331824854928902
2020-11-25,77.0,74.916404,34.294376,14.82287,206.1754,5.33,236.54,8.170361855742328,5.825537319503799,2.344824536238529
2020-11-27,76.0,72.930376,35.684231,14.476168,206.9868,5.4,235.4,8.455775393644274,6.351584934331894,2.1041904593123792
2020-11-30,72.0,65.075269,36.044282,13.392607,207.7012,0.76,230.58,8.198526451617113,6.720973237788939,1.4775532138281742
