date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-02,53.0,48.75511,119.776581,8.417265,193.3412,4.34,197.4
2020-07-06,59.0,55.584257,116.112861,7.846905,193.9874,7.18,207.36
2020-07-07,53.0,49.839108,112.549184,6.818731,194.4346,0.88,199.36
2020-07-08,57.0,51.778144,109.225025,5.80795,194.8088,2.37,202.25
2020-07-09,53.0,48.028374,105.767948,5.223059,195.0052,-0.29,196.83
2020-07-10,59.0,53.828438,102.644469,5.075137,195.3158,-0.87,205.56
2020-07-13,61.0,55.846528,99.89311,5.326932,195.825,4.78,208.88
2020-07-14,63.0,58.840188,97.367985,5.886504,196.5632,5.81,214.01
2020-07-15,64.0,60.466371,95.260743,6.526,197.3806,10.2,216.9
2020-07-16,62.0,58.544288,93.17373,7.005357,198.108,4.43,214.67
2020-07-17,59.0,55.754108,90.979059,7.241422,198.7978,1.21,211.41
2020-07-20,59.0,55.96211,88.822164,7.450441,199.3856,-1.07,211.71
2020-07-21,59.0,56.191289,86.838992,7.657051,199.9182,-2.25,212.02
2020-07-22,54.0,50.675968,84.351229,7.665443,200.375,-4.04,206.0
2020-07-23,52.0,48.156212,81.627463,7.534804,200.8912,-3.97,203.02
2020-07-24,44.0,46.851309,79.004304,7.541927,201.4846,-4.84,201.47
2020-07-27,53.0,48.358304,76.336233,6.709724,202.056,-4.24,203.02
2020-07-28,45.0,47.060363,73.858739,6.225506,202.651,-2.13,201.62
2020-07-29,46.0,48.089252,71.339285,6.004145,203.065,-0.22,202.58
2020-07-30,44.0,45.09085,68.504882,5.885769,203.499,-0.96,199.53
2020-07-31,42.0,43.584392,65.872937,5.847042,203.8294,-2.49,197.96
2020-08-03,43.0,45.374523,63.432396,5.997349,204.2152,-1.11,199.39
2020-08-04,45.0,48.161719,61.329242,5.902189,204.6494,-0.46,201.64
2020-08-05,47.0,51.568137,59.645111,5.859822,204.8186,2.5,204.52
2020-08-06,47.0,51.228268,58.208285,5.515242,204.7104,3.18,204.25
2020-08-07,58.0,55.889692,57.088258,5.535823,204.8514,4.45,208.27
2020-08-10,58.0,57.108691,56.202875,5.549237,205.1092,3.84,209.38
2020-08-11,59.0,58.957395,55.86321,5.375329,205.3318,3.2,211.06
2020-08-12,60.0,60.135921,55.270969,4.978518,205.4916,3.86,212.13
2020-08-13,58.0,54.269998,54.368919,4.591036,205.448,0.06,208.39
2020-08-14,58.0,53.637252,53.286774,4.426718,205.311,-0.67,207.97
2020-08-17,46.0,46.78395,51.397342,4.195286,205.014,-3.79,203.07
2020-08-18,46.0,44.580615,49.348566,3.922414,204.624,-5.1,201.31
2020-08-19,47.0,47.18331,47.766701,3.912696,204.3224,-2.58,203.02
