date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,83.0,75.368673,132.521199,4.392485,255.1832,2.56,274.73,0.0,0.0,0.0
2020-08-11,83.0,75.554047,129.820775,4.594297,255.7358,2.78,274.92,0.015156695156690603,0.0030313390313381205,0.012125356125352482
2020-08-12,85.0,80.962514,127.322515,5.396647,256.3132,4.53,281.58,0.5581409241808615,0.1140532560612428,0.4440876681196187
2020-08-13,84.0,81.016852,125.002702,5.891111,256.9264,3.69,281.66,0.983577104479707,0.2879580257449357,0.6956190787347714
2020-08-14,83.0,77.703384,122.788259,6.202697,257.5584,2.12,280.55,1.2171401847197671,0.473794457539902,0.7433457271798651
2020-08-17,86.0,82.916285,120.756735,7.129556,258.2252,4.85,288.24,1.9997079520335888,0.7789771564386394,1.2207307955949493
2020-08-18,83.0,74.963927,118.874996,7.536176,258.7898,1.21,285.0,2.3315806135810817,1.0894978478671278,1.242082765713954
2020-08-19,81.0,70.176511,116.98777,7.760443,259.3118,0.43,282.86,2.3943118371458354,1.3504606457228694,1.043851191422966
2020-08-20,79.0,65.581786,114.908739,7.684558,259.8364,0.05,280.68,2.242271492791815,1.5288228151366585,0.7134486776551565
2020-08-21,80.0,68.204227,112.992556,7.738065,260.7116,-1.74,283.23,2.3010174168130675,1.6832617354719406,0.6177556813411269
2020-08-24,81.0,71.439229,111.242755,8.025527,261.5976,0.61,286.75,2.6016187257549177,1.8669331335285362,0.7346855922263815
2020-08-25,81.0,70.086615,109.623756,8.020297,262.493,1.16,286.13,2.7580258056864864,2.0451516679601265,0.7128741377263599
2020-08-26,83.0,74.878473,108.163766,8.246075,263.3326,4.01,291.93,3.311814534343,2.2984842412367015,1.0133302931062986
2020-08-27,80.0,68.185752,106.815892,8.148323,264.0882,1.91,288.63,3.4447052529845337,2.527728443586268,0.9169768093982658
2020-08-28,79.0,63.82914,105.253349,7.705394,264.8298,-0.16,286.29,3.322899345903352,2.6867626240496847,0.6361367218536671
2020-08-31,78.0,61.566184,103.464042,7.113924,265.5976,-0.38,285.04,3.0898844688920235,2.7673869930181527,0.3224974758738708
2020-09-01,79.0,62.594468,101.802544,6.548407,266.3332,-2.05,285.94,2.9439054687391035,2.802690688162343,0.14121478057676073
2020-09-02,80.0,64.04482,100.289166,5.783133,267.071,-0.5,287.2,2.8964984974655863,2.821452250022992,0.07504624744259436
2020-09-03,73.0,45.211221,96.838168,5.271634,267.641,-4.07,274.63,1.8236127108841629,2.6218843421952265,-0.7982716313110636
2020-09-04,70.0,40.180087,92.539868,5.495649,268.1266,-5.4,269.66,0.5657835309598909,2.2106641799481594,-1.6448806489882686
2020-09-08,70.0,39.796252,88.292779,6.002343,268.6916,-5.83,269.26,-0.45805167873533037,1.6769210082114616,-2.134972686946792
2020-09-09,74.0,49.834327,84.90645,5.884958,269.31,-3.54,277.04,-0.6343550290237658,1.2146658007644162,-1.849020829788182
2020-09-10,71.0,45.29709,81.836252,6.268764,269.7538,-0.7,272.7,-1.1114661435913717,0.7494394118932586,-1.8609055554846303
2020-09-11,74.0,49.443233,78.985355,6.396811,270.3174,2.47,276.33,-1.1830322174709522,0.3629450860204164,-1.5459773034913686
2020-09-14,76.0,53.919474,76.622764,6.395789,270.9604,4.23,280.65,-0.8810052700264919,0.11415501481103474,-0.9951602848375266
2020-09-15,78.0,58.441579,74.681501,6.289538,271.681,3.08,285.58,-0.24105817137314034,0.04311237757419972,-0.28417054894734006
2020-09-16,76.0,53.879311,72.585865,6.245913,272.3666,3.27,281.63,-0.052027730304246234,0.02408435599851053,-0.07611208630275676
2020-09-17,75.0,52.029974,70.009127,6.248826,272.9824,1.31,279.96,-0.0365534219989172,0.011956800399024983,-0.048510222397942185
2020-09-18,72.0,47.061264,66.664591,6.396041,273.527,-1.95,275.19,-0.4045259334748721,-0.07133974637575444,-0.3331861870991176
2020-09-21,63.0,44.345898,62.959094,6.656649,273.9718,-4.63,272.35,-0.9147662096058866,-0.2400250390217809,-0.6747411705841058
2020-09-22,63.0,45.490811,59.582327,6.684705,274.4456,-2.95,273.31,-1.2275212269779558,-0.4375242766130159,-0.78999695036494
2020-09-23,59.0,39.351782,55.637448,7.130166,274.6208,-4.79,266.55,-1.9978276226173648,-0.7495849458138857,-1.2482426768034791
2020-09-24,59.0,38.645574,51.868656,7.041835,274.7788,-3.45,265.7,-2.6463830309089644,-1.1289445628329016,-1.5174384680760629
2020-09-25,61.0,42.37942,48.427422,6.837848,274.9882,-1.4,268.55,-2.8970018490188068,-1.4825560200700827,-1.414445828948724
2020-09-28,63.0,46.987503,45.752941,6.526461,275.2272,-0.36,272.33,-2.7588028962670137,-1.737805395309469,-1.0209975009575447
2020-09-29,63.0,46.753151,43.269494,6.230682,275.466,2.09,272.11,-2.6366378717889347,-1.9175718906053623,-0.7190659811835725
2020-09-30,74.0,53.157524,41.700888,5.771443,275.7718,4.52,277.71,-2.064153731564943,-1.9468882587972784,-0.11726547276766452
2020-10-01,74.0,53.047099,40.253549,5.089854,276.0208,3.38,277.62,-1.599282639006958,-1.8773671348392145,0.27808449583225636
2020-10-02,74.0,54.940046,38.586783,5.19947,276.3308,2.56,279.31,-1.0820271375554853,-1.7182991353824688,0.6362719978269835
2020-10-05,75.0,57.953782,37.215763,5.305105,276.6666,3.67,282.1,-0.4418750821441222,-1.4630143247347995,1.0211392425906773
2020-10-06,63.0,50.599364,35.20963,5.124379,276.8476,-0.45,276.47,-0.384412644632107,-1.2472939887142611,0.8628813440821541
2020-10-07,74.0,57.170011,33.496158,5.350095,277.1978,1.86,282.79,0.16914809865653524,-0.9640055712401019,1.1331536698966371
2020-10-08,74.0,58.785982,32.050941,5.605525,277.595,1.87,284.52,0.7389276200518111,-0.6234189329817192,1.3623465530335304
2020-10-09,73.0,60.098023,31.063802,5.965812,277.9872,1.35,285.92,1.2885961610874688,-0.24101591416788165,1.5296120752553504
2020-10-12,73.0,61.042488,30.305129,6.302878,278.4156,3.78,286.91,1.783537654365091,0.1638947995387129,1.619642854826378
2020-10-13,75.0,64.220756,29.960872,6.689905,278.8992,2.68,290.36,2.4262007883647243,0.6163559973039152,1.809844791060809
2020-10-14,72.0,59.283912,29.505371,6.956143,279.2836,0.9,287.09,2.641208078098259,1.0213264134627842,1.619881664635475
2020-10-15,72.0,59.742551,28.580877,7.261003,279.6848,0.57,287.54,2.8154592814153716,1.3801529870533016,1.43530629436207
2020-10-16,71.0,59.872358,28.124453,7.50521,280.0506,0.26,287.66,2.9294685229725133,1.6900160942371438,1.2394524287353694
2020-10-19,68.0,53.758725,26.785428,7.422151,280.2924,-2.28,283.73,2.671903472648637,1.8863935699194427,0.7855099027291943
2020-10-20,69.0,56.566135,25.542048,7.41724,280.5186,-0.37,286.04,2.6239319549002857,2.0339012469156117,0.590030707984674
2020-10-21,69.0,54.218205,24.184228,6.788978,280.7104,-1.05,284.51,2.434393791936202,2.1139997559197297,0.3203940360164723
2020-10-22,68.0,49.38473,22.597196,5.819716,280.702,-2.26,281.16,1.990916384577588,2.0893830816513015,-0.09846669707371358
