date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,58.0,64.619904,131.285568,2.95199,149.2102,8.21,159.43,0.0,0.0,0.0
2020-08-11,58.0,65.582,128.210356,3.284029,149.4922,6.27,160.28,0.06780626780627586,0.013561253561255171,0.054245014245020685
2020-08-12,56.0,65.110916,125.210029,3.637097,149.7266,4.91,160.07,0.10340597884757585,0.031530198618519314,0.07187578022905654
2020-08-13,55.0,62.597511,122.229592,3.84841,149.8392,2.5,158.98,0.043167507682255746,0.033857660431266604,0.009309847250989142
2020-08-14,56.0,64.364342,119.477786,4.114406,149.9266,0.53,160.28,0.0991838905848681,0.04692290646198691,0.05226098412288119
2020-08-17,54.0,60.750812,116.922674,4.254307,149.8744,-0.95,158.76,0.020687508065975635,0.041675826782784656,-0.02098831871680902
2020-08-18,52.0,57.58962,114.413367,4.314709,149.7636,-1.68,157.38,-0.1511337318911785,0.003113915047992022,-0.15424764693917054
2020-08-19,52.0,56.376298,111.899869,4.353831,149.7386,-1.34,156.85,-0.32630839303263315,-0.06277054656813302,-0.2635378464645001
2020-08-20,51.0,54.781578,109.393716,4.371086,149.7796,-2.56,156.17,-0.5140798979949466,-0.15303241685349572,-0.36104748114145085
2020-08-21,53.0,57.324285,107.085052,4.265428,150.0608,-0.79,157.5,-0.5492389984868566,-0.23227373318016792,-0.3169652653066887
2020-08-24,54.0,60.672783,104.985032,4.270699,150.358,1.26,159.37,-0.42135237923139357,-0.2700894623904131,-0.15126291684098048
2020-08-25,58.0,68.108682,103.216507,4.653555,150.716,4.9,164.53,0.09526935812525039,-0.19701769828728039,0.2922870564125308
2020-08-26,58.0,69.060988,101.53678,5.075173,151.04,5.85,165.31,0.5611665100927041,-0.04538085661128348,0.6065473667039876
2020-08-27,58.0,69.90472,100.032016,5.200267,151.393,5.39,165.99,0.9740356005504793,0.1585024348210691,0.8155331657294103
2020-08-28,60.0,72.720535,98.634987,5.409498,151.796,5.65,168.38,1.477063684521113,0.4222146847610779,1.054848999760035
2020-08-31,57.0,64.969044,97.147479,5.156931,152.1996,0.62,165.55,1.6285863863838586,0.663489025085634,0.9650973612982245
2020-09-01,60.0,68.100368,95.461709,4.761656,152.6602,1.61,167.97,1.921789797970007,0.9151491796625086,1.0066406183074983
2020-09-02,63.0,72.94353,94.073571,4.992111,153.2124,3.9,172.47,2.4885811911161966,1.2298355819532463,1.2587456091629503
2020-09-03,57.0,59.585532,92.066607,4.70183,153.7714,-1.24,166.3,2.4120948901210966,1.4662874435868165,0.9458074465342801
2020-09-04,57.0,60.083126,90.081887,4.548669,154.256,0.69,166.69,2.3557925757788496,1.6441884700252232,0.7116041057536264
2020-09-08,59.0,55.515525,87.904497,4.512132,154.7772,-2.2,164.27,2.091786003849421,1.733707976790063,0.3580780270593582
2020-09-09,56.0,57.636617,85.957454,4.525644,155.2274,-3.9,165.75,1.9791679089890408,1.7827999632298588,0.19636794575918204
2020-09-10,55.0,54.821577,83.856958,4.485397,155.621,-1.22,164.27,1.7503170607766094,1.776303382739209,-0.025986321962599535
2020-09-11,65.0,58.070128,81.918739,4.43429,156.0678,-0.14,166.45,1.7249744639061646,1.7660375989726003,-0.04106313506643566
2020-09-14,67.0,60.877288,80.291691,4.494667,156.5368,2.56,168.47,1.8466009254588869,1.7821502642698577,0.0644506611890292
