date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-06,44.0,62.250067,11.764269,0.308533,10.3092,9.0,11.26
2020-07-07,49.0,67.287873,13.611004,0.369709,10.3506,12.26,11.72
2020-07-08,54.0,71.398423,15.943107,0.49901,10.3936,15.34,12.18
2020-07-09,54.0,71.648638,18.199646,0.602215,10.4402,13.58,12.21
2020-07-10,55.0,72.511908,20.375269,0.683347,10.4782,9.33,12.31
2020-07-13,55.0,73.299873,22.926055,0.754135,10.5212,5.8,12.4
2020-07-14,59.0,76.234458,25.062697,0.847085,10.5712,4.76,12.76
2020-07-15,64.0,79.873923,27.654884,0.977578,10.6344,9.01,13.31
2020-07-16,61.0,72.68189,28.749401,1.043465,10.6926,5.44,12.98
2020-07-17,60.0,69.810043,29.765737,1.082114,10.7486,3.55,12.84
2020-07-20,59.0,70.082842,30.709479,1.100859,10.8036,0.86,12.87
2020-07-21,58.0,69.407437,30.608976,1.099714,10.8548,-3.53,12.84
2020-07-22,59.0,69.927615,29.960642,1.097784,10.9114,-0.69,12.89
2020-07-23,54.0,60.992713,28.970999,1.049964,10.9682,-2.73,12.49
2020-07-24,52.0,58.190225,28.052044,1.003683,11.0296,-4.04,12.35
2020-07-27,53.0,60.560018,26.973749,0.907262,11.0916,-2.49,12.52
2020-07-28,51.0,57.661471,25.972475,0.812275,11.153,-3.96,12.38
2020-07-29,53.0,60.429526,25.360898,0.706947,11.2088,0.64,12.57
2020-07-30,51.0,57.449072,24.568106,0.581997,11.2652,0.65,12.43
2020-07-31,49.0,56.802558,23.831943,0.441922,11.3172,-0.96,12.4
2020-08-03,54.0,61.050913,24.019669,0.341956,11.3758,2.34,12.67
2020-08-04,55.0,61.946543,24.193987,0.284522,11.4362,1.27,12.73
2020-08-05,57.0,65.245682,24.976828,0.276739,11.4928,4.26,12.96
2020-08-06,62.0,59.234265,25.339842,0.258234,11.5294,2.5,12.71
2020-08-07,63.0,60.640198,25.358259,0.245815,11.571,1.03,12.8
2020-08-10,58.0,51.864771,24.442135,0.246424,11.607,-2.67,12.39
2020-08-11,59.0,52.938092,23.591449,0.251513,11.6426,-3.94,12.45
2020-08-12,64.0,58.720428,23.391058,0.208405,11.684,0.71,12.8
2020-08-13,62.0,56.376,23.20498,0.194831,11.7182,-0.86,12.69
2020-08-14,66.0,61.625849,23.865833,0.209473,11.7618,5.25,13.04
2020-08-17,68.0,60.286456,24.698695,0.216529,11.804,4.26,12.98
2020-08-18,67.0,60.286456,24.787338,0.224528,11.8384,1.41,12.98
2020-08-19,66.0,62.492481,25.36529,0.241207,11.8802,3.39,13.12
2020-08-20,64.0,61.185277,25.333344,0.252083,11.93,0.23,13.07
2020-08-21,62.0,56.360669,24.762898,0.241315,11.9814,-0.77,12.88
2020-08-24,63.0,58.405576,24.233199,0.242747,12.0334,0.08,12.99
2020-08-25,62.0,57.353117,23.876493,0.230553,12.0802,-1.3,12.95
2020-08-26,64.0,61.465966,23.973204,0.240052,12.1272,0.77,13.17
2020-08-27,65.0,63.036455,24.372209,0.242417,12.1804,2.95,13.26
2020-08-28,65.0,64.087279,24.804684,0.239554,12.2352,2.54,13.32
2020-08-31,64.0,62.1835,25.30321,0.245904,12.2926,2.39,13.26
2020-09-01,68.0,63.544142,24.817715,0.256357,12.3528,1.21,13.33
2020-09-02,67.0,63.194336,24.666447,0.268262,12.4092,0.45,13.32
2020-09-03,62.0,59.325582,23.366934,0.26564,12.4684,-0.83,13.21
2020-09-04,59.0,51.865033,22.14566,0.26178,12.518,-2.19,12.97
2020-09-08,41.0,34.786982,23.160166,0.30079,12.5588,-9.23,12.1
2020-09-09,38.0,33.036472,24.352862,0.357148,12.5916,-10.14,11.97
2020-09-10,36.0,30.611905,25.819916,0.440868,12.6184,-10.83,11.78
2020-09-11,37.0,32.301577,27.182181,0.498188,12.644,-8.71,11.84
2020-09-14,39.0,34.588723,28.347646,0.53807,12.6674,-1.49,11.92
2020-09-15,38.0,32.940803,29.628496,0.579602,12.6784,-1.34,11.81
2020-09-16,40.0,35.929304,30.44406,0.605846,12.6822,1.1,11.91
2020-09-17,41.0,36.235332,31.335983,0.621393,12.677,0.68,11.92
2020-09-18,42.0,39.354806,31.662878,0.627927,12.6732,0.84,12.02
2020-09-21,42.0,38.542562,32.359794,0.638164,12.6666,1.44,11.98
2020-09-22,44.0,44.964626,31.686439,0.634486,12.6624,2.35,12.19
2020-09-23,39.0,36.703765,31.525177,0.645731,12.6426,-1.26,11.77
2020-09-24,39.0,36.024948,31.606568,0.641985,12.611,-2.41,11.73
2020-09-25,41.0,40.194025,31.785435,0.617794,12.5888,-0.92,11.87
2020-09-28,42.0,46.134473,30.616798,0.573955,12.5738,-0.82,12.09
2020-09-29,42.0,44.826722,29.563837,0.526304,12.557,2.21,12.03
2020-09-30,42.0,46.195465,28.09449,0.456579,12.5418,2.98,12.08
2020-10-01,43.0,48.135356,26.685088,0.365692,12.527,2.36,12.15
2020-10-02,46.0,50.339046,24.802234,0.259492,12.5218,1.16,12.23
2020-10-05,49.0,54.739906,23.183204,0.168833,12.5228,3.08,12.4
2020-10-06,50.0,57.596456,22.91771,0.203776,12.5228,3.64,12.52
2020-10-07,58.0,60.504629,22.76921,0.246444,12.5282,4.12,12.65
2020-10-08,60.0,64.714547,22.957285,0.295927,12.534,5.15,12.86
2020-10-09,57.0,58.625706,23.292349,0.314388,12.5388,2.18,12.67
2020-10-12,58.0,62.432264,23.888459,0.346599,12.548,2.72,12.86
2020-10-13,55.0,57.348302,24.026869,0.351766,12.5484,0.32,12.69
2020-10-14,44.0,49.885511,22.676402,0.345564,12.5418,-3.58,12.4
2020-10-15,46.0,52.632335,21.123343,0.341152,12.533,-1.18,12.52
2020-10-16,55.0,54.640422,20.047247,0.342425,12.531,-1.94,12.61
2020-10-19,44.0,48.058183,18.982836,0.333693,12.5218,-2.76,12.34
2020-10-20,46.0,50.665672,17.81879,0.332932,12.523,0.4,12.45
2020-10-21,46.0,48.980597,17.650489,0.305586,12.5216,-1.12,12.38
2020-10-22,46.0,50.003866,17.599076,0.267187,12.514,-1.51,12.42
2020-10-23,46.0,48.182629,17.551336,0.237413,12.5072,0.08,12.35
2020-10-26,43.0,41.648249,18.661966,0.238902,12.4878,-3.05,12.07
2020-10-27,43.0,40.384371,19.693266,0.240626,12.4684,-2.99,12.01
2020-10-28,43.0,40.707328,21.298508,0.245337,12.4492,-3.22,12.02
2020-10-29,42.0,38.892155,22.789091,0.261084,12.4256,-3.32,11.94
2020-10-30,42.0,37.758892,24.371024,0.283017,12.402,-1.49,11.89
2020-11-02,43.0,40.378211,23.978828,0.299006,12.3836,-0.42,11.96
2020-11-03,45.0,48.105779,23.614645,0.299957,12.3676,1.41,12.19
2020-11-04,44.0,44.840322,23.937518,0.29894,12.35,1.09,12.07
2020-11-05,47.0,51.876251,23.453911,0.273603,12.3328,3.53,12.31
2020-11-06,46.0,48.283591,23.004847,0.261727,12.3112,1.84,12.18
2020-11-09,56.0,53.36681,22.116981,0.227228,12.2922,1.48,12.37
2020-11-10,61.0,61.336531,21.134641,0.232183,12.2818,5.55,12.74
2020-11-11,62.0,63.853759,20.858568,0.267442,12.2728,4.63,12.88
2020-11-12,62.0,64.908231,20.146296,0.299623,12.2652,6.24,12.94
2020-11-13,66.0,71.719783,20.759775,0.378728,12.269,8.33,13.4
2020-11-16,67.0,74.810451,21.963425,0.476158,12.283,7.3,13.67
