date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,56.0,57.995418,139.847612,1.710163,118.0408,1.01,121.41,0.0,0.0,0.0
2020-08-11,56.0,56.887831,136.086868,1.421791,118.0764,1.03,121.07,-0.027122507122498973,-0.005424501424499795,-0.02169800569799918
2020-08-12,56.0,56.716291,132.465541,1.339166,118.0898,0.46,121.02,-0.052051850228480134,-0.014749971185295863,-0.03730187904318427
2020-08-13,54.0,51.377356,128.899355,1.29951,118.013,0.05,119.42,-0.19862553100692537,-0.05152508314962177,-0.14710044785730358
2020-08-14,55.0,52.07573,125.419506,1.296813,117.9438,-1.45,119.65,-0.2928513432292874,-0.09979033516555491,-0.1930610080637325
2020-08-17,54.0,49.448533,122.188929,1.312293,117.7982,-1.83,118.86,-0.42635759105897364,-0.16510378634423867,-0.26125380471473497
2020-08-18,54.0,50.998709,119.15207,1.314834,117.5914,-1.4,119.32,-0.48940257051461344,-0.22996354317831363,-0.2594390273362998
2020-08-19,53.0,47.487244,116.158037,1.16396,117.438,-0.95,118.29,-0.6153847900822598,-0.30704779255910286,-0.3083369975231569
2020-08-20,53.0,45.333291,113.208251,1.154279,117.3096,-1.69,117.63,-0.7597254488309204,-0.3975833238134664,-0.362142125017454
2020-08-21,53.0,45.373723,110.342135,1.208587,117.408,-1.03,117.64,-0.8633572988610041,-0.49073811882297397,-0.37261918003803013
2020-08-24,56.0,54.170566,107.784986,1.188374,117.4802,0.61,120.05,-0.7424608018889955,-0.5410826554361783,-0.20137814645281726
2020-08-25,54.0,50.534119,105.441045,1.185999,117.5372,0.64,119.05,-0.7190523122170305,-0.5766765867923488,-0.1423757254246817
2020-08-26,54.0,48.941936,103.103307,1.192888,117.5184,0.82,118.6,-0.7284154349843988,-0.6070243564307588,-0.12139107855363995
2020-08-27,54.0,50.653503,100.932549,1.114112,117.528,1.21,119.06,-0.6907550276370529,-0.6237704906720176,-0.06698453696503526
2020-08-28,55.0,52.155429,98.927443,1.022845,117.5454,-0.49,119.46,-0.6214683264089444,-0.623310057819403,0.0018417314104585136
2020-08-31,52.0,45.844235,96.646524,1.076463,117.5614,-1.07,117.78,-0.6941187077668758,-0.6374717878088976,-0.056646919957978215
2020-09-01,53.0,46.219686,94.215722,1.110057,117.606,-0.62,117.87,-0.7359488503377065,-0.6571672003146594,-0.07878165002304716
2020-09-02,58.0,60.980181,92.312167,1.301232,117.7734,2.83,122.43,-0.39657418881527917,-0.6050485980147833,0.2084744091995041
2020-09-03,53.0,49.547049,90.628059,1.283404,117.9268,-0.49,118.87,-0.41015160000067397,-0.5660691984119615,0.1559175984112875
2020-09-04,43.0,44.386288,88.219956,1.396068,117.9894,-0.82,116.82,-0.5796478440917809,-0.5687849275479253,-0.010862916543855627
2020-09-08,44.0,41.99643,85.803783,1.489571,118.0662,-1.77,115.78,-0.7888013362532718,-0.6127882092889947,-0.17601312696427707
2020-09-09,43.0,45.059577,83.646881,1.475283,118.1142,-4.61,116.78,-0.8639067636019888,-0.6630119201515935,-0.20089484345039532
2020-09-10,41.0,41.236876,81.254966,1.569227,118.11,-3.13,115.15,-1.0429334458426922,-0.7389962252898132,-0.303937220552879
2020-09-11,43.0,43.939205,79.033902,1.635752,118.1656,-0.69,116.01,-1.102707245936216,-0.8117384294190938,-0.29096881651712214
2020-09-14,43.0,45.841663,77.063013,1.639845,118.2114,0.73,116.62,-1.0883111377936956,-0.8670529710940141,-0.22125816669968146
2020-09-15,44.0,46.891658,75.235855,1.648601,118.2544,0.15,116.95,-1.0383049432342517,-0.9013033655220617,-0.13700157771219001
2020-09-16,54.0,52.049141,73.870998,1.628283,118.3812,3.04,118.65,-0.8516812301949841,-0.8913789384566462,0.03969770826166208
2020-09-17,55.0,53.947333,72.261077,1.65354,118.519,2.85,119.32,-0.6423130079540016,-0.8415657523561173,0.1992527444021157
2020-09-18,44.0,47.695614,70.766149,1.659924,118.6538,0.55,117.26,-0.6352887539708547,-0.8003103526790648,0.1650215987082101
2020-09-21,41.0,41.641088,67.612747,1.795721,118.6902,-1.79,114.86,-0.8139986546510727,-0.8030480130734665,-0.010950641577606168
2020-09-22,41.0,42.460461,64.847606,1.818275,118.7152,-2.98,115.11,-0.9247941762136094,-0.8273972457014951,-0.09739693051211429
2020-09-23,39.0,38.692773,61.84544,1.994097,118.6814,-4.88,113.5,-1.1294938677373807,-0.8878165701086722,-0.2416772976287085
2020-09-24,38.0,37.149304,58.33312,2.201328,118.5876,-3.8,112.8,-1.3328398497832268,-0.9768212260435831,-0.35601862373964366
