date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,74.0,63.577314,140.937556,10.475482,204.0556,-0.07,227.67,0.0,0.0,0.0
2020-08-11,72.0,59.278927,137.051902,8.306856,204.725,-2.58,225.0,-0.21299145299144584,-0.04259829059828917,-0.17039316239315666
2020-08-12,75.0,62.07151,133.443865,6.643591,205.4136,-1.18,227.7,-0.1620532300873947,-0.06648927849611028,-0.09556395159128442
2020-08-13,79.0,64.490071,130.113148,3.693872,206.1876,0.69,230.19,0.07833487310048781,-0.03752444817679066,0.11585932127727847
2020-08-14,78.0,61.086958,127.02034,2.857843,206.9894,0.22,228.17,0.10464082433776412,-0.009091393673879705,0.11373221801164382
2020-08-17,80.0,64.263916,124.155427,2.701328,207.6642,2.81,231.33,0.376138184146555,0.06795452189020723,0.30818366225634775
2020-08-18,80.0,63.330019,121.498515,1.871597,208.3288,1.36,230.8,0.5422841135221574,0.16282044021659728,0.3794636733055602
2020-08-19,79.0,62.718857,119.040134,1.872315,209.0414,0.12,230.47,0.6399507634486667,0.25824650486301115,0.3817042585856556
2020-08-20,80.0,63.353617,116.629219,1.930224,209.7592,1.25,231.02,0.7530519762007657,0.3572075991305621,0.3958443770702036
2020-08-21,79.0,63.680538,114.373643,1.775287,210.7328,-0.02,231.29,0.8546207101096854,0.4566902213263868,0.3979304887832986
2020-08-24,79.0,64.464487,112.309349,1.85254,211.6482,0.48,231.91,0.9739167755926132,0.5601355321796321,0.41378124341298117
2020-08-25,80.0,66.067467,110.392504,1.89544,212.503,1.17,233.17,1.1567964078018633,0.6794677073040783,0.477328700497785
2020-08-26,79.0,66.275507,108.527421,1.99645,213.3358,1.0,233.33,1.2996588386461383,0.8035059335724903,0.49615290507364795
2020-08-27,80.0,70.133194,106.881958,2.450519,214.2084,2.24,236.46,1.646463776331558,0.9720975021243039,0.674366274207254
2020-08-28,82.0,75.746024,105.411846,3.565569,215.1516,4.5,242.34,2.3684737556995117,1.2513727528393455,1.1171010028601662
2020-08-31,81.0,76.761826,104.068571,4.494677,216.107,4.48,243.61,3.008470477361641,1.6027922977438047,1.4056781796178361
2020-09-01,81.0,79.383092,102.860336,5.538844,217.1244,5.94,247.19,3.761191892027256,2.034472216600495,1.7267196754267609
2020-09-02,82.0,83.719644,101.891761,7.369838,218.3018,7.86,255.04,4.9342791326681095,2.614433599814018,2.3198455328540915
2020-09-03,77.0,68.273964,100.105637,7.876549,219.546,2.01,247.2,5.171720370974555,3.1258909540461257,2.045829416928429
2020-09-04,75.0,64.808491,98.057653,8.064357,220.747,0.61,245.09,5.130493758582475,3.526811514953396,1.6036822436290787
2020-09-08,66.0,47.831975,94.713216,7.924481,221.7092,-6.39,231.39,3.946849047921063,3.61081902154693,0.33603002637413315
2020-09-09,71.0,55.555891,91.753433,7.58105,222.814,-5.96,239.83,3.647790097426565,3.618213236722857,0.029576860703707908
2020-09-10,69.0,51.087317,89.038378,7.323716,223.7192,-4.85,235.2,3.0025696650171767,3.4950845223817213,-0.4925148573645446
2020-09-11,68.0,50.130681,86.323963,7.195483,224.5658,-4.45,234.18,2.3814702417332683,3.272361666252031,-0.8908914245187627
2020-09-14,72.0,54.287937,83.93118,6.914153,225.4716,3.19,238.78,2.2346661893970463,3.0648225708810344,-0.8301563814839881
2020-09-15,70.0,54.013856,81.788155,6.770388,226.3444,-0.55,238.52,2.0734417473741473,2.866546406179657,-0.7931046588055097
2020-09-16,65.0,46.223084,78.493493,6.788449,227.118,-2.02,230.46,1.2805343725997602,2.5493439994636775,-1.2688096268639173
2020-09-17,56.0,43.30227,74.583759,7.017798,227.7842,-3.08,226.96,0.3655153824193178,2.1125782760548053,-1.7470628936354875
2020-09-18,50.0,37.198123,69.862263,8.05959,228.3248,-8.48,218.52,-1.0288216085473891,1.4842982991343665,-2.5131199076817556
2020-09-21,47.0,34.389828,64.898726,9.440042,228.7652,-10.29,213.98,-2.4716916543640366,0.6931003084346858,-3.1647919627987227
2020-09-22,53.0,42.638539,60.921206,9.898252,229.3968,-3.67,222.01,-2.933408167133649,-0.0322013866789812,-2.901206780454668
2020-09-23,51.0,40.670449,57.516309,10.527251,229.8774,-3.45,219.14,-3.4906685897635725,-0.7238948272958995,-2.766773762467673
2020-09-24,51.0,40.711523,54.030954,11.074392,230.209,0.3,219.18,-3.88429805376407,-1.3559754725895337,-2.5283225811745362
2020-09-25,55.0,46.133322,51.279794,11.257234,230.6722,4.95,224.58,-3.7176624708155828,-1.8283128722347435,-1.8893495985808393
2020-09-28,65.0,51.818552,49.270887,11.089641,230.955,4.07,231.05,-3.028615646900761,-2.068373427167947,-0.9602422197328138
2020-09-29,57.0,51.754908,47.959635,10.829468,231.1244,5.4,230.98,-2.4598340538404386,-2.1466655525024456,-0.313168501337993
2020-09-30,68.0,56.319214,46.794502,10.342532,231.467,7.91,236.51,-1.5450355515414458,-2.0263395523102457,0.48130400076879987
2020-10-01,68.0,56.583183,45.727562,8.980071,231.6616,5.46,236.84,-0.7843810491528416,-1.7779478516787648,0.9935668025259232
2020-10-02,65.0,51.73671,44.097485,8.187705,231.7264,0.45,232.09,-0.5584052304820091,-1.5340393274394137,0.9756340969574047
2020-10-05,67.0,55.061562,42.617102,7.577964,231.9422,2.13,235.9,-0.0710634326004822,-1.2414441484716274,1.1703807158711452
2020-10-06,65.0,52.128071,41.504405,7.60309,232.0334,-1.48,233.01,0.08102559346167482,-0.976950200084967,1.0579757935466418
2020-10-07,69.0,58.027635,40.665867,7.620284,232.304,1.37,240.09,0.7640466185136745,-0.6287508363652388,1.3927974548789133
2020-10-08,70.0,58.739203,40.109252,7.921618,232.4856,3.84,241.01,1.3638602806653637,-0.23022861295911823,1.594088893624482
2020-10-09,72.0,62.497575,39.99236,8.613746,232.8242,4.31,246.06,2.221106195107126,0.26003834865413056,1.9610678464529951
2020-10-12,75.0,66.312556,40.375677,9.635557,233.2924,8.1,251.89,3.332497083115811,0.8745300955464668,2.4579669875693444
2020-10-13,74.0,66.17577,40.784138,10.515949,233.735,4.87,251.78,4.156492826334954,1.5309226417041644,2.62557018463079
2020-10-14,73.0,64.330992,41.300762,11.230675,234.1856,3.88,250.36,4.641429743941643,2.15302406215166,2.488405681789983
2020-10-15,71.0,60.064234,41.315047,11.528469,234.5064,0.38,247.0,4.7004381011098815,2.6625068699433045,2.037931231166577
2020-10-16,73.0,63.11444,39.76532,11.499899,234.9158,-0.4,250.89,5.003416864120766,3.1306888687787966,1.872727995341969
2020-10-19,68.0,56.517749,38.728712,10.526963,235.2508,-2.55,245.37,4.743432511902881,3.453237597403614,1.2901949144992675
2020-10-20,67.0,55.344074,37.766147,10.019099,235.584,-2.41,244.33,4.402721893932721,3.6431344567094355,0.7595874372232858
2020-10-21,66.0,53.6147,36.402686,9.022531,235.9406,-1.69,242.83,3.965951787045185,3.707697922776586,0.2582538642685992
2020-10-22,68.0,55.105327,35.296294,7.753648,236.2728,-2.62,244.31,3.69661963165413,3.705482264552095,-0.00886263289796485
2020-10-23,68.0,55.980264,34.344664,6.838547,236.5722,-0.09,245.16,3.5112839585511324,3.6666426033519026,-0.15535864480077022
2020-10-26,63.0,46.842938,31.953901,6.471201,236.754,-2.89,237.26,2.6958638846550116,3.4724868596125247,-0.7766229749575131
2020-10-27,65.0,50.210772,29.733907,5.963283,236.9334,-1.04,240.3,2.2687870303528825,3.2317468937605964,-0.9629598634077139
2020-10-28,50.0,40.247256,28.807954,6.518863,236.9028,-6.16,229.27,1.0284414945850813,2.7910858139254935,-1.7626443193404122
2020-10-29,49.0,39.853469,28.134152,7.070945,236.8686,-6.69,228.76,0.004256912492536458,2.2337200336389023,-2.229463121146366
2020-10-30,46.0,35.199192,28.592854,8.001519,236.6954,-6.28,222.36,-1.3087567277508185,1.5252246813609582,-2.833981409111777
2020-11-02,48.0,38.772688,29.018791,8.668423,236.5762,-6.23,225.33,-2.0856334347477627,0.803053058139214,-2.888686492886977
2020-11-03,49.0,41.127117,28.548147,9.007644,236.4846,-0.85,227.33,-2.5109854594918204,0.14024535461300713,-2.6512308141048275
2020-11-04,53.0,50.564749,26.975241,9.050302,236.5522,3.41,236.55,-2.080124675921013,-0.3038286514937969,-1.7762960244272161
2020-11-05,64.0,55.714163,25.343351,9.064153,236.7408,9.17,242.76,-1.2234659460473551,-0.48775611040450856,-0.7357098356428466
2020-11-06,65.0,57.153757,23.940551,9.025298,236.904,8.56,244.62,-0.3899758762483714,-0.46820006357328114,0.07822418732490977
2020-11-09,72.0,65.680164,24.470788,9.482946,237.2136,13.41,257.82,1.3204790317280413,-0.11046424451301667,1.4309432762410579
2020-11-10,66.0,58.138387,24.321991,9.378171,237.338,5.61,249.83,2.0081519193821293,0.31325898826601256,1.6948929311161167
2020-11-11,64.0,54.76502,23.918055,9.193715,237.3112,1.27,245.85,2.206549174160898,0.6919170254449897,1.5146321487159082
2020-11-12,64.0,55.512373,23.542972,9.190858,237.1488,0.94,246.92,2.422198884609685,1.0379733972779288,1.384225487331756
2020-11-13,66.0,58.423004,23.315435,9.204703,237.2274,-2.59,251.13,2.899392260207918,1.4102571698639266,1.4891350903439915
2020-11-16,67.0,59.5073,23.401758,9.536992,237.3802,1.16,252.73,3.3678555344206984,1.801776842775281,1.5660786916454175
2020-11-17,65.0,56.520989,23.072848,9.708331,237.7468,1.57,249.72,3.4563910850498587,2.1326996912301968,1.323691393819662
2020-11-18,62.0,51.643623,22.357808,9.729817,237.8394,-1.0,244.46,3.0667663331490473,2.319513019613967,0.7472533135350803
2020-11-19,62.0,51.805403,21.203609,9.735665,238.0284,-2.58,244.65,2.7417125664672426,2.403952928984622,0.3377596374826206
2020-11-20,61.0,50.775162,20.131852,9.709102,238.2164,-3.62,243.58,2.370440098936257,2.397250362974949,-0.026810264038692022
2020-11-23,59.0,47.098631,18.943083,9.675995,238.2344,-4.02,239.68,1.7414324380622759,2.266086777992414,-0.5246543399301382
2020-11-24,60.0,49.064194,17.839226,9.674233,238.2962,-1.17,241.61,1.3827348981973273,2.0894164020333967,-0.7066815038360694
2020-11-25,59.0,49.597128,16.584533,9.275903,238.5294,-1.03,242.12,1.1266301601470445,1.8968591536561266,-0.770228993509082
2020-11-27,60.0,50.846009,15.541137,8.774433,238.8556,-0.13,243.27,1.004877101445004,1.7184627432139021,-0.7135856417688982
2020-11-30,59.0,49.412825,14.589747,7.451635,239.3256,0.98,242.02,0.7983198377731071,1.5344341621257431,-0.736114324352636
2020-12-01,61.0,52.340926,13.555634,6.16123,239.937,1.22,244.55,0.8292129236395738,1.3933899144285093,-0.5641769907889356
2020-12-02,66.0,58.371744,13.603631,4.848291,240.5054,3.43,250.43,1.313027017425128,1.3773173350278332,-0.0642903176027052
2020-12-03,67.0,60.634347,14.136249,4.607097,241.1808,3.96,252.91,1.8749551305912746,1.4768448941405214,0.39811023645075316
2020-12-04,71.0,66.352285,15.368749,5.383099,241.9994,7.47,260.11,2.8682041636349425,1.7551167480394056,1.1130874155955368
2020-12-07,67.0,59.489389,16.513212,5.574024,242.6038,4.19,254.8,3.1901148970608233,2.0421163778436893,1.147998519217134
2020-12-08,67.0,59.759509,17.019847,5.360987,243.0852,1.87,255.12,3.4314966409464773,2.319992430464247,1.1115042104822304
2020-12-09,65.0,54.893843,17.127204,5.394526,243.489,-0.69,251.17,3.2664083019287204,2.509275604757142,0.7571326971715786
2020-12-10,65.0,56.366124,17.076439,5.473668,243.8126,-2.85,252.69,3.2210951211948498,2.6516395080446835,0.5694556131501662
2020-12-11,66.0,57.002508,16.859442,5.576991,244.1424,-0.58,253.33,3.199939835762933,2.7612995735883334,0.4386402621745997
