date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,73.0,55.448472,127.33884,1.177929,145.2908,0.55,148.03,0.0,0.0,0.0
2020-08-11,71.0,50.649581,124.19609,1.20343,145.2864,-0.96,146.97,-0.08455840455837915,-0.01691168091167583,-0.06764672364670332
2020-08-12,75.0,60.089526,121.292332,1.252707,145.3146,1.43,149.66,0.06474265630964737,-0.0005808134674111891,0.06532346977705857
2020-08-13,72.0,53.31238,118.595986,1.226196,145.3016,-0.4,148.0,0.04855696147620847,0.009246741521312744,0.039310219954895725
2020-08-14,73.0,54.118089,116.094699,1.191545,145.3318,0.14,148.24,0.054467804994430935,0.018290954215936385,0.03617685077849455
2020-08-17,74.0,56.636532,113.787577,1.15785,145.3656,1.37,148.99,0.11830715185354279,0.03829419374345767,0.08001295811008513
2020-08-18,75.0,60.096118,111.645249,1.186577,145.432,0.29,150.09,0.2547247922490783,0.0815803134445818,0.1731444788044965
2020-08-19,75.0,61.009747,109.684711,1.221156,145.5206,1.61,150.39,0.38263348723418744,0.14179094820250293,0.2408425390316845
2020-08-20,77.0,64.052874,107.864213,1.391006,145.593,2.15,151.42,0.5606515988352498,0.2255630783290523,0.33508852050619753
2020-08-21,78.0,67.596201,106.217489,1.721238,145.8308,2.53,152.76,0.8006298731798154,0.34057643729920495,0.46005343588061043
2020-08-24,76.0,64.480301,104.624825,1.886514,146.0308,1.37,152.15,0.9308620838694139,0.4586335666132468,0.47222851725616716
2020-08-25,76.0,64.011469,103.150125,1.984434,146.247,1.11,152.06,1.0151082650778278,0.569928506306163,0.4451797587716648
2020-08-26,76.0,64.747563,101.512166,2.045184,146.4038,0.58,152.3,1.0886902216932128,0.673680849383573,0.41500937230963986
2020-08-27,77.0,66.818407,100.011973,2.135866,146.583,0.14,152.98,1.1881781908740265,0.7765803176816637,0.41159787319236285
2020-08-28,77.0,68.737941,98.634654,2.146355,146.7876,0.98,153.64,1.3052336859202285,0.8823109913293767,0.42292269459085174
2020-08-31,77.0,67.277322,97.381833,2.200516,146.9792,0.89,153.41,1.36372179530494,0.9785931521244895,0.3851286431804506
2020-09-01,74.0,56.628673,95.441212,2.112737,147.1418,-0.51,151.52,1.2432355927396372,1.0315216402475191,0.2117139524921181
2020-09-02,77.0,64.106516,93.351583,2.191117,147.3612,0.56,153.83,1.3189431480774942,1.089005941813514,0.22993720626398018
2020-09-03,71.0,47.697415,91.493832,2.091673,147.5558,-2.66,149.55,1.0218029917401452,1.0755653517988404,-0.05376236005869517
2020-09-04,70.0,44.920037,89.333319,2.092183,147.7342,-3.14,148.59,0.7007751998320941,1.0006073214054911,-0.299832121573397
2020-09-08,61.0,41.329454,87.238978,2.14784,147.9232,-2.81,147.26,0.33517479078923884,0.8675208152822407,-0.5323460244930018
2020-09-09,72.0,49.331257,85.315567,1.987846,148.1364,-2.68,149.7,0.23955994278372827,0.7419286407825382,-0.5023686979988099
2020-09-10,61.0,42.23766,82.868291,2.152133,148.262,-1.77,146.91,-0.06064610557143624,0.5814136915117433,-0.6420597970831795
2020-09-11,62.0,44.898436,80.59582,2.166366,148.41,-0.55,147.78,-0.22575744139874132,0.41997946492964633,-0.6457369063283876
2020-09-14,63.0,46.632941,78.618023,2.1603,148.5576,0.74,148.35,-0.30707535475175973,0.27456850099336516,-0.5816438557451249
2020-09-15,71.0,48.293527,76.937328,2.164326,148.6758,-0.54,148.89,-0.32420961330754494,0.15481287813318312,-0.47902249144072806
2020-09-16,63.0,46.868396,75.293428,2.217998,148.7868,1.01,148.4,-0.3730275125941773,0.04924479998771103,-0.42227231258188835
2020-09-17,61.0,43.405756,72.681844,2.340483,148.8648,-0.41,147.17,-0.5051437868205539,-0.06163291737394197,-0.443510869446612
2020-09-18,71.0,49.917389,70.4538,2.344189,148.9986,0.56,149.18,-0.4425551835867907,-0.13781737061651173,-0.30473781297027897
2020-09-21,58.0,39.885521,67.036325,2.532671,149.0532,-2.55,145.1,-0.713945250186157,-0.2530429465304408,-0.46090230365571616
2020-09-22,57.0,38.087374,63.862956,2.766417,149.0332,-2.82,144.21,-0.9894338180325519,-0.400321120830863,-0.5891126972016889
2020-09-23,57.0,38.854554,61.441904,2.914108,148.9636,-1.85,144.44,-1.1756492621511256,-0.5553867490949156,-0.62026251305621
2020-09-24,57.0,39.659763,58.76513,2.976893,148.8918,-3.02,144.67,-1.28979926239046,-0.7022692517540245,-0.5875300106364354
2020-09-25,59.0,43.131216,56.527375,2.886507,148.82,0.39,145.66,-1.2855600971946046,-0.8189274208421405,-0.4666326763524641
2020-09-28,61.0,47.862429,54.921717,2.635172,148.7752,2.01,147.11,-1.1519190407340716,-0.8855257448205268,-0.26639329591354477
2020-09-29,61.0,47.715014,53.267774,2.340733,148.7244,1.81,147.06,-1.0380758307922804,-0.9160357620148776,-0.12204006877740281
2020-09-30,72.0,53.347574,52.143245,2.195409,148.7072,2.91,148.88,-0.7918673235069207,-0.8912020743132862,0.09933475080636556
2020-10-01,63.0,48.522439,50.915133,1.673688,148.6534,1.14,147.32,-0.7143892357647417,-0.8558395066035774,0.14145027083883577
2020-10-02,61.0,45.457091,49.462961,1.606457,148.586,-0.59,146.24,-0.7316996885506057,-0.8310115429929832,0.09931185444237745
2020-10-05,64.0,51.532831,48.114515,1.592129,148.5882,0.8,148.23,-0.5781771123737087,-0.7804446568691283,0.20226754449541962
2020-10-06,61.0,46.062584,46.566607,1.602865,148.5698,-1.76,146.26,-0.6084579759117617,-0.746047320677655,0.13758934476589335
2020-10-07,64.0,50.69734,45.095742,1.49977,148.5908,0.38,147.88,-0.4960175359383072,-0.6960413637297855,0.20002382779147831
2020-10-08,72.0,53.386633,44.244995,1.555726,148.6378,1.81,148.89,-0.3217007520738093,-0.6211732413985903,0.299472489324781
2020-10-09,74.0,58.41711,43.910659,1.767777,148.7204,1.85,150.97,-0.01553574189992446,-0.5000457414988572,0.4845099995989327
2020-10-12,75.0,60.344817,44.009374,2.022142,148.842,3.82,151.84,0.2939158842123959,-0.34125341635660655,0.6351693005690024
2020-10-13,63.0,50.30009,42.372466,2.006114,148.8622,0.32,148.36,0.25540743305580804,-0.22192124647412367,0.47732867952993174
2020-10-14,63.0,49.635324,40.674802,1.999643,148.8798,-0.53,148.1,0.20158562735699093,-0.13721987170790076,0.33880549906489166
2020-10-15,61.0,47.280111,38.605998,1.999544,148.8556,-2.5,147.19,0.08452768126980459,-0.09287036111235969,0.17739804238216428
2020-10-16,61.0,49.843143,36.989745,1.964466,148.8666,-2.46,148.1,0.06444492942065949,-0.06140730300575585,0.12585223242641536
2020-10-19,56.0,40.939672,34.435887,2.015344,148.781,-2.72,144.32,-0.25356229700727795,-0.09983830180606028,-0.15372399520121766
2020-10-20,56.0,41.62298,32.068362,1.990604,148.7114,-2.4,144.55,-0.4814760807099674,-0.17616585758684172,-0.30531022312312567
2020-10-21,55.0,40.270423,29.957299,2.029999,148.6506,-2.21,143.93,-0.7040127935173928,-0.2817352447729519,-0.42227754874444084
2020-10-22,55.0,43.911163,27.837737,2.005481,148.559,-2.04,145.08,-0.7786040893805648,-0.38110901369447453,-0.39749507568609027
2020-10-23,55.0,44.418779,26.59166,2.024635,148.5038,0.64,145.24,-0.8154080495083349,-0.4679688208572466,-0.3474392286510883
2020-10-26,53.0,41.22921,24.697901,2.149436,148.4184,-0.4,143.97,-0.9362612028904209,-0.5616272972638815,-0.3746339056265394
2020-10-27,52.0,39.268538,22.939411,2.317308,148.3016,-0.54,143.15,-1.0856901839972863,-0.6664398746105625,-0.4192503093867238
2020-10-28,45.0,30.226054,23.032285,2.927473,148.067,-4.63,138.36,-1.5724998964428778,-0.8476518789770255,-0.7248480174658523
2020-10-29,43.0,28.499745,23.68792,3.53715,147.803,-5.54,137.19,-2.0293166238980405,-1.0839848279612285,-0.9453317959368119
2020-10-30,43.0,28.380389,24.844951,4.019156,147.5168,-4.76,137.11,-2.3704771183554953,-1.3412832860400818,-1.0291938323154135
2020-11-02,45.0,34.238124,25.224972,4.22033,147.2354,-3.12,138.69,-2.484714233746928,-1.569969475581451,-0.9147447581654768
2020-11-03,45.0,33.879274,24.738188,4.43418,146.9624,0.1,138.5,-2.561057110663313,-1.7681870025978235,-0.7928701080654896
2020-11-04,46.0,37.235056,23.668355,4.502406,146.7092,1.61,139.4,-2.5198891981543454,-1.918527441709128,-0.6013617564452174
2020-11-05,46.0,38.577901,22.674939,4.461026,146.4584,1.93,139.76,-2.4302005009105017,-2.020862053549403,-0.4093384473610988
2020-11-06,50.0,47.020862,21.219634,4.143049,146.2438,2.57,142.25,-2.1336045073330183,-2.043410544306126,-0.0901939630268922
2020-11-09,55.0,56.846681,21.27792,3.714235,146.0926,5.47,146.08,-1.5713870820819125,-1.9490058518612834,0.3776187697793709
2020-11-10,65.0,61.288054,21.332043,3.708463,145.99,6.37,148.28,-0.9374972237560257,-1.7467041262402319,0.8092069024842061
2020-11-11,65.0,59.840933,21.499007,3.688204,145.9156,5.75,147.8,-0.4684667396117561,-1.4910566489145367,1.0225899093027806
2020-11-12,65.0,60.877202,21.605579,3.759294,145.805,4.25,148.3,-0.05576802138347148,-1.2039989234083237,1.1482309020248522
2020-11-13,66.0,64.072087,22.179648,3.899186,145.812,2.62,149.9,0.3958422908624186,-0.8840306805541752,1.279872971416594
2020-11-16,67.0,65.855049,22.938481,4.246213,145.8572,1.73,150.85,0.8209404866007901,-0.5430364471231822,1.3639769337239724
2020-11-17,65.0,60.730371,23.304967,4.43479,145.899,1.05,149.35,1.0249810617622188,-0.229432945346102,1.2544140071083207
2020-11-18,62.0,54.681473,22.822779,4.50805,145.8524,-0.63,147.37,1.0152124974383696,0.01949614321079232,0.9957163542275773
2020-11-19,62.0,54.008527,21.628604,4.558648,145.857,-1.84,147.14,0.9776421123135606,0.21112533703134598,0.7665167752822146
2020-11-20,60.0,51.685471,20.689922,4.581165,145.8286,-2.98,146.36,0.8748431825170542,0.34386890612848764,0.5309742763885665
2020-11-23,49.0,45.027201,19.76517,4.581239,145.739,-3.67,143.87,0.5857005089440861,0.3922352266916074,0.19346528225247872
2020-11-24,49.0,45.027201,18.906472,4.57736,145.6386,-2.37,143.87,0.3524895765556266,0.3842860966644112,-0.03179652010878459
2020-11-25,50.0,44.519663,18.375415,4.391431,145.5442,-2.35,143.68,0.1506007881993412,0.33754903497139727,-0.18694824677205607
