date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,52.0,58.389251,134.194292,1.374565,98.5456,5.33,100.64,0.0,0.0,0.0
2020-08-11,55.0,64.56379,131.063424,1.852955,98.65,6.8,103.82,0.2536752136752085,0.0507350427350417,0.2029401709401668
2020-08-12,53.0,61.829555,127.775809,2.08539,98.7302,5.86,102.94,0.3793332846324091,0.11645469111451519,0.26287859351789394
2020-08-13,52.0,60.055465,124.707556,2.225934,98.6922,3.01,102.37,0.42799036832103354,0.17876182655581888,0.24922854176521467
2020-08-14,52.0,60.141896,121.806383,2.364554,98.6116,1.76,102.41,0.4644255151617358,0.23589456427700228,0.22853095088473352
2020-08-17,47.0,51.967931,118.649394,2.341548,98.3812,-3.96,99.71,0.27229435653082135,0.24317452272776613,0.029119833803055217
2020-08-18,45.0,48.326465,115.368862,2.344391,98.0786,-4.49,98.32,0.007777986019064542,0.1960952153860258,-0.18831722936696127
2020-08-19,46.0,48.963726,112.350104,2.345396,97.8388,-3.73,98.55,-0.1812052442795533,0.12063512345291,-0.3018403677324633
2020-08-20,37.0,45.840271,109.136234,2.370582,97.665,-4.92,97.37,-0.421335065803774,0.012241085601573207,-0.4335761514053472
2020-08-21,37.0,45.707223,106.180814,2.391718,97.6672,-2.4,97.32,-0.6086580306355245,-0.11193873764584633,-0.49671929298967815
2020-08-24,49.0,53.647097,103.526169,2.363575,97.671,1.77,100.06,-0.5299092648411801,-0.1955328430849131,-0.334376421756267
2020-08-25,49.0,54.790471,101.156974,2.353328,97.656,1.98,100.5,-0.42707294674201535,-0.24184086381633355,-0.1852320829256818
2020-08-26,47.0,50.492265,98.721228,2.350089,97.5966,1.77,99.09,-0.4541148861601414,-0.2842956682850951,-0.16981921787504628
2020-08-27,52.0,58.582315,96.605603,2.399438,97.654,5.17,102.35,-0.21006951235770543,-0.2694504370996172,0.059380924741911756
2020-08-28,52.0,59.500529,94.677689,2.421468,97.7306,2.71,102.77,0.017032356146870598,-0.21215387845031963,0.22918623459719023
2020-08-31,48.0,51.890275,92.274703,2.278558,97.7782,-0.31,100.19,-0.011044896234423618,-0.17193208200714044,0.16088718577271682
2020-09-01,49.0,51.752128,89.71027,2.049568,97.846,1.06,100.14,-0.03690547976695768,-0.1449267615591039,0.1080212817921462
2020-09-02,51.0,55.596818,87.431622,1.961002,97.9204,-0.68,101.65,0.0637097950125991,-0.10319945024476329,0.1669092452573624
2020-09-03,51.0,54.603785,85.592389,1.836247,98.0538,-1.4,101.33,0.11628632317307108,-0.059302295561196414,0.1755886187342675
2020-09-04,54.0,59.884629,83.90391,1.924427,98.165,3.32,103.52,0.33085441420280404,0.01872904639160368,0.31212536781120037
2020-09-08,49.0,49.658324,81.624823,1.93291,98.3116,-0.22,99.92,0.20801340957706316,0.05658591902869558,0.15142749054836757
2020-09-09,50.0,51.988325,79.508529,1.798327,98.469,-0.77,100.87,0.18518340983237636,0.08230541718943174,0.10287799264294462
2020-09-10,49.0,49.298314,77.635297,1.719309,98.5844,-1.48,99.83,0.08222334268390341,0.08228900228832609,-6.565960442267427e-05
2020-09-11,51.0,52.457015,75.874265,1.667919,98.7406,-2.37,101.07,0.09953698417517387,0.08573859866569564,0.013798385509478234
2020-09-14,53.0,55.804762,74.514189,1.671674,98.9368,2.55,102.47,0.22364839008227477,0.11332055694901147,0.1103278331332633
2020-09-15,47.0,47.582993,72.291562,1.682516,99.0224,-1.58,99.28,0.06386503698861645,0.10342945295693247,-0.039564415968316016
2020-09-16,49.0,48.655578,70.069159,1.626019,99.17,-0.13,99.7,-0.028544883947873245,0.07703458557597133,-0.10557946952384457
2020-09-17,40.0,45.909569,67.561494,1.625452,99.2752,-2.48,98.56,-0.19156069227192063,0.023315530006392936,-0.21487622227831357
2020-09-18,39.0,45.401252,65.116823,1.546229,99.4166,-4.02,98.35,-0.333848739337526,-0.04811732386239086,-0.28573141547513514
2020-09-21,35.0,38.718042,61.435691,1.792081,99.3974,-4.0,95.31,-0.6840305569605789,-0.17529997048202847,-0.5087305864785504
2020-09-22,33.0,36.726274,57.964211,2.229507,99.3298,-5.45,94.27,-1.033557273822396,-0.34695143115010196,-0.686605842672294
2020-09-23,30.0,33.958583,54.374289,2.7365,99.2204,-5.91,92.74,-1.4176758437418044,-0.5610963136684425,-0.856579530073362
2020-09-24,29.0,33.81509,50.591338,3.134578,99.079,-5.79,92.66,-1.7088493575676438,-0.7906469224482828,-0.918202435119361
2020-09-25,31.0,36.730242,47.078597,3.302465,98.9482,-1.93,93.47,-1.852887303071455,-1.0030949985729174,-0.8497923044985376
2020-09-28,34.0,45.340562,44.839531,3.229069,98.9082,2.0,96.16,-1.7300351258670617,-1.1484830240317463,-0.5815521018353154
2020-09-29,33.0,43.424222,42.75235,3.279893,98.8692,2.81,95.35,-1.6786833046856486,-1.2545230801625267,-0.42416022452312196
2020-09-30,35.0,46.205296,41.162571,3.281707,98.8064,3.9,96.27,-1.5459297888918115,-1.3128044219083836,-0.2331253669834279
2020-10-01,36.0,48.288185,39.853467,3.188544,98.772,3.74,96.97,-1.3684627347639804,-1.3239360844795032,-0.04452665028447722
2020-10-02,37.0,50.974892,38.202089,3.090422,98.7502,1.8,97.89,-1.1404362651793463,-1.2872361206194718,0.14679985544012553
2020-10-05,46.0,54.179567,36.883945,2.812735,98.7654,3.87,99.04,-0.8570487318560112,-1.2011986428667798,0.34414991101076864
2020-10-06,38.0,50.995484,36.157701,2.761316,98.7878,1.82,98.02,-0.7066220464105868,-1.1022833235755412,0.39566127716495436
