date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-06-22,37.0,46.461672,14.90326,5.026075,95.4816,-5.2,96.75
2020-06-23,38.0,48.289914,14.236341,4.91914,95.4764,-1.56,97.93
2020-06-24,27.0,43.823807,13.626273,5.170864,95.4596,-4.33,94.66
2020-06-25,39.0,48.954556,12.738402,5.219779,95.603,0.15,97.96
2020-06-26,24.0,42.200145,12.410141,5.504516,95.7082,-4.3,92.59
2020-06-29,24.0,42.848507,12.105328,5.7708,95.6646,-5.03,93.0
2020-06-30,26.0,44.579389,11.775197,5.953759,95.7116,-0.63,94.06
2020-07-01,24.0,43.508408,11.169467,6.112324,95.7958,-4.8,93.26
2020-07-02,24.0,42.680235,10.897902,6.149747,95.8622,0.08,92.66
2020-07-06,27.0,46.92349,10.570591,5.59966,95.9744,2.15,95.0
2020-07-07,23.0,42.997564,10.675491,4.631862,96.0066,-1.85,92.32
2020-07-08,25.0,44.815768,10.828269,3.658547,95.9802,0.04,93.3
2020-07-09,22.0,41.852438,11.257647,3.17609,95.9,-1.49,91.28
2020-07-10,37.0,50.550887,10.679376,3.165803,95.8682,1.34,96.27
2020-07-13,39.0,52.660013,10.436628,3.066311,95.906,5.77,97.65
2020-07-14,40.0,53.526265,10.407272,2.866764,96.0052,5.26,98.21
2020-07-15,42.0,55.885844,10.75989,2.647299,96.157,9.26,99.73
2020-07-16,42.0,56.325742,11.048369,2.687916,96.3172,3.88,100.01
2020-07-17,39.0,52.594033,11.148562,2.645505,96.475,0.52,98.16
2020-07-20,38.0,50.905622,10.87908,2.626765,96.5968,-0.93,97.3
2020-07-21,41.0,54.74432,11.1845,2.746007,96.731,-0.32,99.41
2020-07-22,39.0,53.215265,11.4191,2.781112,96.9054,-1.32,98.69
2020-07-23,40.0,53.775292,11.636943,2.852882,97.1444,0.84,98.98
2020-07-24,39.0,52.152495,12.007168,2.864747,97.4294,1.01,98.28
2020-07-27,29.0,49.012334,11.480658,2.759707,97.617,-2.52,96.9
2020-07-28,30.0,49.999091,11.102318,2.666439,97.8454,-1.39,97.32
2020-07-29,41.0,55.240818,11.481558,2.696827,98.03,0.71,99.68
2020-07-30,30.0,49.005026,11.353559,2.577453,98.197,-1.28,97.02
2020-07-31,29.0,48.168497,10.844822,2.388468,98.3032,-0.27,96.64
2020-08-03,28.0,46.942192,10.653636,2.351686,98.4218,-1.25,96.1
