date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,88.0,69.761741,134.168624,0.731316,32.8552,2.15,37.01,0.0,0.0,0.0
2020-08-11,78.0,51.516344,130.320086,0.702532,32.9894,-3.61,35.0,-0.1603418803418819,-0.032068376068376384,-0.12827350427350553
2020-08-12,84.0,59.277072,126.763445,0.710581,33.1298,-0.76,36.36,-0.1756485742810554,-0.060784415710912185,-0.11486415857014322
2020-08-13,84.0,59.328629,123.419063,0.691545,33.2536,-1.44,36.37,-0.18484158435555287,-0.08559584943984033,-0.09924573491571254
2020-08-14,85.0,60.720895,120.313566,0.696804,33.38,-1.03,36.63,-0.16919688758365226,-0.10231605706860272,-0.06688083051504953
2020-08-17,82.0,55.960152,117.320419,0.673922,33.4934,2.94,36.03,-0.20287472472722357,-0.12242779060032691,-0.08044693412689666
2020-08-18,80.0,53.693357,114.439606,0.672445,33.574,-1.73,35.73,-0.2508801558257261,-0.14811826364540676,-0.10276189218031934
2020-08-19,81.0,53.961139,111.634295,0.669562,33.6584,-1.65,35.77,-0.2824413322610084,-0.17498287736852708,-0.10745845489248135
2020-08-20,73.0,44.078886,107.995415,0.729293,33.7322,-6.28,34.33,-0.4188218399267001,-0.22375066988016168,-0.1950711700465384
2020-08-21,75.0,47.595779,104.60167,0.719596,33.8696,-3.36,34.82,-0.481811447471884,-0.27536282539850615,-0.20644862207337783
2020-08-24,75.0,47.399231,101.473634,0.742969,33.9824,-2.63,34.79,-0.5280647132412213,-0.3259032029670492,-0.20216151027417206
2020-08-25,74.0,46.912437,98.476188,0.758514,34.0746,-2.94,34.72,-0.5638692409722879,-0.37349641056809696,-0.1903728304041909
2020-08-26,75.0,49.084512,95.692845,0.778476,34.1614,1.92,34.99,-0.5639568995539221,-0.411588508365262,-0.15236839118866013
2020-08-27,74.0,47.759528,93.149614,0.802022,34.2412,0.0,34.82,-0.57115997223692,-0.44350280113959367,-0.12765717109732638
2020-08-28,74.0,48.724047,90.788042,0.817508,34.3056,0.4,34.93,-0.561519530923178,-0.46710614709631054,-0.09441338382686743
2020-08-31,79.0,55.829852,88.820268,0.817631,34.386,3.17,35.82,-0.47657024464120923,-0.46899896660529033,-0.007571278035918894
2020-09-01,80.0,58.86486,87.157182,0.81861,34.4846,3.63,36.26,-0.3694838209770879,-0.4490959374796499,0.079612116502562
2020-09-02,82.0,62.172891,85.666913,0.84187,34.5904,5.63,36.78,-0.23989207798124568,-0.4072551655799691,0.16736308759872343
2020-09-03,77.0,52.472436,83.625851,0.815875,34.6976,2.12,35.67,-0.22417328129810699,-0.37063878872359673,0.14646550742548975
2020-09-04,77.0,52.687294,80.996087,0.767094,34.7822,-0.34,35.7,-0.20691014108997052,-0.3378930591968715,0.130982918106901
2020-09-08,62.0,42.707228,77.96086,0.75312,34.8756,-5.52,34.26,-0.3058987333361358,-0.33149419402472435,0.025595460688588534
2020-09-09,66.0,47.875984,75.234381,0.754467,34.9714,-4.95,34.96,-0.324127416909775,-0.3300208386017345,0.0058934216919594995
2020-09-10,65.0,46.085012,72.979314,0.74607,35.0474,-2.78,34.68,-0.3570515716536917,-0.33542698521212594,-0.021624586441565785
2020-09-11,65.0,45.886945,70.169776,0.728575,35.1234,-2.94,34.65,-0.381171048200585,-0.3445757978098178,-0.03659525039076722
2020-09-14,67.0,50.048502,67.6971,0.66351,35.2032,2.71,35.19,-0.3526473212991448,-0.34619010250768323,-0.00645721879146155
2020-09-15,78.0,55.749397,65.778263,0.66351,35.2922,3.06,36.03,-0.25927235211653965,-0.3288065524294545,0.06953420031291485
2020-09-16,78.0,56.450332,64.288141,0.684189,35.399,4.21,36.14,-0.1743857255248571,-0.297922387048535,0.12353666152367793
2020-09-17,68.0,50.639104,62.011808,0.675241,35.4294,2.16,35.4,-0.16492314656527896,-0.27132253895188385,0.1063993923866049
2020-09-18,66.0,48.047731,60.13772,0.644041,35.4356,-0.43,35.04,-0.1843479277614435,-0.2539276167137958,0.06957968895235234
2020-09-21,63.0,44.568196,57.048425,0.657416,35.4284,-4.16,34.53,-0.23814970302611727,-0.25077203397626013,0.012622330950142868
2020-09-22,64.0,45.567059,54.406228,0.663189,35.4376,-4.12,34.65,-0.26801548475170733,-0.2542207241313496,-0.013794760620357727
2020-09-23,61.0,41.84521,52.231629,0.701156,35.4298,-3.67,34.1,-0.3322349378443832,-0.2698235668739563,-0.06241137097042687
2020-09-24,56.0,35.877765,49.107377,0.845501,35.3908,-5.65,33.06,-0.46172613399568974,-0.30820408029830304,-0.1535220536973867
2020-09-25,60.0,43.028793,46.080316,0.884724,35.3756,-1.8,33.91,-0.49011124626242975,-0.3445855134911284,-0.14552573277130132
2020-09-28,65.0,50.327924,44.045699,0.884556,35.375,0.87,34.95,-0.4238020180239843,-0.36042881439769964,-0.06337320362628468
2020-09-29,61.0,45.718249,42.156412,0.888532,35.3586,0.26,34.19,-0.4276474714779184,-0.3738725458137434,-0.053774925664174966
2020-09-30,63.0,46.754831,40.322481,0.850948,35.333,3.87,34.34,-0.4138210037113055,-0.3818622373932558,-0.03195876631804967
2020-10-01,65.0,49.192849,38.72421,0.735582,35.3154,2.3,34.69,-0.3703521642507255,-0.37956022276474977,0.009208058514024287
2020-10-02,66.0,52.031291,37.589693,0.712495,35.3166,0.46,35.11,-0.29857057020895184,-0.36336229225359024,0.0647917220446384
2020-10-05,77.0,57.777231,37.036202,0.739568,35.344,5.47,36.06,-0.16314544017384236,-0.3233189218376407,0.16017348166379836
2020-10-06,65.0,50.209391,36.084665,0.729742,35.339,1.78,34.95,-0.14373093156885375,-0.28740132378388333,0.14367039221502959
2020-10-07,65.0,52.037898,35.201095,0.735013,35.3448,1.61,35.25,-0.10295055096302974,-0.2505111692197126,0.14756061825668287
