date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,73.0,55.187865,118.416951,4.863233,195.4288,-0.88,203.09,0.0,0.0,0.0
2020-08-11,70.0,51.800104,115.457491,4.860902,195.9204,-1.69,200.54,-0.20341880341879914,-0.04068376068375983,-0.1627350427350393
2020-08-12,76.0,59.611223,112.753935,5.051184,196.5346,2.17,208.0,0.23462536830058411,0.014378065113108962,0.22024730318747515
2020-08-13,76.0,61.38198,110.261052,5.307841,197.0128,3.51,209.96,0.7315018519177556,0.1578028224740383,0.5736990294437173
2020-08-14,77.0,62.772026,108.005524,5.642292,197.5172,4.15,211.51,1.2361030644164543,0.3734628708625215,0.8626401935539328
2020-08-17,78.0,66.997782,105.951908,6.466334,198.0002,8.02,216.63,2.025792298546037,0.7039287563992246,1.3218635421468123
2020-08-18,73.0,60.019178,103.889006,6.753053,198.398,1.81,211.76,2.2329187093478993,1.0097267469889595,1.2231919623589398
2020-08-19,72.0,58.378673,101.76048,6.917197,198.7882,0.28,210.54,2.2724289319493494,1.2622671839810375,1.0101617479683118
2020-08-20,69.0,53.606092,99.276619,6.955947,199.0698,-2.2,206.85,1.983128634193264,1.406439474023483,0.576689160169781
2020-08-21,68.0,50.159398,96.627351,5.990948,199.5376,-5.84,203.97,1.504125510490411,1.4259766813168686,0.07814882917354238
2020-08-24,71.0,54.917687,94.217052,5.801504,200.011,-1.61,208.36,1.4618965616008097,1.4331606573736568,0.028735904227152886
2020-08-25,73.0,56.857648,92.050256,5.143061,200.4616,-0.12,210.28,1.565313806070776,1.4595912871130807,0.10572251895769536
2020-08-26,75.0,58.796899,90.081573,4.688404,200.8464,2.6,212.23,1.784055934289995,1.5244842165484638,0.2595717177415313
2020-08-27,69.0,49.279345,87.438188,4.270939,201.0576,0.24,204.45,1.314477192190651,1.4824828116769013,-0.16800561948625026
2020-08-28,72.0,53.603986,84.983615,3.945166,201.355,0.12,208.61,1.2634456741106703,1.4386753841636553,-0.17522971005298493
2020-08-31,69.0,49.79043,82.70437,3.977805,201.5958,-2.44,205.14,0.9322563573914806,1.3373915788092205,-0.40513522141773994
2020-09-01,71.0,52.723623,80.605927,3.938748,201.9176,-2.02,207.95,0.8863130880827725,1.247175880663931,-0.3608627925811585
2020-09-02,76.0,59.590482,79.006265,4.216513,202.3642,5.42,215.54,1.445687300583586,1.286878164647862,0.158809135935724
