date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,53.0,56.280573,128.827129,0.843726,46.5958,2.21,47.72,0.0,0.0,0.0
2020-08-11,54.0,57.783039,126.010828,0.782544,46.6146,1.5,47.93,0.016752136752138824,0.003350427350427765,0.01340170940171106
2020-08-12,55.0,61.201866,123.396826,0.773378,46.6452,2.0,48.43,0.06957216256362386,0.016594774393066985,0.052977388170556874
2020-08-13,55.0,60.67274,120.936829,0.72474,46.6548,1.21,48.38,0.10617392452346053,0.03451060441914569,0.07166332010431484
2020-08-14,55.0,61.17879,118.634998,0.718727,46.6654,1.53,48.45,0.13922460498175582,0.05545340453166772,0.0837712004500881
2020-08-17,55.0,58.403993,116.499835,0.622714,46.6478,0.58,48.21,0.1443871084179449,0.07324014530892316,0.07114696310902173
2020-08-18,55.0,60.108897,114.356938,0.617402,46.6192,-0.02,48.42,0.163538504461485,0.09129981713943552,0.07223868732204947
2020-08-19,52.0,49.241326,111.861295,0.612143,46.5866,-2.09,47.37,0.09291878906013551,0.09162361152357552,0.0012951775365599855
2020-08-20,52.0,49.059383,109.452508,0.6122,46.5612,-2.27,47.35,0.03493560703275023,0.08028601062541046,-0.04535040359266024
2020-08-21,52.0,48.38551,107.126199,0.599947,46.596,-1.93,47.28,-0.01647498409449355,0.06093381168142967,-0.07740879577592322
2020-08-24,54.0,54.953786,105.014653,0.578051,46.6434,-0.93,47.97,-0.0015234531076373514,0.04844235872361626,-0.04996581183125361
2020-08-25,54.0,54.306615,103.061306,0.569931,46.6756,1.14,47.91,0.005421745849105264,0.03983823614871406,-0.0344164902996088
2020-08-26,55.0,56.600041,101.087812,0.574743,46.7034,1.71,48.16,0.030744374708667976,0.038019463860704844,-0.007275089152036868
2020-08-27,55.0,57.247093,99.335938,0.586209,46.7364,2.01,48.23,0.05581772353358616,0.04157911579528111,0.01423860773830505
2020-08-28,59.0,68.724837,97.832725,0.732218,46.7932,3.88,49.83,0.2024613133703923,0.07375555531030335,0.12870575806008894
2020-08-31,58.0,65.19086,96.462763,0.727294,46.8634,3.38,49.53,0.29111413944343667,0.11722727213693002,0.17388686730650665
