date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,75.0,60.124663,122.96653,3.449012,225.056,-0.21,243.34,0.0,0.0,0.0
2020-08-11,77.0,61.983435,120.188747,2.54855,225.8486,-1.38,244.85,0.12045584045586111,0.024091168091172222,0.09636467236468889
2020-08-12,79.0,66.227519,117.630897,2.314197,226.696,0.8,248.63,0.5149958198391573,0.12227209844076925,0.39272372139838807
2020-08-13,79.0,66.870283,115.241182,2.167612,227.423,1.6,249.24,0.8669004097281743,0.2711977606982503,0.595702649029924
2020-08-14,79.0,65.247944,113.022161,2.227219,228.1418,2.12,248.5,1.0736985880203918,0.43169792616267866,0.6420006618577131
2020-08-17,78.0,65.087082,110.971513,2.020794,228.6848,1.46,248.43,1.2179000258502697,0.5889383461001969,0.6289616797500728
2020-08-18,77.0,61.473058,108.891807,1.99995,229.2938,-0.7,246.88,1.19335243411183,0.7098211637025236,0.48353127040930644
2020-08-19,77.0,62.000802,106.960651,2.020719,229.954,-0.8,247.24,1.1892384812214516,0.8057046272063092,0.3835338540151424
2020-08-20,75.0,57.456763,104.796946,2.024632,230.593,-1.28,245.31,1.0185026095127796,0.8482642236676033,0.17023838584517625
2020-08-21,74.0,55.177696,102.316399,2.015037,231.4968,-1.66,244.3,0.7925585207437678,0.8371230830828363,-0.04456456233906858
2020-08-24,77.0,62.491029,100.148079,2.112277,232.4362,0.82,248.91,0.9742540805886222,0.8645492825839936,0.10970479800462862
2020-08-25,77.0,64.092348,98.146022,2.222946,233.373,1.15,250.08,1.1988388744204599,0.9314072009512868,0.26743167346917307
2020-08-26,78.0,67.651552,96.354566,2.61057,234.265,3.09,252.88,1.584495463611546,1.0620248534833387,0.5224706101282073
2020-08-27,77.0,62.970292,94.691071,2.531952,235.134,2.71,250.93,1.7130355780648472,1.1922269983996405,0.5208085796652067
2020-08-28,78.0,66.363784,93.148243,2.843119,236.0422,1.87,253.57,2.004820162573111,1.3547456312343347,0.6500745313387764
2020-08-31,74.0,58.052027,91.43391,2.776911,236.876,-0.14,249.74,1.9050522995801487,1.4648069649034976,0.44024533467665106
2020-09-01,78.0,66.536917,89.96453,3.258758,237.8154,1.61,256.94,2.3795355715990354,1.647752686242605,0.7317828853564303
2020-09-02,78.0,69.566201,88.707363,4.139843,238.7726,3.71,260.23,2.9866146528491697,1.915525079563918,1.0710895732852517
2020-09-03,71.0,53.93557,86.086046,4.110524,239.6602,-1.23,250.45,2.648039976873065,2.0620280590257476,0.5860119178473173
