date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,57.0,39.501149,134.813583,5.541941,158.4146,-1.19,153.0,0.0,0.0,0.0
2020-08-11,54.0,35.938245,130.268929,5.752145,158.3782,-2.4,150.63,-0.1890598290598291,-0.037811965811965824,-0.15124786324786327
2020-08-12,57.0,40.61165,126.049511,5.683674,158.352,-0.22,152.55,-0.1818667056274137,-0.0666229137750554,-0.1152437918523583
2020-08-13,54.0,37.412186,122.025853,5.680731,158.3106,-1.62,150.46,-0.34088215928431964,-0.12147476287690825,-0.2194073964074114
2020-08-14,54.0,36.858578,118.201149,5.528067,158.2982,-1.9,150.09,-0.49109788896669215,-0.19539938809486507,-0.2956985008718271
2020-08-17,56.0,40.545971,114.677214,5.071108,158.3446,0.6,151.53,-0.4883199234589597,-0.25398349516768404,-0.23433642829127566
2020-08-18,58.0,44.383797,111.417982,4.600311,158.4226,0.37,153.11,-0.35453866930379263,-0.2740945299949058,-0.08044413930888683
2020-08-19,58.0,42.838267,108.429828,4.062279,158.4858,1.22,152.29,-0.3110970750875879,-0.28149503901344225,-0.029602036074145632
2020-08-20,58.0,41.054619,105.450704,3.78371,158.4926,0.83,151.34,-0.3492998479941605,-0.29505600080958594,-0.054243847184574534
2020-08-21,55.0,37.384399,102.166842,3.697346,158.5962,-1.5,149.26,-0.5411760963056054,-0.3442800199087898,-0.19689607639681556
2020-08-24,56.0,38.128979,99.117541,3.424457,158.7158,-2.34,149.52,-0.6645985005803254,-0.40834371604309694,-0.2562547845372285
2020-08-25,57.0,38.612749,96.331114,2.675182,158.879,-1.71,149.68,-0.7409596606179889,-0.4748669049580754,-0.2660927556599135
2020-08-26,58.0,37.77772,93.356898,1.668769,158.59,-1.37,149.26,-0.825847069073518,-0.545062937781164,-0.280784131292354
2020-08-27,58.0,37.179843,90.684418,1.740491,158.37,-0.19,148.97,-0.9060768384438234,-0.6172657179136959,-0.2888111205301275
2020-08-28,56.0,33.929508,87.781115,1.948582,158.0954,-1.46,147.34,-1.0886377479112355,-0.7115401239132038,-0.3770976239980317
2020-08-31,57.0,37.70735,85.08519,2.017833,157.8644,-0.86,148.39,-1.1355029875462606,-0.7963326966398152,-0.33917029090644535
2020-09-01,56.0,35.4418,82.614312,1.990948,157.6014,-1.31,147.3,-1.246232129852359,-0.8863125832823241,-0.359919546570035
2020-09-02,59.0,43.048457,80.386286,1.825101,157.4056,0.39,149.55,-1.139296476333186,-0.9369093618924966,-0.20238711444068946
2020-09-03,58.0,41.799095,78.589629,1.766802,157.2454,1.14,149.02,-1.0848107480622389,-0.9664896391264451,-0.11832110893579373
2020-09-04,61.0,47.635404,76.921305,1.669242,157.0064,1.7,150.91,-0.8789907530002665,-0.9489898619012095,0.06999910890094296
2020-09-08,60.0,43.645262,75.372146,1.550363,156.736,1.36,149.31,-0.8353541101112398,-0.9262627115432156,0.09090860143197577
2020-09-09,63.0,50.994612,74.175169,1.603097,156.521,1.62,151.97,-0.5794524199832551,-0.8569006532312236,0.2774482332479684
2020-09-10,56.0,39.11856,71.734883,1.708097,156.1618,-1.88,146.22,-0.8310456551253367,-0.8517296536100463,0.020683998484709587
2020-09-11,59.0,43.709888,69.468902,1.738473,155.8576,-1.87,148.09,-0.8695184672152436,-0.8552874163310857,-0.014231050884157881
