date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-01,63.0,58.341998,118.423573,8.591962,367.847,2.02,391.6
2020-07-02,66.0,63.801297,115.3978,9.240285,368.815,3.65,401.85
2020-07-03,64.0,59.576721,112.588153,8.64,369.776,1.85,396.7
2020-07-06,66.0,63.287529,109.99635,9.248663,371.039,3.46,404.0
2020-07-07,65.0,62.151259,107.335169,9.726128,372.073,2.82,402.65
2020-07-08,64.0,59.713817,104.864073,9.813772,372.929,-0.51,399.8
2020-07-09,64.0,60.388872,102.597332,9.876296,373.752,1.07,400.95
2020-07-10,64.0,60.152904,100.234276,10.005417,374.717,-0.82,400.7
2020-07-13,66.0,64.698673,98.14857,9.95087,376.113,1.42,408.35
2020-07-14,65.0,61.06988,95.978238,9.797329,377.356,1.21,404.65
2020-07-15,67.0,65.265901,94.139487,10.170925,378.869,2.77,412.05
2020-07-16,66.0,61.503467,92.290874,9.831423,380.121,1.86,408.15
2020-07-17,66.0,62.748739,90.620335,9.629295,381.281,0.47,410.25
2020-07-20,67.0,64.260541,88.767588,9.233004,382.559,2.01,412.8
2020-07-21,73.0,61.267758,87.149684,9.328147,383.821,-0.51,409.95
2020-07-22,71.0,55.460496,85.145452,8.333112,385.2,-1.02,404.0
2020-07-23,71.0,55.082504,83.081956,7.355098,386.652,-1.62,403.6
2020-07-24,70.0,50.881134,80.396272,6.631954,388.029,-3.32,399.1
2020-07-27,71.0,52.860228,78.092943,5.930503,389.056,-2.09,401.4
2020-07-28,56.0,40.398978,74.253271,6.593736,389.607,-4.69,385.05
2020-07-29,57.0,42.281053,70.687861,7.031185,390.115,-4.08,387.15
2020-07-30,50.0,34.788409,66.515241,9.430725,390.395,-6.33,373.85
2020-07-31,46.0,31.571923,62.332999,12.049726,390.624,-8.63,366.75
2020-08-03,49.0,36.513313,58.350345,13.39729,390.831,-3.31,372.3
2020-08-04,48.0,36.183754,54.668058,14.534868,390.956,-4.0,371.65
2020-08-05,51.0,40.165428,51.255614,15.179522,391.001,0.6,376.1
2020-08-06,50.0,38.930977,48.209391,15.813533,390.745,1.98,374.0
2020-08-07,49.0,38.930971,45.380755,16.318335,390.725,0.46,374.0
2020-08-10,48.0,37.376661,42.634216,16.529793,390.578,-0.03,371.55
2020-08-11,53.0,47.625136,40.85496,16.308797,390.533,1.75,382.7
2020-08-12,64.0,53.828481,39.631183,15.500859,390.488,4.6,391.2
2020-08-13,64.0,53.828481,38.622811,14.868998,390.511,4.6,391.2
2020-08-14,54.0,49.692737,36.952163,13.960322,390.147,3.9,386.05
2020-08-17,54.0,51.030246,35.456135,12.624047,389.98,1.32,387.75
2020-08-18,53.0,49.609823,33.83501,11.313084,389.795,-1.32,386.05
2020-08-19,54.0,50.611324,32.32968,10.404329,389.571,-1.02,387.2
2020-08-20,52.0,47.227212,30.469017,9.321419,389.736,-0.7,383.35
2020-08-21,52.0,49.221644,29.004853,8.542305,389.862,-0.59,385.45
2020-08-24,64.0,56.037857,28.453968,7.767973,390.302,1.92,393.45
2020-08-25,64.0,58.723014,28.399332,8.463652,390.707,2.54,397.05
2020-08-26,67.0,62.770432,28.566987,9.582501,391.184,5.13,403.0
2020-08-27,65.0,60.618768,28.781239,10.135169,391.658,4.03,401.0
2020-08-28,63.0,55.827249,28.495276,9.644317,391.984,0.74,396.35
2020-08-31,61.0,52.42059,27.866023,9.261276,392.262,-1.07,392.8
2020-09-01,63.0,55.624268,27.057719,8.839704,392.383,-1.56,396.7
2020-09-02,67.0,62.901393,27.408639,9.361476,392.901,1.56,407.25
2020-09-03,68.0,63.602076,28.16593,9.531717,393.392,3.04,408.4
2020-09-04,66.0,57.916844,28.069102,8.999073,393.695,2.56,402.85
2020-09-07,69.0,61.853608,27.979189,8.282654,394.081,3.05,408.8
2020-09-08,66.0,57.565061,27.142713,8.094166,394.359,-0.7,404.4
2020-09-09,65.0,57.225177,26.261112,8.23493,394.608,-1.07,404.05
2020-09-10,65.0,57.457053,25.318019,8.337192,394.658,0.37,404.35
2020-09-11,70.0,65.645998,25.526597,8.99742,395.056,1.91,416.6
2020-09-14,71.0,67.644436,26.013534,9.833607,395.381,3.92,420.25
2020-09-15,72.0,69.601006,26.786724,10.596817,395.808,4.94,424.0
2020-09-16,73.0,70.695158,27.656821,11.279837,396.335,5.39,426.15
2020-09-17,70.0,63.639077,27.831966,10.772313,396.716,0.82,420.0
2020-09-18,67.0,57.46256,27.265504,9.848884,396.979,-1.52,413.85
2020-09-21,52.0,43.830608,26.195813,9.713437,396.723,-6.71,395.55
2020-09-22,50.0,41.239798,25.456351,10.10608,396.451,-8.24,391.05
2020-09-23,61.0,47.908561,24.373534,10.181092,396.212,-4.74,400.1
2020-09-24,62.0,49.077671,23.003431,10.16007,396.085,-2.91,401.8
2020-09-25,62.0,47.986085,21.783525,9.996065,395.884,1.18,400.2
2020-09-28,65.0,52.075604,20.512107,9.461843,395.746,3.8,405.9
2020-09-29,66.0,54.795187,19.624841,9.132723,395.746,2.46,409.95
2020-09-30,61.0,47.270059,18.373402,9.334791,395.654,-0.6,399.4
2020-10-01,66.0,53.923152,17.408197,9.342691,395.776,2.37,409.7
2020-10-02,64.0,52.503265,16.253993,9.270031,395.947,0.43,407.65
2020-10-05,66.0,55.518265,15.935759,9.318322,396.17,0.63,412.55
