date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,73.0,60.909781,122.71652,8.717463,305.2602,2.7,322.88,0.0,0.0,0.0
2020-08-11,76.0,64.562333,120.453517,8.920747,305.803,0.16,328.54,0.4515099715100064,0.09030199430200128,0.3612079772080051
2020-08-12,75.0,63.534443,118.352158,9.264631,306.2838,-0.76,327.63,0.7275190948125783,0.21774541440411668,0.5097736804084616
2020-08-13,74.0,61.856196,116.353886,8.92984,306.6662,-0.56,326.19,0.8206029481714836,0.3383169211575901,0.4822860270138935
2020-08-14,75.0,62.31038,114.428255,8.821078,307.1748,1.21,326.8,0.9328412612227339,0.45722178917061884,0.4756194720521151
2020-08-17,76.0,64.845112,112.658357,9.205277,307.5418,0.51,330.23,1.2837648254512146,0.622530396426738,0.6612344290244766
2020-08-18,76.0,65.407549,110.982757,9.325743,307.9536,1.03,331.0,1.605499642719053,0.819124245685201,0.7863753970338521
2020-08-19,76.0,66.458279,109.444688,9.67412,308.3718,1.9,332.4,1.950955700205668,1.0454905365892944,0.9054651636163737
2020-08-20,78.0,69.916578,108.037591,10.096027,308.8552,3.22,337.32,2.591857674587402,1.354763964188916,1.237093710398486
2020-08-21,78.0,69.571155,106.735961,10.096326,309.7722,2.08,337.1,3.0469021539510663,1.6931916021413462,1.35371055180972
2020-08-24,80.0,73.726657,105.5592,10.537608,310.6892,3.82,343.64,3.8904053539772576,2.1326343525085285,1.757771001468729
2020-08-25,81.0,75.904869,104.495464,10.820185,311.699,4.59,347.66,4.827618341416894,2.6716311502902017,2.1559871911266923
2020-08-26,82.0,77.578098,103.531559,11.300922,312.6298,4.06,351.02,5.77492061543461,3.2922890433190837,2.482631572115526
2020-08-27,83.0,79.815383,102.67142,11.843333,313.6746,5.61,356.0,6.848562902879394,4.003543815231145,2.8450190876482484
2020-08-28,85.0,83.433041,101.925338,12.975964,314.9,6.54,366.12,8.418982781613863,4.886631608507689,3.532351173106174
2020-08-31,80.0,72.47194,101.232548,13.040203,316.1338,3.03,358.19,8.92083331017659,5.69347194884147,3.22736136133512
2020-09-01,80.0,70.841499,100.000214,12.779867,317.183,1.68,356.9,9.109453145259351,6.376668188125047,2.732784957134305
2020-09-02,81.0,72.783901,98.8829,13.433959,318.2594,1.32,360.7,9.456554689608993,6.992645488421837,2.463909201187156
2020-09-03,72.0,55.210534,95.868198,13.265837,319.256,-6.09,343.84,8.275776074046917,7.249271605546853,1.0265044685000637
2020-09-04,69.0,48.5932,91.53888,13.019354,319.996,-6.47,335.01,6.551966320269855,7.1098105484914536,-0.5578442282215983
2020-09-08,67.0,45.203404,87.518799,12.616502,320.8068,-7.57,329.88,4.717506070783315,6.631349652949827,-1.9138435821665114
2020-09-09,71.0,52.055926,84.112453,12.282328,321.741,-5.84,339.64,4.005065635193773,6.106092849398617,-2.1010272142048434
2020-09-10,69.0,47.614548,81.056562,12.028807,322.4846,-3.19,332.88,2.8619847738607973,5.457271234291053,-2.5952864604302555
2020-09-11,68.0,45.91096,77.799176,11.795186,323.0642,-1.45,330.15,1.7160156115757559,4.709020109747994,-2.9930044981722377
2020-09-14,72.0,51.674391,75.043016,11.288136,323.7878,2.64,338.6,1.4726948649242786,4.061755060783251,-2.5890601958589725
2020-09-15,71.0,52.026193,72.677058,10.949497,324.4592,-0.15,339.14,1.308353027919054,3.511074654210412,-2.202721626291358
