date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,64.0,68.401671,127.193488,4.335444,191.6658,2.39,204.12,0.0,0.0,0.0
2020-08-11,72.0,69.525679,124.680883,4.476271,192.0176,2.88,205.0,0.07019943019943753,0.014039886039887506,0.056159544159550025
2020-08-12,72.0,70.821295,122.34775,4.661955,192.3862,1.4,206.02,0.2057665116354599,0.052385211159001986,0.1533813004764579
2020-08-13,73.0,71.424181,120.177304,4.704386,192.6502,0.92,206.49,0.3471279969584202,0.11133376831888564,0.2357942286395346
2020-08-14,73.0,72.136496,118.140577,4.708888,192.926,1.43,207.03,0.4970023458928381,0.18846748383367615,0.3085348620591619
2020-08-17,74.0,74.236922,116.26341,4.726426,193.1562,1.79,208.67,0.7395876352757114,0.29869151412208317,0.4408961211536282
2020-08-18,75.0,76.182259,114.526603,4.861523,193.3096,2.09,210.32,1.052842917438653,0.4495217947853972,0.6033211226532559
2020-08-19,74.0,73.257842,112.919125,5.129255,193.5094,1.46,209.51,1.2216572505584793,0.6039488859400137,0.6177083646184656
2020-08-20,74.0,73.753477,111.328383,5.309473,193.791,1.38,209.88,1.369512842027774,0.7570616771575658,0.6124511648702082
2020-08-21,75.0,75.946333,109.862504,5.583882,194.2722,1.39,211.57,1.6045619482555367,0.92656173137716,0.6780002168783766
2020-08-24,75.0,77.219791,108.514069,5.930553,194.7412,1.09,212.62,1.8541923084253824,1.1120878467868045,0.7421044616385779
2020-08-25,75.0,77.256839,107.26896,5.97552,195.2044,1.5,212.65,2.0310344161547107,1.2958771606603858,0.7351572554943249
2020-08-26,75.0,78.640982,105.970546,5.978053,195.6732,1.85,213.76,2.2349872422542774,1.483699176979164,0.7512880652751133
2020-08-27,74.0,71.96926,104.787873,5.686606,196.1012,0.29,212.19,2.2440672371499204,1.6357727890133154,0.608294448136605
2020-08-28,76.0,75.799819,103.698305,5.279063,196.6096,1.08,214.91,2.4425878344368073,1.7971357980980138,0.6454520363387934
2020-08-31,76.0,70.497887,102.686562,4.540096,197.1488,0.41,213.52,2.459404965252048,1.9295896315288208,0.5298153337232274
2020-09-01,75.0,67.463424,101.122444,4.150299,197.6534,-0.5,212.69,2.3783425467711083,2.0193402145772783,0.35900233219383004
2020-09-02,78.0,72.83421,99.769847,3.813902,198.2456,1.9,216.23,2.5701216485678344,2.1294965013753897,0.4406251471924447
2020-09-03,76.0,64.913101,98.541019,3.595537,198.8358,-0.52,213.8,2.4972406411599195,2.2030453293322956,0.29419531182762393
2020-09-04,74.0,59.024256,97.060416,3.360583,199.4152,-0.84,211.73,2.246553348847044,2.2117469332352453,0.03480641561179887
2020-09-08,78.0,62.314714,95.685571,3.062793,200.092,0.42,213.58,2.1721225261079553,2.2038220518097873,-0.03169952570183199
2020-09-09,79.0,65.727202,94.483728,2.878705,200.7502,-0.24,215.71,2.2589687758011507,2.21485139660806,0.04411737919309067
2020-09-10,80.0,67.970791,93.419649,2.82073,201.4056,1.61,217.24,2.423318757460464,2.256544868778541,0.16677388868192322
2020-09-11,81.0,69.054462,92.431576,2.769721,202.0724,2.96,218.0,2.5850936005558367,2.322254615134,0.2628389854218365
2020-09-14,82.0,72.437322,91.651194,2.930242,202.8132,3.27,220.56,2.886597040581478,2.435123100223496,0.4514739403579817
2020-09-15,82.0,74.555232,90.966501,3.308082,203.4906,3.09,222.37,3.234309456093513,2.5949603713975,0.639349084696013
2020-09-16,82.0,77.108818,90.442419,3.921534,204.2704,3.48,224.81,3.6645193604850874,2.8088721692150176,0.8556471912700698
2020-09-17,80.0,70.177014,89.643466,4.060994,205.005,2.1,222.58,3.781925760102581,3.00348288739253,0.778442872710051
2020-09-18,78.0,63.780786,88.751513,3.969815,205.7238,-0.13,220.27,3.6465384576934525,3.1320940014527148,0.5144444562407378
