date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,60.0,62.821397,133.292078,1.372662,95.1562,4.25,100.38,0.0,0.0,0.0
2020-08-11,60.0,63.616995,130.447359,1.472146,95.2284,3.81,100.72,0.027122507122498973,0.005424501424499795,0.02169800569799918
2020-08-12,61.0,66.70844,127.807858,1.793856,95.3252,5.54,102.09,0.15735099552763643,0.03580980024512712,0.12154119528250931
2020-08-13,59.0,63.324759,125.190016,1.908259,95.409,1.24,101.29,0.19377102495583642,0.06740204518726899,0.12636897976856742
2020-08-14,58.0,60.91243,122.761088,2.000769,95.4834,0.33,100.71,0.17382921296989196,0.08868747874379358,0.08514173422609837
2020-08-17,59.0,63.852747,120.520178,2.096702,95.4798,1.13,101.86,0.2479622182461867,0.12054242664427221,0.12741979160191447
2020-08-18,59.0,62.531266,118.424586,2.18101,95.4844,-0.52,101.56,0.2792862284399149,0.15229118700340075,0.12699504143651416
2020-08-19,57.0,59.272663,116.211142,2.220896,95.5186,-0.46,100.82,0.24161374379467304,0.17015569836165523,0.07145804543301781
2020-08-20,56.0,56.940795,113.923418,2.189032,95.5732,-0.43,100.28,0.1662679083171099,0.16937814035274618,-0.0031102320356362623
2020-08-21,54.0,50.766982,111.324997,2.110653,95.7304,-3.07,98.73,-0.018305243789995984,0.13184146352419776,-0.15014670731419374
2020-08-24,56.0,55.464001,108.962424,2.036785,95.8688,-1.41,100.13,-0.05102432029796944,0.09526830675976432,-0.14629262705773377
2020-08-25,59.0,62.274681,106.946185,2.054098,96.0482,1.76,102.59,0.12016186557524122,0.10024701852285971,0.019914847052381515
2020-08-26,61.0,65.696475,105.022241,2.271386,96.2188,3.79,104.08,0.37177312954341346,0.15455224072697046,0.217220888816443
2020-08-27,65.0,70.984511,103.335427,2.616737,96.4464,8.23,106.86,0.7864341126576022,0.28092861511309686,0.5055054975445054
2020-08-28,65.0,72.619579,101.806294,2.941362,96.715,7.72,107.86,1.1821208189418542,0.4611670558788483,0.7209537630630058
2020-08-31,64.0,70.940588,100.406319,3.153886,96.9862,4.76,107.47,1.4475491977236175,0.6584434842478022,0.7891057134758153
