date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,75.0,65.314583,131.381347,11.203489,238.3062,5.27,263.0,0.0,0.0,0.0
2020-08-11,72.0,58.644105,127.394245,11.43663,238.7906,2.81,256.13,-0.5480341880341939,-0.10960683760683879,-0.43842735042735514
2020-08-12,73.0,60.992191,123.691936,11.813913,239.334,-2.03,259.89,-0.6712172790805653,-0.22192892590158408,-0.4492883531789812
2020-08-13,73.0,61.866568,120.267331,12.196011,239.9568,-2.66,261.3,-0.6476004156088493,-0.30706322384303714,-0.34053719176581215
2020-08-14,73.0,61.803084,117.015256,12.509695,240.6558,-0.67,261.24,-0.6265034380671182,-0.3709512666878534,-0.2555521713792648
2020-08-17,73.0,61.712156,114.013469,12.809062,241.2636,1.96,261.16,-0.60921659312055,-0.41860433197439273,-0.19061226114615726
2020-08-18,73.0,62.586548,111.239885,13.021277,241.8824,0.94,262.34,-0.4945990753633396,-0.4338032806521821,-0.06079579471115748
2020-08-19,73.0,62.78048,108.702316,13.087803,242.3608,0.49,262.59,-0.3792195491960797,-0.4228865343609617,0.04366698516488199
2020-08-20,77.0,67.447083,106.370544,12.928434,243.0064,2.97,269.01,0.2276358579058524,-0.29278205590759887,0.5204179138134513
2020-08-21,75.0,64.724517,104.218256,12.220964,243.858,2.24,267.01,0.5409540730665867,-0.12603483011276173,0.6669889031793484
2020-08-24,77.0,67.790878,102.32179,11.719048,244.7142,3.45,271.39,1.129668297787191,0.12510579546722883,1.0045625023199622
2020-08-25,80.0,73.193581,100.645319,11.196688,245.6806,6.94,280.82,2.330288635698878,0.5661423635135587,1.7641462721853192
2020-08-26,86.0,81.414278,99.351685,13.416313,247.0458,12.97,303.91,5.086326921690102,1.4701792751488674,3.6161476465412346
2020-08-27,81.0,70.61693,98.150454,13.364238,248.1996,9.82,293.22,6.334888804769378,2.4431211810729696,3.891767623696408
2020-08-28,81.0,70.788653,96.909334,14.387312,249.354,8.21,293.66,7.2760140544210685,3.4096997557425897,3.866314298678479
2020-08-31,80.0,70.325916,95.756865,14.9474,250.4422,4.41,293.2,7.893750200963893,4.30650984478685,3.587240356177043
2020-09-01,79.0,71.309443,94.751558,15.229694,251.5666,-2.79,295.44,8.466463703799832,5.138500616589447,3.327963087210385
2020-09-02,83.0,74.210721,93.847818,15.673275,252.7718,3.16,302.5,9.381877830479823,5.987176059367522,3.3947017711123006
2020-09-03,77.0,63.129124,91.726432,15.916828,253.9138,-0.86,291.12,9.084360376106815,6.606612922715382,2.4777474533914337
2020-09-04,73.0,56.437827,88.309846,15.888039,254.8548,-3.57,282.73,8.078449431784918,6.90098022452929,1.177469207255628
2020-09-08,67.0,48.762108,84.9526,15.63678,255.9564,-8.22,271.16,6.275317501825725,6.775847679988578,-0.5005301781628528
2020-09-09,68.0,50.370458,81.835157,14.916811,257.018,-9.51,273.72,4.995310234742874,6.419740190939438,-1.4244299561965637
2020-09-10,65.0,46.884878,78.438324,14.524502,257.8384,-7.91,268.09,3.4864121168319,5.83307457611793,-2.34666245928603
2020-09-11,65.0,45.984046,74.78896,14.257764,258.4196,-5.7,266.61,2.146433111439137,5.095746283182172,-2.949313171743035
2020-09-14,65.0,45.690202,71.723794,13.997561,259.0742,-1.85,266.15,1.0354360774541078,4.283684242036559,-3.248248164582451
2020-09-15,68.0,50.347595,68.877568,13.494482,259.717,-0.47,272.42,0.6533679046458474,3.5576209745584166,-2.9042530699125693
2020-09-16,64.0,44.512429,65.351698,13.42235,260.1702,-1.7,263.52,-0.3633905544449476,2.7734186687577442,-3.136809223202692
2020-09-17,53.0,39.672113,60.92617,14.003537,260.395,-4.42,254.82,-1.849872075904159,1.8487605198253638,-3.6986325957295225
2020-09-18,51.0,38.485815,56.803825,15.016801,260.5556,-5.12,252.53,-3.1760912499715914,0.8437901658659729,-4.019881415837564
2020-09-21,49.0,36.252892,53.061072,16.232876,260.6172,-8.91,248.15,-4.528358793756979,-0.23063962605861743,-4.297719167698362
2020-09-22,53.0,41.738331,49.457906,16.924033,260.9322,-3.33,254.75,-5.009726712178406,-1.1864570432825752,-3.8232696688958305
2020-09-23,50.0,38.630373,46.353907,17.902063,261.118,-2.28,249.02,-5.7868699335949145,-2.106539621345043,-3.6803303122498714
2020-09-24,51.0,39.065288,43.212241,17.402463,261.303,-1.19,249.53,-6.289111831472894,-2.9430540633706137,-3.3460577681022805
2020-09-25,54.0,43.535206,40.634526,17.08367,261.5808,2.69,254.82,-6.188941103810635,-3.592231471458618,-2.5967096323520167
2020-09-28,54.0,45.17274,38.601736,16.428037,261.8766,0.81,256.82,-5.880386361581657,-4.049862449483226,-1.830523912098431
2020-09-29,56.0,49.121477,37.051004,15.450088,262.204,5.13,261.79,-5.175161006711903,-4.274922160928961,-0.9002388457829422
2020-09-30,55.0,49.208668,35.853784,14.001032,262.607,4.96,261.9,-4.554882896694664,-4.330914308082102,-0.2239685886125624
2020-10-01,64.0,52.943018,34.940088,11.091358,263.1422,4.63,266.63,-3.639680583755876,-4.192667563216857,0.5529869794609814
2020-10-02,53.0,47.611105,33.339697,9.082854,263.689,1.21,259.94,-3.4148391068522415,-4.037101871943935,0.6222627650916932
2020-10-05,63.0,51.327626,31.853621,7.752583,264.3678,1.09,264.65,-2.8240392134735544,-3.794489340249859,0.9704501267763046
2020-10-06,52.0,46.782258,30.120938,7.391764,264.871,-1.24,258.66,-2.8068137789065304,-3.5969542279811932,0.7901404490746629
2020-10-07,51.0,46.383482,28.06221,6.719162,265.431,-3.19,258.12,-2.8044085093294484,-3.4384450842508443,0.6340365749213959
2020-10-08,54.0,51.0744,26.683792,6.503449,266.0404,1.47,263.76,-2.3206504376170756,-3.214886154924091,0.8942357173070152
2020-10-09,53.0,51.631934,25.419338,6.397053,266.6394,-0.08,264.45,-1.8601488094935803,-2.943938685837989,1.0837898763444085
2020-10-12,66.0,59.726132,25.761349,7.214378,267.081,6.61,275.75,-0.5767341571519182,-2.470497780100775,1.8937636229488568
2020-10-13,66.0,59.975085,26.07893,7.581098,267.5646,6.98,276.14,0.46647372325429615,-1.883103479429761,2.349577202684057
2020-10-14,63.0,55.856301,26.075593,7.9902,268.0044,3.06,271.82,0.933870510202155,-1.3197086815033778,2.2535791917055326
2020-10-15,52.0,51.37104,24.945771,8.010281,268.3564,0.86,266.72,0.8825845682358704,-0.8792500315555283,1.7618345997913987
2020-10-16,51.0,50.691997,24.14384,7.849538,268.3694,-3.56,265.93,0.7693253878550195,-0.5495349476734188,1.3188603355284383
2020-10-19,50.0,46.866432,22.68363,7.232481,268.2286,-5.34,261.4,0.31045480051557206,-0.37753699803562063,0.6879917985511927
2020-10-20,53.0,52.154146,21.463447,7.116851,268.3198,-1.57,267.56,0.438798872537177,-0.21426982392106114,0.6530686964582382
2020-10-21,66.0,59.939414,21.664622,7.191962,268.7718,4.5,278.73,1.4254069190209293,0.11366552466733693,1.3117413943535925
2020-10-22,66.0,59.371259,21.666889,6.960505,269.1364,4.58,278.12,2.13348550906926,0.5176295215477216,1.6158559875215384
2020-10-23,69.0,63.450812,21.919878,7.651749,269.6062,8.95,284.79,3.196014484074965,1.0533065140531703,2.1427079700217946
2020-10-26,64.0,56.425369,21.77521,7.554846,269.9236,3.57,277.11,3.3794088151013852,1.5185269742628136,1.8608818408385717
2020-10-27,66.0,60.240339,21.640874,8.078014,270.3662,1.64,283.29,3.9775735039101505,2.010336280192281,1.9672372237178695
2020-10-28,51.0,48.647384,20.246784,7.910828,270.4728,-3.76,267.67,3.15485269310318,2.2392395627744612,0.9156131303287189
2020-10-29,65.0,56.281093,19.499006,8.245948,270.8376,-1.39,280.83,3.5241186938315536,2.49621538898588,1.0279033048456738
2020-10-30,49.0,46.300596,19.011161,8.074512,270.7196,-5.05,263.11,2.3597075127061657,2.468913813729937,-0.10920630102377116
2020-11-02,48.0,45.443519,18.718612,8.222753,270.6066,-7.74,261.36,1.2809271569788052,2.231316482379711,-0.9503893254009057
2020-11-03,51.0,47.786969,18.44696,7.874106,270.4848,-0.89,265.3,0.7354334064006594,1.9321398671839007,-1.1967064607832414
2020-11-04,67.0,58.535979,18.054632,8.133752,270.616,2.33,287.38,2.061038776672433,1.957919649081607,0.10311912759082587
2020-11-05,70.0,61.367688,18.340063,9.268411,270.4314,12.0,294.68,3.6584670436754436,2.2980291280003744,1.3604379156750692
2020-11-06,69.0,60.592404,18.502862,9.961031,270.4352,12.26,293.41,4.767010933279778,2.7918254890562553,1.9751854442235226
2020-11-09,62.0,52.377746,17.62764,9.99326,270.1374,5.08,278.77,4.413340066921023,3.116128404629209,1.2972116622918142
