date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,56.0,56.831395,126.006279,1.269667,75.182,-0.92,77.15,0.0,0.0,0.0
2020-08-11,57.0,56.831395,123.067038,1.245684,75.2078,-0.9,77.15,0.0,0.0,0.0
2020-08-12,60.0,64.043831,120.36149,1.368241,75.243,2.02,78.84,0.13481481481481694,0.02696296296296339,0.10785185185185356
2020-08-13,62.0,66.930848,117.866101,1.538223,75.2712,3.12,79.66,0.3043157117231061,0.08243351271499194,0.22188219900811418
2020-08-14,61.0,66.510047,115.568852,1.673295,75.308,3.18,79.6,0.4288612496230684,0.15171906009660724,0.27714218952646114
2020-08-17,63.0,70.562786,113.454714,1.879638,75.3556,4.76,80.82,0.6188742921415837,0.24515010650560254,0.3737241856359812
2020-08-18,62.0,69.159128,111.405819,1.995479,75.3872,2.27,80.63,0.7455355158567727,0.34522718837583655,0.40030832748093614
2020-08-19,63.0,70.648348,109.524871,2.100322,75.44,1.78,81.08,0.8721728220056235,0.45061631510179395,0.42155650690382956
2020-08-20,63.0,70.64835,107.70695,2.109839,75.5022,1.86,81.08,0.9614507932389955,0.5527832107292343,0.4086675825097612
2020-08-21,62.0,70.211463,105.907484,1.967316,75.6476,0.26,81.03,1.0164526135131382,0.6455170912860151,0.3709355222271231
2020-08-24,63.0,71.789594,104.249186,1.961605,75.8216,1.02,81.45,1.0814659756821925,0.7327068681652507,0.34875910751694184
2020-08-25,63.0,72.716153,102.745751,1.984216,76.044,0.76,81.7,1.140020991903711,0.8141696929129427,0.32585129899076826
2020-08-26,63.0,71.303778,101.083828,1.928575,76.2074,0.59,81.56,1.1617376457307955,0.8836832834765133,0.27805436225428226
2020-08-27,64.0,72.416511,99.568982,1.804003,76.3892,0.99,81.83,1.1870514041909814,0.9443569076194069,0.2426944965715745
2020-08-28,63.0,70.667771,98.06413,1.73236,76.569,0.27,81.67,1.180592936839929,0.9916041134635114,0.18898882337641765
2020-08-31,62.0,66.76133,96.670476,1.749581,76.7096,-0.48,81.31,1.1333608847917844,1.019955467729166,0.11340541706261842
