date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,72.0,55.115651,124.188001,1.108728,48.9446,2.68,50.58,0.0,0.0,0.0
2020-08-11,75.0,60.181034,121.30504,1.138377,49.0862,4.04,51.78,0.09572649572649539,0.01914529914529908,0.0765811965811963
2020-08-12,76.0,62.462121,118.647457,1.190899,49.2222,5.93,52.38,0.2174982345922416,0.05881588623468759,0.15868234835755402
2020-08-13,76.0,61.20351,116.093561,1.157234,49.3276,3.63,52.18,0.2944704147908581,0.1059467919459217,0.1885236228449364
2020-08-14,76.0,61.702149,113.725952,1.149232,49.3998,3.4,52.3,0.3609931153477035,0.1569560566262781,0.2040370587214254
2020-08-17,72.0,55.206981,111.256114,1.126035,49.4348,-0.97,51.28,0.32763063726149966,0.19109097275332243,0.13653966450817723
2020-08-18,71.0,53.083085,108.741743,1.056394,49.4502,-2.79,50.92,0.2690403124103611,0.2066808406847302,0.06235947172563089
2020-08-19,73.0,55.393207,106.453382,1.066906,49.4696,-1.55,51.37,0.25596766117472924,0.21653820478273003,0.03942945639199921
2020-08-20,71.0,51.90681,103.980664,1.067839,49.5118,-2.87,50.8,0.1973384596519523,0.2126982557565745,-0.015359796104622209
2020-08-21,72.0,53.56339,101.716697,1.068442,49.6424,-0.35,51.1,0.17308665265088763,0.20477593513543713,-0.0316892824845495
2020-08-24,75.0,59.865848,99.711571,1.124452,49.7642,2.85,52.37,0.2534239930044677,0.21450554670924327,0.03891844629522445
2020-08-25,74.0,57.739411,97.888631,1.156529,49.8572,1.32,52.05,0.2879512654409808,0.22919469045559077,0.05875657498539005
2020-08-26,73.0,55.484355,96.039418,1.172447,49.9202,1.79,51.71,0.2845985442394934,0.2402754612123713,0.04432308302712207
2020-08-27,75.0,59.944006,94.404545,1.147441,50.0172,2.95,52.61,0.35052335191081596,0.26232503935206025,0.08819831255875571
2020-08-28,76.0,61.244829,92.900868,1.103755,50.1234,0.99,52.89,0.42051545647482413,0.2939631227766131,0.12655233369821106
2020-08-31,74.0,56.777058,91.352243,1.046391,50.23,0.4,52.26,0.4203039662446315,0.3192312914702168,0.10107267477441473
2020-09-01,75.0,58.435638,89.476711,0.958025,50.334,1.68,52.58,0.4408755455087885,0.34356014227793114,0.09731540323085736
2020-09-02,76.0,61.745532,87.841866,0.937184,50.4412,1.22,53.25,0.5054159503965607,0.3759313039016571,0.12948464649490365
2020-09-03,75.0,58.031573,86.468473,0.805993,50.5572,-0.26,52.75,0.5103360288653676,0.40281224889439915,0.1075237799709684
