date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,66.0,51.638034,20.439794,4.766892,201.5002,-2.36,208.25,0.0,0.0,0.0
2020-08-11,62.0,46.377293,19.043022,4.865021,201.9112,-4.49,203.38,-0.3884900284900539,-0.07769800569801077,-0.3107920227920431
2020-08-12,66.0,52.583656,18.254891,4.876162,202.3968,-3.31,209.19,-0.2249595376661091,-0.10715031209163045,-0.11780922557447865
2020-08-13,65.0,52.036637,17.723669,4.801606,202.8636,-1.78,208.7,-0.13336203587908813,-0.112392656849122,-0.020969379029966123
2020-08-14,66.0,52.25496,17.077723,4.661686,203.3832,0.31,208.9,-0.04412340016696703,-0.09873880551269101,0.05461540534572398
2020-08-17,67.0,53.817044,16.799906,4.622831,203.8448,3.39,210.28,0.13638121072048648,-0.051714802266055515,0.188096012986542
2020-08-18,67.0,55.20104,16.773962,4.678141,204.3074,1.1,211.49,0.3727722168491425,0.0331826015569841,0.3395896152921584
2020-08-19,65.0,52.68569,16.749871,4.62381,204.7054,0.48,209.7,0.41093870635910434,0.10873382251740815,0.3022048838416962
2020-08-20,69.0,58.268654,17.307187,4.630381,205.0602,2.72,214.58,0.8254459137374397,0.2520762407614145,0.5733696729760251
2020-08-21,68.0,55.99406,18.057166,4.377516,205.5952,1.3,213.02,1.0163510373103577,0.4049312000712032,0.6114198372391545
2020-08-24,68.0,56.774506,18.61327,4.278329,206.1142,1.04,213.69,1.2077855240149802,0.5655020648599587,0.6422834591550215
2020-08-25,71.0,59.948498,19.34781,4.105148,206.6648,3.23,216.47,1.565772252640926,0.7655561024161521,0.8002161502247738
2020-08-26,72.0,64.653864,20.955907,4.419255,207.2164,3.06,221.15,2.2017359602237434,1.0527920739776704,1.148943886246073
2020-08-27,74.0,69.178349,23.466879,5.177299,207.8632,6.37,226.58,3.1080695093530437,1.463847561052745,1.6442219483002987
2020-08-28,75.0,70.899685,25.798496,5.983143,208.515,7.12,228.91,3.9686092471682457,1.9647998982758454,2.0038093488924003
2020-08-31,71.0,65.210227,27.222275,6.488848,209.1226,4.19,225.53,4.327965346628389,2.4374329879463543,1.8905323586820346
2020-09-01,72.0,66.692035,28.544355,7.074947,209.6566,2.77,227.27,4.698994024591428,2.889745195275369,1.8092488293160591
2020-09-02,74.0,70.139836,30.373715,7.933178,210.2514,2.24,231.65,5.285537928698204,3.3689037419599366,1.9166341867382677
2020-09-03,63.0,51.376152,29.023924,7.938701,210.6406,-5.07,217.3,4.5401174783123395,3.6031464892304172,0.9369709890819222
2020-09-04,61.0,48.411752,27.646726,7.909605,210.9188,-5.0,214.25,3.6610545331004687,3.614728098004428,0.04632643509604062
2020-09-08,46.0,39.164098,26.748479,8.269612,211.0454,-10.83,202.66,2.006050179637043,3.292992514330951,-1.286942334693908
2020-09-09,51.0,47.244947,25.151783,7.847653,211.3024,-8.79,211.29,1.3749664248763906,2.9093872964400393,-1.5344208715636487
2020-09-10,48.0,43.023173,24.017793,8.05792,211.3396,-5.49,205.37,0.3926077403787076,2.4060313852277733,-2.0134236448490657
2020-09-11,48.0,42.106,23.336953,8.327475,211.3262,-4.77,204.03,-0.48841524879046005,1.8271420584241267,-2.3155573072145867
2020-09-14,49.0,43.443188,22.605519,8.502981,211.3092,1.36,205.41,-1.063023969663277,1.249108852806646,-2.3121328224699234
2020-09-15,51.0,46.68188,21.820325,8.555425,211.2708,-1.19,208.78,-1.2322698453367025,0.7528331131779764,-1.9851029585146789
2020-09-16,48.0,43.699103,21.424855,8.815879,211.2068,-0.16,205.05,-1.6483767867294148,0.27259113319649814,-1.9209679199259129
2020-09-17,48.0,42.039444,21.680661,9.143286,211.0084,-0.55,202.91,-2.1263138287125685,-0.20718985918531518,-1.9191239695272533
2020-09-18,46.0,40.107716,22.355745,9.667946,210.7298,-2.44,200.39,-2.6775600715345433,-0.7012639016551608,-1.9762961698793826
2020-09-21,47.0,42.533897,22.982609,9.990134,210.5072,-2.99,202.54,-2.907424676918879,-1.1424960567079046,-1.7649286202109744
2020-09-22,50.0,47.711457,22.43153,10.079165,210.5142,1.16,207.42,-2.6650972346767787,-1.4470162923016794,-1.2180809423750993
2020-09-23,46.0,42.006927,22.205561,10.413996,210.359,-1.14,200.59,-2.989711378393906,-1.7555553095201248,-1.2341560688737814
2020-09-24,48.0,44.716675,22.112047,10.399758,210.262,1.4,203.19,-3.002560506623638,-2.0049563489408273,-0.9976041576828107
2020-09-25,51.0,49.263088,21.306279,9.832954,210.34,2.61,207.82,-2.6090655443349533,-2.1257781880196527,-0.4832873563153006
2020-09-28,51.0,50.788066,19.896366,8.892626,210.4712,0.97,209.44,-2.1418080605550927,-2.1289841625267405,-0.012823898028352154
2020-09-29,50.0,48.668187,18.804346,8.118569,210.3844,3.33,207.26,-1.9252182022027853,-2.0882309704619493,0.163012768259164
2020-09-30,52.0,51.724136,17.493466,6.938074,210.416,3.51,210.33,-1.4886851997648876,-1.968321816322537,0.47963661655764955
2020-10-01,62.0,53.780095,16.645765,4.474603,210.4302,2.23,212.46,-0.9597925602506905,-1.7666159651081679,0.8068234048574774
2020-10-02,51.0,47.383043,16.100896,3.789184,210.5032,-1.55,206.19,-1.0346511183492453,-1.6202229957563836,0.5855718774071383
2020-10-05,54.0,51.532049,15.594945,3.466897,210.6848,1.51,210.38,-0.747265075624739,-1.4456314117300548,0.6983663361053158
2020-10-06,53.0,47.251385,25.67252,3.373212,210.726,-2.1,205.91,-0.8701704259047176,-1.3305392145649875,0.46036878866026987
2020-10-07,55.0,51.088528,23.903986,3.279758,210.8822,-1.24,209.83,-0.6438407667120316,-1.1931995249943963,0.5493587582823647
2020-10-08,56.0,51.810809,22.456413,3.40292,211.0126,2.13,210.58,-0.3993506831085085,-1.0344297566172187,0.6350790735087102
2020-10-09,64.0,56.621376,14.243164,3.902777,211.2508,2.58,215.81,0.21396035883850573,-0.7847517335260739,0.9987120923645796
2020-10-12,67.0,61.092116,14.814306,4.964975,211.5786,7.52,221.4,1.1379623391806035,-0.4002089189847384,1.538171258165342
2020-10-13,67.0,62.188231,15.532208,5.940287,211.705,6.21,222.86,1.9653945193440165,0.07291176868101257,1.892482750663004
2020-10-14,65.0,59.706791,15.897074,6.443517,211.8564,4.88,220.86,2.431725777086342,0.5446745703620784,1.8870512067242635
2020-10-15,64.0,58.20607,15.542933,6.630282,211.9908,1.78,219.66,2.6736465542111034,0.9704689671318836,1.7031775870792198
2020-10-16,63.0,58.20607,15.537545,6.527361,212.057,-0.79,219.66,2.8327167180073047,1.342918517306968,1.4897982007003367
2020-10-19,60.0,51.412031,14.453648,6.241837,212.0918,-3.88,214.22,2.491102553254933,1.572555324496561,0.918547228758372
2020-10-20,60.0,51.890054,13.563454,6.187201,212.2198,-2.81,214.65,2.22936948909566,1.703918157416381,0.525451331679279
2020-10-21,61.0,52.067214,12.736845,5.607048,212.4482,-2.21,214.8,2.0108678634541093,1.765308098623927,0.24555976483018238
2020-10-22,61.0,52.180993,12.256033,5.159547,212.5622,-2.17,214.89,1.8239407452055048,1.7770346279402425,0.04690611726526228
2020-10-23,62.0,53.934285,11.758169,5.024466,212.7128,0.94,216.23,1.7635968121594487,1.774347064784084,-0.010750252624635248
2020-10-26,50.0,45.659774,12.269599,4.998113,212.7364,-2.13,210.08,1.2056225419705129,1.6606021602213699,-0.454979618250857
2020-10-27,60.0,49.924323,12.744499,4.765111,212.7958,-0.72,213.25,1.0076014181248354,1.530002011802063,-0.5224005936772276
2020-10-28,45.0,38.948389,14.422138,5.333719,212.6196,-5.68,202.68,-0.002216857459387711,1.223558237949773,-1.2257750954091606
2020-10-29,47.0,41.616238,15.979945,5.687426,212.52,-5.32,204.72,-0.6306247160230214,0.852721647155214,-1.4833463631782355
2020-10-30,46.0,39.56277,17.888333,5.974825,212.2778,-3.62,202.47,-1.295267628390235,0.4231237920461242,-1.718391420436359
2020-11-02,46.0,39.432393,19.374807,6.409726,212.064,-5.12,202.33,-1.8124064614028441,-0.023982258643669485,-1.7884242027591746
2020-11-03,50.0,45.134811,19.965831,6.382541,211.9188,1.85,206.43,-1.8698524820092928,-0.3931563033167942,-1.4766961786924986
2020-11-04,63.0,55.977834,18.712514,6.38642,211.9172,5.7,216.39,-1.0990212732877183,-0.534329297310979,-0.5646919759767393
2020-11-05,68.0,61.634593,19.370907,6.718005,211.96,10.28,223.29,0.06785812127517943,-0.4138918135937473,0.48174993486892675
2020-11-06,67.0,61.962621,18.629813,7.047453,211.9028,10.57,223.72,1.0156085515307325,-0.12799174056885138,1.1436002920995838
2020-11-09,63.0,55.615062,18.457591,6.923773,211.6924,5.79,218.39,1.3213889906023724,0.16188440566539336,1.159504584936979
