date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,50.0,45.730176,126.171974,1.004368,50.2428,-4.19,49.15,0.0,0.0,0.0
2020-08-11,45.0,40.750496,122.261632,1.155017,50.2712,-6.44,47.76,-0.1108831908831931,-0.02217663817663862,-0.08870655270655448
2020-08-12,47.0,44.143427,118.630599,1.224027,50.3044,-0.45,48.48,-0.1390579621918704,-0.04555290297968498,-0.09350505921218541
2020-08-13,39.0,36.773071,114.657819,1.517796,50.2488,-5.35,46.14,-0.34621417376200725,-0.10568515713614943,-0.24052901662585782
2020-08-14,38.0,35.308005,110.748877,1.800417,50.1364,-7.22,45.6,-0.5476475113310642,-0.1940776279751324,-0.35356988335593176
2020-08-17,37.0,34.273202,106.916258,2.034221,49.9664,-5.32,45.22,-0.7295380463343974,-0.3011697116469854,-0.42836833468741203
2020-08-18,35.0,32.087763,103.09905,2.269789,49.7804,-8.42,44.4,-0.9291441572762125,-0.42676460077283085,-0.5023795565033816
2020-08-19,34.0,31.174041,99.476275,2.457255,49.5984,-4.53,44.05,-1.1028624019482791,-0.5619841610079206,-0.5408782409403585
2020-08-20,25.0,28.524804,95.481897,2.604019,49.4088,-5.72,42.99,-1.3109566118543299,-0.7117786511772025,-0.5991779606771274
2020-08-21,24.0,27.734587,91.772831,2.849573,49.2916,-5.66,42.66,-1.4853784958336647,-0.866498620108495,-0.6188798757251697
2020-08-24,27.0,34.27102,88.453356,2.863928,49.193,-1.44,43.76,-1.5173571400244938,-0.9966703240916949,-0.520686815932799
2020-08-25,31.0,41.243152,85.644782,2.852077,49.1102,2.38,45.1,-1.4182252271822762,-1.0809813047098111,-0.33724392247246504
2020-08-26,31.0,40.756727,83.080914,2.806375,48.989,4.58,44.96,-1.3355637544177767,-1.1318977946514042,-0.20366595976637258
2020-08-27,30.0,39.537163,80.214057,2.721121,48.8622,4.59,44.62,-1.282702899637414,-1.162058815648606,-0.12064408398880788
2020-08-28,33.0,45.104327,77.731436,2.620724,48.7664,4.41,45.69,-1.141313877805068,-1.1579098280798985,0.016595950274830518
2020-08-31,32.0,44.364295,75.43191,2.473832,48.66,0.91,45.51,-1.0318915515511904,-1.132706172774157,0.10081462122296658
2020-09-01,33.0,45.696928,73.252645,2.191951,48.5522,1.78,45.76,-0.9144593409357427,-1.0890568064064743,0.17459746547073163
2020-09-02,39.0,55.254023,71.702205,1.917468,48.512,7.19,47.83,-0.6469046535198117,-1.0006263758291418,0.3537217223093301
2020-09-03,34.0,48.581662,70.017006,1.808197,48.4728,1.4,46.33,-0.549568022028474,-0.9104147050690083,0.36084668304053436
2020-09-04,35.0,49.241761,67.905134,1.682443,48.4186,2.13,46.48,-0.45507843300217843,-0.8193474506556424,0.364269017653464
2020-09-08,35.0,43.436698,65.738896,1.477969,48.3494,-1.6,45.03,-0.49153156487043503,-0.753784273498601,0.26225270862816596
2020-09-09,32.0,44.024824,63.679517,1.377257,48.2694,-5.6,45.15,-0.504917562033647,-0.7040109312056103,0.1990933691719633
2020-09-10,32.0,42.90387,61.78783,1.167711,48.1364,-3.15,44.87,-0.5319873026938993,-0.6696062055032681,0.13761890280936884
2020-09-11,36.0,48.99743,60.192402,1.165549,48.0642,-0.84,46.09,-0.4498113182802044,-0.6256472280586554,0.17583590977845098
2020-09-14,51.0,60.059774,59.511025,1.444688,48.0482,8.88,49.03,-0.1457724550697037,-0.5296722734608651,0.3838998183911614
2020-09-15,50.0,60.123138,58.894054,1.662004,48.0108,8.64,49.05,0.09569129764587103,-0.4045995592395179,0.500290856885389
2020-09-16,53.0,63.718418,58.660733,1.935242,48.0332,11.9,50.21,0.37631741390284645,-0.24841616461104507,0.6247335785138916
2020-09-17,55.0,65.915209,58.333788,2.200535,48.0586,10.61,50.98,0.6533171640881932,-0.06806949887119743,0.7213866629593906
2020-09-18,53.0,64.602239,58.223655,2.298086,48.0738,3.49,50.74,0.8437492513947973,0.11429425118200154,0.7294550002127957
2020-09-21,49.0,56.563683,56.65936,2.18966,48.0428,0.2,49.15,0.8564951972743913,0.2627344404004795,0.5937607568739118
2020-09-22,50.0,58.487906,55.2068,2.157481,48.0476,-1.02,49.7,0.9005953520544168,0.390306622731267,0.5102887293231497
2020-09-23,50.0,59.021089,54.392633,2.183986,48.0504,-2.22,49.85,0.9368493724427083,0.49961517267355526,0.437234199769153
2020-09-24,49.0,57.022939,53.260138,2.158097,48.0296,-2.5,49.47,0.9242637830324796,0.5845448947453402,0.33971888828713936
2020-09-25,49.0,55.272899,51.35818,2.071536,48.0104,-0.02,49.14,0.8775455715796525,0.6431450301122027,0.23440054146744982
2020-09-28,51.0,57.728429,49.654265,2.052112,48.0154,0.04,49.72,0.8772102711926237,0.6899580783282869,0.1872521928643368
2020-09-29,54.0,61.603328,48.631136,2.049006,48.0054,1.73,50.71,0.9459252321863474,0.7411515090998991,0.20477372308644826
2020-09-30,36.0,44.837246,46.074581,1.991553,47.9142,-5.07,46.96,0.6898366662163369,0.7308885405231867,-0.04105187430684987
2020-10-01,46.0,48.687382,43.700637,1.990532,47.8396,-2.48,47.92,0.5579172864254076,0.6962942897036309,-0.13837700327822333
2020-10-02,35.0,43.970789,41.198133,1.980035,47.7178,-6.38,46.55,0.33891586594617706,0.6248186049521403,-0.2859027390059632
2020-10-05,37.0,48.119118,38.972117,1.942113,47.6694,-6.13,47.6,0.24723195114398777,0.5493012741905098,-0.302069323046522
2020-10-06,37.0,47.117293,37.405863,1.802799,47.584,0.77,47.32,0.15024618369333353,0.4694902560910746,-0.31924407239774105
2020-10-07,47.0,51.362503,36.027348,1.630758,47.5504,1.02,48.41,0.15949954328392124,0.407492113529644,-0.24799257024572274
2020-10-08,52.0,56.502827,35.186144,1.395709,47.5406,7.2,49.9,0.28379206668641643,0.3827521041609985,-0.09896003747458204
2020-10-09,52.0,56.459698,34.655187,1.24764,47.5236,4.81,49.89,0.37714043041559364,0.38162976941191756,-0.004489338996323922
2020-10-12,53.0,59.114711,34.262928,1.293019,47.536,7.1,50.68,0.5089986592015237,0.4071035473698388,0.10189511183168487
2020-10-13,56.0,62.738612,34.624089,1.415273,47.5652,7.11,51.85,0.6998391671198263,0.4656506713198363,0.23418849579999002
2020-10-14,55.0,61.632398,34.731513,1.490863,47.5718,3.47,51.63,0.8238328509063066,0.5372871072371304,0.2865457436691763
2020-10-15,55.0,62.632233,34.048005,1.554771,47.5896,4.11,51.94,0.9363198356289715,0.6170936529154987,0.3192261827134728
2020-10-16,54.0,60.815414,33.662286,1.60154,47.6478,1.84,51.61,0.9874555662734608,0.6911660355870911,0.29628953068636965
2020-10-19,56.0,64.265816,33.871985,1.737347,47.7254,1.5,52.63,1.0976336393849735,0.7724595563466676,0.32517408303830586
2020-10-20,58.0,67.02491,34.140439,1.930053,47.813,3.68,53.53,1.2432417178696724,0.8666159886512687,0.37662572921840376
2020-10-21,57.0,65.689717,34.389717,2.070843,47.924,2.64,53.31,1.3256042669061756,0.9584136443022501,0.36719062260392554
