date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,66.0,47.234407,136.410386,14.367216,472.8308,-5.15,483.38,0.0,0.0,0.0
2020-08-11,54.0,41.65576,131.128625,14.394265,473.651,-7.01,466.93,-1.3122507122507159,-0.2624501424501432,-1.0498005698005728
2020-08-12,64.0,45.269654,126.235537,13.366669,474.6142,-6.6,475.47,-1.6441593818231581,-0.5387919903247462,-1.105367391498412
2020-08-13,68.0,47.665136,121.707136,10.833267,475.8014,-2.71,481.33,-1.4180005402423603,-0.714633700308269,-0.7033668399340913
2020-08-14,68.0,48.227331,117.533946,10.918831,477.1684,-0.14,482.68,-1.1169587066364102,-0.7950987015738973,-0.3218600050625129
2020-08-17,68.0,48.091333,113.61596,10.592539,478.4234,3.3,482.35,-0.8946956323680979,-0.8150180877327375,-0.07967754463536036
2020-08-18,71.0,52.272608,110.061279,10.613917,479.871,3.45,491.87,0.049068264934589934,-0.6422008171992721,0.6912690821338621
2020-08-19,68.0,48.995653,106.760504,10.642803,480.8806,0.66,484.53,0.2023981757565707,-0.47328101860810357,0.6756791943646743
2020-08-20,72.0,54.58104,103.740654,10.549653,482.149,3.15,497.9,1.3867746224033795,-0.10126989040580697,1.4880445128091864
2020-08-21,70.0,52.01626,100.936509,10.371879,483.484,2.06,492.31,1.8529752615436905,0.28957913998409257,1.563396121559598
2020-08-24,69.0,50.418761,97.976804,10.286173,484.8988,-0.62,488.81,1.9179133661517085,0.6152459852176158,1.3026673809340927
2020-08-25,70.0,51.234415,95.228507,10.286401,486.2004,1.25,490.58,2.088130817156241,0.9098229516053409,1.1783078655509
2020-08-26,83.0,68.939605,93.327748,16.202446,488.4284,9.97,547.53,6.740715648374589,2.076001490959191,4.664714157415398
2020-08-27,75.0,60.15869,91.562757,17.671565,489.9984,6.9,526.27,8.613131505900355,3.3834274939474236,5.229704011952932
2020-08-28,75.0,59.248882,89.923837,18.70706,491.4788,7.18,523.89,9.792111092213645,4.665164213600669,5.126946878612976
2020-08-31,76.0,60.771003,88.143076,20.049508,492.9956,7.95,529.56,11.0565297300123,5.943437316882996,5.113092413129305
2020-09-01,81.0,67.075291,86.783099,23.6831,494.7658,1.65,556.55,14.074219207147792,7.569593694935955,6.504625512211836
2020-09-02,80.0,65.516685,85.520264,26.302897,496.4974,5.05,552.84,15.982161456104166,9.252107247169597,6.730054208934568
2020-09-03,73.0,55.394775,83.390695,26.745,497.8554,0.36,525.75,15.133829469319437,10.428451691599566,4.705377777719871
2020-09-04,71.0,52.280226,79.654219,26.788569,498.8582,-2.55,516.05,13.522927434438941,11.047346840167442,2.4755805942714986
2020-09-08,69.0,49.490576,76.184634,26.333768,500.1306,-8.9,507.02,11.386375385065946,11.115152549147144,0.2712228359188025
2020-09-09,58.0,47.429118,72.846462,24.819946,501.1896,-9.52,500.19,9.03783602575595,10.699689244468907,-1.661853218712956
2020-09-10,54.0,42.039546,69.095118,24.50649,501.7022,-8.57,480.67,5.537666031701008,9.667284601915327,-4.129618570214319
2020-09-11,55.0,42.529547,65.516385,24.46894,501.63,-6.59,482.03,2.84075032659581,8.301977746851424,-5.461227420255614
2020-09-14,53.0,40.947866,61.926337,24.837922,501.6174,-6.07,476.26,0.2351240581903653,6.688607009119212,-6.453482950928847
2020-09-15,59.0,48.06095,58.892223,24.3157,501.661,-0.84,495.99,-0.2350973664371736,5.303866134007936,-5.538963500445109
2020-09-16,56.0,44.511109,56.323539,24.647217,501.475,0.66,483.86,-1.5684606208725427,3.9294007830318405,-5.497861403904383
2020-09-17,52.0,40.851775,52.929895,25.510211,500.8234,-2.45,470.2,-3.6849308558760754,2.406534455250257,-6.091465311126333
2020-09-18,53.0,40.788327,49.560918,26.718383,500.0674,-1.32,469.96,-5.320285816566809,0.8611704008868442,-6.181456217453653
2020-09-21,59.0,47.188684,46.778073,26.86521,498.8398,-1.74,487.35,-5.153680320622982,-0.341799743415121,-4.8118805772078606
2020-09-22,60.0,48.505444,44.360049,26.79644,498.1532,1.51,491.17,-4.6596882047624035,-1.2053774356845777,-3.454310769077826
2020-09-23,55.0,42.380647,41.579805,27.697634,497.0678,0.09,470.61,-5.859669444988299,-2.136235837545322,-3.723433607442977
2020-09-24,56.0,43.306817,38.936792,26.673575,496.0642,0.66,473.08,-6.53601179052157,-3.0161910281405717,-3.5198207623809985
2020-09-25,57.0,46.950317,36.859361,26.288954,495.174,-0.92,482.88,-6.209658792970515,-3.6548845811065607,-2.5547742118639545
2020-09-28,58.0,49.70994,35.259847,25.693922,495.1272,-0.11,490.65,-5.263374720325373,-3.9765826089503236,-1.2867921113750498
2020-09-29,59.0,50.715544,33.970536,24.597087,494.9486,4.86,493.48,-4.236247601069806,-4.02851560737422,-0.20773199369558615
2020-09-30,67.0,53.055302,33.145813,20.266664,495.1472,5.7,500.03,-2.8607349281365373,-3.7949594715266834,0.9342245433901462
2020-10-01,75.0,61.346386,33.313554,16.981806,495.901,9.24,527.51,0.4416836609494794,-2.9476308450314512,3.3893145059809306
2020-10-02,68.0,52.467441,33.406307,15.314257,496.4106,2.53,503.06,1.0735878699376258,-2.143387102037636,3.2169749719752616
2020-10-05,73.0,57.260112,33.418092,15.731097,497.2146,5.51,520.65,2.9596257787467835,-1.122784525880752,4.082410304627535
2020-10-06,65.0,52.472577,33.461593,15.671987,497.419,1.17,505.87,3.2245315388822178,-0.25332131292815807,3.477852851810376
2020-10-07,75.0,59.564646,34.046353,18.336487,498.342,1.36,534.66,5.691970165325813,0.9357369827226363,4.756233182603177
2020-10-08,74.0,58.625485,34.589345,20.061033,499.2882,5.71,531.79,7.331336950541413,2.214856976286392,5.1164799742550215
2020-10-09,76.0,60.417016,35.419191,22.070286,500.361,3.61,539.44,9.142449537812467,3.6003754885916073,5.54207404922086
2020-10-12,75.0,60.506091,36.435322,23.332972,501.3796,6.71,539.81,10.48674060148278,4.977648511169842,5.5090920903129375
2020-10-13,79.0,63.884005,37.561133,26.037865,502.489,3.63,554.09,12.559598379555212,6.494038484846916,6.065559894708295
2020-10-14,75.0,59.068131,39.022361,26.876744,503.1252,1.82,541.45,13.03218383668252,7.8016675552140375,5.230516281468483
2020-10-15,76.0,59.196545,39.81985,26.593583,503.9218,0.46,541.94,13.293016501535135,8.899937344478257,4.393079157056878
2020-10-16,73.0,54.970399,40.089956,25.289864,504.356,-1.67,530.79,12.456426520989112,9.611235179780428,2.845191341208684
2020-10-19,73.0,54.943881,39.914947,24.851788,505.0758,-4.22,530.72,11.653440906361993,10.019676325096741,1.6337645812652521
2020-10-20,72.0,52.86432,39.466112,24.312217,505.9166,-2.96,525.42,10.468726354658543,10.109486331009103,0.3592400236494395
2020-10-21,53.0,41.309683,36.676781,22.844763,506.359,-9.76,489.05,6.519918926917512,9.391572850190785,-2.871653923273273
2020-10-22,53.0,40.313031,34.428137,21.783893,506.5542,-8.58,485.23,3.0470935185516055,8.12267698386295,-5.075583465311345
2020-10-23,52.0,41.526072,32.376322,21.371201,506.6932,-8.0,488.28,0.5347990417002393,6.605101395430409,-6.0703023537301695
2020-10-26,52.0,41.514156,30.083034,21.535162,506.8044,-7.08,488.24,-1.4428083010374735,4.995519456136833,-6.4383277571743065
2020-10-27,52.0,41.824278,27.953552,21.821206,506.936,-0.02,488.93,-2.9207307684127954,3.4122694112269074,-6.333000179639702
2020-10-28,51.0,40.913454,26.210599,22.593325,506.8234,0.21,486.24,-4.25994944492146,1.877825639997234,-6.137775084918694
2020-10-29,56.0,48.916699,25.744751,22.65594,507.217,3.26,504.21,-3.8271441408194278,0.7368316838339016,-4.56397582465333
2020-10-30,47.0,39.734114,24.793739,24.195973,506.7738,-2.56,475.74,-5.715548598963835,-0.5536443727256458,-5.161904226238189
2020-11-02,50.0,43.118795,23.910657,25.073041,506.61,-0.98,484.12,-6.461443275869385,-1.7352041533543936,-4.726239122514992
2020-11-03,51.0,44.363618,23.600924,25.671731,506.5782,0.2,487.22,-6.724905563748393,-2.7331444354331937,-3.9917611283151997
