date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,81.0,67.496605,138.446643,2.240173,98.8132,8.3,105.41,0.0,0.0,0.0
2020-08-11,79.0,66.4869,134.966266,2.641978,98.9248,4.14,105.12,-0.023133903133896183,-0.004626780626779237,-0.018507122507116947
2020-08-12,78.0,66.672046,131.436722,2.98735,99.0144,4.75,105.22,-0.0330179138156268,-0.010305007264548749,-0.02271290655107805
2020-08-13,79.0,69.06468,128.177124,3.355538,99.0626,4.57,106.52,0.06331817939744155,0.004419630067849312,0.058898549329592244
2020-08-14,77.0,68.696985,125.150354,3.57546,99.1656,0.97,106.43,0.13089411363107217,0.029714526780493886,0.10117958685057829
2020-08-17,76.0,65.484762,122.258063,3.616899,99.2246,0.51,105.66,0.12092204941376394,0.0479560313071479,0.07296601810661604
2020-08-18,78.0,68.208381,119.582947,3.8299,99.2782,1.66,106.97,0.21623257403651053,0.08161133985302044,0.1346212341834901
2020-08-19,79.0,70.889903,117.156417,4.113349,99.3934,1.76,108.39,0.40171822638724564,0.14563271715986548,0.25608550922738016
2020-08-20,78.0,69.207603,114.903211,4.275427,99.5112,1.48,108.01,0.5121503673869796,0.21893624720528831,0.2932141201816913
2020-08-21,80.0,72.433496,112.834576,4.508618,99.8028,3.87,109.75,0.7316382229578551,0.32147664235580165,0.41016158060205343
2020-08-24,82.0,75.70948,110.964787,4.759588,100.1108,4.54,111.83,1.0611898109639952,0.4694192760774404,0.5917705348865548
2020-08-25,81.0,74.247593,109.235065,4.793806,100.3842,2.88,111.51,1.2817651028666575,0.6318884414352839,0.6498766614313736
2020-08-26,81.0,74.281016,107.628895,4.767843,100.634,3.26,111.53,1.4415689343816638,0.7938245400245598,0.647744394357104
2020-08-27,79.0,70.863651,105.845749,4.571949,100.8666,0.99,110.84,1.4953004954332272,0.9341197311062933,0.5611807643269339
