date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,84.0,56.605771,115.912291,9.285528,413.0174,0.12,438.68,0.0,0.0,0.0
2020-08-11,78.0,47.477598,112.285802,8.57069,413.7772,-3.3,421.36,-1.3816524216524613,-0.2763304843304923,-1.105321937321969
2020-08-12,81.0,50.350062,108.918348,8.40364,414.4618,-0.74,427.13,-1.9881134081703635,-0.6186870690984665,-1.369426339071897
2020-08-13,85.0,55.480591,105.86689,7.168024,415.4684,1.67,438.42,-1.5399775610471238,-0.802945167488198,-0.7370323935589258
2020-08-14,84.0,54.047541,103.062039,6.540278,416.644,-0.67,435.73,-1.3859112698702916,-0.9195383879646168,-0.4663728819056747
2020-08-17,87.0,57.000041,100.479649,5.949572,417.6822,4.99,442.37,-0.7197235913714053,-0.8795754286459745,0.1598518372745692
2020-08-18,84.0,54.290136,97.993796,5.956937,418.701,2.45,437.58,-0.5716879618765915,-0.8179979352920979,0.2463099734155063
2020-08-19,84.0,54.03025,95.509155,5.785493,419.667,-0.29,437.13,-0.4850881044447988,-0.7514159691226381,0.2663278646778393
2020-08-20,89.0,61.229862,93.340445,6.980505,420.7006,4.04,453.34,0.8813942693772674,-0.424853921422657,1.3062481907999244
2020-08-21,86.0,58.83033,91.326642,7.122291,422.188,1.59,449.42,1.629249185968547,-0.014033299944416211,1.643282485912963
2020-08-24,86.0,58.005987,89.518872,7.466327,423.4474,2.4,448.1,2.091309315081787,0.4070352230608245,1.6842740920209627
2020-08-25,88.0,62.248344,87.843593,8.62068,424.756,4.76,457.93,3.2136491961239244,0.9683580176734445,2.24529117845048
2020-08-26,91.0,71.604205,86.666051,13.655569,426.5408,7.58,487.7,6.43116734570259,2.060919883279274,4.3702474624233165
2020-08-27,87.0,67.290845,85.572619,15.931765,428.1388,6.93,480.55,8.308354872059567,3.310406881035333,4.997947991024234
2020-08-28,89.0,69.327933,84.66248,18.585001,429.8756,8.88,487.87,10.268335357130638,4.701992576254394,5.566342780876244
2020-08-31,87.0,65.80096,83.560886,20.107237,431.5186,5.26,482.02,11.220247869854347,6.005643634974385,5.214604234879962
2020-09-01,88.0,70.055267,82.637808,22.616233,433.406,1.95,497.19,13.04832464911243,7.414179837801995,5.634144811310436
2020-09-02,89.0,70.702097,81.843376,24.662246,435.381,3.98,499.69,14.531309879025628,8.837605846046722,5.693704032978905
2020-09-03,80.0,54.933101,79.593118,24.223843,436.8992,-3.9,468.84,13.06662525996586,9.68340972883055,3.38321553113531
2020-09-04,75.0,48.020175,75.839526,23.590917,437.8734,-6.57,450.35,10.295187165147354,9.805765216093912,0.48942194905344216
2020-09-08,69.0,45.609882,72.23212,23.436601,438.7368,-10.87,443.14,7.431351767039928,9.330882526283116,-1.8995307592431878
2020-09-09,77.0,51.127883,69.208573,21.939996,440.0098,-8.3,458.2,6.304285836704651,8.725563188367424,-2.4212773516627735
2020-09-10,76.0,49.262334,66.572656,20.745387,440.9682,-3.38,452.98,4.93300300425733,7.967051151545405,-3.0340481472880754
2020-09-11,74.0,46.769689,63.497933,20.409976,441.5504,-0.99,445.9,3.2376332294994654,7.021167567136217,-3.783534337636752
2020-09-14,78.0,51.325181,60.812334,19.602737,442.4274,3.37,458.06,2.8424844517887777,6.185430944066729,-3.3429464922779513
2020-09-15,82.0,56.560136,58.705455,19.23322,443.5778,3.44,473.96,3.7688780367529375,5.702120362603972,-1.933242325851034
2020-09-16,76.0,50.019765,56.316312,18.392523,444.4632,0.67,456.01,3.0198259675738086,5.1656614835979395,-2.145835516024131
2020-09-17,76.0,49.264434,53.282602,17.49268,445.0352,1.77,453.8,2.2222515433728063,4.576979495552913,-2.3547279521801068
2020-09-18,75.0,49.008388,50.562841,17.501275,445.5696,-1.09,453.09,1.5154083159404195,3.964665259630414,-2.4492569436899947
2020-09-21,78.0,52.31285,48.263751,17.145185,446.349,-2.55,461.88,1.6455407352917746,3.5008403547626865,-1.855299619470912
2020-09-22,80.0,55.390669,46.500461,16.674133,447.723,3.19,470.57,2.421963106746034,3.285064905159356,-0.863101798413322
2020-09-23,77.0,51.250429,44.95687,16.614235,448.6678,1.47,460.47,2.1969725076660893,3.0674464256607026,-0.8704739179946133
2020-09-24,77.0,51.107868,43.142748,15.980814,449.399,1.55,460.12,1.9677408701230092,2.847505314553164,-0.8797644444301547
2020-09-25,82.0,58.208202,42.17207,15.954407,450.7208,3.92,479.97,3.3491948193969847,2.9478432155219285,0.4013516038750562
2020-09-28,83.0,59.559184,41.53216,15.718371,451.9688,2.9,484.21,4.731596690544393,3.3045939105264215,1.4270027800179714
2020-09-29,84.0,60.773409,40.983391,16.080639,452.743,5.97,487.98,6.061494490553969,3.855974026531931,2.2055204640220376
2020-09-30,83.0,59.25883,40.625458,15.079982,453.6986,5.41,485.0,6.796639553347234,4.444107131894992,2.352532421452242
2020-10-01,85.0,61.843099,40.368539,14.322232,454.717,2.61,492.52,7.895039365469017,5.134293578609797,2.7607457868592205
