date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,84.0,66.639297,134.849604,0.420041,9.856,-0.53,11.17,0.0,0.0,0.0
2020-08-11,80.0,57.866976,130.623273,0.419915,9.8968,-3.9,10.85,-0.02552706552706674,-0.005105413105413348,-0.02042165242165339
2020-08-12,86.0,66.59765,126.780219,0.444516,9.949,0.88,11.44,0.0018295306044571191,-0.003718424363439255,0.005547954967896374
2020-08-13,86.0,66.59765,123.272635,0.453668,10.0024,2.14,11.44,0.02324191184021629,0.0016736428772918537,0.021568268962924436
2020-08-14,86.0,68.154245,120.015592,0.467109,10.0582,3.49,11.56,0.04932577848543751,0.011204069998920986,0.038121708486516526
2020-08-17,92.0,75.987385,117.163685,0.565672,10.1266,13.73,12.34,0.13142196142986506,0.0352476482851098,0.09617431314475526
2020-08-18,90.0,73.977532,114.53618,0.619765,10.1956,7.17,12.26,0.18786288013071406,0.06577069465423066,0.1220921854764834
2020-08-19,89.0,70.946239,112.096355,0.651394,10.2574,6.12,12.14,0.22036943603444925,0.09669044293027437,0.12367899310417488
2020-08-20,88.0,70.94624,109.320372,0.649656,10.3128,5.02,12.14,0.2433262027848464,0.12601759490118877,0.11730860788365763
2020-08-21,91.0,76.064793,106.889839,0.682597,10.3904,2.76,12.68,0.30161624849772295,0.16113732562049563,0.14047892287722732
2020-08-24,91.0,76.396514,104.666292,0.714132,10.4662,3.75,12.72,0.3470387487172406,0.19831761023984462,0.148721138477396
2020-08-25,91.0,76.657804,102.60157,0.711603,10.5378,5.02,12.75,0.3810644825220777,0.23486698469629125,0.14619749782578645
2020-08-26,91.0,76.841861,100.725118,0.711603,10.6118,5.19,12.77,0.40497564738316605,0.26888871723366625,0.1360869301494998
2020-08-27,88.0,72.530586,98.671052,0.696105,10.6796,-0.39,12.63,0.40792626774574714,0.2966962273360824,0.11123004040966472
2020-08-28,91.0,77.565429,96.899359,0.703004,10.7582,3.38,13.15,0.4470707564315788,0.3267711331551817,0.1202996232763971
2020-08-31,92.0,79.29455,95.43094,0.739887,10.8404,4.86,13.37,0.49019454948821206,0.35945581642178775,0.1307387330664243
2020-09-01,92.0,82.299677,94.217137,0.812743,10.9262,8.22,13.82,0.5542921702649082,0.39842308719041186,0.15586908307449632
2020-09-02,93.0,85.051519,93.316312,0.917194,11.0242,13.62,14.35,0.640473586312007,0.4468331870147309,0.1936403992972761
2020-09-03,84.0,59.88918,90.157363,0.901676,11.0998,-0.99,13.02,0.5945989283852402,0.4763863352888328,0.11821259309640741
2020-09-04,80.0,54.652325,85.281862,0.860127,11.1624,-5.61,12.62,0.5199723567516159,0.48510353958138946,0.03486881717022644
2020-09-08,73.0,46.825469,80.754611,0.818716,11.2176,-13.82,11.91,0.39894045753152163,0.46787092317141593,-0.0689304656398943
2020-09-09,80.0,54.781656,76.799144,0.726789,11.288,-11.36,12.72,0.3641839500795214,0.447133528553037,-0.08294957847351558
2020-09-10,76.0,50.650528,73.37012,0.681172,11.3442,-5.45,12.31,0.30009627102077907,0.41772607704658543,-0.11762980602580636
2020-09-11,75.0,49.189045,69.738155,0.634491,11.3968,-3.65,12.16,0.23449941396882323,0.381080744431033,-0.14658133046220978
2020-09-14,82.0,55.704194,67.002725,0.581853,11.462,8.06,12.87,0.23707168364072295,0.352278932272971,-0.11520724863224807
2020-09-15,82.0,56.714418,64.462683,0.576931,11.525,2.12,12.99,0.2459579726014347,0.33101474033866374,-0.08505676773722903
2020-09-16,77.0,51.641064,61.541252,0.568412,11.5778,1.62,12.51,0.21182662665781393,0.3071771176024938,-0.09535049094467984
