date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-08-06,88.0,71.684689,131.236619,0.38805,9.756,6.88,11.34
2020-08-07,85.0,67.530484,127.703311,0.415686,9.8102,1.73,11.2
2020-08-10,84.0,66.639297,124.054578,0.420041,9.856,-0.53,11.17
2020-08-11,80.0,57.866976,120.539467,0.419915,9.8968,-3.9,10.85
2020-08-12,86.0,66.59765,117.376551,0.444516,9.949,0.88,11.44
2020-08-13,86.0,66.59765,114.513994,0.453668,10.0024,2.14,11.44
2020-08-14,86.0,68.154245,111.855904,0.467109,10.0582,3.49,11.56
2020-08-17,92.0,75.987385,109.592479,0.565672,10.1266,13.73,12.34
2020-08-18,90.0,73.977532,107.514739,0.619765,10.1956,7.17,12.26
2020-08-19,89.0,70.946239,105.585409,0.651394,10.2574,6.12,12.14
2020-08-20,88.0,70.94624,103.202714,0.649656,10.3128,5.02,12.14
2020-08-21,91.0,76.064793,101.164816,0.682597,10.3904,2.76,12.68
2020-08-24,91.0,76.396514,99.311503,0.714132,10.4662,3.75,12.72
2020-08-25,91.0,76.657804,97.59057,0.711603,10.5378,5.02,12.75
2020-08-26,91.0,76.841861,96.039962,0.711603,10.6118,5.19,12.77
2020-08-27,88.0,72.530586,94.247964,0.696105,10.6796,-0.39,12.63
2020-08-28,91.0,77.565429,92.74179,0.703004,10.7582,3.38,13.15
2020-08-31,92.0,79.29455,91.544635,0.739887,10.8404,4.86,13.37
2020-09-01,92.0,82.299677,90.600069,0.812743,10.9262,8.22,13.82
2020-09-02,93.0,85.051519,89.969443,0.917194,11.0242,13.62,14.35
2020-09-03,84.0,59.88918,86.902519,0.901676,11.0998,-0.99,13.02
2020-09-04,80.0,54.652325,82.034966,0.860127,11.1624,-5.61,12.62
2020-09-08,73.0,46.825469,77.515095,0.818716,11.2176,-13.82,11.91
2020-09-09,80.0,54.781656,73.589894,0.726789,11.288,-11.36,12.72
2020-09-10,76.0,50.650528,70.210687,0.681172,11.3442,-5.45,12.31
2020-09-11,75.0,49.189045,66.613119,0.634491,11.3968,-3.65,12.16
2020-09-14,82.0,55.704194,63.958859,0.581853,11.462,8.06,12.87
2020-09-15,82.0,56.714418,61.494188,0.576931,11.525,2.12,12.99
2020-09-16,77.0,51.641064,58.629803,0.568412,11.5778,1.62,12.51
2020-09-17,77.0,51.127998,55.177561,0.554463,11.6226,2.47,12.46
2020-09-18,73.0,48.335315,52.024032,0.551598,11.6562,-5.28,12.19
2020-09-21,77.0,51.800602,48.942449,0.554433,11.697,-3.62,12.52
2020-09-22,78.0,53.034216,46.270978,0.555226,11.7488,1.04,12.64
2020-09-23,72.0,47.37573,43.790325,0.574041,11.7836,-2.73,12.12
2020-09-24,75.0,49.920861,41.344216,0.580805,11.826,1.31,12.35
2020-09-25,79.0,55.196729,39.581129,0.580981,11.8808,2.8,12.87
2020-09-28,79.0,56.799088,38.20827,0.577656,11.9376,3.16,13.04
2020-09-29,81.0,58.581997,37.495761,0.570811,11.992,9.16,13.23
2020-09-30,83.0,61.297951,37.074207,0.546219,12.056,9.55,13.53
2020-10-01,83.0,62.0133,36.86719,0.451423,12.1194,5.75,13.61
2020-10-02,77.0,54.548405,35.655436,0.452995,12.178,0.15,13.06
2020-10-05,81.0,60.014659,34.715846,0.497939,12.247,3.1,13.64
2020-10-06,81.0,60.888046,34.546809,0.505733,12.3134,1.55,13.74
2020-10-07,82.0,62.812513,34.389846,0.561614,12.3882,2.57,13.96
2020-10-08,81.0,61.048038,33.973427,0.58126,12.4556,5.97,13.84
2020-10-09,80.0,59.84116,33.312078,0.574824,12.5186,0.88,13.76
2020-10-12,83.0,64.305756,33.48217,0.627913,12.591,3.57,14.23
2020-10-13,83.0,64.486685,33.640113,0.673794,12.6558,2.08,14.25
2020-10-14,81.0,61.950386,33.604685,0.684069,12.7132,1.88,14.1
2020-10-15,80.0,59.7568,32.99917,0.67521,12.7668,1.53,13.97
2020-10-16,77.0,57.077997,32.630408,0.628874,12.8162,-2.95,13.81
2020-10-19,73.0,52.1958,31.20469,0.594591,12.8622,-5.26,13.5
2020-10-20,75.0,54.235604,29.88081,0.564731,12.9118,-3.19,13.65
2020-10-21,73.0,52.158382,28.565012,0.465834,12.9652,-3.22,13.52
2020-10-22,72.0,49.638509,26.642963,0.375397,13.0036,-3.26,13.36
2020-10-23,74.0,53.142977,24.858203,0.332528,13.0466,0.67,13.59
2020-10-26,70.0,46.34751,23.636429,0.323658,13.0782,-3.74,13.14
2020-10-27,72.0,50.301725,22.501924,0.31396,13.0994,-0.89,13.4
