date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,54.0,44.834319,7.523743,0.532085,55.0076,-1.89,54.94,0.0,0.0,0.0
2020-08-11,52.0,39.475052,7.785239,0.490913,55.0318,-2.22,54.27,-0.053447293447284494,-0.0106894586894569,-0.042757834757827594
2020-08-12,52.0,38.730901,8.224564,0.506088,55.0496,-2.01,54.17,-0.10269007556755838,-0.0290895820650772,-0.07360049350248118
2020-08-13,52.0,37.586323,8.963497,0.577594,55.0602,-2.19,54.02,-0.15206615756415687,-0.053684897164893136,-0.09838126039926373
2020-08-14,52.0,39.882239,9.080972,0.620705,55.0872,-1.35,54.2,-0.17465920006787883,-0.07787975774549027,-0.09677944232238855
2020-08-17,51.0,38.1204,9.328085,0.679301,55.0874,-0.52,53.99,-0.20712202026233228,-0.10372821024885868,-0.1033938100134736
2020-08-18,63.0,51.260043,10.5765,0.659494,55.089,1.86,55.18,-0.13526671391596778,-0.11003591098228051,-0.025230802933687277
2020-08-19,67.0,59.247798,11.735743,0.672853,55.1294,4.04,56.2,0.003939200901449169,-0.08724088860553457,0.09118008950698374
2020-08-20,64.0,50.959305,12.307029,0.659739,55.1524,1.96,55.26,0.037973017913365936,-0.06219810730175448,0.10017112521512042
2020-08-21,57.0,50.393931,12.365317,0.649781,55.23,2.22,55.19,0.058620902832529964,-0.03803430527489759,0.09665520810742756
2020-08-24,67.0,56.484499,13.029398,0.676715,55.313,1.5,56.01,0.13954308158307072,-0.002518827903303926,0.14206190948637465
2020-08-25,67.0,57.038692,14.166938,0.70578,55.3698,-0.2,56.09,0.20773518081403353,0.03953197384016357,0.16820320697386995
2020-08-26,71.0,65.354226,15.750355,0.860596,55.4278,4.04,57.49,0.37047559837886723,0.10572069874790431,0.26475489963096294
2020-08-27,70.0,62.470808,17.796984,0.95436,55.541,3.61,57.18,0.4690274856632328,0.17838205613097002,0.2906454295322628
2020-08-28,72.0,66.10714,19.697425,1.099059,55.6248,3.34,57.88,0.596735916035172,0.2620528281118104,0.33468308792336154
2020-08-31,69.0,60.185811,21.200471,1.157633,55.6812,2.01,57.22,0.6373423966281706,0.3371107418150825,0.3002316548130881
2020-09-01,70.0,62.591474,22.75964,1.242262,55.732,0.3,57.66,0.6969931447095448,0.409087222393975,0.2879059223155698
2020-09-02,72.0,68.893747,24.935647,1.443213,55.8088,3.24,59.03,0.8450728687652145,0.49628435166822293,0.34878851709699155
2020-09-03,66.0,54.869514,25.467765,1.463251,55.862,-1.35,57.1,0.7974991725835849,0.5565273158512953,0.2409718567322896
2020-09-04,54.0,47.480852,24.359999,1.455577,55.886,-2.6,55.73,0.6418502747480233,0.5735919076306409,0.06825836711738231
2020-09-08,53.0,45.505929,23.062041,1.444834,55.9088,-4.06,55.32,0.47988204681704616,0.5548499354679219,-0.07496788865087578
2020-09-09,65.0,53.74341,22.99681,1.405675,55.9526,-3.52,56.95,0.47754361129486256,0.5393886706333101,-0.06184505933844753
2020-09-10,67.0,55.434721,23.389595,1.357355,55.9938,0.4,57.33,0.5005828015689957,0.5316274968204472,-0.031044695251451482
2020-09-11,66.0,53.601804,25.250298,1.264612,56.024,2.28,57.0,0.48660401558355204,0.5226228005730682,-0.03601878498951616
2020-09-14,74.0,63.334352,26.978095,1.325139,56.0944,7.48,59.46,0.6663459466139514,0.5513674297812449,0.11497851683270655
2020-09-15,76.0,67.721214,28.641503,1.480635,56.1812,7.01,60.94,0.9176383889128203,0.62462162160756,0.2930167673052604
2020-09-16,74.0,64.842189,30.186096,1.593808,56.2636,5.41,60.43,1.063378753803235,0.712373048046695,0.3510057057565401
2020-09-17,74.0,63.418898,30.932744,1.692746,56.334,5.58,60.18,1.1455015040301646,0.7989987392433889,0.34650276478677566
2020-09-18,72.0,60.941136,31.62606,1.682136,56.3784,0.49,59.75,1.1624865476093262,0.8716963009165763,0.2907902466927499
2020-09-21,75.0,64.642985,33.155562,1.709896,56.447,-0.2,60.82,1.2479023333467438,0.9469375074026098,0.300964825944134
2020-09-22,75.0,63.432826,34.000932,1.739465,56.5192,0.31,60.62,1.2846480078322173,1.0144796074885314,0.27016840034368594
2020-09-23,70.0,54.339922,34.240038,1.675959,56.5544,-2.03,58.96,1.1663758381802936,1.044858853626884,0.12151698455340965
2020-09-24,71.0,55.739394,33.89078,1.675811,56.608,-0.75,59.3,1.087542932177449,1.053395669336997,0.034147262840452
2020-09-25,72.0,57.788352,33.612733,1.674364,56.6876,-1.68,59.8,1.053271647620491,1.053370864993696,-9.92173732048407e-05
2020-09-28,71.0,56.54793,33.639057,1.680116,56.7812,-1.72,59.58,0.9968679728522716,1.0420702865654112,-0.04520231371313965
2020-09-29,71.0,55.901814,33.589441,1.655138,56.8626,0.86,59.47,0.9325418120184565,1.0201645916560205,-0.08762277963756393
2020-09-30,72.0,57.007931,33.671028,1.646333,56.9384,0.67,59.7,0.8898641439917512,0.9941045021231667,-0.10424035813141552
2020-10-01,71.0,56.874339,33.746788,1.655492,57.0118,-0.2,59.68,0.8446908810763318,0.9642217779137998,-0.11953089683746798
2020-10-02,69.0,51.365115,32.737719,1.60324,57.0732,-1.26,58.83,0.7318663488084027,0.9177506920927204,-0.1858843432843177
2020-10-05,71.0,55.36408,31.909301,1.420427,57.1514,0.15,59.56,0.693364320976741,0.8728734178695245,-0.1795090968927835
2020-10-06,72.0,55.030321,31.728988,1.110186,57.2348,-0.32,59.51,0.6513087228638739,0.8285604788683945,-0.1772517560045206
2020-10-07,75.0,60.560908,31.794604,0.986121,57.3396,1.52,60.59,0.6970907047086214,0.8022665240364399,-0.1051758193278185
2020-10-08,77.0,61.960396,32.101113,0.880359,57.4434,3.5,60.89,0.748947349120229,0.7916026890531979,-0.04265533993296888
2020-10-09,78.0,63.179849,32.435376,0.671118,57.5614,2.67,61.15,0.8017815024441859,0.7936384517313956,0.008143050712790312
2020-10-12,78.0,64.635533,33.02486,0.734982,57.6816,3.28,61.46,0.858768015704328,0.8066643645259821,0.05210365117834592
2020-10-13,76.0,60.559968,33.297543,0.736803,57.7814,0.63,60.97,0.8545407196465575,0.8162396355500973,0.03830108409646027
2020-10-14,76.0,60.476155,33.505525,0.758748,57.8806,0.11,60.96,0.84069265897854,0.8211302402357858,0.019562418742754106
2020-10-15,74.0,56.754458,32.595517,0.764385,57.981,-1.03,60.52,0.7851627805750709,0.8139367483036429,-0.028773967728571992
2020-10-16,73.0,54.854141,32.064177,0.760862,58.0812,-1.9,60.29,0.7143611632438649,0.7940216312916875,-0.07966046804782256
2020-10-19,71.0,49.639927,30.470576,0.751579,58.169,-2.21,59.62,0.5973016492294505,0.7546776348792401,-0.1573759856497896
2020-10-20,71.0,50.620721,28.990803,0.743798,58.2652,-1.98,59.75,0.5091518687426131,0.7055724816519148,-0.19642061290930168
2020-10-21,70.0,49.975689,27.122641,0.707987,58.3732,-1.4,59.67,0.42790458353220373,0.6500389020279725,-0.2221343184957688
2020-10-22,70.0,50.14672,25.575195,0.691834,58.4836,-1.0,59.69,0.3609683391818095,0.59222478945874,-0.23125645027693054
2020-10-23,70.0,52.00232,23.796491,0.690119,58.6012,0.47,59.9,0.3211639501416741,0.5380126215953269,-0.21684867145365283
2020-10-26,55.0,35.617634,24.620073,0.888952,58.667,-3.78,57.49,0.09406747496616674,0.44922359226949493,-0.3551561173033282
2020-10-27,53.0,33.6738,25.384828,1.088414,58.7288,-4.34,57.08,-0.11763566056981745,0.33585174170163246,-0.4534874022714499
2020-10-28,48.0,27.74726,26.831179,1.433541,58.737,-6.87,55.59,-0.4010197620801108,0.1884774409452838,-0.5894972030253947
2020-10-29,50.0,31.494416,28.341171,1.638295,58.7334,-6.48,56.02,-0.5841723229547924,0.033947488165268574,-0.618119811120061
2020-10-30,50.0,32.285978,29.743306,1.792043,58.7504,-2.4,56.11,-0.7138311974525706,-0.11560824895829926,-0.5982229484942714
2020-11-02,51.0,35.326226,30.031328,1.898087,58.7756,-1.1,56.45,-0.7801584501507932,-0.24851828919679808,-0.5316401609539951
2020-11-03,52.0,38.392676,30.263227,1.965614,58.7914,2.18,56.8,-0.7953133239154866,-0.3578772961405358,-0.4374360277749508
