date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-02,69.0,54.959647,119.997312,0.646817,36.9126,2.29,38.42
2020-07-06,72.0,60.564037,116.663852,0.690161,37.0588,3.88,39.32
2020-07-07,70.0,56.52437,113.574187,0.626675,37.1908,1.46,38.84
2020-07-08,75.0,65.049732,110.762773,0.790199,37.344,5.86,40.47
2020-07-09,76.0,68.91584,108.244535,1.050082,37.5274,7.83,41.43
2020-07-10,75.0,69.145562,105.906171,1.202133,37.6982,5.52,41.49
2020-07-13,70.0,58.909019,103.834283,1.189145,37.8468,3.45,40.18
2020-07-14,72.0,62.177257,101.371225,1.250698,38.0156,1.04,40.89
2020-07-15,67.0,56.642239,99.108074,1.261659,38.1778,-3.26,40.08
2020-07-16,66.0,53.358319,96.473591,1.253217,38.3084,-4.65,39.56
2020-07-17,67.0,55.546699,94.058056,1.257277,38.437,-0.52,39.97
2020-07-20,73.0,64.195275,92.113638,1.382262,38.5652,2.54,41.93
2020-07-21,71.0,61.689379,90.322661,1.457756,38.683,3.67,41.55
2020-07-22,72.0,62.437358,88.718833,1.507618,38.79,5.49,41.73
2020-07-23,71.0,60.255429,86.97681,1.447898,38.9046,3.63,41.42
2020-07-24,67.0,54.982292,84.603281,1.378682,38.998,-3.1,40.63
2020-07-27,70.0,58.221898,82.505456,1.285912,39.0918,-0.65,41.28
2020-07-28,69.0,55.070243,80.608296,1.174872,39.165,-2.23,40.8
2020-07-29,71.0,58.216489,78.926633,1.09842,39.2396,0.0,41.42
2020-07-30,73.0,60.791759,77.093514,1.013604,39.3216,3.27,41.96
2020-07-31,75.0,63.857111,75.543149,0.962388,39.393,3.32,42.65
2020-08-03,74.0,61.966781,74.129807,0.946739,39.476,3.92,42.4
2020-08-04,74.0,62.350858,72.487144,0.852675,39.5326,2.56,42.48
2020-08-05,77.0,68.868248,71.528663,1.029972,39.6424,4.91,44.02
2020-08-06,76.0,69.924091,70.638646,1.210512,39.756,3.89,44.31
2020-08-07,73.0,63.742476,69.534587,1.286554,39.8622,2.69,43.54
