date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,57.0,52.160734,131.358266,1.431745,133.6274,-1.08,135.98,0.0,0.0,0.0
2020-08-11,56.0,48.583966,128.422369,1.442301,133.67,-0.83,135.12,-0.06860398860399641,-0.013720797720799283,-0.05488319088319713
2020-08-12,59.0,58.202672,125.706879,1.380233,133.7734,1.43,137.8,0.09221743330004983,0.007466848483370541,0.0847505848166793
2020-08-13,59.0,59.124514,123.185352,1.319346,133.879,0.99,138.1,0.24109783583682542,0.05419304595406152,0.1869047898827639
2020-08-14,58.0,56.700437,120.843935,1.269212,134.0188,1.16,137.56,0.3119175490968473,0.10573794658261867,0.20617960251422865
2020-08-17,59.0,57.938549,118.677379,1.008338,134.1284,2.07,137.92,0.3925664122025978,0.1631036397066145,0.2294627724959833
2020-08-18,59.0,58.611204,116.663316,0.872872,134.2464,0.22,138.11,0.4664358472603567,0.22377008121736297,0.24266576604299372
2020-08-19,64.0,50.945481,114.567956,0.851553,134.316,-1.19,136.45,0.38657360011461606,0.2563307849968136,0.13024281511780245
2020-08-20,64.0,52.044122,112.504085,0.855086,134.3678,-0.61,136.72,0.34113652784813553,0.27329193356707804,0.06784459428105749
2020-08-21,64.0,50.862797,110.486422,0.835962,134.5402,-1.06,136.46,0.28090934555558533,0.2748154159647795,0.006093929590805847
2020-08-24,65.0,55.769745,108.637149,0.834926,134.713,-0.34,137.64,0.32465261475027773,0.2847828557218791,0.03986975902839862
2020-08-25,64.0,54.093537,106.937242,0.833655,134.8494,0.62,137.3,0.3281021548344256,0.29344671554438845,0.03465543929003717
2020-08-26,66.0,58.694311,105.257483,0.868971,134.9854,1.28,138.47,0.42039906339223876,0.31883718511395853,0.10156187827828023
2020-08-27,66.0,58.317733,103.735299,0.90606,135.1182,1.42,138.4,0.4823365380356677,0.3515370556983004,0.13079948233736727
2020-08-28,68.0,63.817723,102.089076,1.089704,135.2614,1.67,139.94,0.6482153396732713,0.4108727124932946,0.23734262717997667
2020-08-31,68.0,64.213975,100.600856,1.240596,135.437,2.01,140.06,0.7803629439229667,0.48477075877922904,0.29559218514373764
2020-09-01,66.0,59.155806,99.032812,1.299474,135.5998,0.52,139.19,0.8056026572932922,0.5489371384820417,0.25666551881125044
2020-09-02,71.0,70.820835,97.722356,1.777736,135.8384,3.53,143.29,1.1432622315031438,0.6678021570862622,0.47546007441688154
2020-09-03,65.0,54.727443,96.03473,1.74503,136.0346,-0.41,139.37,1.0820751488299152,0.7506567554349929,0.3314183933949223
2020-09-04,64.0,52.719789,94.016032,1.725736,136.1816,-0.93,138.76,0.973144241905544,0.7951542527291032,0.17798998917644082
2020-09-08,57.0,43.646015,91.214364,1.754846,136.314,-2.62,135.55,0.6206411753191503,0.7602516372471128,-0.13961046192796245
2020-09-09,63.0,48.302794,88.612814,1.634772,136.4346,-4.31,137.11,0.46183516958544146,0.7005683437147786,-0.23873317412933714
2020-09-10,53.0,42.592922,85.631536,1.798915,136.4846,-3.31,134.76,0.14468704350247208,0.5893920836723173,-0.44470504016984524
2020-09-11,54.0,45.682506,82.863206,1.864289,136.5536,-2.13,135.81,-0.02167900449416038,0.46717786603902184,-0.4888568705331822
2020-09-14,63.0,48.144158,80.451537,1.883435,136.63,0.83,136.67,-0.08317173150584267,0.35710794653004896,-0.44027967803589163
2020-09-15,53.0,45.436659,78.047455,1.947761,136.6764,-1.09,135.62,-0.21416265173999705,0.24285382687603976,-0.4570164786160368
2020-09-16,53.0,43.819088,75.540435,2.038894,136.7046,0.16,134.98,-0.3654043966329823,0.12120218217423537,-0.4866065788072177
2020-09-17,51.0,39.596855,71.971442,2.245327,136.6842,-1.92,133.2,-0.6217287905333535,-0.027384012367282398,-0.5943447781660711
2020-09-18,48.0,35.969241,68.06146,2.596505,136.6594,-3.8,131.47,-0.9534732154919823,-0.21260185299222237,-0.7408713624997599
2020-09-21,47.0,35.503551,64.205203,2.902365,136.595,-3.23,131.24,-1.2208687254681934,-0.4142552274874166,-0.8066134979807768
2020-09-22,48.0,38.875499,61.028667,3.077645,136.5398,-2.1,132.15,-1.343861005643646,-0.6001763831186625,-0.7436846225249835
2020-09-23,47.0,36.293172,57.85469,3.310345,136.4494,-1.65,131.0,-1.5166457151185,-0.7834702495186301,-0.7331754655998699
2020-09-24,47.0,38.511593,54.907424,3.428412,136.4072,0.08,131.58,-1.588466832625926,-0.9444695661400894,-0.6439972664858366
2020-09-25,50.0,45.458727,52.59697,3.422129,136.4006,1.76,133.55,-1.469483755657393,-1.0494724040435501,-0.42001135161384284
2020-09-28,63.0,57.155122,51.52503,3.327587,136.4668,4.4,137.97,-1.0069245499907993,-1.040962833233,0.03403828324220082
2020-09-29,62.0,54.834379,50.710326,3.193461,136.5478,4.7,137.16,-0.6976610748959899,-0.9723024815655981,0.2746414066696081
2020-09-30,64.0,58.092212,49.850242,3.162007,136.6312,5.34,138.6,-0.3325382830137755,-0.8443496418552336,0.5118113588414581
2020-10-01,66.0,62.538075,49.377728,2.889825,136.727,5.43,140.8,0.13281476798240988,-0.648916759887705,0.7817315278701149
2020-10-02,63.0,54.747995,48.338917,2.812166,136.7466,0.07,138.06,0.27731855701949826,-0.4636696965062644,0.7409882535257626
2020-10-05,62.0,54.401747,47.374306,2.766584,136.784,0.56,137.93,0.37700308054405696,-0.29553514109620016,0.6725382216402571
2020-10-06,52.0,48.710725,45.631052,2.767561,136.7446,-2.09,135.7,0.2729154214189293,-0.18184502859317428,0.45476045001210363
2020-10-07,61.0,51.89437,44.012315,2.764317,136.7372,-2.69,137.01,0.2927565383845092,-0.08692471519763759,0.37968125358214677
