date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,63.0,62.65827,136.456274,1.140225,33.6958,0.0,36.39,0.0,0.0,0.0
2020-08-11,61.0,55.705234,132.923841,1.00647,33.74,-1.73,35.82,-0.04547008547008602,-0.009094017094017205,-0.03637606837606881
2020-08-12,64.0,59.983922,129.643724,0.89973,33.781,0.14,36.33,-0.03989285801251441,-0.015253785277716647,-0.024639072734797762
2020-08-13,64.0,58.203146,126.597901,0.740261,33.819,-0.74,36.18,-0.047034427861852635,-0.02160991379454385,-0.025424514067308786
2020-08-14,64.0,56.988489,123.779115,0.623607,33.8578,-0.85,36.08,-0.06007087799610389,-0.02930210663485586,-0.03076877136124803
2020-08-17,67.0,59.449196,121.162679,0.506414,33.9024,1.48,36.35,-0.04806159103009833,-0.033054003513904355,-0.015007587516193972
2020-08-18,67.0,59.541518,118.735838,0.372485,33.9358,0.08,36.36,-0.03730717427861663,-0.033904637666846815,-0.003402536611769813
2020-08-19,67.0,58.25602,116.490407,0.370128,33.9746,0.25,36.27,-0.03563568338467604,-0.03425084681041266,-0.0013848365742633803
2020-08-20,69.0,62.429601,114.415696,0.37816,34.0276,1.72,36.7,0.00038198820897150654,-0.02732427980653583,0.027706268015507338
2020-08-21,69.0,63.876828,112.501938,0.361858,34.1334,1.4,36.86,0.041360141301332476,-0.013587395584962173,0.05494753688629465
2020-08-24,69.0,63.221175,110.727576,0.318708,34.23,1.27,36.82,0.06980330806826629,0.0030907451456835197,0.06671256292258276
2020-08-25,66.0,56.787005,108.489789,0.296065,34.3258,0.39,36.41,0.058585808434749254,0.014189757803496668,0.044396050631252584
2020-08-26,64.0,52.055725,106.125449,0.247802,34.414,-1.72,36.07,0.022007017457653433,0.015753209734328023,0.00625380772332541
2020-08-27,63.0,49.695131,103.92999,0.258017,34.4956,-2.63,35.89,-0.021261346042436458,0.008350298578975127,-0.029611644621411585
2020-08-28,63.0,50.368408,101.574829,0.270582,34.5842,-2.39,35.94,-0.050930162504982945,-0.0035057936378164872,-0.04742436886716646
2020-08-31,70.0,48.684316,99.387894,0.291446,34.667,-1.62,35.82,-0.08316721058811538,-0.019438077027876265,-0.06372913356023911
2020-09-01,65.0,38.698087,96.226759,0.410125,34.7384,-3.08,34.96,-0.17608037121634368,-0.05076653586556975,-0.12531383535077392
2020-09-02,67.0,43.083946,93.175135,0.456373,34.8224,-1.76,35.26,-0.22293734468613735,-0.08520069762968327,-0.13773664705645408
2020-09-03,54.0,36.125408,89.993532,0.57983,34.9024,-3.98,34.51,-0.31693711199510943,-0.1315479805027685,-0.18538913149234093
2020-09-04,54.0,35.793371,86.770895,0.669234,34.979,-3.77,34.47,-0.3901627175848219,-0.1832709279191792,-0.2068917896656427
2020-09-08,53.0,32.496373,83.553043,0.780344,35.0528,-2.57,34.06,-0.4757934602253613,-0.24177543438041563,-0.23401802584494566
2020-09-09,53.0,36.200988,80.586624,0.85115,35.12,-2.72,34.3,-0.5183156265650908,-0.2970834728173507,-0.22123215374774008
2020-09-10,50.0,32.161758,77.133161,0.944307,35.1758,-2.09,33.79,-0.5864077440498932,-0.3549483270638592,-0.23145941698603395
2020-09-11,52.0,38.004458,73.757544,0.987595,35.22,-0.81,34.19,-0.6011647279020949,-0.4041916072315063,-0.19697312067058853
2020-09-14,57.0,48.609987,71.457497,0.985086,35.2674,2.99,35.08,-0.5348784363002324,-0.43032897304525153,-0.10454946325498082
2020-09-15,56.0,48.210805,69.321739,0.970196,35.314,2.16,35.04,-0.4800401344890872,-0.4402712053340187,-0.03976892915506852
2020-09-16,55.0,46.464421,67.224079,0.953758,35.3662,3.2,34.87,-0.44516636373118956,-0.4412502370134529,-0.003916126717736668
2020-09-17,56.0,46.830448,65.038322,0.935356,35.4244,2.08,34.9,-0.41037732551652084,-0.4350756547140665,0.024698329197545665
