date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,79.0,63.225934,134.967076,1.628826,83.0596,-0.14,90.12,0.0,0.0,0.0
2020-08-11,77.0,58.09589,131.653049,1.326535,83.2732,-1.77,89.02,-0.0877492877492898,-0.017549857549857963,-0.07019943019943184
2020-08-12,78.0,58.049777,128.537488,1.139612,83.4718,-0.67,89.01,-0.15629645863263875,-0.04529917776641412,-0.11099728086622462
2020-08-13,78.0,58.157079,125.431572,1.053478,83.6704,-1.86,89.04,-0.20582718842862846,-0.077404779898857,-0.12842240852977146
2020-08-14,78.0,57.785671,122.559143,0.998929,83.8738,-1.28,88.97,-0.24787175236075143,-0.11149817439123588,-0.13637357796951555
2020-08-17,78.0,57.001613,119.897206,0.97386,84.013,-0.21,88.83,-0.2891559918818132,-0.14702973788935136,-0.14212625399246182
2020-08-18,80.0,60.731296,117.430052,0.976997,84.1776,0.82,89.74,-0.24561337621447876,-0.16674646555437686,-0.0788669106601019
2020-08-19,81.0,63.25825,115.167639,0.990987,84.3654,1.54,90.41,-0.15525248500829036,-0.16444766944515957,0.009195184436869203
2020-08-20,81.0,64.822805,113.067671,1.036878,84.5766,2.1,90.84,-0.048385661584546824,-0.14123526787303703,0.0928496062884902
2020-08-21,82.0,68.151416,111.145406,1.105097,84.8946,3.37,91.82,0.1140699483524088,-0.09017422462794787,0.2042441729803567
2020-08-24,82.0,68.736591,109.371136,1.097094,85.2026,2.52,92.0,0.2544090165554138,-0.021257576391275533,0.2756665929466893
2020-08-25,83.0,71.176271,107.745545,1.134552,85.4722,2.61,92.77,0.42288653134060894,0.06757124515510136,0.35531528618550756
2020-08-26,81.0,66.80176,106.143366,1.189271,85.707,1.46,92.17,0.5022021166413708,0.15449741945235526,0.34770469718901553
2020-08-27,82.0,70.510313,104.699296,1.297199,85.989,1.62,93.31,0.6495610268725613,0.2535101409363965,0.39605088593616483
2020-08-28,82.0,71.618481,103.358375,1.472309,86.2452,1.83,93.68,0.787126429169092,0.3602333985829357,0.42689303058615635
2020-08-31,83.0,75.293575,102.173418,1.7437,86.5262,2.45,95.04,0.9944255172456451,0.4870718223154776,0.5073536949301676
2020-09-01,80.0,67.228366,101.061866,1.851489,86.7872,1.84,93.87,1.0521735148298887,0.6000921608183598,0.45208135401152894
