date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-11-09,77.0,95.269308,105.844445,1.421086,10.253103,39.71,14.67,0.0,0.0,0.0
2020-11-10,73.0,84.764185,103.09557,1.586931,10.378,30.6,14.0,-0.0534472934472916,-0.010689458689458321,-0.04275783475783328
2020-11-11,80.0,88.692328,100.742325,1.915353,10.558065,34.34,15.96,0.06164040876291743,0.003776514801016829,0.0578638939619006
2020-11-12,69.0,74.188968,98.758928,2.039373,10.68375,5.42,14.58,0.041020911534301874,0.011225394147673838,0.029795517386628036
2020-11-13,77.0,77.66604,96.917202,2.223829,10.838788,7.7,15.8,0.12172049733485224,0.03332441478510952,0.08839608254974271
2020-11-16,77.0,78.006041,95.226269,2.359134,10.988529,13.79,15.93,0.1939299107417245,0.06544551397643253,0.12848439676529197
2020-11-17,78.0,82.293417,94.079376,2.603187,11.184571,11.84,17.85,0.40145660317455345,0.1326477318160567,0.26880887135849674
2020-11-18,78.0,82.389691,93.078477,2.760443,11.371111,22.77,17.9,0.5634623410843247,0.2188106536697103,0.3446516874146144
2020-11-19,79.0,84.366919,92.14907,2.971293,11.576757,20.13,18.98,0.7701225364143802,0.3290730302186443,0.4410495061957359
2020-11-20,75.0,77.193751,91.376607,3.020506,11.749737,13.94,18.15,0.8570486434517264,0.4346681528652607,0.42238049058646565
2020-11-23,79.0,82.707058,90.862987,3.28802,11.987949,17.87,21.04,1.1459275177009083,0.5769200258323902,0.5690074918685181
2020-11-24,79.0,86.170426,90.618553,3.798827,12.28375,33.07,23.82,1.5809644987485463,0.7777289204156215,0.8032355783329248
2020-11-25,80.0,90.162223,90.661656,4.775448,12.692683,53.06,29.05,2.3209967260793363,1.0863824815483645,1.2346142445309718
2020-11-27,76.0,83.281912,90.815532,5.276469,13.049048,52.4,27.66,2.7634607591609566,1.421798137070883,1.3416626220900736
2020-11-30,76.0,80.659086,89.651809,5.519623,13.376047,28.85,27.11,3.0347535399609633,1.744389217648899,1.2903643223120642
2020-12-01,72.0,74.080855,88.571209,5.550818,13.655455,7.77,25.67,3.097848983152293,2.015081170749578,1.082767812402715
2020-12-02,65.0,62.109966,85.660467,5.324399,13.852222,-22.51,22.51,2.859899840545477,2.184044904708758,0.6758549358367194
2020-12-03,68.0,65.036643,83.329546,5.092719,14.073478,-13.12,24.03,2.762134559693461,2.2996628357056985,0.4624717239877625
2020-12-04,67.0,64.402241,81.165119,4.857505,14.281489,-12.03,23.85,2.6397015384026403,2.367670576245087,0.2720309621575532
2020-12-07,77.0,72.554925,79.705157,4.99367,14.586875,12.74,28.94,2.919736048349691,2.478083670666008,0.44165237768368293
2020-12-08,76.0,71.344951,78.616376,5.050078,14.872653,27.01,28.59,3.0779427322301487,2.598055482978836,0.47988724925131265
2020-12-09,73.0,64.825271,76.656983,4.849553,15.1078,10.82,26.63,3.010464291028452,2.680537244588759,0.3299270464396926
2020-12-10,82.0,65.534778,74.750239,4.736336,15.4586,13.38,27.04,2.955995833778932,2.735628962426794,0.22036687135213784
2020-12-11,80.0,65.824486,73.019016,4.436124,15.8134,-6.01,27.2,2.892398087115872,2.76698278736461,0.12541529975126187
2020-12-14,80.0,65.901655,71.411452,4.149168,16.1742,-4.72,27.24,2.8127998743500484,2.776146204761698,0.03665366958835037
2020-12-15,79.0,62.808839,69.24232,3.744529,16.5222,-0.75,26.43,2.653766518201895,2.7516702674497373,-0.09790374924784251
2020-12-16,78.0,60.871777,67.002044,3.429415,16.8426,-4.14,25.92,2.4582416207273923,2.6929845381052684,-0.23474291737787611
2020-12-17,80.0,63.947479,65.235347,3.06201,17.1872,0.11,27.23,2.3815398734670055,2.630695605177616,-0.24915573171061034
2020-12-18,78.0,59.132809,63.447149,2.690908,17.5066,-4.66,25.97,2.1937930358873032,2.5433150913195535,-0.34952205543225023
2020-12-21,84.0,64.8742,62.230055,2.124428,17.8778,7.87,28.51,2.2243185274030637,2.4795157785362556,-0.2551972511331919
2020-12-22,82.0,63.107463,61.259494,1.792567,18.2408,8.18,28.04,2.1853932740048343,2.420691277629971,-0.23529800362513686
2020-12-23,83.0,64.545505,60.358258,1.731942,18.6252,5.36,28.69,2.181843365798194,2.372921695263616,-0.1910783294654217
2020-12-24,81.0,60.851453,59.156483,1.670154,18.9934,6.85,27.75,2.0792120318380256,2.314179762578498,-0.23496773074047228
2020-12-28,76.0,53.425108,56.718387,1.673478,19.3078,-10.1,25.63,1.8059913339280556,2.2125420768484094,-0.40655074292035387
2020-12-29,75.0,50.394644,53.874586,1.724153,19.6068,-12.05,24.66,1.4939695183697843,2.0688275651526844,-0.5748580467829001
2020-12-30,76.0,51.732125,51.233914,1.742686,19.9174,-12.51,25.1,1.2675824034068093,1.9085785328035094,-0.6409961293967001
2020-12-31,72.0,46.931607,48.171502,1.635109,20.203,-15.14,23.55,0.9521214739810375,1.7172871210390153,-0.7651656470579777
2021-01-04,75.0,46.393204,44.805734,1.691328,20.4864,-8.82,23.37,0.6797561136163353,1.5097809195544794,-0.8300248059381441
2021-01-05,80.0,50.566515,41.764927,1.639294,20.7848,-0.24,24.6,0.5567375992153138,1.3191722554866463,-0.7624346562713324
