date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,49.0,60.003497,121.89566,2.176482,62.95,11.68,64.23,0.0,0.0,0.0
2020-08-11,48.0,60.077108,118.84467,2.295698,62.9528,7.05,64.26,0.002393162393161674,0.0004786324786323348,0.0019145299145293393
2020-08-12,48.0,60.15608,115.80565,2.36887,62.9706,7.38,64.29,0.0066340370613886535,0.0017097133951835986,0.004924323666205055
2020-08-13,46.0,56.204989,112.76016,2.401839,62.8872,3.38,63.3,-0.06909330087161436,-0.012450889458175993,-0.05664241141343837
2020-08-14,46.0,57.243633,109.94219,2.45277,62.8098,-0.92,63.64,-0.10051394112258549,-0.030063499791057893,-0.0704504413315276
2020-08-17,44.0,53.732068,107.325504,2.475316,62.6238,-2.32,62.77,-0.19338750324374843,-0.062728300481596,-0.13065920276215243
2020-08-18,36.0,51.130736,104.657293,2.450403,62.3826,-3.41,62.1,-0.3173951373472974,-0.11366166785473628,-0.20373346949256113
2020-08-19,35.0,49.363728,101.977747,2.39183,62.2046,-2.62,61.64,-0.44763023372644994,-0.18045538102907902,-0.26717485269737096
2020-08-20,34.0,46.897433,99.039234,2.349228,62.0572,-4.16,60.99,-0.5964169305052707,-0.26364769092431733,-0.33276923958095334
2020-08-21,33.0,44.25959,96.266527,2.343033,62.0056,-3.98,60.27,-0.7636268276339067,-0.3636435182662352,-0.39998330936767146
2020-08-24,36.0,50.908951,93.770748,2.351476,61.9358,-0.35,61.88,-0.7574963843286042,-0.442414091478709,-0.3150822928498952
2020-08-25,34.0,47.392074,91.235327,2.351505,61.8138,-1.12,60.95,-0.8182489272167146,-0.5175810586263102,-0.3006678685904044
2020-08-26,34.0,46.719354,88.881008,2.323674,61.6728,-0.36,60.77,-0.8708812736137617,-0.5882411016238005,-0.28264017198996116
2020-08-27,35.0,47.301168,86.827417,2.17257,61.5528,1.05,60.9,-0.8918224991543227,-0.648957381129905,-0.24286511802441768
2020-08-28,45.0,52.998522,84.993362,1.911162,61.46,0.58,62.24,-0.7911716359834813,-0.6774002321006203,-0.113771403882861
2020-08-31,36.0,47.843865,83.423119,1.682841,61.3822,0.08,61.0,-0.8022153000407002,-0.7023632456886363,-0.0998520543520639
2020-09-01,36.0,46.584672,81.521008,1.408228,61.295,-0.15,60.68,-0.8272527542161185,-0.7273411473941327,-0.09991160682198585
2020-09-02,47.0,52.176064,79.876508,1.34481,61.2442,1.81,62.0,-0.7321424661288702,-0.7283014111410802,-0.0038410549877900824
2020-09-03,37.0,47.547005,78.506034,1.284173,61.227,-2.22,60.86,-0.740222525705768,-0.7306856340540178,-0.009536891651750201
2020-09-04,38.0,48.875297,76.942582,1.286037,61.2292,0.28,61.17,-0.7133881276454304,-0.7272261327723004,0.013838005126870057
2020-09-08,37.0,41.81282,74.821073,1.31144,61.2322,-2.36,59.25,-0.837396640530983,-0.749260234324037,-0.08813640620694596
2020-09-09,35.0,43.328584,72.8511,1.258818,61.1854,-3.9,59.58,-0.8986865393383994,-0.7791454953269095,-0.1195410440114899
2020-09-10,36.0,43.108706,71.316841,1.158117,61.1434,-2.2,59.52,-0.9412505735682686,-0.8115665109751813,-0.1296840625930873
2020-09-11,39.0,48.417866,69.892171,1.066917,61.1242,-0.85,60.65,-0.8737295112290724,-0.8239991110259595,-0.04973040020311292
2020-09-14,50.0,53.837271,68.850608,0.924005,61.1278,4.59,61.97,-0.70557221724561,-0.8003137322698897,0.09474151502427963
2020-09-15,48.0,51.497749,67.926811,0.8428,61.0902,3.12,61.44,-0.6080635428455139,-0.7618636943850146,0.15380015153950066
2020-09-16,52.0,57.103533,67.328658,0.912701,61.1284,5.71,62.92,-0.4066756806477656,-0.6908260916375648,0.2841504109897992
2020-09-17,51.0,56.58011,66.827868,0.984352,61.1644,3.56,62.81,-0.2530336156136528,-0.6032675964327824,0.3502339808191296
2020-09-18,49.0,54.337072,66.362848,1.021207,61.2492,0.61,62.35,-0.16647036106427038,-0.51590814935908,0.34943778829480965
2020-09-21,37.0,44.675916,64.074638,1.033487,61.2568,-2.31,60.02,-0.2826219951231437,-0.46925091851189277,0.1866289233887491
