date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,51.0,57.196368,131.357713,1.133263,75.9184,3.11,77.47,0.0,0.0,0.0
2020-08-11,53.0,61.477492,128.29999,1.136509,75.9294,4.08,78.87,0.11168091168090655,0.02233618233618131,0.08934472934472523
2020-08-12,53.0,62.683329,125.460675,1.346449,75.9596,4.8,79.29,0.23141175802145142,0.06415129747323534,0.16726046054821608
2020-08-13,52.0,61.353762,122.824169,1.423953,75.9484,4.26,79.02,0.3010423440942702,0.11152950679744232,0.18951283729682789
2020-08-14,51.0,58.155706,120.122686,1.394489,75.941,1.16,78.37,0.30031368823573246,0.14928634308510036,0.1510273451506321
2020-08-17,52.0,60.151685,117.61496,1.435065,75.8772,0.1,78.95,0.34258823207035505,0.1879467208821513,0.15464151118820374
2020-08-18,51.0,60.292357,115.297619,1.478832,75.7858,-0.38,78.99,0.374996057216336,0.22535658814898823,0.14963946906734776
2020-08-19,49.0,53.391049,112.809891,1.485158,75.691,-1.76,77.63,0.2876233155818113,0.23780993363555286,0.04981338194625845
2020-08-20,49.0,51.478024,110.138555,1.439334,75.6552,-1.47,77.22,0.18318457708659253,0.2268848623257608,-0.043700285239168274
2020-08-21,48.0,50.761422,107.658028,1.409253,75.7452,-2.38,77.07,0.08730596912495514,0.19896908368559968,-0.11166311456064454
2020-08-24,51.0,57.586121,105.458255,1.439875,75.7912,-0.39,78.68,0.13962551024761183,0.18710036899800211,-0.047474858750390286
2020-08-25,57.0,69.143604,103.610225,1.75488,75.9064,6.56,82.72,0.5013046320930243,0.24994122161700658,0.25136341047601773
2020-08-26,56.0,67.62095,101.894198,2.038216,75.9978,6.72,82.41,0.754229247418138,0.3507988267772329,0.4034304206409051
2020-08-27,57.0,69.92198,100.344486,2.342615,76.124,8.23,83.41,1.0235664332436016,0.4853523480705067,0.538214085173095
2020-08-28,58.0,73.184986,98.985396,2.731354,76.2978,8.03,85.0,1.3497586280271605,0.6582336040618375,0.691525023965323
2020-08-31,56.0,70.441762,97.72682,2.908338,76.4792,2.12,84.47,1.5476612464128294,0.8361191325320358,0.7115421138807936
2020-09-01,58.0,73.616698,96.595556,3.129092,76.6922,4.42,86.05,1.8111158762430364,1.031118481274236,0.7799973949688004
2020-09-02,62.0,77.419064,95.673607,3.527221,76.9494,5.92,88.35,2.180362485070205,1.26096728203343,0.9193952030367751
2020-09-03,58.0,68.74426,94.508353,3.607371,77.2062,1.74,86.48,2.2956370363157674,1.4679012328898975,0.8277358034258699
2020-09-04,57.0,67.825154,93.223693,3.600974,77.4546,2.13,86.27,2.343038613088609,1.6429287089296398,0.7001099041589693
2020-09-08,61.0,64.048551,91.732802,3.59054,77.7314,-0.74,85.41,2.284871317248644,1.7713172305934408,0.5135540866552033
2020-09-09,57.0,65.142281,90.17112,3.634776,77.979,-2.82,85.86,2.2491576658954244,1.8668853176538378,0.3822723482415866
2020-09-10,55.0,60.803955,88.746521,3.624207,78.2048,-1.85,84.88,2.117368820352084,1.9169820181934871,0.20038680215859683
2020-09-11,56.0,61.891639,87.18258,3.591879,78.4296,-1.16,85.27,2.0210970032414366,1.937805015203077,0.08329198803835958
2020-09-14,58.0,65.488204,85.881097,3.547801,78.6866,1.43,86.63,2.031127949912687,1.956469602144999,0.07465834776768787
2020-09-15,60.0,68.065678,84.812628,3.550701,78.932,2.15,87.71,2.1019940426048294,1.985574490236965,0.11641955236786439
2020-09-16,69.0,69.583336,83.951732,3.540737,79.2146,4.12,88.38,2.187008855482091,2.0258613632859905,0.16114749219610047
2020-09-17,65.0,61.878659,81.657404,3.268443,79.4668,1.74,86.75,2.098664234739431,2.040421937576679,0.05824229716275209
2020-09-18,62.0,54.678595,79.094958,2.816277,79.6944,-1.94,84.95,1.8619422186619516,2.004725993793733,-0.14278377513178153
2020-09-21,62.0,50.920997,75.272552,2.200755,79.8864,-4.36,83.89,1.570699132348679,1.9179206215047224,-0.34722148915604345
2020-09-22,62.0,51.125737,71.842888,1.654638,80.1124,-5.01,83.95,1.3294038466918607,1.8002172665421503,-0.47081341985028957
2020-09-23,61.0,47.697228,68.800271,1.633339,80.3176,-4.33,82.99,1.0486237357448829,1.649898560382697,-0.6012748246378141
2020-09-24,61.0,47.893224,65.518956,1.579488,80.4662,-2.25,83.04,0.8206777942822185,1.4840544071626014,-0.6633766128803829
2020-09-25,64.0,52.703129,62.645502,1.532173,80.6644,0.49,84.3,0.7332480362213545,1.333893132974352,-0.6006450967529975
2020-09-28,67.0,58.498641,60.442751,1.531361,80.9026,2.53,86.07,0.7975894162452164,1.226632389628525,-0.42904297338330855
2020-09-29,64.0,53.438859,58.196326,1.521001,81.0994,2.18,84.8,0.7375994499819143,1.1288258016992028,-0.3912263517172885
2020-09-30,66.0,56.973318,56.388957,1.519347,81.309,3.47,85.92,0.7715378017701369,1.0573682017133896,-0.28583039994325277
2020-10-01,67.0,59.403129,54.799375,1.409959,81.499,2.89,86.74,0.8547483303589587,1.0168442274425034,-0.16209589708354466
2020-10-02,67.0,58.663485,52.644389,1.413173,81.7232,0.58,86.57,0.8966397891637854,0.9928033397867598,-0.09616355062297444
2020-10-05,70.0,64.051006,51.161786,1.546667,81.977,4.33,88.47,1.070809566983371,1.0084045852260821,0.062404981757288924
2020-10-06,67.0,57.81535,49.97286,1.574401,82.188,1.27,87.01,1.078597175622832,1.0224431033054322,0.056154072317399883
2020-10-07,69.0,61.768739,48.868858,1.684186,82.4642,1.97,88.45,1.1872786675697284,1.0554102161582914,0.131868451411437
2020-10-08,70.0,64.458976,48.053684,1.848743,82.7064,3.42,89.53,1.3450515895501098,1.1133384908366553,0.23171309871345458
2020-10-09,70.0,65.617,47.530641,2.026175,82.9738,1.74,90.01,1.4916252282578313,1.1889958383208905,0.3026293899369408
2020-10-12,70.0,67.449251,47.285722,2.248796,83.2588,4.33,90.78,1.650888048005939,1.2813742802579002,0.3695137677480387
2020-10-13,68.0,64.470159,46.928951,2.373785,83.552,1.93,90.16,1.707394382019345,1.3665783006101893,0.34081608140915565
2020-10-14,66.0,60.523388,45.654041,2.416184,83.8356,-0.25,89.31,1.664401972690598,1.426143035026271,0.23825893766432715
2020-10-15,66.0,58.350995,43.838584,2.461112,84.0966,-1.31,88.83,1.5734603189693246,1.4556064918148817,0.11785382715444293
2020-10-16,65.0,56.92978,42.490451,2.450737,84.3538,-2.49,88.52,1.4595492191139954,1.4563950372747045,0.003154181839290837
2020-10-19,63.0,52.818227,40.496372,2.349114,84.59,-2.84,87.6,1.2802792779838512,1.4211718854165338,-0.14089260743268261
2020-10-20,65.0,56.188702,38.719688,2.246262,84.8108,-0.9,88.51,1.1978281357538805,1.3765031354840032,-0.17867499973012269
2020-10-21,65.0,55.071333,37.06991,2.012892,84.9988,-0.63,88.27,1.100433900265955,1.3212892884403935,-0.22085538817443862
2020-10-22,67.0,59.053878,35.170688,1.74326,85.2002,0.95,89.36,1.0985388849945963,1.276739207751234,-0.17820032275663777
2020-10-23,69.0,63.639401,34.262494,1.632944,85.4358,3.65,90.8,1.1994070196396223,1.2612727701289117,-0.06186575048928944
2020-10-26,67.0,58.092818,32.831459,1.575857,85.6616,1.3,89.66,1.1738261334539146,1.2437834427939123,-0.06995730933999766
2020-10-27,67.0,59.396604,31.502641,1.366901,85.8836,2.02,90.05,1.1715183037249233,1.2293304149801145,-0.057812111255191256
2020-10-28,62.0,47.615662,29.881124,1.261626,86.0472,-2.45,87.17,0.9266159493363801,1.1687875218513677,-0.24217157251498755
2020-10-29,63.0,51.666435,28.271384,1.17792,86.2606,-2.75,88.3,0.8143236095808533,1.097894739397265,-0.28357112981641164
2020-10-30,61.0,47.02282,27.313658,1.142409,86.4554,-3.01,86.96,0.6101706526831379,1.0003499220544394,-0.39017926937130154
2020-11-02,51.0,43.884662,26.520406,1.306273,86.6334,-4.53,85.97,0.3642938841429526,0.8731387144721421,-0.5088448303291895
2020-11-03,63.0,52.270043,24.881779,1.246981,86.8276,1.4,88.39,0.36055232606568666,0.770621436790851,-0.4100691107251644
2020-11-04,65.0,56.335149,24.093751,1.260608,86.969,1.69,89.79,0.465192959183895,0.7095357412694598,-0.2443427820855648
2020-11-05,66.0,58.587057,23.362011,1.309351,87.1332,4.21,90.62,0.6080858431461991,0.6892457616448078,-0.08115991849860871
2020-11-06,65.0,58.670031,22.598027,1.342202,87.278,5.44,90.65,0.7155023665566063,0.6944970826271675,0.02100528392943879
2020-11-09,71.0,69.966582,24.23168,1.988072,87.4956,8.47,95.88,1.208714715478635,0.7973406091974611,0.411374106281174
2020-11-10,68.0,63.01529,24.34037,2.229324,87.6846,4.6,93.92,1.4250068439448427,0.9228738561469374,0.5021329877979053
2020-11-11,68.0,65.146231,24.609198,2.542014,87.8644,4.88,95.04,1.6675718238662967,1.0718134496908092,0.5957583741754875
2020-11-12,65.0,60.117125,24.159101,2.663718,87.968,3.18,93.53,1.718156103589763,1.2010819804706,0.5170741231191629
2020-11-13,67.0,64.126523,24.02039,2.905719,88.1496,-0.33,95.56,1.900144857178347,1.3408945558121497,0.5592503013661974
2020-11-16,69.0,67.924154,24.564645,3.258161,88.3798,4.11,97.78,2.198168583127483,1.5123493612752164,0.6858192218522667
2020-11-17,69.0,69.220285,25.333354,3.623575,88.6436,3.75,98.6,2.4720257064992808,1.7042846303200294,0.7677410761792514
2020-11-18,68.0,66.775135,26.194428,3.822181,88.8846,4.68,97.91,2.6033721626281903,1.8841021367816617,0.7192700258465285
2020-11-19,68.0,66.227444,26.390341,3.989184,89.1422,2.3,97.76,2.664645059451388,2.0402107213156073,0.6244343381357806
2020-11-20,66.0,63.426234,26.57226,4.106754,89.377,-0.79,97.01,2.6224555050028755,2.156659678053061,0.46579582694981436
2020-11-23,66.0,62.929375,26.421067,4.155862,89.582,-1.74,96.88,2.5491451075859004,2.235156763959629,0.3139883436262716
2020-11-24,68.0,66.057161,26.589655,4.261737,89.7938,0.4,98.3,2.57593445311295,2.3033123017902932,0.27262215132265677
2020-11-25,68.0,65.63716,26.746201,4.144731,89.9902,0.45,98.2,2.5595906702282747,2.35456797547789,0.20502269475038482
2020-11-27,68.0,66.68645,27.058728,4.065042,90.2284,1.7,98.66,2.554311744375866,2.3945167292574854,0.15979501511838068
2020-11-30,67.0,63.768879,26.450046,3.760176,90.4898,1.18,98.02,2.4700127370057317,2.4096159308071345,0.06039680619859711
2020-12-01,67.0,65.784037,26.295593,3.236818,90.7884,0.53,98.82,2.4396358766786506,2.415619919981438,0.02401595669721246
2020-12-02,68.0,66.01307,26.124428,2.860889,91.0876,0.72,98.91,2.395213711161091,2.4115386782173687,-0.016324967056277728
2020-12-03,70.0,68.993167,26.734994,2.596129,91.43,1.47,100.11,2.4288406332067467,2.414999069215244,0.013841563991502603
2020-12-04,73.0,73.515589,27.913753,2.493144,91.8148,4.35,102.28,2.600612829872645,2.4521218213467244,0.1484910085259208
2020-12-07,72.0,69.160339,28.73296,2.162658,92.157,2.62,101.41,2.6361538633872783,2.488928229754835,0.14722563363244312
2020-12-08,71.0,68.160651,29.002753,2.245216,92.4598,2.33,101.21,2.6180033470424746,2.5147432532123632,0.10326009383011137
2020-12-09,70.0,64.118348,29.482731,2.096334,92.7718,0.29,100.4,2.509332676435662,2.513661137857023,-0.004328461421361229
2020-12-10,75.0,74.249892,31.016936,2.467519,93.1612,3.04,105.39,2.793658131926776,2.569660536670974,0.22399759525580176
2020-12-11,72.0,64.810766,32.151552,2.307112,93.4864,1.57,103.0,2.7939284103665045,2.61451411141008,0.17941429895642447
2020-12-14,73.0,65.444208,33.205125,2.296239,93.8214,2.08,103.32,2.7878275925017277,2.6491768076284097,0.13865078487331806
2020-12-15,74.0,67.155335,34.225227,2.447544,94.1356,3.76,104.18,2.819881623035002,2.6833177707097287,0.13656385232527324
2020-12-16,71.0,63.568348,34.357532,2.522688,94.4608,-2.01,103.27,2.740267184016517,2.6947076533710863,0.04555953064543061
2020-12-17,71.0,63.328183,34.397078,2.541057,94.756,0.2,103.21,2.6418767581870384,2.6841414743342766,-0.04226471614723826
2020-12-18,71.0,63.501447,34.460949,2.526351,95.031,-0.04,103.28,2.5402674301646755,2.6553666655003565,-0.115099235335681
2020-12-21,70.0,61.969982,32.506573,2.410283,95.2896,-1.19,102.94,2.4045875585783136,2.6052108441159483,-0.20062328553763464
2020-12-22,69.0,59.55861,30.701945,2.221307,95.5222,-0.83,102.41,2.2286037553858193,2.5298894263699223,-0.30128567098410297
2020-12-23,68.0,57.954815,29.026218,2.110195,95.7602,-1.11,102.06,2.037407285586724,2.4313929982132825,-0.39398571262655846
2020-12-24,67.0,57.715761,27.278109,1.96585,96.0142,-1.23,102.01,1.8604025609796082,2.3171949107665477,-0.4567923497869395
2020-12-28,71.0,64.968847,26.734217,1.909197,96.3244,1.36,104.34,1.8863914227719931,2.231034213167637,-0.34464279039564394
2020-12-29,73.0,68.219172,26.835584,1.82904,96.6666,3.14,105.63,1.9881617113811672,2.1824597128103433,-0.1942980014291762
2020-12-30,73.0,69.034683,27.257739,1.79097,97.034,3.83,105.97,2.072361661586271,2.160440102565529,-0.08807844097925788
2020-12-31,74.0,71.383771,27.846079,1.785724,97.4034,4.87,106.98,2.195283426999552,2.1674087674523337,0.02787465954721835
2021-01-04,67.0,54.331935,26.190237,1.642719,97.7,-1.19,103.1,1.95705650899572,2.125338315761011,-0.16828180676529092
2021-01-05,69.0,55.338715,24.652669,1.62538,97.9816,-2.07,103.44,1.7752313566110018,2.055316923931009,-0.2800855673200071
2021-01-06,69.0,57.561281,23.682527,1.569074,98.2494,-1.68,104.19,1.672374255949336,1.9787283903346744,-0.30635413438533843
2021-01-07,67.0,54.301873,22.781681,1.47849,98.5232,-3.39,103.35,1.5057212653346568,1.884126965334671,-0.3784057000000143
2021-01-08,71.0,60.889053,22.479701,1.344009,98.8356,2.49,105.67,1.5430646913164878,1.8159145105310346,-0.27284981921454676
2021-01-11,69.0,56.820958,22.199291,1.310446,99.1842,1.12,104.6,1.4693814530821356,1.746607899041255,-0.2772264459591194
2021-01-12,66.0,50.746871,20.703633,1.316838,99.4746,-1.31,102.82,1.2529130304987177,1.6478689253327476,-0.39495589483402993
2021-01-13,66.0,50.968858,19.580847,1.328586,99.7932,-0.45,102.89,1.0746210979276896,1.533219359851736,-0.4585982619240465
2021-01-14,63.0,47.448655,18.28784,1.394284,100.1102,-3.64,101.82,0.8373311667346712,1.3940417212283234,-0.5567105544936521
2021-01-15,64.0,49.247887,17.160932,1.423491,100.389,-2.17,102.33,0.6825617771477397,1.2517457324122068,-0.5691839552644671
2021-01-19,64.0,50.006899,16.279678,1.441271,100.644,-0.27,102.54,0.5702773633443314,1.1154520585986318,-0.5451746952543004
2021-01-20,68.0,59.154143,16.549281,1.493053,100.9408,2.5,105.46,0.7087408298704787,1.0341098128530013,-0.3253689829825226
2021-01-21,66.0,55.838281,16.799627,1.492587,101.2194,2.71,104.58,0.7389473540163749,0.975077321085676,-0.23612996706930112
2021-01-22,65.0,53.384675,16.150025,1.457657,101.38,1.54,103.91,0.7007450882729529,0.9202108745231314,-0.21946578625017854
2021-01-25,64.0,51.704818,15.037303,1.401047,101.5706,0.89,103.45,0.6261336824822479,0.8613954361149547,-0.23526175363270685
2021-01-26,65.0,55.747261,14.655421,1.33533,101.7636,-0.73,104.69,0.6594594052105265,0.8210082299340691,-0.1615488247235426
2021-01-27,47.0,37.269741,15.563744,1.899593,101.8504,-6.42,97.87,0.13400851099241606,0.6836082861457385,-0.5495997751533225
2021-01-28,48.0,38.175765,16.407186,2.206967,101.9022,-5.54,98.15,-0.25686052021542594,0.4955145248735057,-0.7523750450889317
2021-01-29,46.0,35.530931,17.792167,2.548215,101.8828,-6.42,96.81,-0.6670643421564506,0.26299875146751445,-0.9300630936239651
2021-02-01,49.0,41.314485,18.157569,2.53872,101.8824,-5.84,98.58,-0.8396506488947892,0.0424688713950537,-0.882119520289843
2021-02-02,53.0,49.736997,17.287607,2.54161,101.9572,3.86,101.65,-0.7203988875200338,-0.11010468038796381,-0.6102942071320699
2021-02-03,52.0,48.207967,16.413622,2.548717,102.0224,2.92,101.02,-0.6690147566706344,-0.22188669564449792,-0.44712806102613645
