date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,72.0,48.185469,130.071049,3.007868,193.3602,-3.08,195.64,0.0,0.0,0.0
2020-08-11,60.0,41.933152,126.050593,3.33889,193.529,-5.22,191.04,-0.3669515669515704,-0.07339031339031409,-0.2935612535612563
2020-08-12,71.0,47.223744,122.317312,3.339439,193.7554,-3.92,194.34,-0.3870195858799832,-0.13611616788824793,-0.25090341799173527
2020-08-13,72.0,50.200013,118.901525,3.180944,193.9982,-1.23,196.35,-0.23799003277969177,-0.1564909408665367,-0.08149909191315508
2020-08-14,72.0,49.913467,115.729722,3.184605,194.2724,0.27,196.16,-0.13367354493442463,-0.15192746168011428,0.018253916745689658
2020-08-17,75.0,55.71606,112.820373,3.105663,194.6172,4.8,200.21,0.27265616542794646,-0.06701073625850214,0.3396669016864486
2020-08-18,75.0,55.510854,110.138346,3.117269,194.8826,2.96,200.09,0.5783258112625447,0.062056573245707236,0.5162692380168374
2020-08-19,73.0,52.279488,107.414954,3.061728,195.0546,0.95,198.22,0.6620461798080157,0.18205449455816894,0.4799916852498468
2020-08-20,82.0,69.563869,105.157364,4.836298,195.5694,9.69,215.16,2.0714334066763342,0.559930276981802,1.5115031296945323
2020-08-21,78.0,66.413623,103.06103,5.575566,196.241,6.44,213.1,2.9877176054287133,1.0454877426711844,1.942229862757529
2020-08-24,77.0,66.938048,101.154845,6.303744,196.9244,6.84,213.77,3.7250033155004303,1.5813908572370337,2.1436124582633966
2020-08-25,78.0,68.816354,99.384815,6.998082,197.5668,9.06,216.17,4.451651626063779,2.155443011002383,2.2962086150613956
2020-08-26,78.0,71.437604,97.841658,7.973056,198.2392,2.14,219.77,5.257411395011559,2.775836687804218,2.481574707207341
2020-08-27,76.0,67.053712,96.196501,8.515596,198.8032,1.91,217.17,5.621383733702686,3.3449460969839118,2.276437636718774
2020-08-28,77.0,68.888369,94.668855,9.109573,199.3954,2.68,219.49,6.02755711890282,3.8814683013676934,2.1460888175351265
2020-08-31,78.0,70.278931,93.30377,9.78426,200.1324,2.37,221.3,6.421481484869844,4.389470938068124,2.03201054680172
2020-09-01,79.0,73.162289,92.138859,10.633949,200.7738,2.53,225.34,6.979211612224418,4.907419072899383,2.0717925393250347
2020-09-02,80.0,75.689591,91.149053,11.628985,201.5036,5.61,229.36,7.6573282463373005,5.457400907586967,2.1999273387503333
2020-09-03,70.0,55.346435,88.46144,11.630346,202.0154,-2.14,214.79,6.9390740052993465,5.753735527129444,1.1853384781699026
2020-09-04,67.0,49.61934,84.605967,11.40104,202.4012,-5.57,208.98,5.833785651149412,5.769745551933438,0.06404009921597442
2020-09-08,54.0,41.640577,80.4905,11.221994,202.5726,-11.69,198.99,4.104414027229666,5.436679246992684,-1.332265219763018
2020-09-09,65.0,47.419156,76.716792,10.453124,202.8848,-10.48,205.33,3.2084742759850826,4.991038252791164,-1.782563976806081
2020-09-10,64.0,45.838669,73.381115,9.943908,203.0504,-5.36,203.28,2.3064306044859393,4.454116723130119,-2.14768611864418
2020-09-11,55.0,43.52207,69.799612,9.697257,203.1172,-4.18,200.24,1.3309100002688012,3.8294753785578557,-2.4985653782890545
2020-09-14,67.0,48.416656,66.473931,9.189156,203.2764,3.29,205.54,0.9742381878449464,3.2584279404152743,-2.284189752570328
2020-09-15,70.0,52.903411,63.821121,8.831355,203.5076,2.74,210.95,1.1152589822382595,2.8297941487798712,-1.7145351665416118
2020-09-16,67.0,49.404748,61.469671,8.497471,203.6922,1.76,206.86,0.8867680492730301,2.441188928878503,-1.5544208796054728
2020-09-17,57.0,45.44778,58.073341,8.231106,203.6998,0.81,201.86,0.2987849188954499,2.0127081268818925,-1.7139232079864426
2020-09-18,54.0,42.562249,54.420234,8.777796,203.5674,-3.7,197.93,-0.4787948546926373,1.5144075305669866,-1.993202385259624
2020-09-21,57.0,46.343068,50.946707,9.008681,203.6468,-4.25,201.98,-0.7594765023221441,1.0596307239891607,-1.8191072263113048
2020-09-22,66.0,48.866951,48.047303,9.080372,203.8598,-1.0,204.8,-0.7457715082732079,0.698550277536687,-1.444321785809895
2020-09-23,54.0,43.450297,45.067916,9.381256,203.9114,-1.98,197.86,-1.2801533903343056,0.30280954396248844,-1.5829629342967941
2020-09-24,57.0,46.790863,42.250372,9.233575,204.0546,1.81,201.51,-1.3930719202644184,-0.03636674888289293,-1.3567051713815255
2020-09-25,68.0,52.569395,40.405818,9.0259,204.3602,3.23,208.5,-0.9080585528847109,-0.21070510968325654,-0.6973534432014544
2020-09-28,70.0,55.642027,39.074896,8.717369,204.6874,3.83,212.64,-0.18745766900730132,-0.2060556215480655,0.018597952540764184
2020-09-29,69.0,55.343589,38.102084,8.233562,204.8958,7.31,212.32,0.35372487726706936,-0.09409952178503853,0.4478243990521079
2020-09-30,70.0,56.642729,37.348383,7.321323,205.1816,6.19,213.98,0.9061188964020914,0.10594416185238748,0.8001747345497039
2020-10-01,73.0,59.046535,36.935259,5.759879,205.5102,4.12,217.09,1.5766712601528639,0.4000895815124828,1.176581678640381
2020-10-02,69.0,53.837282,35.546697,5.585584,205.7952,-0.28,212.05,1.6820137530042985,0.656474415810846,1.0255393371934525
2020-10-05,71.0,57.51348,34.333987,6.013775,206.2606,2.03,216.64,2.1115326433807127,0.9474860613248193,1.1640465820558934
2020-10-06,69.0,55.143725,33.448283,5.983548,206.6056,0.17,214.34,2.240511458993211,1.2060911408584976,1.0344203181347136
2020-10-07,71.0,59.226336,32.832558,6.527223,207.0982,1.12,219.53,2.7300474375045383,1.5108824001877057,1.2191650373168326
2020-10-08,70.0,58.672304,32.406671,6.852845,207.5104,3.29,219.03,3.0425893302127633,1.8172237861927174,1.225365544020046
2020-10-09,72.0,61.604257,32.353447,7.20352,207.98,2.85,222.82,3.555121134127063,2.164803255779587,1.390317878347476
2020-10-12,75.0,65.814825,33.023053,8.225122,208.5742,6.81,228.93,4.403570597203753,2.6125567240644205,1.7910138731393328
2020-10-13,74.0,64.874376,33.748212,9.029307,209.0818,3.94,228.18,4.95829800448945,3.0817049801494263,1.8765930243400235
2020-10-14,73.0,63.100639,33.618913,9.502311,209.581,3.55,226.81,5.22712092467637,3.5107881690548153,1.716332755621555
2020-10-15,74.0,64.043436,33.075464,9.686528,210.1104,2.34,228.03,5.475490780382046,3.9037286913202616,1.5717620890617843
2020-10-16,72.0,61.880181,32.915344,9.271294,210.5948,-1.07,226.48,5.484037068694107,4.219790366795031,1.2642467018990757
2020-10-19,71.0,58.960539,32.201435,8.894035,211.1064,-1.67,224.37,5.259917641375125,4.42781582171105,0.832101819664075
2020-10-20,72.0,60.873254,31.515022,8.680736,211.7216,-0.18,226.4,5.186320738018367,4.5795168049725135,0.6068039330458532
2020-10-21,72.0,61.863334,31.064505,7.597289,212.4498,-0.25,227.45,5.153316660026434,4.6942767759832975,0.4590398840431362
2020-10-22,72.0,58.407188,29.925439,6.487513,213.0664,-0.58,225.17,4.886851166898538,4.732791654166346,0.15405951273219198
2020-10-23,73.0,60.061802,28.867735,5.994468,213.6742,1.06,226.74,4.747633459554493,4.735760015243976,0.011873444310516845
2020-10-26,68.0,51.478903,26.848443,5.650386,214.1636,-2.55,220.63,4.097048264802822,4.608017665155746,-0.5109694003529235
2020-10-27,69.0,54.113986,24.973387,5.211733,214.6176,-2.0,222.91,3.7225208527916323,4.430918302682923,-0.708397449891291
2020-10-28,66.0,47.864494,24.120545,4.963603,214.9722,-3.26,217.82,2.9806259191328195,4.140859825972902,-1.1602339068400829
