date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,77.0,48.226151,130.645915,4.053731,338.807,-0.49,344.07,0.0,0.0,0.0
2020-08-11,77.0,47.92053,127.098634,4.382381,339.1352,-1.06,343.71,-0.02871794871794009,-0.005743589743588018,-0.02297435897435207
2020-08-12,79.0,52.821753,123.82485,4.307347,339.5716,-0.96,349.19,0.3862605011323126,0.0726572284315921,0.31360327270072047
2020-08-13,82.0,58.18835,120.807048,4.455568,340.0266,2.55,356.13,1.260602471799757,0.3102462771052251,0.9503561946945319
2020-08-14,81.0,54.4766,118.013398,4.386681,340.5242,2.38,352.27,1.6233421642395456,0.5728654545320893,1.0504767097074563
2020-08-17,83.0,58.107437,115.434206,4.313122,340.9996,3.91,357.14,2.2775303316583404,0.9137984299573396,1.3637319017010008
2020-08-18,83.0,60.199307,113.057356,4.69415,341.5624,3.13,360.12,3.0018369547737507,1.331406134920622,1.6704308198531286
2020-08-19,82.0,58.09223,110.856739,4.801125,342.1724,0.56,358.11,3.3747628053083645,1.7400774689981706,1.6346853363101939
2020-08-20,83.0,60.40171,108.580196,5.216847,342.7732,2.54,361.22,3.876573510937476,2.1673766773860317,1.7091968335514443
2020-08-21,82.0,60.989806,106.485969,5.642433,343.8728,1.36,362.01,4.288572513798556,2.591615844668537,1.696956669130019
2020-08-24,81.0,58.604959,104.559174,5.867947,344.7346,-0.03,360.0,4.402149253774553,2.9537225264897407,1.4484267272848124
2020-08-25,80.0,56.819377,102.658732,5.857815,345.5116,0.11,358.5,4.321308816390854,3.2272397844699636,1.0940690319208901
2020-08-26,82.0,61.762644,100.971872,6.182421,346.3012,0.88,364.41,4.680179598310815,3.517827747238134,1.162351851072681
2020-08-27,81.0,61.21356,99.407193,6.567224,347.0544,0.54,363.98,4.8737087910024,3.7890039559909874,1.0847048350114128
2020-08-28,82.0,63.527937,97.954278,7.040697,347.8548,1.9,366.83,5.197143813299249,4.07063192745264,1.1265118858466092
