date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,44.0,46.540632,127.086365,4.682932,189.5212,-0.86,187.67,0.0,0.0,0.0
2020-08-11,46.0,48.267209,123.865929,4.218974,189.3546,0.51,188.92,0.0997150997151266,0.01994301994302532,0.07977207977210128
2020-08-12,55.0,50.019511,120.875525,4.158266,189.1904,0.84,190.18,0.27721593168888603,0.07139760229219747,0.20581832939668857
2020-08-13,56.0,51.12323,117.974161,3.940641,188.9956,-0.3,190.96,0.4753466013926868,0.15218740211229534,0.3231591992803915
2020-08-14,46.0,47.381677,115.104104,4.062881,188.8014,0.37,188.37,0.4185504411731813,0.20546000992447255,0.21309043124870874
2020-08-17,54.0,48.417693,112.448652,4.11909,188.4414,0.06,189.03,0.4219317920989738,0.2487543663593728,0.173177425739601
2020-08-18,54.0,48.958825,109.982875,4.17934,188.1086,-0.43,189.36,0.44609744547847185,0.28822298218319264,0.1578744632952792
2020-08-19,44.0,44.043295,107.281768,4.358005,187.8166,-2.55,186.1,0.19988993806379085,0.27055637335931226,-0.07066643529552141
2020-08-20,53.0,47.129555,104.748164,4.3841,187.5508,-0.27,187.86,0.14511323068117576,0.24546774482368497,-0.1003545141425092
2020-08-21,54.0,48.721669,102.397377,4.097804,187.6556,-0.13,188.78,0.17393360830814686,0.23116091752057738,-0.05722730921243052
2020-08-24,54.0,48.584664,100.273141,3.870258,187.6738,-0.35,188.7,0.1881497604852882,0.22255868611351956,-0.03440892562823136
2020-08-25,55.0,50.223966,98.2843,3.788014,187.6956,1.86,189.57,0.2665453240373665,0.23135601369828895,0.03518931033907757
2020-08-26,55.0,49.137944,96.234003,2.843774,187.6464,0.61,189.01,0.28025643138971645,0.24113609723657445,0.039120334153142006
2020-08-27,62.0,60.844812,94.584015,2.169574,187.7792,3.93,196.2,0.8613662000402087,0.36518211779730136,0.49618408224290733
2020-08-28,62.0,63.382223,93.08855,2.764839,187.943,5.04,198.21,1.4671773726291804,0.5855811687636772,0.8815962038655032
2020-08-31,62.0,63.272385,91.721868,3.287337,188.164,4.53,198.16,1.9211071816646665,0.852686371343875,1.0684208103207915
2020-09-01,61.0,62.966839,90.452807,3.690593,188.4228,4.77,198.03,2.24448686473616,1.1310464700223322,1.113440394713828
2020-09-02,63.0,67.617436,89.416871,4.335386,188.7192,2.76,201.62,2.7586505837838047,1.4565672927746267,1.302083291009178
2020-09-03,59.0,59.780481,88.190016,4.527535,189.156,-0.04,198.14,2.852440955302228,1.735742025280147,1.116698930022081
2020-09-04,59.0,58.685944,86.615429,4.699355,189.5962,-0.27,197.62,2.8519355089955525,1.9589807220232283,0.8929547869723242
2020-09-08,63.0,62.21091,85.202688,4.885825,190.1226,1.04,200.08,3.0152781307325256,2.170240203765088,0.8450379269674375
2020-09-09,64.0,68.485013,84.204857,5.520875,190.6804,1.88,205.41,3.53407616051814,2.4430073951156985,1.0910687654024414
2020-09-10,61.0,61.05072,83.125428,5.739324,191.1122,1.84,201.78,3.6106948315978116,2.676544882412121,0.9341499491856906
2020-09-11,61.0,61.349458,81.978276,5.934866,191.4758,2.23,202.02,3.648721484647723,2.8709802028592417,0.7777412817884812
2020-09-14,63.0,65.494058,81.098749,6.190578,191.9072,2.71,205.51,3.915338133223628,3.0798517889321193,0.8354863442915086
2020-09-15,73.0,70.38409,80.511675,6.797063,192.4392,2.48,210.5,4.4776692609315205,3.359415283332,1.1182539775995206
2020-09-16,77.0,74.52185,80.157948,7.758485,193.1486,6.95,215.81,5.290804255449871,3.7456930777555746,1.545111177694296
2020-09-17,73.0,66.528924,79.620191,7.798229,193.7446,4.73,211.57,5.529348148528925,4.102424091910245,1.42692405661868
2020-09-18,69.0,58.287803,77.849186,7.48659,194.3168,0.42,206.38,5.239211903522147,4.329781654232626,0.909430249289521
2020-09-21,66.0,53.514753,74.786349,7.032771,194.8172,-3.61,202.91,4.675381946282954,4.398901712642692,0.2764802336402621
2020-09-22,66.0,54.051907,71.959692,6.46849,195.3274,-5.76,203.37,4.217049279542493,4.362531226022653,-0.14548194648015933
2020-09-23,66.0,52.669793,69.521132,5.85083,195.7212,-4.33,202.4,3.7325202753493443,4.236529035887991,-0.504008760538647
2020-09-24,65.0,47.983827,66.370445,5.076856,195.928,-3.6,198.96,3.0359517361627013,3.9964135759429333,-0.960461839780232
2020-09-25,70.0,55.484948,63.822475,4.868755,196.2964,1.03,205.01,2.9382304962168746,3.784776959997722,-0.8465464637808475
2020-09-28,71.0,57.905373,61.961472,4.806105,196.5804,1.91,207.25,3.0068736216585705,3.6291962923298917,-0.6223226706713212
2020-09-29,69.0,54.339924,59.519508,4.643088,196.8616,1.16,204.74,2.8261595618575086,3.4685889462354154,-0.6424293843779068
2020-09-30,72.0,58.335498,57.449063,4.528773,197.1788,4.73,208.37,2.94194017526857,3.3632591920420465,-0.4213190167734764
2020-10-01,72.0,58.657486,55.526506,4.567236,197.4548,1.79,208.67,3.0230567222399714,3.295218698081632,-0.27216197584166046
2020-10-02,72.0,58.061516,53.331064,4.35556,197.7176,0.51,208.3,3.022643114058127,3.2407035812769314,-0.21806046721880445
2020-10-05,76.0,64.165454,51.689875,4.37364,198.0222,4.55,214.06,3.4473601661771056,3.282034898256966,0.16532526792013957
2020-10-06,73.0,58.629352,50.253127,4.241551,198.2872,1.07,210.59,3.4640204187925008,3.3184320023640734,0.14558841642842735
2020-10-07,77.0,65.009806,49.314393,4.826596,198.7496,4.18,217.4,3.9808451703425476,3.4509146359597684,0.5299305343827792
2020-10-08,78.0,66.39493,48.665221,5.292282,199.1032,5.18,219.09,4.475213905370737,3.655774489841962,0.8194394155287745
2020-10-09,79.0,69.362646,48.535932,5.997346,199.5578,4.14,222.93,5.11786503503248,3.948192598880066,1.169672436152414
2020-10-12,80.0,71.28297,48.659627,6.91308,200.2044,7.14,225.63,5.778427999467965,4.314239678997646,1.4641883204703188
2020-10-13,75.0,62.48774,47.693036,7.236394,200.7724,1.2,220.0,5.780995245114326,4.607590792220982,1.1734044528933438
2020-10-14,76.0,63.537631,46.795487,7.518995,201.4108,0.97,221.22,5.814448269536825,4.848962287684151,0.965485981852674
2020-10-15,76.0,64.510854,45.209273,7.918959,202.0982,-0.27,222.33,5.862943393861741,5.0517585089196695,0.8111848849420715
2020-10-16,77.0,66.024165,44.225486,8.278176,202.8074,-0.7,224.05,5.971331956864333,5.235673198508602,0.735658758355731
2020-10-19,74.0,60.887259,42.500378,8.17837,203.3944,0.4,220.89,5.736122632073034,5.335763085221489,0.4003595468515453
2020-10-20,74.0,60.742305,40.898491,8.004559,204.057,-0.19,220.8,5.479293415987826,5.364469151374756,0.11482426461306972
2020-10-21,74.0,60.853821,39.235069,7.656436,204.6966,-0.64,220.9,5.223609062462515,5.336297133592309,-0.11268807112979395
2020-10-22,77.0,64.872761,38.059326,6.971511,205.3858,0.26,224.64,5.262105833205254,5.321458873514898,-0.05935304030964428
2020-10-23,74.0,60.011798,37.184998,6.558209,206.0046,0.46,221.9,5.013724604206459,5.2599120196532105,-0.2461874154467516
2020-10-26,69.0,49.561047,34.531258,6.183146,206.532,-2.74,214.74,4.190819372321869,5.0460934901869425,-0.8552741178650738
2020-10-27,67.0,47.953324,32.067071,5.537319,207.0206,-3.37,213.46,3.3962261636108906,4.716120024871732,-1.3198938612608417
2020-10-28,53.0,38.91493,31.273221,5.874558,207.3324,-8.77,204.95,2.0561177959471877,4.184119579086824,-2.128001783139636
2020-10-29,53.0,39.549357,30.719363,6.166451,207.7182,-7.44,205.39,1.01784351591499,3.550864366452457,-2.533020850537467
2020-10-30,50.0,36.420134,30.939943,6.76713,208.0012,-5.93,202.01,-0.07684822503236433,2.825321848155493,-2.9021700731878575
2020-11-02,51.0,37.630807,31.144767,7.453044,208.2812,-5.0,202.78,-0.8722124297628397,2.0858149925718266,-2.9580274223346663
2020-11-03,55.0,45.573875,30.542769,7.566318,208.6724,1.62,208.26,-1.0482702832723305,1.4589979374029953,-2.507268220675326
2020-11-04,54.0,44.977263,28.953831,7.809192,209.0356,1.14,207.73,-1.2165404501726869,0.923890259887859,-2.1404307100605457
2020-11-05,64.0,48.879896,27.478388,7.870257,209.4674,4.25,210.6,-1.1055664732407706,0.5179989132621331,-1.6235653865029036
2020-11-06,65.0,52.472291,25.606247,7.708109,209.8122,5.26,213.44,-0.7794692950378135,0.2585052716021438,-1.0379745666399574
2020-11-09,77.0,69.478768,26.619001,8.488035,210.535,12.53,234.35,1.1529369761472879,0.43739161251117264,0.7155453636361152
2020-11-10,74.0,64.954005,27.03185,9.048509,211.1832,11.0,230.57,2.3522531490000347,0.8203639198089451,1.5318892291910897
2020-11-11,70.0,59.108602,26.901792,9.200047,211.7274,6.95,225.24,2.8398968382834937,1.2242705035038548,1.615626334779639
2020-11-12,70.0,59.087115,26.598306,9.313242,212.1994,5.52,225.22,3.1879949214738588,1.6170153870978556,1.5709795343760031
2020-11-13,73.0,63.843223,26.768428,9.77623,212.8754,-1.03,231.94,3.960459289540694,2.0857041675864236,1.8747551219542702
2020-11-16,75.0,66.257133,27.23561,10.578863,213.6386,2.26,235.78,4.826857762646739,2.633934886598487,2.192922876048252
2020-11-17,72.0,61.277738,26.990089,10.97957,214.2658,2.75,231.44,5.10444223288485,3.12803635585576,1.97640587702909
2020-11-18,72.0,61.507441,26.893351,11.358368,214.7928,2.9,231.76,5.289279726856165,3.560285030055841,1.7289946968003242
2020-11-19,73.0,62.849832,26.545792,11.747621,215.4286,0.7,233.57,5.5182061996045775,3.9518692639655884,1.5663369356389891
2020-11-20,71.0,61.93736,26.251622,12.108247,216.0454,-1.24,232.86,5.578040829825056,4.277103577137482,1.3009372526875742
2020-11-23,72.0,62.062677,26.109468,12.377883,216.5954,0.68,233.01,5.5733182087177795,4.536346503453542,1.0369717052642375
2020-11-24,75.0,67.645476,26.717936,12.960249,217.1916,3.69,240.31,6.088440733961704,4.846765349555175,1.2416753844065296
2020-11-25,71.0,59.179044,26.895897,12.572093,217.5498,0.06,233.72,5.896944812327092,5.056801242109558,0.8401435702175339
2020-11-27,70.0,58.097705,26.820063,12.004825,217.9746,-0.02,232.81,5.6071181522164295,5.166864624130933,0.44025352808549645
2020-11-30,70.0,58.625568,26.542157,10.916114,218.515,0.17,233.4,5.363212727318171,5.206134244768381,0.15707848254978973
2020-12-01,68.0,55.559477,26.457058,9.498523,219.0768,-3.87,231.0,4.919546508639257,5.148816697542556,-0.22927018890329887
2020-12-02,70.0,58.717777,26.238719,8.449654,219.6946,0.23,234.26,4.775938542339361,5.0742410665019175,-0.29830252416255654
2020-12-03,71.0,59.215683,26.315981,6.943347,220.3422,0.85,234.78,4.6504800098554995,4.989488855172635,-0.33900884531713515
2020-12-04,76.0,63.590104,26.799476,5.51645,221.1548,2.65,239.59,4.882893068338433,4.968169697805794,-0.08527662946736125
2020-12-07,76.0,59.59715,27.248435,3.620259,221.7906,2.51,236.8,4.7867734638069805,4.931890451006032,-0.1451169871990512
2020-12-08,74.0,57.708883,27.269733,3.646779,222.3546,0.51,235.45,4.549223648703332,4.855357090545492,-0.3061334418421593
2020-12-09,75.0,58.215808,27.454945,3.642403,222.9784,0.49,235.93,4.349556714947482,4.7541970154258895,-0.40464030047840716
2020-12-10,74.0,56.989729,27.189536,3.130482,223.5136,-1.86,235.13,4.0797372458800965,4.619305061516731,-0.5395678156366346
2020-12-11,72.0,52.618695,26.137396,2.455396,223.9842,-1.94,232.2,3.588115300076538,4.413067109228693,-0.8249518091521546
2020-12-14,71.0,50.827637,25.468711,2.511549,224.4372,-1.91,230.95,3.0623361083492284,4.142920909052799,-1.080584800703571
2020-12-15,73.0,54.93748,24.784995,2.486583,224.8372,-0.79,234.06,2.8635935950774183,3.8870554462577234,-1.023461851180305
2020-12-16,74.0,56.291055,24.21436,2.414397,225.328,0.0,235.13,2.7606062288948863,3.661765602785156,-0.9011593738902697
2020-12-17,76.0,59.892317,24.103953,2.470915,225.742,2.54,238.1,2.8853812983656155,3.506488741901248,-0.6211074435356325
2020-12-18,76.0,62.04666,24.417276,2.715315,226.1602,3.92,240.0,3.1018246570864108,3.4255559249382808,-0.32373126785187
2020-12-21,73.0,53.65098,23.1866,2.672084,226.3988,0.34,234.86,2.826025867969207,3.3056499135444666,-0.4796240455752594
2020-12-22,73.0,54.209203,22.045965,2.629877,226.592,0.07,235.29,2.6120407668891517,3.1669280842134038,-0.5548873173242521
2020-12-23,74.0,55.601976,21.500161,2.372828,226.9186,-0.74,236.33,2.4975847387849512,3.0330594151277133,-0.535474676342762
2020-12-24,74.0,56.599865,20.993343,2.395035,227.2354,-1.22,237.06,2.437682326580415,2.9139839974182538,-0.4763016708378389
2020-12-28,75.0,58.629966,20.984349,2.43951,227.5596,1.57,238.54,2.4810330597354664,2.8273938098816966,-0.34636075014623025
2020-12-29,76.0,61.645566,21.365054,2.658109,227.8956,2.36,240.85,2.6709969326092846,2.7961144344272144,-0.1251175018179298
2020-12-30,76.0,63.160405,21.789766,2.747721,228.319,2.42,242.06,2.885914531782646,2.814074453898301,0.0718400778843451
2020-12-31,77.0,66.653535,22.65281,3.285865,228.8038,3.37,245.04,3.259130149006438,2.903085592919928,0.35604455608651
2021-01-04,72.0,55.255347,22.093738,3.278534,229.1662,0.2,239.02,3.034166542569153,2.929301782849773,0.10486475971937992
2021-01-05,73.0,56.114561,21.5746,3.281206,229.4666,-0.49,239.66,2.8743897393197813,2.918319374143775,-0.0439296348239937
2021-01-06,74.0,59.743703,20.651775,3.478525,229.8776,0.16,242.45,2.939016007550947,2.9224587008252096,0.01655730672573741
2021-01-07,75.0,61.312051,20.158647,3.705617,230.4572,-0.54,243.72,3.0574666050819133,2.9494602816765503,0.10800632340536298
2021-01-08,74.0,61.190748,20.398117,3.887115,231.0612,1.94,243.66,3.1106405307249076,2.981696331486222,0.12894419923868572
2021-01-11,73.0,57.495664,20.344612,3.897172,231.7992,0.91,241.85,2.972464654454029,2.9798499960797837,-0.007385341625754549
2021-01-12,71.0,52.514495,19.254179,3.616174,232.4756,-1.34,239.21,2.6197346698605486,2.907826930835937,-0.2880922609753882
2021-01-13,74.0,58.382924,18.807456,3.236624,233.2994,-0.21,243.2,2.631815340964124,2.8526246128615744,-0.22080927189745037
2021-01-14,73.0,56.371005,18.392641,3.029102,234.0864,-0.63,242.13,2.5259319312479818,2.787286076538856,-0.2613541452908743
2021-01-15,73.0,56.098605,17.39542,2.851855,234.761,0.06,241.99,2.403021203621364,2.710433101955358,-0.30741189833399396
2021-01-19,72.0,56.228758,16.625436,2.833333,235.4478,1.2,242.07,2.285720534356983,2.625490588435683,-0.33977005407869987
2021-01-20,74.0,61.103431,16.526658,3.01379,236.14,0.83,245.21,2.4182545338295256,2.584043377514452,-0.1657888436849264
2021-01-21,73.0,57.563587,16.368353,2.756527,236.7432,0.61,243.6,2.3661002082444327,2.5404547436604483,-0.17435453541601564
2021-01-22,70.0,50.396487,16.026948,2.429701,236.8548,-0.85,239.93,2.0055109194442196,2.433465978817203,-0.4279550593729833
2021-01-25,70.0,49.706395,15.031126,2.184072,237.0344,-1.04,239.55,1.6698297282822807,2.2807387287102188,-0.610909000427938
2021-01-26,68.0,46.886147,14.437022,2.095476,237.2896,-2.94,238.0,1.2641555217789744,2.0774220873239697,-0.8132665655449953
2021-01-27,56.0,36.464508,14.889968,3.105983,237.4002,-5.28,230.75,0.3535656959227822,1.7326508090437323,-1.37908511312095
2021-01-28,55.0,35.583365,15.786887,3.951707,237.3614,-4.14,230.0,-0.4237176798440032,1.3013771112661852,-1.7250947911101884
2021-01-29,48.0,27.122879,17.486256,5.805672,237.066,-7.74,221.01,-1.7450226872983876,0.6920971515532706,-2.4371198388516584
2021-02-01,52.0,37.039549,19.064243,6.316908,236.968,-4.82,226.54,-2.3192072636538796,0.08983626851184057,-2.40904353216572
2021-02-02,58.0,48.713784,17.852458,6.363087,237.0354,1.9,235.13,-2.0573950968251893,-0.33961000455556545,-1.7177850922696238
2021-02-03,56.0,47.413218,16.72723,6.431602,237.043,1.72,233.95,-1.922956560457152,-0.6562793157358828,-1.266677244721269
2021-02-04,59.0,51.139592,16.37852,6.360162,237.1274,7.27,237.08,-1.5460265782832323,-0.8342287682453529,-0.7117978100378795
2021-02-05,67.0,53.084137,16.184083,6.224956,237.2428,5.4,238.78,-1.0974799930667984,-0.886879013209642,-0.21060097985715642
2021-02-08,69.0,57.057439,16.098563,6.172219,237.2856,3.11,242.45,-0.4407841785175606,-0.7976600462712258,0.3568758677536652
2021-02-09,69.0,56.635201,16.305525,6.182832,237.4542,3.51,242.15,0.05481264688160081,-0.6271655076406605,0.6819781545222613
2021-02-10,69.0,57.625798,16.551554,6.286623,237.6586,2.51,243.03,0.512675542600249,-0.3991972975924787,0.9118728401927276
2021-02-11,70.0,60.196167,17.019155,6.394441,237.8974,2.75,245.34,1.0498310814954834,-0.10939162177488629,1.1592227032703697
2021-02-12,71.0,63.126313,17.894265,6.718332,238.2404,2.35,248.15,1.682875095370747,0.2490617216542404,1.4338133737165066
2021-02-16,71.0,62.614026,18.706868,6.998327,238.5124,2.36,247.86,2.1365377832175056,0.6265569339668935,1.5099808492506122
2021-02-17,70.0,60.27095,19.426541,7.178573,238.7482,1.46,246.57,2.3647175211804097,0.9741890514095968,1.390528469770813
2021-02-18,69.0,57.728129,20.023903,7.176332,238.8596,-0.07,245.16,2.4040638398558656,1.2601640090988506,1.143899830757015
2021-02-19,67.0,52.531403,19.805786,7.132736,238.9654,-2.44,242.09,2.162593703890991,1.4406499480572788,0.7219437558337123
2021-02-22,67.0,54.068875,18.902375,7.195291,239.1194,-1.9,243.15,2.0333211619938254,1.559184190844588,0.47413697114923736
2021-02-23,69.0,58.702814,18.859827,7.389599,239.332,0.0,246.56,2.180890296837987,1.6835254120432679,0.49736488479471896
2021-02-24,70.0,61.476797,19.173772,7.673477,239.6058,1.49,248.82,2.4519385899855592,1.8372080476317263,0.614730542353833
2021-02-25,68.0,56.025275,19.107334,7.491185,239.8774,1.52,245.78,2.393848921198213,1.9485362223450238,0.44531269885318925
2021-02-26,66.0,51.068193,18.425838,7.104079,240.1122,-0.19,242.69,2.0745610163511685,1.9737411811462529,0.10081983520491566
2021-03-01,70.0,55.362781,17.911083,5.461061,240.3472,-0.3,245.81,2.0496538428515976,1.9889237134873219,0.06073012936427569
2021-03-02,70.0,54.667219,16.998693,4.109826,240.5524,-1.38,245.39,1.9732775235245583,1.9857944754947692,-0.012516951970210854
2021-03-03,69.0,50.577578,15.811363,3.662542,240.648,-1.18,242.88,1.6907231135273264,1.9267802031012806,-0.23605708957395422
2021-03-04,57.0,41.212154,16.668999,3.431603,240.564,-2.84,235.8,0.8852947511246043,1.7184831127059454,-0.8331883615813411
2021-03-05,60.0,47.470562,17.544718,3.195881,240.6674,-2.35,240.03,0.5816082022207922,1.491108130608915,-0.9094999283881227
2021-03-08,58.0,42.796119,18.357886,3.465678,240.6816,-3.83,236.0,0.015567650205298378,1.1960000345281916,-1.1804323843228932
2021-03-09,58.0,44.504669,18.47257,3.747038,240.6984,-2.35,237.17,-0.3347554905499237,0.8898489295125686,-1.2246044200624921
2021-03-10,61.0,48.615469,18.579062,3.811525,240.7588,1.82,240.08,-0.373273558200907,0.6372244319698734,-1.0104979901707805
2021-03-11,59.0,47.546669,18.677947,3.917795,240.7732,-0.32,239.26,-0.46461080712171565,0.41685738415155565,-0.8814681912732714
2021-03-12,61.0,49.724095,18.689079,3.921592,240.7714,2.02,240.76,-0.41121850006967975,0.2512422073073086,-0.6624607073769884
2021-03-15,69.0,50.447734,18.489539,3.753293,240.7552,1.72,241.25,-0.32561235066916083,0.13587129571201473,-0.46148364638117556
2021-03-16,59.0,45.78412,19.03939,3.682534,240.615,-0.85,238.03,-0.5116974205044187,0.006357552468728045,-0.5180549729731467
2021-03-17,59.0,43.307042,19.749587,3.756454,240.5582,-1.29,236.18,-0.7992376043297327,-0.15476147889096412,-0.6444761254387685
2021-03-18,54.0,37.092178,21.41544,4.335557,240.3822,-4.11,230.86,-1.439797718673418,-0.4117687268474549,-1.028028991825963
2021-03-19,53.0,36.188089,23.334276,4.933254,240.1332,-4.66,230.0,-1.993857093516226,-0.7281864001812092,-1.265670693335017
2021-03-22,55.0,39.997437,25.116053,5.199096,239.9004,-2.5,232.08,-2.239301252227648,-1.030409370590497,-1.2088918816371508
2021-03-23,54.0,36.969433,26.77056,5.416655,239.6158,-2.86,229.43,-2.6174777155801507,-1.3478230395884279,-1.2696546759917229
2021-03-24,57.0,44.454353,26.891941,5.01742,239.455,1.28,233.81,-2.534539301220093,-1.5851662919147609,-0.9493730093053321
2021-03-25,58.0,46.829594,27.004652,4.732982,239.3776,2.32,235.34,-2.31862414123745,-1.7318578617792988,-0.5867662794581512
2021-03-26,69.0,54.545807,25.311766,4.655845,239.3332,3.83,240.98,-1.6731222450546284,-1.7201107384343648,0.04698849337973643
2021-03-29,70.0,55.830945,23.702732,4.385881,239.3312,5.49,242.03,-1.0645595372754428,-1.5890004982025805,0.5244409609271377
2021-03-30,70.0,57.160175,22.675511,4.200954,239.3534,3.97,243.1,-0.49027753502934956,-1.3692559055679345,0.878978370538585
2021-03-31,70.0,57.77409,21.885299,4.250311,239.3836,3.5,243.58,0.003536313283433401,-1.094697461797661,1.0982337750810944
2021-04-01,69.0,56.627093,20.544035,4.407855,239.3384,0.82,242.95,0.34013079485862363,-0.8077318104664042,1.1478626053250278
2021-04-05,73.0,63.480768,20.455151,4.983501,239.436,2.66,248.48,1.0411078867496144,-0.43796387102320056,1.479071757772815
