date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,41.0,53.928692,136.835151,0.213243,22.8822,0.62,22.79,0.0,0.0,0.0
2020-08-11,41.0,53.928692,133.523054,0.219237,22.871,1.15,22.79,0.0,0.0,0.0
2020-08-12,40.0,53.68754,130.447536,0.223676,22.8588,1.15,22.78,-0.000797720797720558,-0.0001595441595441116,-0.0006381766381764464
2020-08-13,39.0,48.970998,127.352428,0.206782,22.8348,-0.35,22.58,-0.01736804084382726,-0.0036012434964007413,-0.013766797347426519
2020-08-14,40.0,50.606584,124.406462,0.198091,22.8078,-0.61,22.65,-0.024568513348963705,-0.007794697466913334,-0.01677381588205037
2020-08-17,39.0,47.779338,121.670922,0.198091,22.7638,-1.14,22.53,-0.0395025757008618,-0.014136273113703027,-0.02536630258715877
2020-08-18,38.0,46.61087,119.103175,0.186839,22.7118,-1.32,22.48,-0.05474148408823609,-0.02225731530860964,-0.032484168779626454
2020-08-19,38.0,45.649077,116.615819,0.179368,22.6682,-0.62,22.44,-0.06924784839073084,-0.03165542192503388,-0.03759242646569696
2020-08-20,38.0,44.415336,114.104819,0.180468,22.6308,-1.15,22.39,-0.08381268824720678,-0.042086875189468465,-0.041725813057738315
2020-08-21,38.0,45.055017,111.773176,0.177076,22.6236,-0.53,22.41,-0.09267331561912329,-0.05220416327539943,-0.040469152343723856
2020-08-24,48.0,52.679137,109.643252,0.155885,22.6166,0.85,22.67,-0.07781855568977392,-0.05732704175827433,-0.02049151393149959
2020-08-25,39.0,49.815998,107.678244,0.15361,22.6076,0.58,22.57,-0.07327059784553214,-0.060515752975725895,-0.012754844869806242
2020-08-26,48.0,51.791203,105.677446,0.145756,22.5958,1.12,22.64,-0.06328834485821488,-0.0610702713522237,-0.0022180735059911874
2020-08-27,39.0,49.685199,103.828912,0.135466,22.5904,0.71,22.57,-0.06033030226292624,-0.06092227753436421,0.0005919752714379709
2020-08-28,48.0,52.647562,102.112417,0.125634,22.5856,0.0,22.67,-0.04934801473370598,-0.05860742497423257,0.009259410240526587
2020-08-31,39.0,47.524959,100.534514,0.116529,22.578,-0.31,22.5,-0.0537425414303776,-0.05763444826546158,0.0038919068350839817
2020-09-01,37.0,40.960635,98.210408,0.138365,22.5682,-1.77,22.24,-0.07731383680320292,-0.06157032597300985,-0.01574351083019307
2020-09-02,38.0,46.472851,96.083842,0.142004,22.56,-0.66,22.42,-0.08054133218871584,-0.06536452721615105,-0.015176804972564795
2020-09-03,38.0,44.248343,94.22706,0.15078,22.5624,-1.5,22.33,-0.08933163390456045,-0.07015794855383294,-0.019173685350727512
2020-09-04,37.0,41.402649,92.170188,0.166286,22.558,-1.29,22.21,-0.10477324768301699,-0.07708100837966975,-0.027692239303347244
2020-09-08,40.0,43.36394,89.796629,0.164715,22.5644,0.13,22.27,-0.11089105622530937,-0.08384301794879767,-0.0270480382765117
2020-09-09,37.0,40.906481,87.64667,0.166865,22.5562,-1.12,22.17,-0.12239770330288025,-0.09155395501961419,-0.030843748283266054
2020-09-10,34.0,33.706596,84.714894,0.206,22.5362,-2.28,21.82,-0.15793826493570506,-0.10483081700283237,-0.0531074479328727
2020-09-11,35.0,36.127957,81.815756,0.233587,22.5226,-1.44,21.89,-0.178399522455031,-0.11954455809327211,-0.05885496436175888
2020-09-14,36.0,39.526113,79.24432,0.241505,22.5084,-1.26,21.99,-0.1844201712527358,-0.13251968072516485,-0.05190049052757095
2020-09-15,36.0,39.300938,76.898098,0.251736,22.4878,-0.86,21.98,-0.1878332702110228,-0.14358239862233646,-0.04425087158868635
2020-09-16,37.0,42.4771,74.878528,0.255595,22.4716,1.15,22.07,-0.18118731332408444,-0.15110338156268607,-0.03008393176139837
2020-09-17,36.0,39.279841,72.606944,0.266137,22.4506,0.23,21.94,-0.18428592472806216,-0.1577398901957613,-0.026546034532300866
2020-09-18,35.0,36.974342,70.403684,0.282064,22.4414,-0.68,21.84,-0.19259069520436256,-0.16471005119748156,-0.027880644006881006
2020-09-21,33.0,32.281267,66.94856,0.312986,22.4188,-1.68,21.61,-0.21525009435013231,-0.1748180598280117,-0.0404320345221206
2020-09-22,32.0,30.642273,63.889435,0.330195,22.4,-2.49,21.52,-0.23772967950023727,-0.18740038376245685,-0.050329295737780416
2020-09-23,28.0,23.723995,59.952852,0.397334,22.3686,-4.1,21.04,-0.29092331824176654,-0.2081049706583188,-0.08281834758344775
2020-09-24,29.0,28.094805,56.158919,0.424177,22.3388,-3.11,21.16,-0.31971123100801435,-0.2304262227282579,-0.08928500827975644
2020-09-25,29.0,28.094805,52.63598,0.44236,22.3032,-2.08,21.16,-0.3386224306851844,-0.2520654643196432,-0.08655696636554117
2020-09-28,31.0,37.145319,50.170899,0.422894,22.275,-0.46,21.42,-0.3288392118489476,-0.26742021382550407,-0.06141899802344353
2020-09-29,31.0,36.018634,47.667319,0.412039,22.2516,1.52,21.36,-0.3222131661869483,-0.27837880429779294,-0.04383436188915535
2020-09-30,33.0,41.145279,45.731078,0.405344,22.2254,1.7,21.52,-0.300586342193224,-0.28282031187687917,-0.017766030316344827
2020-10-01,33.0,40.706204,43.93314,0.382335,22.2002,1.61,21.5,-0.28181220553497255,-0.28261869060849787,0.0008064850735253204
2020-10-02,34.0,45.411257,42.637829,0.357804,22.1818,1.07,21.65,-0.2519257770359431,-0.2764801078939869,0.024554330858043816
2020-10-05,34.0,45.154014,41.43504,0.338716,22.1682,1.31,21.64,-0.22643725582404173,-0.2664715374799979,0.04003428165595618
2020-10-06,35.0,46.139739,40.906175,0.310288,22.1594,0.7,21.67,-0.2014939727568965,-0.25347602453537765,0.05198205177848114
2020-10-07,35.0,48.467071,40.415086,0.287392,22.146,1.12,21.74,-0.17407124131959506,-0.23759506789222115,0.06352382657262609
2020-10-08,34.0,44.072336,38.775122,0.28398,22.1316,-0.28,21.59,-0.16256828943772206,-0.22258971220132134,0.060021422763599286
2020-10-09,32.0,38.771859,37.343254,0.280979,22.1128,-1.2,21.38,-0.1684555118728639,-0.2117628721356299,0.04330736026276599
2020-10-12,30.0,35.48867,35.454364,0.275516,22.0908,-2.03,21.23,-0.18311409911552445,-0.2060331175316088,0.022919018416084347
2020-10-13,27.0,30.326292,32.951286,0.286557,22.0626,-3.63,20.95,-0.2148481592160003,-0.2077961258684871,-0.007052033347513198
2020-10-14,25.0,27.274384,30.981273,0.299287,22.0246,-3.89,20.75,-0.2532170306996697,-0.21688030683472365,-0.036336723864946074
2020-10-15,25.0,26.838087,29.853267,0.313813,21.9884,-3.09,20.72,-0.28278561057206275,-0.23006136758219148,-0.05272424298987127
2020-10-16,23.0,25.519233,28.520579,0.33385,21.9506,-2.83,20.63,-0.3099087359926358,-0.24603084126428038,-0.06387789472835542
2020-10-19,21.0,21.267354,28.146867,0.393553,21.9032,-3.15,20.29,-0.35474983156723994,-0.26777463932487233,-0.0869751922423676
2020-10-20,20.0,20.30303,28.042372,0.448865,21.8514,-2.65,20.2,-0.39301849811068124,-0.29282341108203414,-0.1001950870286471
2020-10-21,19.0,19.977853,28.126092,0.499613,21.799,-2.65,20.17,-0.42091539072322703,-0.31844180701027275,-0.10247358371295429
2020-10-22,29.0,52.323277,27.071702,0.501771,21.7704,3.49,21.35,-0.34384411979888796,-0.3235222695679958,-0.02032185023089217
2020-10-23,26.0,46.340119,26.092626,0.502758,21.7388,3.5,21.0,-0.30746242184051553,-0.32031030002249977,0.01284787818198424
2020-10-26,24.0,41.519346,24.394601,0.508266,21.6992,2.33,20.67,-0.3017791835900496,-0.31660407673600977,0.014824893145960139
2020-10-27,21.0,37.109863,23.116399,0.531717,21.655,0.74,20.32,-0.321807652954039,-0.3176447919796156,-0.004162860974423421
2020-10-28,18.0,33.596686,22.561081,0.566391,21.6054,-6.32,20.0,-0.35935921552748695,-0.3259876766891899,-0.03337153883829708
2020-10-29,20.0,37.574441,21.736638,0.576627,21.5606,-3.81,20.2,-0.3687302777656356,-0.33453619690447906,-0.03419408086115655
2020-10-30,22.0,41.179287,20.971083,0.560673,21.5206,-1.35,20.39,-0.3567135284905021,-0.33897166322168365,-0.017741865268818435
2020-11-02,24.0,45.628351,19.6626,0.531324,21.4852,1.57,20.64,-0.3232905650585245,-0.3358354435890518,0.012544878530527326
2020-11-03,25.0,47.177329,18.762018,0.491913,21.4464,3.65,20.73,-0.28624077245445534,-0.32591650936213257,0.03967573690767723
2020-11-04,23.0,42.537166,17.816282,0.440453,21.4032,1.04,20.41,-0.2794782195885368,-0.3166288514074134,0.03715063181887662
2020-11-05,26.0,48.503169,16.807313,0.388941,21.3656,1.81,20.76,-0.24307475828801728,-0.30191803278353424,0.05884327449551696
2020-11-06,25.0,47.740629,15.870414,0.350691,21.3284,0.34,20.71,-0.21577204919743664,-0.28468883606631473,0.06891678686887809
2020-11-09,37.0,57.168121,16.453665,0.363179,21.3022,3.04,21.36,-0.14007024521823652,-0.2557651178966991,0.11569487267846257
2020-11-10,40.0,61.945197,17.198129,0.438901,21.2878,6.71,21.78,-0.04565919942007923,-0.2137439342013751,0.16808473478129587
2020-11-11,39.0,60.222971,17.786343,0.49259,21.2766,4.43,21.68,0.020852693435116976,-0.16682460867407672,0.1876773021091937
2020-11-12,37.0,56.660362,17.864513,0.520409,21.2576,3.67,21.47,0.05597337651613543,-0.1222650116360343,0.17823838815216975
2020-11-13,39.0,60.82042,18.448895,0.570297,21.2474,2.15,21.82,0.1107719358928172,-0.075657622130264,0.1864295580230812
2020-11-16,39.0,61.390579,19.268028,0.60302,21.2406,0.41,21.87,0.1564315258786202,-0.029239792528487164,0.18567131840710735
2020-11-17,39.0,61.868648,19.585875,0.621969,21.2334,1.06,21.91,0.19361289665520687,0.015330745308251643,0.17828215134695521
2020-11-18,37.0,56.073775,19.713955,0.60887,21.222,0.61,21.6,0.1958078407490511,0.05142616439641154,0.14438167635263957
2020-11-19,35.0,51.855534,18.865809,0.60887,21.2126,-2.15,21.35,0.1753530779650383,0.07621154711013689,0.0991415308549014
2020-11-20,35.0,52.319071,18.078245,0.61344,21.2024,-2.24,21.38,0.15972210338536996,0.0929136583651835,0.06680844502018646
