date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,64.0,66.64297,124.79954,1.370405,52.8592,6.08,56.52,0.0,0.0,0.0
2020-08-11,66.0,69.407713,122.1657,1.532414,52.9428,7.42,57.51,0.07897435897435656,0.015794871794871313,0.06317948717948525
2020-08-12,65.0,70.00272,119.687008,1.806018,53.0106,8.09,57.73,0.15749872160128575,0.0441356417561542,0.11336307984513155
2020-08-13,62.0,66.100872,117.385366,1.968493,53.048,2.99,57.11,0.16776711144743217,0.06886193569440979,0.09890517575302238
2020-08-14,64.0,68.424229,115.268627,2.157182,53.1088,2.39,57.87,0.2345270509400308,0.101994958743534,0.1325320921964968
2020-08-17,68.0,72.532333,113.336451,2.399366,53.1518,3.3,59.41,0.4070081767426075,0.1629976023433487,0.24401057439925877
2020-08-18,62.0,61.555564,111.386358,2.4733,53.1524,-0.49,57.45,0.3811514157418614,0.20662836502305126,0.17452305071881014
2020-08-19,55.0,48.972597,107.468388,2.460807,53.1148,-4.82,54.36,0.11005393728553514,0.18731347947554805,-0.07725954219001291
2020-08-20,39.0,41.047603,103.572109,2.531542,53.0516,-10.75,51.65,-0.3197808841521663,0.08589460675000517,-0.4056754909021715
2020-08-21,39.0,41.161116,99.954136,2.583367,53.032,-13.01,51.68,-0.6505086686500547,-0.061386048330006826,-0.5891226203200479
2020-08-24,52.0,47.44553,96.626001,2.538345,53.051,-7.03,53.41,-0.7642069765199153,-0.20195023396798856,-0.5622567425519267
2020-08-25,51.0,46.669792,93.597423,2.481258,53.0622,-2.21,53.16,-0.8645209558878051,-0.33446437835195186,-0.5300565775358532
2020-08-26,52.0,47.042775,90.678461,2.45898,53.0164,3.12,53.26,-0.925285230824052,-0.45262854884637194,-0.47265668197768007
2020-08-27,53.0,48.629134,88.066129,2.371965,52.999,3.85,53.67,-0.929641454995469,-0.5480311300761913,-0.3816103249192777
2020-08-28,57.0,53.791911,85.755885,2.288486,53.0318,3.15,55.09,-0.8091838932494824,-0.6002616827108496,-0.2089222105386328
2020-08-31,56.0,52.589424,83.701476,2.184426,53.0748,3.07,54.79,-0.7295184657476455,-0.6261130393182087,-0.10340542642943673
2020-09-01,57.0,54.347879,81.323153,2.148037,53.1238,3.77,55.27,-0.6204983334798513,-0.6249900981505373,0.004491764670686016
2020-09-02,61.0,59.293452,79.397272,2.143446,53.1934,5.7,56.73,-0.41154525738992476,-0.5823011299984149,0.17075587260849012
2020-09-03,57.0,54.065923,77.632829,2.100478,53.2732,0.78,55.52,-0.33966982447172,-0.5337748688930759,0.1941050444213559
2020-09-04,56.0,52.660986,75.421878,2.100865,53.3594,0.71,55.18,-0.3066087892854199,-0.48834165297154475,0.18173286368612485
2020-09-08,58.0,53.123975,73.368852,2.08419,53.4746,0.05,55.3,-0.2676395020108444,-0.4442012227794047,0.1765617207685603
2020-09-09,55.0,50.720013,71.462471,2.024199,53.5544,-3.47,54.76,-0.27713490939389374,-0.41078796010230256,0.13365305070840883
2020-09-10,53.0,47.909639,69.327924,1.947593,53.6254,-2.54,54.11,-0.33326795039891977,-0.39528395816162604,0.06201600776270627
2020-09-11,53.0,48.100221,67.092843,1.89248,53.6848,-1.87,54.15,-0.3702580201276504,-0.3902787705548309,0.02002075042718049
2020-09-14,57.0,54.071972,65.292465,1.768649,53.7592,0.31,55.47,-0.2897202340732008,-0.3701670632585049,0.0804468291853041
