date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,82.0,60.333192,126.626897,9.004451,377.2296,-1.34,410.16,0.0,0.0,0.0
2020-08-11,81.0,57.148205,123.270514,7.740194,378.3878,-3.02,407.24,-0.23293447293451663,-0.04658689458690333,-0.1863475783476133
2020-08-12,85.0,63.495032,120.197351,6.991612,379.7094,0.11,416.17,0.29958620465743024,0.02264772526196339,0.27693847939546684
2020-08-13,86.0,63.773272,117.3437,5.901014,381.0976,0.55,416.6,0.7476911662504335,0.16765641345965743,0.5800347527907761
2020-08-14,85.0,60.493754,114.621783,4.72457,382.4098,0.88,413.76,0.863697148509857,0.30686456046969735,0.5568325880401597
2020-08-17,86.0,62.70465,112.116791,4.3737,383.6618,2.35,416.8,1.187249446308499,0.48294153763745773,0.7043079086710413
2020-08-18,86.0,63.070711,109.791966,3.910705,385.0102,0.27,417.3,1.467100967987676,0.6797734237075015,0.7873275442801746
2020-08-19,87.0,65.492651,107.660081,4.178145,386.4696,0.96,420.62,1.9344820636851523,0.9307151517030317,1.0037669119821206
2020-08-20,87.0,66.552841,105.680473,4.481887,387.8558,2.02,422.11,2.39747885303575,1.2240678919695753,1.1734109610661747
2020-08-21,89.0,70.748937,103.899748,5.084131,389.6984,2.82,428.57,3.248231564315745,1.6289006264388093,1.6193309378769356
2020-08-24,84.0,59.741407,101.883387,5.146432,391.2984,0.59,419.76,3.1749668046142006,1.9381138620738878,1.2368529425403127
2020-08-25,85.0,61.589603,100.011052,4.954616,392.9278,0.4,422.29,3.283207043541836,2.2071324983674776,1.0760745451743583
2020-08-26,86.0,63.956196,98.322879,5.044645,394.4964,0.84,425.65,3.5986293726897998,2.485431873231942,1.1131974994578577
2020-08-27,83.0,58.08344,95.265729,4.840946,395.91,-1.88,420.53,3.39631205937053,2.66760791045966,0.7287041489108699
2020-08-28,85.0,61.054613,92.447288,4.963145,397.4508,1.12,424.48,3.5141966479736766,2.8369256579624635,0.677270990011213
2020-08-31,86.0,64.170511,90.025817,5.479063,398.9758,1.58,428.98,3.92548290231548,3.054637106833067,0.8708457954824129
2020-09-01,86.0,67.157469,87.828535,6.310081,400.6072,1.9,433.73,4.581898253696522,3.360089336205758,1.2218089174907645
2020-09-02,87.0,71.153883,85.927571,7.837928,402.292,4.88,441.06,5.6286977654201,3.8138110220486263,1.8148867433714733
