date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,79.0,75.260899,131.166173,3.137032,105.5392,7.09,116.07,0.0,0.0,0.0
2020-08-11,74.0,66.010713,128.363244,3.437909,105.817,5.27,113.59,-0.19783475783476945,-0.03956695156695389,-0.15826780626781556
2020-08-12,76.0,68.776997,125.760877,3.800977,106.1138,6.61,115.25,-0.21815732015163292,-0.0752850252838897,-0.14287229486774322
2020-08-13,75.0,68.973586,123.352915,4.058327,106.397,0.24,115.37,-0.22202078270584025,-0.10463217676827982,-0.11738860593756043
2020-08-14,75.0,69.18254,120.983875,4.280076,106.7034,-0.5,115.49,-0.2129449111149313,-0.12629472363761013,-0.08665018747732117
2020-08-17,76.0,71.555047,118.799776,4.569467,107.0182,2.89,116.87,-0.09332199279025133,-0.11970017746813838,0.02637818467788705
2020-08-18,74.0,68.078523,116.777158,4.699281,107.2494,0.67,116.02,-0.0663431024470924,-0.1090287624639292,0.042685660016836796
2020-08-19,73.0,64.580259,114.635857,4.685274,107.4884,-0.2,115.14,-0.11464917864608992,-0.11015284570036135,-0.0044963329457285706
2020-08-20,73.0,65.150062,112.527378,4.598914,107.6806,-0.08,115.4,-0.1304485354555993,-0.11421198365140896,-0.016236551804190355
2020-08-21,73.0,63.49992,110.225358,4.460331,107.963,-1.59,115.01,-0.17245146702479985,-0.12585988032608714,-0.04659158669871272
2020-08-24,73.0,64.12717,108.11649,4.321078,108.222,-0.66,115.26,-0.18345146791777722,-0.13737819784442515,-0.046073270073352074
2020-08-25,73.0,64.521125,106.104442,4.026675,108.4366,0.23,115.41,-0.17801327525080524,-0.14550521332570118,-0.032508061925104054
2020-08-26,74.0,66.576636,104.262931,3.791085,108.7026,0.68,116.19,-0.10950171945474096,-0.13830451455150916,0.028802795096768197
2020-08-27,73.0,61.8747,102.568619,3.397556,108.9548,0.2,115.24,-0.1303601675409567,-0.13671564514939868,0.0063554776084419895
2020-08-28,75.0,64.753019,100.946642,3.13882,109.1522,0.87,116.26,-0.06384914917498463,-0.12214234595451588,0.05829319677953125
2020-08-31,76.0,65.89479,99.476632,2.73659,109.3478,1.1,116.68,0.02249252218494746,-0.09321537232662322,0.11570789451157068
2020-09-01,76.0,66.506819,98.122513,2.404851,109.5538,0.61,116.9,0.10743266331100187,-0.0530857651990982,0.16051842851010006
2020-09-02,79.0,71.469223,96.957461,1.966125,109.7882,3.16,118.88,0.3307056210216075,0.023672512045042934,0.30703310897656455
2020-09-03,74.0,53.916085,94.456528,1.046827,109.9164,-1.22,114.84,0.1795866491877831,0.054855339473590975,0.12473130971419213
2020-09-04,74.0,52.042141,91.448101,1.085765,109.9984,-2.05,114.29,0.015267378956849598,0.046937747370242706,-0.03167036841339311
2020-09-08,70.0,43.913349,88.216299,1.406364,110.1258,-4.56,111.57,-0.33062683423212036,-0.028575168950229907,-0.3020516652818904
2020-09-09,72.0,49.049339,85.317287,1.434891,110.2706,-4.78,113.2,-0.46783025671084033,-0.116426186502352,-0.35140407020848835
2020-09-10,69.0,45.018338,82.683146,1.651112,110.422,-2.72,111.72,-0.6880570947587472,-0.23075236815363104,-0.4573047266051162
2020-09-11,69.0,44.644572,79.882967,1.837664,110.531,-2.37,111.58,-0.8639264739158392,-0.3573871893060727,-0.5065392846097665
2020-09-14,70.0,46.980977,77.295314,1.934715,110.6562,0.63,112.27,-0.9368278225555571,-0.4732753159559696,-0.46355250659958747
2020-09-15,75.0,57.280747,75.345489,1.898248,110.8392,2.41,115.93,-0.6913023512897212,-0.5168807230227199,-0.17442162826700125
2020-09-16,72.0,50.959744,73.730331,1.894852,110.9984,1.83,113.76,-0.6641664139584975,-0.5463378612098755,-0.11782855274862203
2020-09-17,69.0,46.27172,70.751799,1.992138,111.1044,0.3,111.91,-0.7829155637535905,-0.5936534017186186,-0.18926216203497193
2020-09-18,60.0,43.499626,67.127163,2.154437,111.1954,-1.38,110.72,-0.9619593071685131,-0.6673145828085976,-0.2946447243599155
2020-09-21,59.0,43.148721,63.761429,2.301895,111.2658,-4.62,110.57,-1.1032390570557737,-0.7544994776580328,-0.3487395793977409
2020-09-22,69.0,48.569815,61.099792,2.318186,111.4232,-1.2,112.39,-1.0561706097360428,-0.8148337040736349,-0.24133690566240795
2020-09-23,56.0,40.771265,57.888326,2.536098,111.4954,-2.6,109.0,-1.2776848392178835,-0.9074039311024846,-0.3702809081153988
2020-09-24,59.0,45.110872,54.721993,2.556476,111.608,-0.15,110.55,-1.3130286390772312,-0.988528872697434,-0.32449976637979727
2020-09-25,68.0,48.932373,51.898317,2.537671,111.7586,1.31,112.02,-1.2084914037638868,-1.0325213789107246,-0.17597002485316215
2020-09-28,71.0,54.126685,49.80265,2.454787,111.9364,1.65,114.24,-0.9357230125210805,-1.0131617056327957,0.07743869311171525
2020-09-29,70.0,52.269749,47.952042,2.320589,112.084,4.15,113.52,-0.7687879708064003,-0.9642869586675167,0.1954989878611164
2020-09-30,72.0,54.242096,45.685577,2.167765,112.2596,3.45,114.36,-0.5622287447244503,-0.8838753158789034,0.32164657115445316
2020-10-01,74.0,57.338461,43.971543,1.810004,112.4756,3.31,115.73,-0.2846996787659464,-0.764040188456312,0.4793405096903657
2020-10-02,70.0,51.039816,41.992288,1.751697,112.6536,-0.73,113.41,-0.2490891606643828,-0.6610499828979263,0.41196082223354347
2020-10-05,72.0,54.28034,40.154409,1.779072,112.851,1.13,114.8,-0.10746736829804604,-0.5503334599779502,0.4428660916799042
2020-10-06,61.0,48.442686,37.733235,1.762312,112.9876,-1.67,112.45,-0.18274981167714088,-0.4768167303177884,0.2940669186406475
2020-10-07,70.0,52.579377,35.504099,1.790391,113.1816,-1.3,114.22,-0.09845258285247382,-0.40114390082472545,0.30269131797225163
2020-10-08,71.0,55.34773,33.849565,1.868013,113.3758,1.83,115.49,0.07002476261246215,-0.30691016813728794,0.3769349307497501
2020-10-09,72.0,58.888876,32.979617,2.057669,113.6108,2.12,117.23,0.3400280986592037,-0.1775225147779896,0.5175506134371933
2020-10-12,74.0,63.918534,33.215198,2.525128,113.8646,6.78,120.07,0.7742469163749348,0.012831371452595303,0.7614155449223395
2020-10-13,74.0,66.266025,33.876636,3.031652,114.1584,6.43,121.57,1.2252816377604745,0.2553214247141712,0.9699602130463033
2020-10-14,67.0,53.923884,32.908868,3.090674,114.324,1.02,116.67,1.1738099050823507,0.43901912078780714,0.7347907842945436
2020-10-15,65.0,51.06041,31.158052,3.061705,114.472,-1.65,115.3,1.0108185486526793,0.5533790063607816,0.45743954229189765
2020-10-16,64.0,50.345882,29.532295,2.957343,114.6092,-4.26,114.96,0.8444769611519121,0.6115985973190077,0.2328783638329044
2020-10-19,52.0,45.854176,27.757247,2.851435,114.5624,-7.26,112.75,0.5282323901908939,0.5949253558933849,-0.06669296570249106
2020-10-20,53.0,46.597117,26.108989,2.829609,114.5024,-3.09,113.07,0.29996975037596485,0.5359342347899009,-0.23596448441393603
2020-10-21,52.0,45.239262,24.73897,2.580146,114.479,-2.5,112.42,0.06586118926311713,0.4419196256845442,-0.37605843642142706
2020-10-22,51.0,43.597459,23.895389,2.501342,114.4068,-2.89,111.64,-0.18052997615879463,0.31742970531587644,-0.49795968147467107
2020-10-23,53.0,45.614034,23.112063,2.482526,114.347,-0.33,112.38,-0.3124828268322517,0.1914471988862508,-0.5039300257185025
2020-10-26,52.0,44.233117,22.67786,2.567409,114.2728,-1.14,111.78,-0.4601668799031131,0.06112438312837802,-0.5212912630314911
2020-10-27,54.0,47.216013,21.600767,2.587824,114.1918,0.36,112.82,-0.4876667291192689,-0.04863383932115137,-0.4390328897981175
2020-10-28,49.0,40.449924,21.111835,2.796338,114.0674,-1.65,109.8,-0.7445664203385718,-0.18782035552463547,-0.5567460648139363
2020-10-29,49.0,39.859244,20.909561,2.974451,113.9548,-2.55,109.51,-0.9604899229139221,-0.34235426900249283,-0.6181356539114293
2020-10-30,49.0,40.054287,21.14661,3.133571,113.8382,-1.98,109.57,-1.1139286793713836,-0.496669151076271,-0.6172595282951125
2020-11-02,49.0,42.785265,20.703907,3.218256,113.7458,-2.15,110.39,-1.1560367799648787,-0.6285426768539926,-0.5274941031108862
2020-11-03,51.0,45.179656,19.73519,3.257,113.663,1.2,111.12,-1.1176196305157475,-0.7263580675863436,-0.39126156292940395
2020-11-04,65.0,57.911892,19.407677,3.296469,113.6752,5.94,116.02,-0.6839011273232103,-0.717866679533717,0.03396555221050668
2020-11-05,66.0,60.417301,19.759021,3.365619,113.6966,7.02,117.26,-0.2373820592683984,-0.6217697554806533,0.3843876962122549
2020-11-06,71.0,70.142126,21.545125,3.923189,113.863,11.93,123.56,0.6177241286294475,-0.37387097865863317,0.9915951072880806
2020-11-09,70.0,67.917308,23.149396,4.165235,113.9934,10.49,122.78,1.2184173057160308,-0.0554133217837004,1.273830627499731
2020-11-10,69.0,64.904395,23.218526,4.178489,114.0942,4.91,121.72,1.590602361203068,0.2737898148136533,1.3168125463894147
2020-11-11,72.0,69.603383,23.795635,4.785983,114.2592,6.73,125.15,2.1376920501321877,0.6465702618773602,1.4911217882548273
2020-11-12,73.0,71.586187,24.629523,5.467086,114.4178,2.63,126.81,2.6743840622546458,1.0521330219528173,1.6222510403018284
2020-11-13,74.0,73.196852,25.523289,6.150998,114.6856,4.44,128.23,3.177668298963056,1.4772400773548653,1.7004282216081905
2020-11-16,74.0,73.672227,26.613845,6.691244,114.9728,5.69,128.65,3.569270839985748,1.895646229881042,1.673624610104706
2020-11-17,75.0,74.084713,27.966015,7.140716,115.3214,3.08,129.0,3.863326724376904,2.2891823287802144,1.5741443955966896
2020-11-18,73.0,70.193318,28.877139,7.376541,115.6144,0.82,127.85,3.9579479816705145,2.6229354593582745,1.33501252231224
2020-11-19,75.0,72.03647,29.434206,7.573088,115.9638,0.75,129.19,4.093871211952745,2.917122609877169,1.176748602075576
2020-11-20,75.0,72.701232,29.972487,7.733357,116.3258,0.8,129.68,4.192798287393757,3.1722577453804868,1.0205405420132698
2020-11-23,72.0,66.451788,29.867261,7.668861,116.638,-0.87,127.88,4.0789343346778395,3.3535930632399573,0.7253412714378822
2020-11-24,72.0,66.759505,29.30905,7.589909,116.8806,0.16,128.06,3.957600077311483,3.4743944660542625,0.4832056112572203
2020-11-25,73.0,67.955309,28.945836,7.230152,117.1802,-0.35,128.74,3.871681783622037,3.5538519295678173,0.31782985405421993
2020-11-27,75.0,72.844271,29.271989,6.846301,117.58,1.71,131.9,4.01232492351069,3.645546528356392,0.3667783951542978
2020-11-30,76.0,74.237375,29.699512,6.312202,118.0244,3.96,132.94,4.159753880135568,3.7483879987122273,0.41136588142334096
2020-12-01,77.0,75.274987,30.28876,5.654937,118.4876,4.43,133.73,4.290876237831583,3.8568856465360986,0.43399059129548423
2020-12-02,76.0,72.913102,30.901817,4.713241,118.9026,3.42,133.14,4.2976430281879345,3.945037122866466,0.3526059053214685
2020-12-03,73.0,65.588197,30.818252,4.039234,119.3464,-0.54,131.19,4.0984131000832065,3.975712318309814,0.12270078177339228
2020-12-04,75.0,66.714697,30.54105,3.305474,119.7714,-0.86,131.8,3.944276682336408,3.969425191115133,-0.025148508778724654
2020-12-07,76.0,68.805963,30.589417,3.222679,120.1902,-0.58,132.96,3.8711011221947587,3.9497603773310583,-0.07865925513629968
2020-12-08,77.0,69.147879,30.731023,2.995152,120.5684,0.01,133.15,3.7848114255345564,3.916770586971758,-0.13195916143720154
2020-12-09,75.0,61.403785,30.196148,2.402424,120.9204,-0.05,131.12,3.5121364617633333,3.8358437619300734,-0.3237073001667401
2020-12-10,75.0,59.426606,29.425423,2.122823,121.2444,-0.94,130.56,3.2138055190734747,3.7114361133587535,-0.4976305942852788
2020-12-11,75.0,61.042871,28.525006,1.969508,121.5544,-1.3,131.23,2.9968931791418356,3.56852752651537,-0.5716343473735344
2020-12-14,72.0,54.515462,28.176024,1.917669,121.8734,-2.85,129.36,2.6436211956724094,3.3835462603467783,-0.7399250646743689
2020-12-15,73.0,56.240133,27.597653,1.8708,122.1774,-0.85,130.0,2.387768545425189,3.1843907173624606,-0.7966221719372717
2020-12-16,73.0,55.566514,27.060595,1.842679,122.5246,-0.57,129.81,2.144946457107011,2.976501865311371,-0.8315554082043599
2020-12-17,73.0,56.161769,26.608124,1.731574,122.8404,-0.93,130.01,1.946211812902078,2.7704438548295127,-0.8242320419274347
2020-12-18,75.0,61.4701,26.746375,1.704901,123.169,1.98,131.92,1.9206936521956095,2.600493814302732,-0.6798001621071226
2020-12-21,72.0,55.07751,25.714249,1.688631,123.4288,0.17,130.22,1.7432000088820416,2.4290350532185943,-0.6858350443365526
2020-12-22,75.0,60.376574,25.252772,1.549598,123.6724,1.88,132.25,1.7462098323955502,2.292470009053986,-0.5462601766584356
2020-12-23,75.0,60.301106,25.004744,1.384186,123.8856,1.71,132.23,1.7270726874857019,2.179390544740329,-0.45231785725462714
2020-12-24,75.0,62.063025,25.149169,1.276165,124.2106,0.76,132.92,1.7474401928983525,2.0930004743719337,-0.3455602814735812
2020-12-28,75.0,62.272121,24.537646,1.31021,124.5646,2.13,133.0,1.7498655581886169,2.0243734911352704,-0.27450793294665354
2020-12-29,75.0,62.659935,23.969803,1.320534,124.9282,0.67,133.14,1.7429923764851196,1.9680972682052404,-0.22510489172012083
2020-12-30,75.0,63.068784,23.442521,1.28899,125.3388,0.79,133.28,1.7289123352475144,1.9202602816136953,-0.1913479463661809
2020-12-31,76.0,67.381799,23.499034,1.432725,125.7744,1.45,134.85,1.8234204244744774,1.900892310185852,-0.07747188571137453
2021-01-04,73.0,56.440298,21.935007,1.433979,126.1746,-0.43,132.43,1.6836370707409003,1.8574412622968617,-0.17380419155596138
2021-01-05,70.0,54.169963,20.482696,1.434,126.5788,-0.97,131.85,1.508665644644907,1.7876861387664706,-0.2790204941215637
2021-01-06,71.0,52.905504,19.367388,1.410561,126.9618,-1.31,131.53,1.3288599330923034,1.6959208976316373,-0.3670609645393339
