date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,82.0,50.845885,39.141695,3.641083,82.8524,-4.6,94.57,0.0,0.0,0.0
2020-08-11,78.0,47.077406,36.682507,4.077873,83.4876,-7.44,91.63,-0.23452991452991512,-0.046905982905983024,-0.1876239316239321
2020-08-12,88.0,60.098363,36.15672,4.103783,84.3852,4.37,103.65,0.5432546813743357,0.07112614995008074,0.47212853142425504
2020-08-13,90.0,63.640922,36.174931,4.490127,85.3694,11.58,108.07,1.4990317330785388,0.35670726657577234,1.1423244665027665
2020-08-14,91.0,65.134243,36.318397,4.984055,86.4178,16.37,110.05,2.3887256427262287,0.7631109418058637,1.625614700920365
2020-08-17,93.0,72.663685,37.478092,6.643255,87.6846,33.56,122.38,4.042147074584378,1.4189181683615666,2.623228906222811
2020-08-18,93.0,74.324777,38.891438,8.519869,88.9342,21.38,125.81,5.565116605817025,2.2481578558526585,3.3169587499643662
2020-08-19,92.0,73.525209,40.144095,9.858834,90.1848,15.89,125.24,6.649436134779151,3.128413511637957,3.521022623141194
2020-08-20,94.0,77.315201,41.743463,11.823459,91.4872,21.27,133.46,8.078923673028342,4.118515543916034,3.9604081291123077
2020-08-21,92.0,78.603359,43.471741,13.428756,92.9234,11.68,136.67,9.362893411850052,5.167391117502838,4.1955022943472144
2020-08-24,90.0,75.180289,43.714811,14.629699,94.362,6.73,134.28,10.07149769825621,6.148212433653512,3.923285264602697
2020-08-25,92.0,75.473865,43.940519,15.49477,95.7386,7.71,134.89,10.560558062839334,7.030681559490677,3.5298765033486568
2020-08-26,92.0,79.226266,44.752198,16.872263,97.2998,7.55,143.54,11.513405265144172,7.927226300621377,3.5861789645227953
2020-08-27,92.0,81.26406,45.947375,18.344647,98.9624,9.2,149.25,12.584229651392747,8.858626970775651,3.7256026806170954
2020-08-28,91.0,78.800242,47.127867,19.050357,100.575,9.89,147.56,13.144969787041731,9.715895534028867,3.429074253012864
2020-08-31,95.0,84.393431,48.706582,21.242282,102.5626,23.14,166.11,14.914267958424347,10.755570018907964,4.158697939516383
2020-09-01,90.0,75.42814,50.199915,22.087869,104.4038,10.32,158.35,15.511475722801904,11.706751159686753,3.804724563115151
2020-09-02,87.0,66.39359,48.312955,21.948274,106.0504,-0.09,149.12,15.066308293493123,12.378662586448028,2.6876457070450943
2020-09-03,84.0,55.888476,46.439718,21.107289,107.4826,-8.06,135.67,13.472900099094574,12.597510088977337,0.8753900101172363
2020-09-04,84.0,57.899272,43.618344,19.937097,108.9568,-16.06,139.44,12.37170678326558,12.552349427834987,-0.18064264456940649
2020-09-08,69.0,41.881946,41.215325,18.79437,109.8786,-30.49,110.07,9.02505439299199,11.846890420866389,-2.821836027874399
2020-09-09,76.0,48.198037,38.975387,16.630705,110.9746,-18.13,122.09,7.259044065649519,10.929321149823016,-3.670277084173497
2020-09-10,77.0,49.036651,36.392818,15.400629,112.0104,-8.76,123.78,5.927508406727085,9.928958601203831,-4.001450194476746
2020-09-11,76.0,49.27735,33.992893,14.422465,113.0024,-10.9,124.24,4.853427666469017,8.91385241425687,-4.060424747787852
2020-09-14,87.0,56.751658,32.759167,13.30556,114.1882,27.07,139.87,5.203439306819888,8.171769792769474,-2.9683304859495863
2020-09-15,88.0,60.756025,32.48898,13.240252,115.3578,22.79,149.92,6.22007589903987,7.781431014023553,-1.5613551149836837
2020-09-16,87.0,59.188088,32.238092,13.120367,116.4496,18.96,147.25,6.732710540818573,7.571686919382558,-0.8389763785639852
2020-09-17,85.0,55.648848,31.083955,12.767361,117.4512,13.6,141.14,6.570213914966359,7.371392318499319,-0.8011784035329592
2020-09-18,84.0,58.385671,30.308909,12.807475,118.5398,5.37,147.38,6.865805288843234,7.270274912568102,-0.40446962372486794
2020-09-21,84.0,59.431231,28.896802,12.954044,119.4762,-0.08,149.8,7.212199609814093,7.2586598520173,-0.046460242203207436
2020-09-22,80.0,54.33427,27.585561,12.870644,120.3084,-3.97,141.41,6.732113113596796,7.1533505043332,-0.42123739073640376
2020-09-23,71.0,46.801922,26.064795,13.181604,120.8218,-10.17,126.79,5.112989925807199,6.745278388628,-1.6322884628208012
2020-09-24,72.0,48.110708,25.242069,13.390227,121.3456,-12.29,129.26,3.983215463284779,6.192865803559355,-2.2096503402745764
2020-09-25,76.0,51.502486,24.197238,13.2422,122.0604,-9.36,135.78,3.5727857224106856,5.668849787329622,-2.096064064918936
2020-09-28,78.0,53.806624,22.657586,13.108855,122.8672,-0.71,140.4,3.5790554613565178,5.250890922135001,-1.6718354607784836
2020-09-29,79.0,53.386841,21.336645,11.536545,123.4704,10.17,139.69,3.4865425165265265,4.898021241013307,-1.4114787244867806
2020-09-30,81.0,55.143815,19.94214,10.601437,124.2392,10.63,143.0,3.6383737703887675,4.646091746888399,-1.0077179764996318
2020-10-01,83.0,58.403467,18.844849,10.617271,125.1038,10.02,149.39,4.225610521757886,4.561995501862297,-0.33638498010441076
2020-10-02,75.0,51.45293,17.774707,10.618908,125.8536,-1.45,138.36,3.7576551500754647,4.40112743150493,-0.6434722814294656
2020-10-05,77.0,53.365727,16.781004,10.66094,126.802,1.57,141.89,3.6297966092977845,4.246861267063501,-0.6170646577657166
2020-10-06,70.0,50.976011,16.271384,8.676623,127.509,-3.5,137.99,3.177146224252084,4.032918258501218,-0.8557720342491342
2020-10-07,75.0,53.165109,15.756015,7.838486,128.3758,-5.1,141.77,3.0878372761478374,3.8439020620305424,-0.756064785882705
2020-10-08,75.0,53.283972,14.924482,6.974578,129.2164,2.61,141.97,2.9986312652268907,3.6748479026698124,-0.6762166374429217
2020-10-09,77.0,54.94633,14.152344,5.960466,130.1264,1.96,144.67,3.1099526952435212,3.5618688611845544,-0.4519161659410331
2020-10-12,78.0,56.644694,13.410299,6.090605,131.1674,6.84,147.43,3.3819002236583344,3.5258751336793104,-0.14397491002097595
2020-10-13,78.0,57.550054,12.637753,6.024838,132.165,5.02,148.88,3.6720938687279556,3.5551188806890393,0.11697498803891637
2020-10-14,80.0,60.542551,12.577143,6.475212,133.2578,8.31,153.77,4.2476918086688045,3.6936334662849926,0.5540583423838119
2020-10-15,77.0,56.886265,12.295489,6.677526,134.2704,3.43,149.63,4.319995701116255,3.8189059132512453,0.50108978786501
2020-10-16,74.0,54.268965,11.860306,6.649669,135.2154,-0.59,146.56,4.08251304475894,3.8716273395527843,0.2108857052061559
2020-10-19,72.0,51.802552,11.036965,6.439808,136.1506,-3.54,143.61,3.614599133997416,3.820221698441711,-0.20562256444429483
2020-10-20,69.0,49.377625,10.709957,6.446081,137.0722,-8.53,140.65,2.9706825471159277,3.6503138681765543,-0.6796313210606266
2020-10-21,70.0,49.575146,10.345421,5.426433,138.0572,-5.85,140.88,2.450683140902555,3.4103877227217545,-0.9597045818191994
2020-10-22,70.0,50.524241,9.817188,4.465728,138.8228,-3.16,141.93,2.0991088694715927,3.1481319520717226,-1.0490230826001299
2020-10-23,70.0,48.900555,9.703755,4.182549,139.4656,-2.37,140.21,1.6625294959063126,2.8510114608386408,-1.1884819649323282
2020-10-26,69.0,48.782766,9.449362,4.195061,140.0664,-0.4,140.09,1.291961274498675,2.5392014235706477,-1.2472401490719727
2020-10-27,70.0,50.360172,8.962595,4.126743,140.45,0.48,141.56,1.1041717987577044,2.2521954986080592,-1.1480236998503548
2020-10-28,56.0,44.162373,9.17637,4.512481,140.6406,-4.64,135.34,0.4482778015388931,1.8914119591942262,-1.4431341576553331
2020-10-29,58.0,46.003281,9.374876,4.492122,140.8746,-2.33,136.94,0.056927486891225954,1.5245150647336263,-1.4675875778424003
2020-10-30,52.0,39.37198,10.673907,5.28691,140.7924,-7.67,129.35,-0.8558048392502826,1.0484510839368446,-1.9042559231871272
2020-11-02,56.0,44.115416,11.880149,5.621576,140.729,-5.69,133.5,-1.230101620822694,0.592740542984937,-1.822842163807631
2020-11-03,70.0,51.755507,11.769257,5.554218,140.8694,4.4,141.3,-0.8871136107062227,0.296769712246705,-1.1838833229529278
2020-11-04,61.0,50.824945,11.267319,5.566079,140.9782,2.48,140.33,-0.6856601713191992,0.10028373553352415,-0.7859439068527234
2020-11-05,73.0,55.848612,10.561835,5.637415,141.028,12.9,146.03,-0.065311634234547,0.06716466157990993,-0.1324762958144569
2020-11-06,70.0,53.072575,9.906743,5.61467,140.9094,7.36,143.32,0.20527837783160408,0.09478740483024875,0.11049097300135532
2020-11-09,59.0,50.197129,9.921369,5.486179,140.7666,-0.62,140.42,0.1836007134636759,0.1125500665569342,0.0710506469067417
2020-11-10,57.0,46.780534,9.75411,5.327163,140.1802,-2.52,136.79,-0.12504817700650506,0.06503041784424636,-0.1900785948507514
2020-11-11,59.0,49.093394,9.598798,4.476319,139.794,-4.79,139.04,-0.18595487834915048,0.014833358605566997,-0.20078823695471748
2020-11-12,58.0,47.331091,9.216118,3.982281,139.5566,-4.24,137.25,-0.3743466827816917,-0.06300264967188475,-0.31134403310980696
2020-11-13,58.0,46.252288,9.255418,3.730401,139.5666,-3.03,136.17,-0.6038348864507554,-0.1711690970276589,-0.4326657894230965
2020-11-16,58.0,46.105586,9.29191,3.650918,139.4984,-0.56,136.03,-0.7879201185396028,-0.29451930133004767,-0.4934008172095551
2020-11-17,73.0,57.647915,10.257091,4.067163,140.241,5.87,147.2,-0.03211316227259431,-0.242038073518557,0.2099249112459627
2020-11-18,84.0,67.668406,12.144542,6.463003,141.0434,18.19,162.21,1.757788164287291,0.1579271740426126,1.5998609902446783
2020-11-19,85.0,69.824904,14.200686,8.623926,141.8962,22.21,166.42,3.4759411903466173,0.8215299773034136,2.6544112130432036
2020-11-20,84.0,66.188575,16.109962,9.826979,142.6754,19.97,163.2,4.525594516286617,1.5623428851000543,2.9632516311865627
2020-11-23,88.0,71.5209,18.416373,11.935093,143.357,18.17,173.95,6.153948609073922,2.480664029894828,3.673284579179094
2020-11-24,88.0,75.7961,21.164743,14.852723,144.0612,14.13,185.13,8.251445991068834,3.6348204221296294,4.616625568939205
2020-11-25,88.0,77.787516,23.926459,17.522778,144.9428,14.97,191.33,10.295337717804784,4.966923881264661,5.328413836540124
2020-11-27,89.0,78.965882,26.820343,19.912446,146.025,19.64,195.25,12.092058156497586,6.391950736311246,5.70010742018634
2020-11-30,86.0,72.567382,28.254192,20.732305,146.8614,8.77,189.2,12.879322794715591,7.689425147992116,5.189897646723475
2020-12-01,87.0,74.658135,29.585623,21.8109,147.7638,5.29,194.92,13.805648960901038,8.912669910573902,4.892979050327137
2020-12-02,86.0,69.372404,29.379243,22.462629,148.7278,-0.9,189.61,13.950484003229803,9.920232729105082,4.030251274124721
2020-12-03,87.0,72.591651,29.797342,23.332587,150.1478,1.3,197.79,14.557514489348023,10.847689081153671,3.7098254081943516
2020-12-04,88.0,73.290215,30.186844,24.229432,151.5562,5.54,199.68,15.017979804804185,11.681747225883774,3.336232578920411
2020-12-07,90.0,77.867313,31.457639,25.728748,153.119,9.75,213.92,16.343552575548443,12.614108295816708,3.7294442797317355
2020-12-08,91.0,78.618254,32.676627,26.723183,154.6436,14.25,216.63,17.41203776544151,13.57369418974167,3.8383435756998416
2020-12-09,85.0,65.290337,32.519045,25.978792,155.8796,1.87,201.49,16.842992968173235,14.227553945427983,2.6154390227452513
2020-12-10,88.0,68.179669,31.580315,25.359874,157.2,4.68,209.02,16.805900970676134,14.743223350477614,2.062677620198521
2020-12-11,85.0,63.854151,30.708637,23.789253,158.2788,-4.95,203.33,16.131416915991252,15.020862063580342,1.1105548524109103
2020-12-14,87.0,67.711801,30.352152,21.964596,159.7772,-1.55,213.28,16.21287337552883,15.25926432597004,0.9536090495587892
2020-12-15,87.0,66.033716,30.118538,19.075085,161.161,4.76,211.08,15.916431873736002,15.390697835523234,0.525734038212768
2020-12-16,85.0,63.351497,29.154526,16.467539,162.553,-0.68,207.59,15.224388738442627,15.357436016107114,-0.13304727766448643
2020-12-17,88.0,67.806296,28.917869,15.543631,164.0902,7.52,218.63,15.389376153942806,15.363824043674253,0.025552110268552752
2020-12-18,88.0,72.117482,29.442704,15.615093,165.8842,8.62,231.67,16.38349021276548,15.5677572774925,0.8157329352729796
2020-12-21,85.0,61.826763,29.930052,13.453867,167.3232,2.62,216.62,15.775078262124993,15.609221474419,0.16585678770599266
2020-12-22,84.0,59.888312,29.160708,11.846823,168.6436,2.82,213.45,14.865751767895262,15.460527533114254,-0.5947757652189924
2020-12-23,84.0,60.67576,28.485741,11.122909,169.9726,-1.51,215.33,14.133877713807635,15.195197569252931,-1.061319855445296
2020-12-24,85.0,62.871934,28.214926,10.955593,171.309,-4.78,220.59,13.81900342398049,14.919958740198444,-1.100955316217954
