date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-06-29,89.0,61.634592,132.940654,3.139156,57.1374,0.75,67.29
2020-06-30,92.0,68.260287,128.864485,3.339536,57.582,12.38,71.99
2020-07-01,92.0,71.272729,125.18346,3.70404,58.1592,13.56,74.64
2020-07-02,93.0,76.627552,121.946936,4.542738,58.7946,25.95,80.58
2020-07-06,94.0,82.902516,119.176206,6.767205,59.6826,35.89,91.44
2020-07-07,93.0,83.44038,116.672289,8.492578,60.569,28.71,92.66
2020-07-08,93.0,79.890766,113.961528,9.504633,61.3252,22.0,91.06
2020-07-09,93.0,80.923143,111.444393,10.589823,62.1588,15.35,92.95
2020-07-10,94.0,85.250662,109.347979,12.34616,63.151,12.62,102.98
2020-07-13,90.0,79.122334,107.695913,13.201257,64.1044,7.71,99.8
2020-07-14,92.0,79.772346,105.645813,14.042316,65.1918,11.05,101.12
2020-07-15,92.0,80.726975,103.742148,14.747922,66.2382,10.89,103.07
2020-07-16,90.0,74.818305,101.974459,15.023813,67.2148,-2.85,100.04
2020-07-17,90.0,74.8314,100.343579,15.1512,68.1726,0.26,100.06
2020-07-20,93.0,80.106523,99.018486,15.691973,69.3232,8.32,109.53
2020-07-21,89.0,71.622286,97.826495,15.58985,70.3218,1.45,104.56
2020-07-22,90.0,72.627385,96.719646,15.370398,71.3632,6.12,106.16
2020-07-23,87.0,64.493993,94.389776,14.426551,72.3014,0.81,100.87
2020-07-24,85.0,56.28198,90.682804,13.21592,73.1362,-13.75,94.47
2020-07-27,85.0,62.794694,87.623916,11.642185,74.1178,-1.84,102.64
2020-07-28,82.0,57.999864,84.857159,9.858736,75.0208,-7.28,98.43
2020-07-29,87.0,59.203117,82.288028,8.205279,75.9348,-0.92,99.94
2020-07-30,88.0,58.286117,79.674513,6.340404,76.8408,4.98,99.17
2020-07-31,85.0,53.863748,76.542232,4.895948,77.661,-7.07,95.38
2020-08-03,88.0,57.20377,73.633685,4.553072,78.5376,0.58,99.0
2020-08-04,87.0,57.323256,71.05677,4.262339,79.431,-0.81,99.13
2020-08-05,87.0,57.151417,68.66392,3.74826,80.3192,-0.17,99.0
2020-08-06,88.0,57.478759,66.5753,3.350085,81.2118,4.12,99.31
2020-08-07,85.0,53.95615,63.60748,3.410361,82.0744,-2.17,96.85
2020-08-10,83.0,50.845885,60.410331,3.641083,82.8524,-4.6,94.57
2020-08-11,76.0,47.077406,57.129744,4.077873,83.4876,-7.44,91.63
2020-08-12,90.0,60.098363,55.539749,4.103783,84.3852,4.37,103.65
2020-08-13,91.0,63.640922,54.497483,4.490127,85.3694,11.58,108.07
2020-08-14,92.0,65.134243,53.639213,4.984055,86.4178,16.37,110.05
2020-08-17,94.0,72.663685,53.746786,6.643255,87.6846,33.56,122.38
2020-08-18,93.0,74.324777,54.149535,8.519869,88.9342,21.38,125.81
2020-08-19,92.0,73.525209,54.465863,9.858834,90.1848,15.89,125.24
2020-08-20,94.0,77.315201,55.157144,11.823459,91.4872,21.27,133.46
2020-08-21,92.0,78.603359,56.022991,13.428756,92.9234,11.68,136.67
2020-08-24,90.0,75.180289,55.500216,14.629699,94.362,6.73,134.28
2020-08-25,92.0,75.473865,55.014783,15.49477,95.7386,7.71,134.89
2020-08-26,92.0,79.226266,55.128912,16.872263,97.2998,7.55,143.54
2020-08-27,92.0,81.26406,55.652937,18.344647,98.9624,9.2,149.25
2020-08-28,91.0,78.800242,56.206771,19.050357,100.575,9.89,147.56
2020-08-31,95.0,84.393431,57.182342,21.242282,102.5626,23.14,166.11
2020-09-01,90.0,75.42814,58.114526,22.087869,104.4038,10.32,158.35
2020-09-02,87.0,66.39359,55.741388,21.948274,106.0504,-0.09,149.12
2020-09-03,84.0,55.888476,53.417334,21.107289,107.4826,-8.06,135.67
2020-09-04,84.0,57.899272,50.180924,19.937097,108.9568,-16.06,139.44
2020-09-08,69.0,41.881946,47.226255,18.79437,109.8786,-30.49,110.07
2020-09-09,77.0,48.198037,44.47425,16.630705,110.9746,-18.13,122.09
2020-09-10,78.0,49.036651,41.563825,15.400629,112.0104,-8.76,123.78
2020-09-11,77.0,49.27735,38.859463,14.422465,113.0024,-10.9,124.24
2020-09-14,89.0,56.751658,37.325959,13.30556,114.1882,27.07,139.87
2020-09-15,89.0,60.756025,36.76451,13.240252,115.3578,22.79,149.92
2020-09-16,88.0,59.188088,36.243166,13.120367,116.4496,18.96,147.25
2020-09-17,86.0,55.648848,34.840014,12.767361,117.4512,13.6,141.14
2020-09-18,86.0,58.385671,33.830202,12.807475,118.5398,5.37,147.38
2020-09-21,85.0,59.431231,32.201089,12.954044,119.4762,-0.08,149.8
2020-09-22,81.0,54.33427,30.688341,12.870644,120.3084,-3.97,141.41
2020-09-23,72.0,46.801922,28.911247,13.181604,120.8218,-10.17,126.79
