date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,81.0,66.984865,131.929211,5.303363,300.5582,4.79,319.1,0.0,0.0,0.0
2020-08-11,78.0,61.747281,129.202902,5.649585,300.7506,0.99,315.55,-0.2831908831909118,-0.05663817663818236,-0.22655270655272944
2020-08-12,81.0,67.006361,126.67133,6.530933,301.0698,2.61,322.27,0.03423154032839193,-0.0384642332448675,0.07269577357325943
2020-08-13,80.0,65.917124,124.320585,7.185628,301.3932,1.42,321.52,0.22270515943523606,0.013769645291153213,0.20893551414408285
2020-08-14,80.0,67.567443,122.14378,7.896114,301.9056,1.44,323.7,0.5417348591977316,0.11936268807246889,0.4223721711252627
2020-08-17,78.0,62.777253,120.122462,8.135959,302.0788,1.57,320.51,0.531040352069283,0.2016982208718317,0.3293421311974513
2020-08-18,75.0,57.670285,117.871911,8.172654,302.2254,-1.69,316.81,0.22145302765727592,0.20564918222892056,0.015803845428355362
2020-08-19,75.0,55.807113,115.725351,8.177796,302.3492,-1.9,315.4,-0.1361034575961071,0.13729865426391502,-0.2734021118600221
2020-08-20,74.0,53.09511,113.377652,7.967033,302.5008,-3.2,313.33,-0.5798174735912198,-0.006124571307111942,-0.5736929022841079
2020-08-21,74.0,54.03638,110.976363,7.575157,303.109,-1.99,314.14,-0.856233668760126,-0.17614639079771477,-0.6800872779624112
2020-08-24,72.0,47.341888,108.321872,6.94784,303.5828,-2.52,308.84,-1.485833437980716,-0.43808380023431504,-1.047749637746401
2020-08-25,74.0,51.471016,105.856988,6.288094,304.1016,-1.01,312.22,-1.6925474060255397,-0.68897652139256,-1.0035708846329796
2020-08-26,72.0,47.441109,103.037518,6.188768,304.418,-1.44,308.82,-2.1064395757925354,-0.9724691322725552,-1.1339704435199802
2020-08-27,75.0,50.910635,100.506139,5.906277,304.7994,-0.79,311.67,-2.179358631014054,-1.213847032020855,-0.965511598993199
2020-08-28,76.0,54.008116,98.182956,5.325175,305.2572,1.79,314.37,-1.9962683337544718,-1.3703312923675783,-0.6259370413868934
2020-08-31,75.0,51.642624,96.125008,4.735164,305.6834,0.11,312.55,-1.975257208166397,-1.4913164755273423,-0.4839407326390548
2020-09-01,76.0,51.991007,93.841725,4.125377,306.0866,1.3,312.83,-1.9139492640940716,-1.575843033240688,-0.33810623085338354
2020-09-02,80.0,60.169209,91.923396,4.200155,306.5394,2.75,320.24,-1.2529934758426293,-1.5112731217610764,0.2582796459184471
2020-09-03,77.0,54.735288,90.217156,4.183143,307.0804,0.59,316.23,-1.0407575337555954,-1.4171700041599802,0.37641247040438475
2020-09-04,75.0,49.64231,87.583226,4.255609,307.396,-0.18,312.0,-1.2000512254679734,-1.373746248421579,0.17369502295360562
2020-09-08,64.0,44.621371,84.745226,4.542983,307.8034,-1.78,307.25,-1.6900955568612517,-1.4370161101095136,-0.2530794467517381
2020-09-09,75.0,50.081516,82.297966,4.587031,308.2486,-2.57,312.02,-1.6742602545983232,-1.4844649390072755,-0.18979531559104768
2020-09-10,63.0,42.982144,79.358207,4.768212,308.4416,-3.68,304.6,-2.2346826217188323,-1.634508475549587,-0.6001741461692454
2020-09-11,62.0,40.38948,75.783588,5.16204,308.5166,-3.37,301.48,-2.8971823951412716,-1.8870432594679238,-1.0101391356733478
2020-09-14,66.0,48.057097,72.774257,4.610446,308.7228,0.43,308.57,-2.817634555000552,-2.07316151857445,-0.7444730364261023
2020-09-15,65.0,46.831028,70.002628,4.311565,308.8112,-1.54,307.23,-2.830095540018533,-2.2245483228632668,-0.6055472171552663
2020-09-16,65.0,46.159057,67.484952,4.264501,309.0086,0.63,306.52,-2.8642447956306682,-2.352487617416747,-0.5117571782139212
2020-09-17,65.0,44.662115,64.549665,4.332978,309.141,1.16,304.98,-2.9812079469435275,-2.4782316833221034,-0.5029762636214241
2020-09-18,66.0,48.231177,62.070564,4.313741,309.4782,-0.18,308.02,-2.796364741311777,-2.541858294920038,-0.2545064463917388
2020-09-21,61.0,40.134276,58.202569,4.835058,309.6374,-2.62,299.19,-3.324064625887388,-2.698299561113508,-0.6257650647738799
2020-09-22,58.0,36.454565,54.619736,5.866044,309.5284,-4.0,294.26,-4.092899981313963,-2.977219645153599,-1.1156803361603638
2020-09-23,56.0,34.969776,51.159328,6.826422,309.2008,-4.21,292.14,-4.817737938057746,-3.3453233037344283,-1.472414634323318
2020-09-24,56.0,35.66198,47.672491,7.567886,308.9726,-4.99,292.66,-5.289246446183938,-3.7341079322243305,-1.5551385139596077
2020-09-25,62.0,47.130321,45.33376,7.545209,308.8796,1.11,302.5,-4.8134283662693065,-3.949972019033326,-0.8634563472359806
2020-09-28,63.0,47.872676,43.774943,7.351032,308.8136,3.05,303.23,-4.327548920566755,-4.025487399340012,-0.3020615212267437
2020-09-29,64.0,48.847488,42.032035,7.198908,308.8274,4.11,304.15,-3.824167030964361,-3.9852233256648817,0.16105629470052074
2020-09-30,75.0,56.160161,41.170447,7.14851,308.9606,6.53,311.77,-2.778336011692147,-3.7438458628703346,0.9655098511781874
2020-10-01,76.0,57.282157,40.420901,6.552871,309.0878,3.49,313.07,-1.823587081929702,-3.3597941066822083,1.5362070247525064
2020-10-02,75.0,55.988297,39.90218,6.250206,309.268,2.89,311.98,-1.141734363945659,-2.9161821581348986,1.7744477941892396
2020-10-05,78.0,61.314953,39.50442,6.726056,309.6152,4.6,318.15,-0.10231432149157627,-2.353408590806234,2.251094269314658
2020-10-06,75.0,56.869964,39.291698,7.01331,309.9322,0.86,314.45,0.4180553906475666,-1.7991157945154739,2.2171711851630405
2020-10-07,79.0,63.572424,39.449084,7.893513,310.397,3.23,323.17,1.5166008301794704,-1.135972469576485,2.6525732997559555
2020-10-08,78.0,62.658488,39.643074,8.642464,310.7116,3.34,322.41,2.2993745981297025,-0.4489030560352475,2.74827765416495
2020-10-09,79.0,66.37766,40.04599,9.651738,311.1638,3.05,327.84,3.3196175832972017,0.3048010718312424,3.014816511465959
2020-10-12,79.0,67.735188,40.810616,10.745041,311.7076,4.94,329.97,4.251037385541906,1.0940483345733751,3.156989050968531
2020-10-13,79.0,68.662772,41.248252,11.749004,312.2638,2.55,331.42,5.048006890029399,1.8848400456645797,3.163166844364819
2020-10-14,74.0,57.012789,40.227539,11.956445,312.6108,-0.17,321.85,4.851467249499365,2.4781654864315366,2.373301763067828
2020-10-15,74.0,59.13504,38.643464,12.193693,312.8528,-1.0,324.57,4.859175881568433,2.954367565458916,1.9048083161095168
2020-10-16,76.0,62.990804,37.72896,12.726896,313.1696,-0.02,329.9,5.2350253695818765,3.4104991262835087,1.8245262432983678
2020-10-19,72.0,56.83634,36.445197,12.493196,313.3134,-2.17,324.22,5.016730519796624,3.731745404986132,1.2849851148104925
2020-10-20,71.0,55.996119,35.253131,11.700488,313.3996,0.48,323.41,4.723915688542661,3.930179461697438,0.793736226845223
2020-10-21,71.0,55.321971,33.953069,10.39013,313.5444,-0.55,322.79,4.3912098727336115,4.022385543904673,0.36882432882893834
2020-10-22,73.0,57.90971,32.944598,8.784972,313.6136,-1.26,325.73,4.3150305598035175,4.080914547084443,0.2341160127190749
2020-10-23,76.0,61.851308,32.859438,8.209307,313.7952,1.97,330.6,4.594661803977374,4.183663998463029,0.41099780551434506
2020-10-26,72.0,53.498062,31.196947,7.166635,313.7824,-0.11,323.06,4.159903812330356,4.178911961236494,-0.019008148906138445
2020-10-27,71.0,50.989962,29.653206,5.943105,313.7824,-0.71,320.51,3.568456339531963,4.0568208368955885,-0.48836449736362564
2020-10-28,57.0,40.867491,28.38564,6.329077,313.6062,-5.44,308.0,2.0664566803362163,3.6587480055837145,-1.5922913252474982
2020-10-29,54.0,38.057812,27.808279,7.277637,313.3718,-8.14,303.68,0.5215115720736776,3.0313007188817074,-2.50978914680803
