date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,80.0,66.818659,122.325929,3.725591,172.9598,7.58,186.85,0.0,0.0,0.0
2020-08-11,81.0,69.905813,119.878365,4.553485,173.3768,7.26,190.35,0.2792022792022806,0.05584045584045612,0.22336182336182447
2020-08-12,80.0,71.129031,117.605626,5.395833,173.7946,6.8,191.83,0.6128313893556196,0.16723864254348883,0.4455927468121308
2020-08-13,78.0,66.95089,115.295054,5.878328,174.028,3.71,189.72,0.6989187960072911,0.2735746732362493,0.42534412277104183
2020-08-14,79.0,68.995835,113.168779,6.477241,174.3378,2.71,191.92,0.9338998833154903,0.4056397152520975,0.5282601680633928
2020-08-17,79.0,70.72492,111.209402,7.119798,174.5186,1.85,193.87,1.262914696638859,0.5770947115294498,0.6858199851094091
2020-08-18,76.0,64.433915,109.144354,7.42107,174.6994,-0.59,190.7,1.2534201521299337,0.7123597996495465,0.5410603524803872
2020-08-19,76.0,64.700591,107.226809,7.69157,174.9552,0.65,190.95,1.2516404360374054,0.8202159269271183,0.43142450911028707
2020-08-20,75.0,62.617436,105.038435,7.707653,175.245,-1.04,189.92,1.1538171207394328,0.8869361656895812,0.26688095504985154
2020-08-21,76.0,64.584588,103.028217,7.786602,175.8106,-1.19,191.57,1.1956499407112346,0.948678920693912,0.24697102001732263
2020-08-24,77.0,65.749185,101.189459,7.872744,176.3382,0.98,192.56,1.293773660738026,1.017697868702735,0.276075792035291
2020-08-25,78.0,68.394687,99.527877,7.861838,176.8776,2.07,194.9,1.542574026448591,1.1226731002519061,0.41990092619668484
2020-08-26,78.0,67.013053,97.896082,7.912646,177.3446,2.32,194.32,1.6736560904503222,1.2328696982915894,0.4407863921587327
2020-08-27,78.0,67.16086,96.393033,7.492781,177.81,1.5,194.44,1.7668553589365672,1.339666830420585,0.4271885285159822
2020-08-28,78.0,68.047436,94.695233,6.972652,178.2956,1.33,195.13,1.8747823600704123,1.4466899363505505,0.4280924237198618
2020-08-31,76.0,61.119662,92.94141,5.947598,178.7874,-1.26,192.44,1.7233886161146472,1.50202967230337,0.2213589438112773
2020-09-01,80.0,65.80287,91.096082,4.914964,179.3394,0.76,195.8,1.8531697156807638,1.5722576809788487,0.28091203470191517
2020-09-02,80.0,66.42505,89.459311,4.087729,179.8778,0.95,196.28,1.9720219194356048,1.6522105286702,0.31981139076540477
2020-09-03,76.0,53.833563,86.769974,3.098502,180.3778,-2.35,190.55,1.5855725415291886,1.638882931241998,-0.053310389712809325
2020-09-04,78.0,54.783995,84.134631,2.340482,180.8602,-0.68,191.14,1.3117951367132434,1.5734653723362473,-0.26167023562300384
2020-09-08,75.0,50.113807,81.648051,2.15729,181.3806,-3.65,188.66,0.8845131798151726,1.4356749338320325,-0.5511617540168599
