date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,71.0,53.218897,119.794331,2.475532,194.8078,2.34,196.79,0.0,0.0,0.0
2020-08-11,72.0,54.723843,117.556505,2.45857,194.8762,0.85,197.77,0.07817663817664311,0.015635327635328624,0.06254131054131448
2020-08-12,72.0,56.224938,115.478523,2.534914,194.9238,-0.02,198.74,0.21591415654094703,0.05569109341645231,0.16022306312449472
2020-08-13,72.0,53.922549,113.397363,2.492633,194.938,0.62,197.58,0.22883199393132259,0.09031927351942637,0.13851272041189622
2020-08-14,71.0,52.062069,111.298853,2.482141,194.998,-0.08,196.64,0.1613592797051524,0.10452727475657159,0.056832004948580817
2020-08-17,73.0,56.823769,109.378597,2.533542,194.9944,0.84,199.43,0.32922129243732456,0.14946607829272218,0.17975521414460238
2020-08-18,72.0,55.923226,107.595502,2.602177,194.9826,0.14,199.01,0.4234810312737807,0.2042690688889339,0.21921196238484678
2020-08-19,74.0,59.205509,105.975368,2.740002,195.0208,1.73,200.99,0.6504539772992644,0.293506050571,0.35694792672826436
2020-08-20,76.0,63.834326,104.492199,3.203615,195.0942,3.82,204.15,1.0729489751562369,0.44939463548804737,0.6235543396681895
2020-08-21,75.0,63.784994,103.124691,3.544042,195.3992,2.36,204.13,1.3901407942731794,0.6375438672450737,0.7525969270281057
2020-08-24,77.0,66.923147,101.87392,4.058378,195.6822,3.72,206.41,1.8046911848147147,0.870973330759002,0.9337178540557127
2020-08-25,77.0,69.063075,100.738719,4.627866,196.009,3.54,208.1,2.2437299103407895,1.1455246466753595,1.09820526366543
2020-08-26,78.0,71.592701,99.723896,5.307206,196.3566,2.99,210.26,2.734444240478439,1.4633085654359754,1.2711356750424634
2020-08-27,78.0,72.457287,98.802665,5.794411,196.706,3.38,211.03,3.1491697784440476,1.8004808080375898,1.3486889704064577
2020-08-28,80.0,77.032677,98.007258,6.344893,197.142,4.51,215.71,3.811542552879274,2.202693157005927,1.6088493958733472
2020-08-31,76.0,67.442307,97.268666,6.30448,197.5378,1.87,211.99,3.9903070621618326,2.5602159380371083,1.4300911241247243
2020-09-01,77.0,68.9636,96.474087,6.334639,197.9056,1.47,213.35,4.193381169865717,2.8868489844028304,1.3065321854628862
2020-09-02,79.0,72.184889,95.799883,6.742182,198.2758,2.58,216.48,4.5543836055896065,3.220355908640186,1.3340276969494207
2020-09-03,72.0,56.903698,93.598789,6.698646,198.6268,-3.13,208.96,4.185432424397959,3.4133712117917407,0.7720612126062183
2020-09-04,69.0,50.341191,90.1816,6.420819,198.8404,-3.46,204.66,3.505650930023876,3.431827155438168,0.07382377458570799
2020-09-08,66.0,44.505231,86.834478,6.24367,199.0574,-6.2,200.12,2.5709429110125654,3.2596503065530475,-0.6887073955404821
2020-09-09,69.0,49.93012,84.01714,6.011801,199.311,-5.74,204.06,2.1236253130861655,3.0324453078596716,-0.9088199947735061
2020-09-10,67.0,46.780268,81.107202,5.881849,199.4784,-3.55,201.54,1.5479363082938562,2.7355435079465087,-1.1876071996526525
2020-09-11,67.0,45.720239,78.098756,5.703168,199.6164,-1.94,200.68,1.010653625812182,2.3905655315196435,-1.3799119057074614
