date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,52.0,38.511913,121.749471,9.35531,283.151,-2.53,268.73,0.0,0.0,0.0
2020-08-11,49.0,34.117384,117.935912,10.064795,282.6554,-4.16,261.86,-0.5480341880341939,-0.10960683760683879,-0.43842735042735514
2020-08-12,54.0,43.244125,114.433456,9.792226,282.387,-0.91,270.85,-0.25400930187259974,-0.13848733045999098,-0.11552197141260875
2020-08-13,52.0,40.742518,111.197875,9.875812,282.1898,-2.14,267.15,-0.3159099260835774,-0.17397184958470827,-0.1419380764988691
2020-08-14,52.0,40.881875,108.118039,9.507761,282.0792,-0.54,267.29,-0.3496393618490856,-0.20910535203758374,-0.14053400981150188
2020-08-17,57.0,47.144662,105.317044,7.51537,282.2422,4.57,273.84,0.15042605869757608,-0.13719906989055178,0.28762512858812783
2020-08-18,55.0,45.154835,102.728199,6.708866,282.3682,0.17,271.31,0.3386775869469716,-0.04202373852304711,0.38070132547001867
2020-08-19,56.0,44.170813,100.324272,5.677645,282.3526,1.09,270.07,0.3833911479748622,0.04305923877653476,0.3403319091983274
2020-08-20,57.0,45.571774,98.007313,5.175033,282.2944,1.55,271.43,0.5225440388318248,0.13895619878759277,0.38358784004423196
2020-08-21,57.0,45.436346,95.874706,5.060051,282.4422,-0.93,271.28,0.6136462292315628,0.2338942048763868,0.37975202435517597
2020-08-24,55.0,41.987435,93.441068,4.50443,282.4196,-1.43,267.43,0.3709069626874566,0.2612967564386008,0.10961020624885581
2020-08-25,58.0,47.47448,91.214707,4.268418,282.5112,0.84,272.35,0.568978398156446,0.3228330847821699,0.24614531337427614
2020-08-26,57.0,46.455009,89.147371,3.974034,282.4616,-0.05,271.29,0.6331200823768199,0.38489048430109996,0.24822959807571998
2020-08-27,59.0,49.795682,87.302341,3.610926,282.3466,1.13,274.34,0.9194633383058886,0.49180505510205774,0.4276582832038308
2020-08-28,57.0,45.413788,85.388739,3.61853,282.162,0.95,269.96,0.7839264210046508,0.5502293282825764,0.2336970927220744
2020-08-31,62.0,54.442676,83.749077,3.573304,281.879,2.49,279.12,1.3995151448170304,0.7200864915894672,0.6794286532275632
2020-09-01,60.0,50.852934,82.233422,3.55965,281.5248,1.55,275.49,1.5762924623928711,0.891327685750148,0.6849647766427231
2020-09-02,70.0,56.321232,80.938466,4.244941,281.2466,2.75,281.89,2.207371073457807,1.1545363632916799,1.0528347101661273
2020-09-03,55.0,44.315613,78.576315,4.319079,280.7714,-0.94,267.42,1.5223486624864222,1.2280988231306285,0.29424983935579374
2020-09-04,55.0,43.678117,76.093435,4.422811,280.1984,-4.52,266.5,0.8949111762553343,1.1614612937555697,-0.2665501175002354
2020-09-08,51.0,38.555585,73.151804,5.167489,279.6478,-6.13,258.61,-0.23627102721633264,0.8819148295611893,-1.1181858567775218
2020-09-09,53.0,42.624326,70.42029,5.074705,279.205,-6.69,263.04,-0.7664420296260914,0.5522434577237332,-1.3186854873498246
2020-09-10,49.0,38.092786,67.231002,6.020398,278.5118,-4.4,255.65,-1.7625994585268927,0.08927487447360799,-1.8518743330005007
2020-09-11,51.0,40.231786,64.26952,6.532028,277.9454,-3.2,257.96,-2.338704572810741,-0.39632101498326183,-1.942383557827479
2020-09-14,54.0,46.163437,61.992575,6.592856,277.4194,2.39,264.8,-2.2177760489839784,-0.7606120217834051,-1.4571640272005733
2020-09-15,55.0,47.834419,59.878269,6.521929,276.9302,1.45,266.85,-1.9342249143734307,-0.9953346003014103,-0.9388903140720204
2020-09-16,56.0,48.4231,58.325159,6.502168,276.3,4.65,267.55,-1.6341865620219664,-1.1231049926455214,-0.511081569376445
2020-09-17,59.0,51.701711,55.694382,6.524349,275.8108,5.23,271.46,-1.0685817382477012,-1.1122003417659574,0.043618603518256194
2020-09-18,55.0,46.734954,53.06912,6.531751,275.2106,0.22,265.39,-1.0974830103533577,-1.1092568754834375,0.01177386513007983
2020-09-21,54.0,45.65339,50.631378,6.564936,274.6016,-1.07,264.0,-1.2185027191500808,-1.1311060442167662,-0.0873966749333146
2020-09-22,56.0,48.931448,48.659646,6.564303,274.2568,0.01,267.58,-1.0138486138580447,-1.107654558145022,0.0938059442869772
2020-09-23,54.0,45.806378,47.024882,6.548968,273.6566,-2.81,263.82,-1.1418962679584865,-1.114502900107715,-0.02739336785077162
2020-09-24,54.0,45.235432,44.714513,6.562784,273.017,-0.85,263.13,-1.2842481762370426,-1.1484519553335806,-0.135796220903462
2020-09-25,57.0,50.134334,43.075666,6.363298,272.5694,1.58,268.18,-0.9782931394042294,-1.1144201921477104,0.13612705274348103
2020-09-28,57.0,49.707631,41.716228,6.328495,272.0334,0.06,267.73,-0.7633335733453919,-1.0442028683872466,0.28086929504185476
2020-09-29,59.0,52.218612,40.562645,5.734997,271.3776,2.46,270.31,-0.3804070349990525,-0.9114437017096079,0.5310366667105554
2020-09-30,67.0,53.955465,39.78647,5.509585,270.992,3.42,272.12,0.06832922193899549,-0.7154891169798873,0.7838183389188828
2020-10-01,68.0,55.29928,39.139161,4.532388,270.6376,1.99,273.51,0.530007722708774,-0.466389749042155,0.9963974717509291
2020-10-02,53.0,42.95445,36.830187,4.640997,270.1644,-2.59,260.8,-0.12822146013780866,-0.3987560912612858,0.27053463112347714
2020-10-05,57.0,50.598114,34.686139,4.700162,269.9742,-0.49,268.98,0.0100687408814224,-0.3169911248327442,0.3270598657141666
2020-10-06,51.0,44.340588,32.47995,4.550602,269.5096,-4.09,260.98,-0.5198756171905075,-0.3575680233042969,-0.16230759388621058
2020-10-07,54.0,48.491004,30.431346,4.509747,269.2556,-2.81,265.82,-0.5430528137745796,-0.39466498139835343,-0.14838783237622616
2020-10-08,55.0,50.70738,28.887283,3.886473,269.0518,2.96,268.53,-0.3388406137902962,-0.38350010787674205,0.04465949408644587
2020-10-09,63.0,51.875876,27.623475,3.424003,268.8628,0.36,269.95,-0.06170751563979593,-0.31914158942935283,0.2574340737895569
2020-10-12,65.0,55.58857,27.401668,3.749225,268.9148,5.22,274.6,0.5270629460523537,-0.14990068233301151,0.6769636283853653
2020-10-13,65.0,56.740241,27.602063,4.17755,268.8462,3.86,276.09,1.101204328334802,0.10032031980055123,1.0008840085342507
2020-10-14,63.0,52.209565,26.911769,4.241674,268.7612,1.09,271.46,1.1691361312246045,0.3140834820853619,0.8550526491392425
2020-10-15,26.0,25.550146,28.345881,12.236006,267.6022,-20.25,215.28,-3.2725598765537143,-0.40324518964245337,-2.869314686911261
