date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,64.0,69.177413,131.686396,1.055806,56.2174,1.86,58.99,0.0,0.0,0.0
2020-08-11,62.0,63.763858,129.094329,1.060195,56.272,1.69,58.51,-0.038290598290601,-0.0076581196581201995,-0.030632478632480798
2020-08-12,62.0,64.327543,126.687409,1.01237,56.316,1.33,58.6,-0.06067450751211112,-0.018261397228918386,-0.04241311028319274
2020-08-13,62.0,63.383695,124.302515,0.996411,56.3498,-0.02,58.52,-0.08390207732939814,-0.03138953324901434,-0.0525125440803838
2020-08-14,62.0,65.23756,122.093607,1.014643,56.3812,-0.34,58.79,-0.07960570522238442,-0.04103276764368836,-0.03857293757869606
2020-08-17,62.0,65.106083,120.042478,0.984401,56.402,0.46,58.78,-0.07613013499356214,-0.048052241113663116,-0.02807789387989902
2020-08-18,64.0,67.893398,118.1479,0.953551,56.4238,0.99,59.18,-0.040630698090701856,-0.04656793250907087,0.005937234418369013
2020-08-19,64.0,66.046886,116.38865,0.871268,56.4476,0.91,59.05,-0.02272509142218837,-0.04179936429169437,0.019074272869505998
2020-08-20,64.0,64.734243,114.544032,0.754534,56.4658,0.29,58.96,-0.015616993987627836,-0.036562890230881065,0.02094589624325323
2020-08-21,64.0,64.984066,112.798342,0.721699,56.5166,0.36,58.99,-0.007476837946448711,-0.030745679773994596,0.023268841827545884
2020-08-24,66.0,69.484758,111.197672,0.712759,56.5774,0.66,59.57,0.04525378958376791,-0.015545785902442096,0.06079957548621001
2020-08-25,65.0,67.083296,109.716518,0.721752,56.6428,0.63,59.42,0.07408543463356665,0.002380458204759654,0.071704976428807
2020-08-26,65.0,67.406793,108.123479,0.717948,56.6936,0.85,59.46,0.09902093506137533,0.02170855357608279,0.07731238148529254
2020-08-27,65.0,66.875951,106.659991,0.684419,56.7492,0.75,59.43,0.11503568969784794,0.04037398080043582,0.07466170889741212
2020-08-28,64.0,63.809335,104.8052,0.64236,56.7966,-0.52,59.26,0.1127106605418291,0.05484131674871448,0.05786934379311462
2020-08-31,64.0,63.914159,103.085682,0.553448,56.8588,-0.25,59.27,0.11040232532794647,0.06595351846456088,0.04444880686338559
2020-09-01,64.0,61.793903,101.267977,0.51535,56.9288,-0.5,59.16,0.09856072565521856,0.07247495990269243,0.026085765752526135
2020-09-02,69.0,73.558738,99.739205,0.534783,57.0406,1.85,60.53,0.19744766920899792,0.09746950176395353,0.0999781674450444
2020-09-03,69.0,74.061041,98.375245,0.562401,57.1742,2.28,60.61,0.2790548452786652,0.13378657046689588,0.14526827481176932
2020-09-04,69.0,71.678158,97.131776,0.608331,57.2982,2.04,60.48,0.3294416089198293,0.17291757815748257,0.15652403076234675
2020-09-08,67.0,62.952978,95.528769,0.621951,57.4342,1.35,59.96,0.32368261622933403,0.20307058577185289,0.12061203045748115
2020-09-09,74.0,63.685368,94.040262,0.610812,57.5412,-0.81,60.04,0.3218636605176499,0.22682920072101231,0.0950344597966376
2020-09-10,72.0,56.074764,92.050344,0.582662,57.6292,-1.78,59.53,0.27608683013934865,0.2366807266046796,0.03940610353466906
2020-09-11,73.0,58.779242,90.147232,0.54595,57.7316,-1.14,59.79,0.257816244171849,0.24090783011811348,0.016908414053735527
2020-09-14,75.0,63.687353,88.568008,0.546475,57.8422,0.6,60.32,0.2828428079389482,0.24929482568228042,0.0335479822566678
2020-09-15,75.0,65.991214,87.172305,0.555558,57.9494,0.93,60.6,0.32156341706771485,0.2637485439593673,0.05781487310834754
2020-09-16,74.0,62.484314,85.876296,0.56245,58.056,1.41,60.37,0.3298879579285128,0.2769764267531964,0.052911531175316384
2020-09-17,75.0,64.431397,84.381845,0.568103,58.1602,1.34,60.59,0.35020048472340193,0.2916212383472375,0.05857924637616441
2020-09-18,74.0,60.72854,82.99414,0.5435,58.2884,0.05,60.35,0.3429786697083017,0.3018927246194504,0.04108594508885133
2020-09-21,71.0,50.996855,80.226197,0.508005,58.3908,-1.63,59.61,0.2743806246713021,0.29639030462982074,-0.022009679958518658
2020-09-22,72.0,53.284701,77.789532,0.502345,58.4982,-0.91,59.82,0.23426100961756902,0.28396444562737044,-0.04970343600980143
2020-09-23,68.0,43.752149,74.723121,0.53918,58.5676,-2.77,58.91,0.12756602905275827,0.252684762312448,-0.12511873325968975
2020-09-24,69.0,46.89992,71.643006,0.553334,58.6502,-1.92,59.19,0.06485553397717325,0.21511891664539307,-0.1502633826682198
2020-09-25,70.0,49.091444,68.782901,0.555067,58.7224,-0.37,59.39,0.030938701265782242,0.1782828735694709,-0.14734417230368865
2020-09-28,70.0,48.766323,66.355457,0.549804,58.7836,-0.77,59.36,0.0016199439988469067,0.14295028765534612,-0.1413303436564992
2020-09-29,69.0,47.413666,63.991877,0.551542,58.851,0.56,59.24,-0.030941702794322623,0.10817188956541238,-0.139113592359735
2020-09-30,70.0,50.494476,61.952474,0.53404,58.924,0.51,59.49,-0.03615733258617837,0.07930604513509423,-0.1154633777212726
2020-10-01,70.0,49.989849,60.027973,0.523006,58.998,0.1,59.45,-0.04302248604036407,0.054840338900002575,-0.09786282494036665
2020-10-02,69.0,47.316294,58.240936,0.509169,59.0658,-0.2,59.24,-0.06466301953249598,0.030939667213502865,-0.09560268674599884
2020-10-05,70.0,52.758175,56.817226,0.484071,59.122,0.71,59.66,-0.0473766794533077,0.015276397880140754,-0.06265307733344845
2020-10-06,70.0,50.104111,55.600627,0.485257,59.1738,-0.05,59.46,-0.049247761391796985,0.002371566025753207,-0.051619327417550195
2020-10-07,70.0,52.052323,54.220152,0.480124,59.2164,0.27,59.61,-0.03818666876364318,-0.005740080932126071,-0.03244658783151711
