date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,22.0,45.539013,121.966551,0.748541,26.436,1.98,24.7,0.0,0.0,0.0
2020-08-11,25.0,50.389542,118.552898,0.722668,26.4006,3.77,25.32,0.04945868945868881,0.009891737891737763,0.039566951566951045
2020-08-12,24.0,49.39612,115.064193,0.721488,26.3564,3.92,25.19,0.07727437277294769,0.02336826486797975,0.053906107904967936
2020-08-13,24.0,48.061732,111.796861,0.718692,26.2802,-0.2,25.02,0.08462541385650724,0.03561969466568525,0.049005719190821986
2020-08-14,26.0,50.436625,108.797556,0.718175,26.1818,2.43,25.3,0.11175656668429212,0.05084706906940663,0.0609094976148855
2020-08-17,22.0,44.012199,105.855678,0.722565,26.0378,-3.36,24.47,0.06552876258430018,0.05378340777238534,0.01174535481191484
2020-08-18,20.0,41.091949,102.775969,0.718969,25.8522,-4.57,24.04,-0.005738363278474878,0.0418790535622133,-0.04761741684068818
2020-08-19,21.0,41.384163,99.774153,0.691367,25.681,-3.8,24.07,-0.05911587370339788,0.021680068109091066,-0.08079594181248895
2020-08-20,20.0,39.153137,96.777265,0.656155,25.5618,-6.13,23.75,-0.1257892408602146,-0.007813793684770063,-0.11797544717544453
2020-08-21,21.0,38.387042,93.921092,0.612154,25.4988,-3.39,23.64,-0.1853676425829569,-0.04332456346440743,-0.14204307911854946
2020-08-24,25.0,47.014528,91.423035,0.583423,25.4292,1.87,24.49,-0.16212715797732358,-0.06708508236699066,-0.09504207561033291
2020-08-25,26.0,48.119031,89.19998,0.544981,25.3572,2.24,24.61,-0.13249854858000276,-0.0801677756095931,-0.05233077297040967
2020-08-26,24.0,43.482405,86.864443,0.480867,25.2676,1.22,24.04,-0.15324538111965325,-0.09478329671160513,-0.05846208440804812
2020-08-27,27.0,48.62637,84.755534,0.480036,25.2104,4.02,24.59,-0.12387899201402774,-0.10060243577208966,-0.023276556241938084
2020-08-28,27.0,49.525878,82.797262,0.479084,25.1532,0.82,24.69,-0.09148220291971754,-0.09877838920161525,0.00729618628189771
2020-08-31,25.0,44.94906,80.661911,0.483208,25.0842,-1.87,24.15,-0.10813449405187114,-0.10064961017166643,-0.007484883880204712
2020-09-01,25.0,44.135645,78.250092,0.489513,25.0182,0.04,24.05,-0.1279260669439921,-0.10610490152613157,-0.02182116541786054
2020-09-02,27.0,49.275997,76.151782,0.489326,24.965,-0.08,24.57,-0.10049295662363988,-0.10498251254563325,0.004489555921993363
2020-09-03,27.0,48.810918,74.497851,0.485679,24.933,-0.69,24.52,-0.08184316413193216,-0.10035464286289303,0.018511478730960873
2020-09-04,29.0,51.47435,72.894683,0.473329,24.8814,2.65,24.79,-0.04476035617823371,-0.08923578552596118,0.04447542934772747
2020-09-08,29.0,43.988554,70.717162,0.484513,24.854,-0.33,23.97,-0.08060989004723496,-0.08751060643021594,0.0069007163829809814
2020-09-09,25.0,42.922826,68.640974,0.460472,24.8168,-2.97,23.84,-0.11814887082725889,-0.09363825930962454,-0.024510611517634354
2020-09-10,26.0,44.155719,67.043412,0.431055,24.7838,-2.32,23.95,-0.1374383985514669,-0.10239828715799301,-0.03504011139347388
2020-09-11,27.0,47.695235,65.341672,0.400737,24.7674,-2.1,24.27,-0.12545796131485787,-0.10701022198936598,-0.018447739325491888
2020-09-14,38.0,53.097653,64.121788,0.350007,24.7568,3.5,24.81,-0.07156493543073594,-0.09992116467763998,0.028356229246904036
2020-09-15,38.0,53.764326,63.026724,0.372658,24.7446,4.36,24.88,-0.022941454348526236,-0.08452522261181723,0.061583768263291
2020-09-16,41.0,60.867068,62.488683,0.479859,24.7696,7.35,25.71,0.0816261328737049,-0.05129495151471281,0.1329210843884177
2020-09-17,38.0,54.365348,61.989074,0.500493,24.7808,3.46,25.11,0.11475884499512645,-0.01808419221274496,0.1328430372078714
2020-09-18,38.0,54.539674,61.52515,0.498282,24.8026,1.29,25.13,0.14100517107321764,0.01373368044444756,0.12727149062877008
2020-09-21,26.0,44.551416,59.235868,0.471025,24.774,-3.38,24.04,0.07301006847259472,0.025588958050076993,0.04742111042251773
2020-09-22,23.0,41.614793,56.84933,0.507053,24.7388,-8.01,23.65,-0.01220558249339021,0.018030049941383554,-0.030235632434773764
2020-09-23,19.0,36.210326,53.728945,0.618397,24.7104,-9.08,22.83,-0.14424399185428172,-0.014424758417749501,-0.1298192334365322
2020-09-24,22.0,41.130312,50.507156,0.656873,24.6698,-7.2,23.32,-0.20696076281390674,-0.052931959296980954,-0.15402880351692577
2020-09-25,24.0,44.159342,47.515496,0.671516,24.6334,-1.66,23.64,-0.22821224133994988,-0.08798801570557474,-0.14022422563437514
2020-09-28,24.0,45.847212,45.311957,0.672762,24.6108,0.72,23.82,-0.22790257646616396,-0.11597092785769259,-0.11193164860847138
2020-09-29,22.0,41.631149,42.394396,0.706651,24.5846,1.88,23.26,-0.269735145850337,-0.14672377145622145,-0.12301137439411552
2020-09-30,23.0,44.102439,39.848297,0.722315,24.5308,0.81,23.51,-0.279493026184376,-0.17327762240185238,-0.10621540378252362
2020-10-01,22.0,44.607573,37.368118,0.728632,24.4768,-0.34,23.56,-0.2799643794240403,-0.19461497380628998,-0.08534940561775031
2020-10-02,24.0,48.88558,35.393609,0.723605,24.4296,0.71,23.99,-0.2428412017123911,-0.2042602193875102,-0.038580982324880886
2020-10-05,33.0,53.06187,34.12005,0.711176,24.3934,5.12,24.45,-0.17429351317235486,-0.19826687814447916,0.023973364972124295
2020-10-06,24.0,50.456011,33.339813,0.710921,24.3672,2.85,24.18,-0.14014026986409434,-0.18664155648840222,0.046501286624307886
2020-10-07,35.0,55.898344,32.615308,0.724654,24.3528,5.31,24.81,-0.06152858043608944,-0.16161896127793968,0.10009038084185023
2020-10-08,36.0,59.614228,32.345379,0.765005,24.3432,5.46,25.3,0.03985127402101796,-0.12132491421814816,0.16117618823916613
