date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,77.0,60.248781,34.634026,0.351927,41.8046,0.18,43.96,0.0,0.0,0.0
2020-08-11,74.0,53.75749,35.137836,0.351202,41.8462,0.3,43.4,-0.04467236467236546,-0.008934472934473093,-0.035737891737892366
2020-08-12,77.0,58.565146,35.038966,0.349464,41.8992,1.95,43.96,-0.034490629134502626,-0.014045704174479,-0.020444924960023626
2020-08-13,77.0,58.448288,34.947159,0.343603,41.955,1.45,43.95,-0.02691815110188145,-0.01662019355995949,-0.010297957541921959
2020-08-14,78.0,60.566694,35.300078,0.359251,42.025,0.55,44.2,-0.0007355184426884875,-0.013443258536505291,0.012707740093816804
2020-08-17,80.0,67.667451,36.669478,0.488289,42.1186,4.15,45.2,0.099558401942069,0.00915707355920957,0.09040132838285943
2020-08-18,79.0,63.947226,38.297871,0.544383,42.2084,2.14,44.9,0.15307006717865335,0.03793967228309832,0.11513039489555502
2020-08-19,75.0,55.606703,38.737123,0.541506,42.2822,0.43,44.14,0.1326239921682415,0.05687653626012696,0.07574745590811455
2020-08-20,72.0,49.889973,37.891311,0.544109,42.3448,-1.54,43.52,0.06563491354562956,0.058628211717227485,0.007006701828402073
2020-08-21,73.0,52.916765,37.324159,0.544614,42.4218,-2.92,43.88,0.04112056518265916,0.05512668241031382,-0.014006117227654657
2020-08-24,72.0,51.977572,36.797518,0.544551,42.5124,-2.49,43.78,0.013468348485943693,0.0467950156254398,-0.033326667139496106
2020-08-25,71.0,49.697778,35.838617,0.545893,42.596,-1.36,43.54,-0.027495278253482525,0.031936956849655335,-0.05943223510313786
2020-08-26,71.0,49.993042,34.94821,0.545715,42.6698,0.11,43.57,-0.05688278890968945,0.014173007697786379,-0.07105579660747582
2020-08-27,79.0,64.661761,36.471656,0.661026,42.787,3.78,45.54,0.07789204221617752,0.026916814601464608,0.050975227614712904
2020-08-28,81.0,70.483473,38.153247,0.893129,42.9358,6.83,46.77,0.2807168581442454,0.07767682331002077,0.20304003483422464
2020-08-31,78.0,65.830724,38.450597,0.987886,43.0624,6.29,46.28,0.3973378181090439,0.1416090222698254,0.2557287958392185
2020-09-01,85.0,75.998608,40.189919,1.464669,43.2352,12.92,49.2,0.71711392271839,0.25671000235953834,0.4604039203588517
2020-09-02,82.0,76.077373,41.96085,1.764752,43.4126,8.1,49.23,0.9618716807716581,0.39774233804196235,0.5641293427296957
2020-09-03,78.0,67.703024,42.173414,1.869252,43.5742,3.01,48.18,1.0589112726279595,0.5299761249591618,0.5289351476687977
2020-09-04,76.0,63.609584,41.796528,1.906941,43.7284,2.87,47.61,1.0774019924854272,0.6394612984644149,0.4379406940210123
2020-09-08,70.0,54.517221,40.858996,1.893095,43.8626,-6.2,46.15,0.9631437018611066,0.7041977791437533,0.2589459227173534
2020-09-09,71.0,56.708175,40.114926,1.857289,44.0014,-5.28,46.63,0.9009396997838053,0.7435461632717637,0.15739353651204158
2020-09-10,67.0,51.027839,38.532273,1.822864,44.1148,-5.35,45.6,0.7597720092698594,0.7467913324713829,0.012980676798476587
2020-09-11,66.0,50.868016,36.754429,1.783604,44.2282,-4.28,45.57,0.6381190094738045,0.7250568678718672,-0.08693785839806267
2020-09-14,67.0,51.948538,35.659528,1.751237,44.3488,-0.82,45.77,0.5514892345968576,0.6903433412168652,-0.13885410662000763
2020-09-15,66.0,52.062074,34.642834,1.746636,44.472,-1.8,45.79,0.4789275678460001,0.6480601865426923,-0.16913261869669216
2020-09-16,64.0,49.72147,33.487677,1.737151,44.534,-0.39,45.42,0.38710372560136364,0.5958688943544266,-0.20876516875306295
2020-09-17,65.0,50.625986,32.070562,1.696038,44.6156,-0.02,45.56,0.3219186215566907,0.5410788397948794,-0.21916021823818865
2020-09-18,62.0,47.596146,30.66155,1.619359,44.666,-1.46,45.1,0.23048392611933366,0.47895985705977023,-0.24847593094043657
2020-09-21,64.0,51.59738,29.353182,1.549751,44.7086,-0.22,45.69,0.203285986091565,0.42382508286612924,-0.22053909677456424
2020-09-22,66.0,54.213654,28.632679,1.459789,44.7672,1.5,46.1,0.21236696201177097,0.3815334586952576,-0.16916649668348666
2020-09-23,63.0,48.870999,27.662419,1.34659,44.7938,-0.5,45.33,0.15563704899186348,0.3363541767545788,-0.1807171277627153
2020-09-24,64.0,50.508145,26.460017,1.210952,44.8252,1.04,45.57,0.12856219350342002,0.29479578010434704,-0.16623358660092702
2020-09-25,64.0,51.823325,25.343502,1.204485,44.859,0.15,45.76,0.12104129882155235,0.2600448838477881,-0.13900358502623578
2020-09-28,64.0,51.745387,24.496036,1.207868,44.8958,-0.76,45.75,0.11297175114975744,0.23063025730818199,-0.11765850615842455
2020-09-29,64.0,51.412314,23.553604,1.215049,44.9336,0.84,45.71,0.10217114541089956,0.2049384349287255,-0.10276728951782593
2020-09-30,68.0,58.156152,23.843773,1.020616,44.9842,2.35,46.64,0.1667328230182079,0.19729731254662197,-0.030564489528414063
2020-10-01,73.0,64.198118,24.768975,0.82536,45.0536,4.22,47.69,0.29917592857358954,0.2176730357520155,0.08150289282157405
2020-10-02,70.0,56.94543,25.567801,0.696005,45.1126,2.36,46.83,0.33092849356913234,0.2403241273154389,0.09060436625369345
2020-10-05,72.0,59.468385,26.309567,0.660025,45.183,3.41,47.27,0.3871343095221178,0.2696861637567747,0.11744814576534313
2020-10-06,70.0,56.318202,26.550896,0.687132,45.2458,0.51,46.88,0.3956473070975619,0.29487839242493213,0.10076891467262977
2020-10-07,70.0,56.823454,26.774986,0.705,45.3066,-1.53,46.96,0.40418999970399483,0.3167407138807447,0.08744928582325012
2020-10-08,71.0,57.872957,27.155839,0.733788,45.3778,0.62,47.12,0.41904037140756145,0.33720064538610806,0.0818397260214534
2020-10-09,72.0,60.881007,27.895337,0.787434,45.4622,0.68,47.59,0.46339276665785434,0.36243906964045736,0.10095369701739698
2020-10-12,74.0,63.784385,29.125809,0.876394,45.5612,2.56,48.08,0.5319492841142619,0.3963411125352183,0.1356081715790436
2020-10-13,76.0,67.304346,30.55574,1.009255,45.674,3.79,48.74,0.632249127886503,0.4435227156054753,0.1887264122810277
2020-10-14,73.0,60.064729,31.488493,1.027667,45.756,1.83,47.98,0.6429997276751607,0.48341811801941237,0.1595816096557483
2020-10-15,74.0,61.246107,31.756673,1.051234,45.8542,1.24,48.18,0.6600493459976136,0.5187443636150526,0.14130498238256095
2020-10-16,74.0,61.612987,32.352283,1.027519,45.9566,0.33,48.24,0.6706717039881696,0.549129831689676,0.12154187229849356
2020-10-19,71.0,55.998983,31.857147,1.000016,46.0432,-2.24,47.65,0.6242855547900135,0.5641609763097435,0.060124578480269975
2020-10-20,72.0,58.222429,31.448684,0.99859,46.1234,-0.02,47.97,0.6063558304348788,0.5725999471347706,0.03375588330010826
2020-10-21,73.0,59.32906,31.144909,0.935319,46.218,-0.1,48.13,0.5981618204080945,0.5777123217894354,0.02044949861865908
2020-10-22,72.0,56.508128,30.144309,0.861202,46.2958,-0.81,47.85,0.5625891707243369,0.5746876915764157,-0.012098520852078853
2020-10-23,72.0,57.289198,29.215181,0.78807,46.3758,0.63,47.95,0.5362847965194106,0.5670071125650147,-0.030722316045604048
2020-10-26,70.0,51.690755,27.257827,0.684316,46.4396,-1.21,47.39,0.4648920840053563,0.546584106853083,-0.0816920228477267
2020-10-27,71.0,53.692332,25.72185,0.539969,46.488,-1.06,47.62,0.42200728549427424,0.5216687425813212,-0.09966145708704699
2020-10-28,67.0,45.411199,24.498657,0.53633,46.5236,-2.45,46.68,0.3086131295611665,0.47905761997729035,-0.17044449041612386
