date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2020-08-10,36.0,53.61818,115.667185,0.791668,45.2794,2.39,44.51,0.0,0.0,0.0
2020-08-11,36.0,55.685822,113.104568,0.843409,45.2532,2.55,44.97,0.03669515669515988,0.007339031339031976,0.029356125356127905
2020-08-12,34.0,51.001766,110.265796,0.818355,45.1888,1.03,44.09,-0.005172685286645162,0.004836688013896549,-0.010009373300541712
2020-08-13,32.0,45.89899,107.329479,0.81046,45.0642,-0.99,43.01,-0.12407002375915255,-0.02094465434071327,-0.10312536941843928
2020-08-14,32.0,46.905427,104.380394,0.813298,44.9462,-2.94,43.2,-0.20065261061073159,-0.056886245594716944,-0.14376636501601464
2020-08-17,31.0,44.29022,101.641959,0.805258,44.7374,-5.18,42.64,-0.3030389380800713,-0.10611678409178782,-0.1969221539882835
2020-08-18,31.0,43.314921,99.010395,0.792405,44.4912,-3.77,42.43,-0.39655484777166095,-0.16420439682776244,-0.2323504509438985
2020-08-19,30.0,41.131844,96.349587,0.849267,44.26,-2.44,41.96,-0.5027960323132561,-0.23192272392486118,-0.2708733083883949
2020-08-20,28.0,38.301034,93.575411,0.947299,44.0734,-4.35,41.32,-0.6313576893494073,-0.31180971700977045,-0.31954797233963683
2020-08-21,27.0,36.973671,90.679408,1.057164,43.97,-3.82,41.01,-0.7496170196273013,-0.39937117753327667,-0.35024584209402465
2020-08-24,31.0,44.987686,88.182366,1.046456,43.871,-0.49,42.22,-0.7372034804475618,-0.46693763811613376,-0.27026584233142803
2020-08-25,27.0,39.063804,85.639657,1.131681,43.7458,-2.57,40.88,-0.8259711807432382,-0.5387443466415547,-0.2872268341016835
2020-08-26,24.0,35.770467,82.870164,1.253535,43.582,-3.17,40.01,-0.9555074566929136,-0.6220969686518265,-0.3334104880410871
2020-08-27,23.0,34.790196,79.897162,1.396923,43.4442,-3.1,39.74,-1.0676454796541393,-0.7112066708522891,-0.3564388088018502
2020-08-28,26.0,40.924633,77.286327,1.451397,43.3196,-3.62,40.69,-1.067552529214602,-0.7824758425247517,-0.2850766866898503
2020-08-31,24.0,37.893857,74.861981,1.552427,43.1988,-2.3,39.94,-1.1151429238364443,-0.8490092587870903,-0.266133665049354
2020-09-01,24.0,35.944488,72.060853,1.653248,43.059,-1.45,39.43,-1.1804044247642551,-0.9152882919825234,-0.26511613278173174
2020-09-02,23.0,35.031203,69.394317,1.723965,42.9088,-1.38,39.19,-1.2372286272032582,-0.9796763590266704,-0.25755226817658783
2020-09-03,23.0,34.714576,67.021128,1.779276,42.801,-3.88,39.11,-1.2740313085762267,-1.0385473489365817,-0.23548395963964497
2020-09-04,23.0,34.58832,64.648932,1.818121,42.6792,-2.15,39.08,-1.2907396052806774,-1.088985800205401,-0.20175380507527652
2020-09-08,21.0,30.95155,61.534335,1.812585,42.5704,-3.17,38.18,-1.3609157396755478,-1.1433717880994303,-0.2175439515761175
2020-09-09,21.0,30.081088,58.712634,1.717019,42.443,-3.16,37.95,-1.4187356086210983,-1.198444552203764,-0.22029105641733437
2020-09-10,18.0,26.736434,55.404232,1.733815,42.2886,-5.4,37.0,-1.5236516243633886,-1.263485966635689,-0.2601656577276996
2020-09-11,19.0,26.403636,52.066809,1.793021,42.1524,-5.58,36.9,-1.5964644386986464,-1.3300816610482804,-0.266382777650366
2020-09-14,18.0,25.58066,48.967773,1.802207,42.004,-3.98,36.66,-1.6544634876655948,-1.3949580263717434,-0.25950546129385144
2020-09-15,18.0,24.257515,46.308185,1.83769,41.8416,-4.43,36.27,-1.712161164347222,-1.4583986539668392,-0.2537625103803829
2020-09-16,23.0,37.913776,44.278065,1.742587,41.733,2.19,37.81,-1.6150050858003837,-1.4897199403335482,-0.12528514546683556
2020-09-17,23.0,37.866037,42.392954,1.654855,41.6262,2.44,37.8,-1.5212787554767857,-1.4960317033621957,-0.025247052114589996
2020-09-18,21.0,34.97298,40.410366,1.617146,41.5428,1.45,37.19,-1.4791709040212382,-1.4926595434940044,0.01348863947276624
2020-09-21,19.0,31.721184,37.743652,1.619764,41.4184,0.44,36.43,-1.4899505542595293,-1.4921177456471095,0.0021671913875802584
2020-09-22,15.0,28.358483,35.106398,1.530956,41.2758,-6.03,35.53,-1.553211527474602,-1.504336502012608,-0.04887502546199385
2020-09-23,12.0,24.775765,33.343733,1.63196,41.0822,-9.02,34.39,-1.6760147227003728,-1.5386721461501611,-0.13734257655021165
2020-09-24,12.0,24.5705,32.087898,1.742858,40.876,-7.72,34.32,-1.7587122149974874,-1.5826801599196265,-0.1760320550778609
2020-09-25,13.0,27.52654,30.815321,1.795184,40.6832,-4.91,34.64,-1.77793432759497,-1.6217309934546953,-0.15620333414027465
2020-09-28,15.0,33.410684,28.818757,1.685599,40.519,-0.62,35.31,-1.7192857340164167,-1.6412419415670396,-0.07804379244937709
2020-09-29,12.0,29.451878,27.73197,1.669573,40.3546,-0.32,34.28,-1.7359082235601022,-1.6601751979656523,-0.07573302559444994
2020-09-30,12.0,29.886189,26.72281,1.648979,40.1482,0.03,34.33,-1.7251605076919247,-1.673172259910907,-0.05198824778101785
2020-10-01,10.0,25.783632,26.531584,1.704457,39.9386,-4.36,33.13,-1.792806479502417,-1.697099103829209,-0.09570737567320808
2020-10-02,10.0,25.315823,26.755168,1.725413,39.7242,-6.6,32.98,-1.837340429160193,-1.725147368895406,-0.11219306026478693
2020-10-05,12.0,32.043491,26.575576,1.640618,39.5304,-1.58,33.74,-1.790666567163747,-1.7382512085490742,-0.052415358614672725
2020-10-06,15.0,30.673135,25.786485,1.616684,39.3168,-2.74,33.39,-1.7616124978826164,-1.7429234664157827,-0.01868903146683376
2020-10-07,12.0,31.66229,25.12101,1.57008,39.1158,1.12,33.5,-1.7099990533132612,-1.7363385837952785,0.026339530482017315
2020-10-08,18.0,45.147629,23.490583,1.519763,38.9404,6.91,35.26,-1.5096751402938153,-1.691005895094986,0.18133075480117067
2020-10-09,15.0,42.480367,22.409623,1.470573,38.7978,2.96,34.74,-1.3770034119703922,-1.6282053984700673,0.25120198649967507
2020-10-12,16.0,41.916228,21.065461,1.427796,38.6488,3.71,34.63,-1.2661409078768813,-1.5557925003514301,0.28965159247454886
2020-10-13,14.0,39.79493,19.924345,1.405165,38.4882,2.15,34.22,-1.197560417115561,-1.4841460837042564,0.28658566658869544
2020-10-14,14.0,39.428054,18.802435,1.24047,38.3018,-3.15,34.15,-1.1357658968083726,-1.4144700463250797,0.2787041495167071
2020-10-15,16.0,41.900231,17.816657,1.016201,38.1138,-0.83,34.45,-1.0504765615613252,-1.341671349372329,0.2911947878110037
2020-10-16,16.0,39.856438,16.735801,0.815116,37.923,-1.53,34.1,-0.9996034178599515,-1.2732577630698536,0.27365434520990206
2020-10-19,15.0,36.165475,16.154471,0.6903,37.7226,-2.34,33.42,-1.002599064044233,-1.2191260232647294,0.21652695922049636
2020-10-20,16.0,38.683459,15.666555,0.629971,37.5064,-1.32,33.7,-0.9711842675898126,-1.1695376721297461,0.19835340453993355
2020-10-21,14.0,35.754285,15.384414,0.66124,37.2702,-3.74,33.16,-0.9785808314207927,-1.1313463039879554,0.15276547256716277
2020-10-22,20.0,48.878279,14.780993,0.681509,37.0856,2.23,34.86,-0.8376114061439779,-1.07259932441916,0.23498791827518217
2020-10-23,18.0,44.81841,14.326017,0.670414,36.9086,2.21,34.16,-0.773460301939707,-1.0127715199232694,0.23931121798356236
2020-10-26,16.0,40.614543,13.589267,0.624475,36.7116,-1.04,33.35,-0.7790004875125405,-0.9660173134411237,0.18701682592858326
2020-10-27,14.0,38.096552,13.129965,0.668622,36.5152,-1.03,32.82,-0.8167427925908299,-0.936162409271065,0.11941961668023504
2020-10-28,9.0,32.913711,13.65088,0.831536,36.298,-9.44,31.57,-0.9367204641753517,-0.9362740202519224,-0.00044644392342929606
2020-10-29,15.0,42.370246,13.368369,0.838363,36.1182,-3.48,32.97,-0.908364275654101,-0.9306920713323582,0.022327795678257156
2020-10-30,14.0,40.821048,13.096029,0.858507,35.9442,-2.19,32.62,-0.9037163869191787,-0.9252969344497224,0.021580547530543726
2020-11-02,19.0,48.724132,12.680698,0.860227,35.8038,3.56,33.99,-0.7804883671192258,-0.8963352209836232,0.11584685386439741
2020-11-03,17.0,45.92775,12.319852,0.859816,35.6276,5.83,33.41,-0.7213155497019557,-0.8613312867272898,0.1400157370253341
2020-11-04,16.0,45.063376,11.469109,0.865797,35.4746,0.79,33.23,-0.6810939343499385,-0.8252838162518196,0.1441898819018811
2020-11-05,16.0,44.760967,10.679134,0.799696,35.3378,1.69,33.17,-0.6466058432980759,-0.7895482216610709,0.14294237836299495
2020-11-06,15.0,42.752661,10.442304,0.778207,35.1986,-3.56,32.78,-0.643327642692789,-0.7603041058674146,0.11697646317462562
2020-11-09,35.0,62.192055,12.131767,1.052635,35.1234,10.54,36.93,-0.3023737517035485,-0.6687180350346414,0.3663442833310929
2020-11-10,34.0,61.81079,13.627857,1.26047,35.0618,10.92,36.86,-0.03738282569540985,-0.5424509931667952,0.5050681674713854
2020-11-11,33.0,59.672179,15.017084,1.389857,35.0028,9.98,36.48,0.1403437724670411,-0.405892040040028,0.5462358125070691
