date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-06-22,58.0,50.5797,135.908234,0.692113,41.413,1.71,40.56
2020-06-23,57.0,48.53108,132.044519,0.664818,41.3848,1.71,40.36
2020-06-24,56.0,45.926853,128.211826,0.660425,41.3268,1.96,40.1
2020-06-25,55.0,43.972159,124.43174,0.636714,41.2664,-0.13,39.9
2020-06-26,52.0,39.778671,120.940427,0.615008,41.173,-2.76,39.44
2020-06-29,54.0,42.962329,117.698494,0.568061,41.086,-1.66,39.69
2020-06-30,56.0,45.918183,114.70206,0.499414,41.019,-0.42,39.93
2020-07-01,56.0,45.60007,111.919657,0.430735,40.9556,0.0,39.9
2020-07-02,56.0,43.855051,109.36953,0.401613,40.8732,0.76,39.74
2020-07-06,55.0,42.646742,106.831675,0.384199,40.809,-0.15,39.63
2020-07-07,75.0,66.763453,104.75635,0.646912,40.7924,5.99,42.32
2020-07-08,70.0,58.492228,102.848132,0.718195,40.7666,3.96,41.48
2020-07-09,74.0,64.665654,101.078326,0.904961,40.7648,7.15,42.58
2020-07-10,78.0,69.078116,99.546666,1.168994,40.812,9.92,43.56
2020-07-13,74.0,65.568943,98.199399,1.293177,40.865,2.01,43.17
2020-07-14,77.0,69.159667,96.948366,1.467314,40.9256,6.08,44.0
2020-07-15,76.0,69.159666,95.84363,1.611438,40.981,3.33,44.0
2020-07-16,76.0,69.47108,94.817804,1.716859,41.0308,1.17,44.07
2020-07-17,75.0,67.78623,93.890551,1.759024,41.087,1.71,43.91
2020-07-20,75.0,66.804772,92.897125,1.799668,41.1508,-0.41,43.82
2020-07-21,76.0,68.392795,92.030865,1.861554,41.2134,0.25,44.11
2020-07-22,76.0,68.998612,91.107594,1.903385,41.2734,0.34,44.22
2020-07-23,74.0,64.860464,90.256819,1.895125,41.3258,-0.07,43.88
2020-07-24,74.0,63.297315,89.071188,1.850022,41.376,-0.16,43.75
2020-07-27,74.0,63.171199,87.970245,1.745066,41.428,-0.84,43.74
2020-07-28,74.0,64.540763,86.982276,1.635485,41.4668,-0.68,43.92
2020-07-29,72.0,59.754671,85.466555,1.504595,41.487,-0.73,43.56
2020-07-30,72.0,57.337955,83.460577,1.330847,41.5214,-0.87,43.37
2020-07-31,72.0,54.347907,81.017498,1.078851,41.5476,-1.39,43.13
2020-08-03,74.0,53.969049,78.754363,0.677167,41.5764,-1.87,43.1
2020-08-04,78.0,61.486403,76.938366,0.626489,41.6252,0.73,43.88
2020-08-05,76.0,54.051991,75.182311,0.414628,41.6648,-0.23,43.27
2020-08-06,75.0,52.374972,73.551688,0.357602,41.7106,-0.02,43.12
2020-08-07,76.0,54.406192,72.087096,0.365337,41.7524,0.51,43.32
2020-08-10,79.0,60.248781,71.090547,0.351927,41.8046,0.18,43.96
2020-08-11,76.0,53.75749,70.263174,0.351202,41.8462,0.3,43.4
2020-08-12,79.0,58.565146,69.044348,0.349464,41.8992,1.95,43.96
2020-08-13,78.0,58.448288,67.912582,0.343603,41.955,1.45,43.95
2020-08-14,79.0,60.566694,67.086382,0.359251,42.025,0.55,44.2
2020-08-17,81.0,67.667451,66.907503,0.488289,42.1186,4.15,45.2
2020-08-18,79.0,63.947226,66.96266,0.544383,42.2084,2.14,44.9
2020-08-19,76.0,55.606703,66.097142,0.541506,42.2822,0.43,44.14
2020-08-20,73.0,49.889973,64.175854,0.544109,42.3448,-1.54,43.52
