date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-06-29,73.0,60.973051,125.932784,4.764955,124.0542,-3.04,134.02
2020-06-30,78.0,66.96137,123.048525,4.727618,124.4194,0.89,137.94
2020-07-01,82.0,73.621906,120.439417,5.1411,124.9698,4.5,143.93
2020-07-02,82.0,74.165009,118.049111,5.315098,125.4966,7.33,144.51
2020-07-06,88.0,80.4107,115.884173,6.376194,126.1542,14.05,152.85
2020-07-07,84.0,73.862353,113.879052,6.847011,126.7442,8.75,150.01
2020-07-08,86.0,76.7679,112.025223,7.73084,127.4494,7.04,154.06
2020-07-09,88.0,79.795795,110.364815,8.979085,128.318,10.12,159.13
2020-07-10,87.0,80.27097,108.834624,9.754117,129.1452,4.68,160.0
2020-07-13,83.0,70.429236,107.482342,9.796541,129.7752,3.46,155.2
2020-07-14,82.0,68.543745,105.15563,9.684812,130.5732,0.09,154.2
2020-07-15,77.0,61.840055,102.995112,9.396281,131.266,-5.46,150.44
2020-07-16,76.0,61.070243,100.479156,9.074007,131.948,-6.26,149.99
2020-07-17,74.0,57.814958,98.142912,8.659647,132.5588,-4.57,148.1
2020-07-20,86.0,68.90327,96.278375,8.747515,133.388,3.66,159.84
2020-07-21,82.0,64.35669,94.608032,8.614108,134.1466,4.3,156.91
2020-07-22,80.0,61.507486,92.650068,8.443779,134.8376,3.34,155.0
2020-07-23,74.0,53.881379,89.914572,7.979146,135.4672,0.83,149.33
2020-07-24,75.0,55.066505,86.641121,7.517897,136.1082,-5.87,150.45
2020-07-27,75.0,57.492726,83.820449,6.650752,136.7746,-2.64,152.76
2020-07-28,72.0,53.783107,81.017598,5.415801,137.3652,-3.21,150.02
2020-07-29,77.0,55.650138,78.414951,4.398414,137.9726,1.57,151.68
2020-07-30,78.0,56.683195,76.199226,3.944054,138.575,1.42,152.59
2020-07-31,83.0,62.511623,74.660979,3.612424,139.2416,3.58,158.23
2020-08-03,81.0,58.54095,72.755051,3.635559,139.9066,3.71,155.59
2020-08-04,82.0,59.942167,70.956027,3.599665,140.6086,3.47,156.94
2020-08-05,84.0,63.224091,69.461658,3.847143,141.3918,5.02,160.25
2020-08-06,84.0,64.178943,68.201032,4.003881,142.2064,1.91,161.25
2020-08-07,81.0,59.395882,66.733878,3.90522,142.9726,1.79,158.37
2020-08-10,79.0,57.848252,64.904624,3.958414,143.6784,0.3,157.41
2020-08-11,74.0,52.646927,62.865529,3.959161,144.288,-3.88,154.03
2020-08-12,79.0,57.602482,61.058304,3.922596,144.9778,-1.95,158.11
2020-08-13,79.0,57.507172,59.624855,3.815942,145.6604,-0.2,158.05
2020-08-14,79.0,56.418077,57.833718,3.467618,146.3478,-0.01,157.4
2020-08-17,80.0,58.649707,56.278376,3.428072,147.0472,3.3,159.12
2020-08-18,84.0,65.780789,55.546705,4.053559,147.8356,4.75,165.62
2020-08-19,81.0,61.231959,54.867295,4.312347,148.4952,3.14,163.02
2020-08-20,82.0,63.182855,53.971523,4.348323,149.1452,4.75,164.87
2020-08-21,81.0,62.037946,53.150971,4.302454,149.872,3.22,164.24
2020-08-24,81.0,63.321764,52.788455,4.414172,150.6344,-0.15,165.37
2020-08-25,83.0,65.490621,52.451833,4.340962,151.4082,2.64,167.32
2020-08-26,85.0,70.141722,52.654338,4.767119,152.2348,4.38,172.09
2020-08-27,82.0,65.947699,52.84844,4.833535,152.9938,3.51,170.0
2020-08-28,81.0,66.041862,53.028677,5.13103,153.7416,2.85,170.09
2020-08-31,83.0,68.59791,53.519612,5.402964,154.5176,3.13,172.55
2020-09-01,83.0,70.908178,54.067949,5.835024,155.303,1.67,174.96
2020-09-02,83.0,72.370587,54.760902,6.407697,156.07,3.86,176.57
