date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-29,73,134.020000,60.973051,125.932784,4.764955,124.054200,-0.356880,-3.040000
2020-06-30,78,137.940000,66.961370,123.048525,4.727618,124.419400,2.750000,0.890000
2020-07-01,82,143.930000,73.621906,120.439417,5.141100,124.969800,4.370000,4.500000
2020-07-02,82,144.510000,74.165009,118.049111,5.315098,125.496600,-0.748630,7.330000
2020-07-06,88,152.850000,80.410700,115.884173,6.376194,126.154200,4.160000,14.050000
2020-07-07,84,150.010000,73.862353,113.879052,6.847011,126.744200,-1.910000,8.750000
2020-07-08,86,154.060000,76.767900,112.025223,7.730840,127.449400,1.940000,7.040000
2020-07-09,88,159.130000,79.795795,110.364815,8.979085,128.318000,2.140000,10.120000
2020-07-10,87,160.000000,80.270970,108.834624,9.754117,129.145200,0.256910,4.680000
2020-07-13,83,155.200000,70.429236,107.482342,9.796541,129.775200,-4.520000,3.460000
2020-07-14,82,154.200000,68.543745,105.155630,9.684812,130.573200,-0.161860,0.090000
2020-07-15,77,150.440000,61.840055,102.995112,9.396281,131.266000,-2.320000,-5.460000
2020-07-16,76,149.990000,61.070243,100.479156,9.074007,131.948000,0.969370,-6.260000
2020-07-17,74,148.100000,57.814958,98.142912,8.659647,132.558800,-1.560000,-4.570000
2020-07-20,86,159.840000,68.903270,96.278375,8.747515,133.388000,6.550000,3.660000
2020-07-21,82,156.910000,64.356690,94.608032,8.614108,134.146600,-2.910000,4.300000
2020-07-22,80,155.000000,61.507486,92.650068,8.443779,134.837600,-0.800000,3.340000
2020-07-23,74,149.330000,53.881379,89.914572,7.979146,135.467200,-3.600000,0.830000
2020-07-24,75,150.450000,55.066505,86.641121,7.517897,136.108200,2.700000,-5.870000
2020-07-27,75,152.760000,57.492726,83.820449,6.650752,136.774600,-0.222080,-2.640000
2020-07-28,72,150.020000,53.783107,81.017598,5.415801,137.365200,-1.760000,-3.210000
2020-07-29,77,151.680000,55.650138,78.414951,4.398414,137.972600,0.085780,1.570000
2020-07-30,78,152.590000,56.683195,76.199226,3.944054,138.575000,1.250000,1.420000
2020-07-31,83,158.230000,62.511623,74.660979,3.612424,139.241600,-2.450000,3.580000
2020-08-03,81,155.590000,58.540950,72.755051,3.635559,139.906600,-2.160000,3.710000
2020-08-04,82,156.940000,59.942167,70.956027,3.599665,140.608600,1.210000,3.470000
2020-08-05,84,160.250000,63.224091,69.461658,3.847143,141.391800,1.950000,5.020000
2020-08-06,84,161.250000,64.178943,68.201032,4.003881,142.206400,0.957930,1.910000
2020-08-07,81,158.370000,59.395882,66.733878,3.905220,142.972600,-1.760000,1.790000
2020-08-10,79,157.410000,57.848252,64.904624,3.958414,143.678400,-0.700230,0.300000
2020-08-11,74,154.030000,52.646927,62.865529,3.959161,144.288000,-1.050000,-3.880000
