date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-06-29,63.0,56.311059,133.339424,0.652077,28.5826,-0.48,30.98
2020-06-30,66.0,59.63362,129.370501,0.614175,28.6972,2.8,31.56
2020-07-01,64.0,57.287678,125.685074,0.616749,28.8272,1.23,31.27
2020-07-02,73.0,58.966145,122.282676,0.626543,28.9382,2.64,31.55
2020-07-06,74.0,60.91557,119.13666,0.636486,29.058,2.91,31.88
2020-07-07,71.0,55.96951,115.881342,0.619655,29.1546,-0.79,31.31
2020-07-08,74.0,59.961859,112.876537,0.643343,29.2568,2.21,31.96
2020-07-09,74.0,61.072954,110.138818,0.680117,29.3704,1.9,32.15
2020-07-10,73.0,59.120132,107.596651,0.579185,29.4572,0.19,31.94
2020-07-13,70.0,52.188449,104.818004,0.511835,29.5366,-0.57,31.13
2020-07-14,72.0,54.862235,101.767427,0.473545,29.6474,-1.41,31.51
2020-07-15,71.0,53.754708,98.968046,0.469823,29.7504,-2.4,31.38
2020-07-16,70.0,51.597509,96.282712,0.472181,29.8432,-2.54,31.13
2020-07-17,70.0,52.741261,93.820577,0.456053,29.9402,0.45,31.27
2020-07-20,72.0,56.241024,91.597098,0.398084,30.0388,0.63,31.71
2020-07-21,70.0,53.524586,89.571496,0.398195,30.1174,0.16,31.43
2020-07-22,70.0,53.032001,87.415061,0.394021,30.1942,0.8,31.38
2020-07-23,68.0,49.046061,85.166196,0.374154,30.2766,-0.96,30.97
2020-07-24,66.0,45.539764,82.558104,0.400728,30.3618,-3.56,30.58
2020-07-27,72.0,52.068579,80.226221,0.373358,30.454,-0.51,31.27
2020-07-28,69.0,47.370955,77.888702,0.390697,30.548,-2.04,30.74
2020-07-29,67.0,48.779427,75.718148,0.404535,30.6188,-0.26,30.89
2020-07-30,69.0,51.746278,73.791914,0.405506,30.699,2.06,31.21
2020-07-31,71.0,55.796175,72.283672,0.40937,30.7752,1.31,31.68
2020-08-03,73.0,59.244729,71.123351,0.427102,30.868,4.49,32.12
2020-08-04,75.0,64.170575,70.269115,0.53073,30.9714,6.31,32.84
2020-08-05,74.0,64.869176,69.601583,0.614234,31.0664,5.58,32.95
2020-08-06,73.0,64.499806,68.911049,0.674106,31.1496,3.91,32.92
2020-08-07,71.0,60.424031,67.576975,0.706877,31.2352,1.46,32.59
2020-08-10,71.0,61.611483,66.338192,0.741313,31.3074,-0.3,32.74
2020-08-11,71.0,57.406921,65.427088,0.757186,31.3754,-1.67,32.4
