date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-29,63,30.980000,56.311059,133.339424,0.652077,28.582600,0.551770,-0.480000
2020-06-30,66,31.560000,59.633620,129.370501,0.614175,28.697200,1.810000,2.800000
2020-07-01,64,31.270000,57.287678,125.685074,0.616749,28.827200,-0.761660,1.230000
2020-07-02,73,31.550000,58.966145,122.282676,0.626543,28.938200,-0.692480,2.640000
2020-07-06,74,31.880000,60.915570,119.136660,0.636486,29.058000,-0.375000,2.910000
2020-07-07,71,31.310000,55.969510,115.881342,0.619655,29.154600,-1.320000,-0.790000
2020-07-08,74,31.960000,59.961859,112.876537,0.643343,29.256800,1.110000,2.210000
2020-07-09,74,32.150000,61.072954,110.138818,0.680117,29.370400,0.468750,1.900000
2020-07-10,73,31.940000,59.120132,107.596651,0.579185,29.457200,-0.776640,0.190000
2020-07-13,70,31.130000,52.188449,104.818004,0.511835,29.536600,-3.230000,-0.570000
2020-07-14,72,31.510000,54.862235,101.767427,0.473545,29.647400,1.970000,-1.410000
2020-07-15,71,31.380000,53.754708,98.968046,0.469823,29.750400,-0.696200,-2.400000
2020-07-16,70,31.130000,51.597509,96.282712,0.472181,29.843200,0.225370,-2.540000
2020-07-17,70,31.270000,52.741261,93.820577,0.456053,29.940200,-0.477400,0.450000
2020-07-20,72,31.710000,56.241024,91.597098,0.398084,30.038800,1.670000,0.630000
2020-07-21,70,31.430000,53.524586,89.571496,0.398195,30.117400,-1.540000,0.160000
2020-07-22,70,31.380000,53.032001,87.415061,0.394021,30.194200,-0.380950,0.800000
2020-07-23,68,30.970000,49.046061,85.166196,0.374154,30.276600,-1.180000,-0.960000
2020-07-24,66,30.580000,45.539764,82.558104,0.400728,30.361800,-0.260930,-3.560000
2020-07-27,72,31.270000,52.068579,80.226221,0.373358,30.454000,1.430000,-0.510000
2020-07-28,69,30.740000,47.370955,77.888702,0.390697,30.548000,-1.220000,-2.040000
2020-07-29,67,30.890000,48.779427,75.718148,0.404535,30.618800,0.129660,-0.260000
2020-07-30,69,31.210000,51.746278,73.791914,0.405506,30.699000,1.990000,2.060000
2020-07-31,71,31.680000,55.796175,72.283672,0.409370,30.775200,0.667300,1.310000
2020-08-03,73,32.120000,59.244729,71.123351,0.427102,30.868000,1.010000,4.490000
2020-08-04,75,32.840000,64.170575,70.269115,0.530730,30.971400,2.460000,6.310000
2020-08-05,74,32.950000,64.869176,69.601583,0.614234,31.066400,0.365520,5.580000
2020-08-06,73,32.920000,64.499806,68.911049,0.674106,31.149600,0.427090,3.910000
2020-08-07,71,32.590000,60.424031,67.576975,0.706877,31.235200,-0.761270,1.460000
2020-08-10,71,32.740000,61.611483,66.338192,0.741313,31.307400,0.987050,-0.300000
2020-08-11,71,32.400000,57.406921,65.427088,0.757186,31.375400,-1.100000,-1.670000
2020-08-12,73,33.360000,64.726478,64.730207,0.833192,31.446400,2.360000,1.340000
2020-08-13,70,32.940000,59.878305,64.083104,0.852599,31.486200,-0.842870,1.070000
2020-08-14,69,32.780000,58.093149,63.094613,0.860334,31.524000,-0.060976,0.120000
2020-08-17,70,33.030000,60.095036,62.312191,0.887671,31.550400,0.242790,1.940000
