date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-20,48.0,56.003239,117.004848,0.975768,16.701069,2.11,17.54889
2020-07-21,50.0,57.539196,112.983899,0.95478,16.698348,3.56,17.71965
2020-07-22,52.0,60.594093,109.299274,0.897622,16.715095,5.35,18.07176
2020-07-23,56.0,65.351965,106.08755,0.842738,16.738651,3.75,18.69581
2020-07-24,59.0,68.727206,103.355307,0.831133,16.772333,9.49,19.2138
2020-07-27,60.0,67.810238,93.457594,0.848672,16.891819,5.1,19.65
2020-07-28,71.0,70.63129,90.332767,0.948059,16.948485,4.88,20.15112
2020-07-29,68.0,67.20896,87.431141,0.964418,16.999386,0.95,19.88075
2020-07-30,69.0,68.197691,84.342927,1.001991,17.052814,4.49,20.04184
2020-07-31,72.0,71.725641,81.862774,1.089405,17.140789,5.14,20.66084
2020-08-03,76.0,73.567262,72.491484,1.481748,17.430568,9.93,22.03248
2020-08-04,77.0,74.935036,69.239466,1.598768,17.549455,8.32,22.38063
2020-08-05,79.0,78.012767,66.888143,1.731421,17.685621,8.12,23.25515
2020-08-06,76.0,70.931666,64.704772,1.742639,17.809204,8.04,22.59494
2020-08-07,74.0,68.941811,61.49054,1.7011,17.93411,1.67,22.4
2020-08-10,75.0,67.513011,52.999864,1.546157,18.333957,0.05,22.60601
2020-08-11,66.0,54.047286,49.262197,1.402036,18.426288,-5.8,21.10126
2020-08-12,69.0,57.160223,45.875921,1.295666,18.531355,-5.52,21.61031
2020-08-13,71.0,58.001012,42.83077,1.215682,18.646109,-3.16,21.75
2020-08-14,77.0,64.12082,40.990075,1.198417,18.786229,1.2,22.87729
2020-08-17,79.0,67.094176,37.468765,1.053857,19.258101,8.12,23.5164
2020-08-18,75.0,62.739849,35.714766,0.951288,19.409707,0.86,23.07451
2020-08-19,69.0,56.673819,33.585908,0.812285,19.548738,-1.97,22.39778
2020-08-20,73.0,60.564327,31.769421,0.730792,19.693055,-2.06,23.03897
2020-08-21,67.0,52.629394,29.647705,0.705824,19.826823,-6.28,22.03929
2020-08-24,68.0,54.983563,25.074501,0.625333,20.229479,-2.7,22.4158
2020-08-25,62.0,48.062892,23.544538,0.640994,20.333032,-2.59,21.46875
2020-08-26,68.0,53.786062,22.110494,0.640125,20.444289,0.86,22.33399
2020-08-27,72.0,57.903244,20.945213,0.654722,20.559463,5.59,23.04708
2020-08-28,72.0,58.144943,20.393983,0.66341,20.68503,3.01,23.09
2020-08-31,73.0,57.466869,19.741493,0.644582,21.017454,0.6,23.18426
2020-09-01,81.0,65.735544,21.012799,0.749392,21.144604,7.19,24.74971
2020-09-02,79.0,65.488909,22.454805,0.819178,21.277057,7.58,24.72155
2020-09-03,45.0,40.51882,21.158375,0.985957,21.334528,-13.28,20.42661
2020-09-04,50.0,43.688805,20.431209,1.061299,21.411125,-9.35,21.01543
2020-09-07,66.0,50.838512,18.212173,1.249005,21.66921,9.85,22.4378
2020-09-08,70.0,53.548949,17.060339,1.259452,21.782904,10.55,23.23358
2020-09-09,76.0,57.314795,16.46441,1.32187,21.916832,25.62,24.41602
2020-09-10,74.0,57.755382,16.586054,1.381796,22.046542,5.33,24.55727
2020-09-11,79.0,60.181942,15.851004,1.486316,22.179259,12.9,25.33166
2020-09-14,87.0,73.007817,20.726624,2.933597,22.824826,26.49,31.062
2020-09-15,79.0,57.779811,21.216293,2.976015,22.975129,7.24,27.16518
2020-09-16,79.0,58.932156,21.239621,3.043555,23.125146,-2.86,27.65196
2020-09-17,72.0,55.099503,21.37803,3.050718,23.257531,-14.07,26.5
2020-09-18,73.0,56.092354,21.506553,3.055588,23.394133,-13.49,26.87192
2020-09-21,49.0,43.872598,20.03715,3.085455,23.657489,-13.15,23.016
2020-09-22,62.0,47.142502,19.37527,3.094197,23.697571,-10.55,24.03662
2020-09-23,48.0,43.884854,18.884926,2.951825,23.70654,-15.92,22.82906
2020-09-24,68.0,49.08345,18.206103,2.794379,23.731153,-6.13,24.48582
2020-09-25,69.0,49.381955,17.363265,2.444225,23.77093,6.81,24.58375
2020-09-28,78.0,56.113587,15.785663,2.165493,23.995074,9.9,26.90888
2020-09-29,85.0,61.356215,16.247665,2.202871,24.121588,17.69,28.93173
2020-09-30,84.0,62.090257,16.945617,2.240209,24.284287,11.74,29.23619
2020-10-01,77.0,55.226941,16.471114,2.224034,24.399811,5.88,27.38655
2020-10-02,76.0,54.775843,15.796295,2.19318,24.509983,1.3,27.25859
2020-10-05,79.0,58.268749,15.141333,1.859245,24.83508,4.31,28.56623
2020-10-06,76.0,54.311586,14.542032,1.857994,24.916952,1.29,27.61
2020-10-07,75.0,53.98802,13.730476,1.870962,25.006094,-2.18,27.53164
2020-10-08,74.0,53.638089,12.799485,1.879848,25.107178,-4.65,27.45196
2020-10-09,76.0,56.895011,12.312876,1.913633,25.212688,-0.88,28.31446
2020-10-12,85.0,64.754959,13.244349,1.790554,25.636763,11.68,30.65744
2020-10-13,84.0,64.899629,14.647965,1.606578,25.802556,8.44,30.70546
2020-10-14,85.0,65.423348,15.951322,1.558294,25.990581,9.86,30.87
2020-10-15,85.0,66.136433,17.446376,1.471436,26.165614,9.24,31.08563
2020-10-16,80.0,59.467371,18.019209,1.416079,26.304608,-2.15,29.99682
