date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-20,51.0,46.718796,18.490373,90.339921,9372.1382,0.34,9161.05
2020-07-21,62.0,55.711863,17.499321,98.654947,9355.8418,2.62,9394.14
2020-07-22,64.0,60.128284,17.346269,116.005548,9356.1162,3.93,9536.18
2020-07-23,65.0,62.323401,17.805678,134.352766,9355.0196,4.35,9613.24
2020-07-24,64.0,59.484476,18.232272,144.114241,9350.2832,4.26,9551.21
2020-07-27,81.0,82.673716,25.103725,424.562986,9383.6074,14.93,11048.91
2020-07-28,79.0,78.853966,28.614134,534.932576,9406.6618,14.48,10934.23
2020-07-29,82.0,80.35329,31.945149,632.92743,9433.276,14.4,11110.12
2020-07-30,82.0,80.402888,34.854386,707.593856,9457.7142,11.82,11115.95
2020-07-31,84.0,82.343368,37.783693,784.177174,9499.3834,2.74,11351.62
2020-08-03,81.0,67.501229,40.630774,923.798693,9616.3348,1.05,11233.13
2020-08-04,80.0,66.679564,40.560003,926.101631,9651.625,-1.36,11197.04
2020-08-05,85.0,72.309192,41.070128,947.858079,9696.235,-0.45,11756.75
2020-08-06,86.0,72.462627,41.702582,954.018258,9742.5626,6.37,11773.89
2020-08-07,83.0,68.472766,41.410776,934.137097,9787.1702,3.32,11606.52
2020-08-10,86.0,70.472262,41.142341,814.762047,9935.5582,1.07,11899.73
2020-08-11,78.0,59.13194,40.036381,747.1511,9969.514,-1.88,11388.53
2020-08-12,80.0,61.456683,39.009418,673.202156,10008.3718,-1.77,11566.45
2020-08-13,83.0,64.279309,38.43234,572.475846,10058.5726,0.92,11795.95
2020-08-14,82.0,63.907067,38.028736,452.397401,10109.2824,-1.01,11779.0
2020-08-17,88.0,70.35739,38.652305,325.867574,10285.5068,4.31,12304.26
2020-08-18,83.0,62.059844,39.452304,313.936109,10340.8178,1.45,11950.0
2020-08-19,81.0,58.080069,39.083883,290.469148,10393.2712,-0.85,11758.87
2020-08-20,82.0,59.617843,38.741779,283.414859,10445.757,-0.46,11864.26
2020-08-21,77.0,52.965876,37.631575,284.555143,10494.5108,-6.3,11529.22
2020-08-24,80.0,56.578424,33.98335,183.922928,10650.5112,-0.93,11753.85
2020-08-25,73.0,48.188792,31.729544,207.421736,10690.1434,-1.77,11324.92
2020-08-26,74.0,50.72673,29.636725,215.979605,10734.33,-1.8,11463.27
2020-08-27,71.0,48.274735,28.101641,231.562692,10772.2256,-2.75,11330.06
2020-08-28,73.0,52.110054,26.676206,234.275152,10818.1866,-1.86,11535.0
2020-08-31,75.0,54.00836,22.164697,225.104899,10958.5046,2.87,11655.0
2020-09-01,78.0,58.702442,21.917888,228.364749,11012.2506,3.37,11924.22
2020-09-02,70.0,48.280216,20.388067,237.581288,11055.0214,-0.69,11395.48
2020-09-03,43.0,33.475828,21.493301,406.455477,11074.6686,-13.17,10172.52
2020-09-04,49.0,38.881132,22.680395,468.440185,11102.0674,-9.91,10500.05
2020-09-07,50.0,39.182438,26.287777,590.874861,11167.2316,1.99,10375.0
2020-09-08,46.0,36.540655,27.541961,630.06126,11186.5244,-3.57,10125.69
2020-09-09,48.0,38.316815,28.70656,644.088251,11203.1328,0.55,10224.56
