date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,86,106.390000,64.431194,112.092589,4.115923,87.631800,-2.700000,8.450000
2020-07-07,86,106.420000,64.464078,108.965228,4.144959,88.320200,-0.542060,6.110000
2020-07-08,91,114.550000,72.014973,106.234273,4.776238,89.139200,6.690000,11.270000
2020-07-09,90,117.460000,74.133595,103.798802,5.706850,90.085800,1.690000,9.500000
2020-07-10,89,116.650000,72.488567,101.537293,6.123113,91.033200,-0.782510,9.640000
2020-07-13,78,106.210000,55.419139,97.868192,5.590190,91.804200,-10.010000,-0.200000
2020-07-14,77,105.610000,54.623052,93.543032,5.434127,92.532200,-1.430000,-7.800000
2020-07-15,73,103.150000,51.365148,89.526812,5.374621,93.126600,-2.300000,-12.180000
2020-07-16,71,101.060000,48.707174,85.513808,5.254658,93.716000,-1.020000,-13.360000
2020-07-17,72,101.430000,49.208269,81.791556,5.261146,94.295800,0.024950,-4.500000
2020-07-20,77,106.720000,55.849305,78.642216,5.177589,94.920400,4.740000,1.050000
2020-07-21,76,106.600000,55.671483,75.830489,5.180381,95.518400,-1.700000,3.340000
2020-07-22,72,103.710000,51.424876,72.902434,5.189359,96.068000,-2.710000,2.620000
2020-07-23,69,101.460000,48.333676,69.672966,5.253761,96.574200,-2.960000,0.030000
2020-07-24,67,100.030000,46.423677,66.253651,5.387972,97.043400,0.938450,-6.270000
2020-07-27,70,103.600000,51.569120,63.356631,5.198610,97.572600,2.250000,-2.810000
2020-07-28,73,105.730000,54.384018,61.142979,4.915041,98.144400,1.270000,1.950000
2020-07-29,82,112.920000,62.340926,59.483169,4.969314,98.880800,4.930000,11.300000
2020-07-30,79,111.910000,60.738176,57.941917,5.032916,99.548000,0.819820,11.880000
2020-07-31,80,113.200000,62.079161,56.605017,5.214777,100.192600,0.256840,9.270000
2020-08-03,82,115.480000,64.393928,55.576212,5.508686,100.890200,0.873520,9.220000
2020-08-04,80,114.960000,63.442744,54.620894,5.720230,101.545000,-0.519210,1.810000
2020-08-05,79,114.750000,63.037778,53.751771,5.731622,102.253000,-0.191350,2.540000
2020-08-06,73,110.300000,55.022727,51.783446,5.348622,102.899200,-3.720000,-2.560000
2020-08-07,55,101.750000,43.562166,48.346875,5.091953,103.344200,-5.080000,-11.890000
2020-08-10,48,97.000000,38.735127,45.171177,5.541790,103.528000,-5.650000,-15.620000
2020-08-11,51,98.160000,40.469956,42.689583,5.836256,103.594400,1.090000,-14.460000
2020-08-12,51,98.450000,40.920368,40.385246,6.045062,103.718400,-0.162260,-10.740000
2020-08-13,54,100.890000,44.710795,37.938226,6.052063,103.774200,1.460000,-0.850000
2020-08-14,54,101.250000,45.268732,35.271103,6.058912,103.879600,-1.900000,4.380000
2020-08-17,65,105.340000,51.283575,32.908449,6.057534,104.107800,3.260000,7.310000
2020-08-18,66,107.100000,53.644405,31.087405,6.061507,104.341200,0.544500,8.790000
2020-08-19,66,108.150000,55.044112,29.738436,6.058558,104.626200,0.464470,7.200000
2020-08-20,71,112.490000,60.370567,28.954704,6.110923,104.931600,4.590000,11.100000
2020-08-21,69,112.020000,59.547736,28.362603,6.017228,105.271200,0.017857,6.340000
2020-08-24,67,111.245000,58.140548,27.213928,6.014615,105.633700,-1.900000,3.870000
2020-08-25,70,113.570000,61.109709,26.286737,6.130759,105.924700,2.960000,5.010000
2020-08-26,73,117.110000,65.161649,26.297125,6.360975,106.246100,1.830000,4.110000
2020-08-27,73,117.130000,65.183725,26.187486,6.607841,106.614900,-0.229980,4.560000
2020-08-28,74,118.640000,66.889254,26.487914,6.900484,106.955500,0.321500,6.650000
2020-08-31,81,125.730000,73.462631,27.466884,7.711366,107.448500,4.780000,10.710000
2020-09-01,88,143.690000,82.785623,29.790958,10.720468,108.221900,6.880000,22.700000
2020-09-02,87,142.070000,80.053678,32.355055,12.702035,108.977900,-6.560000,21.290000
2020-09-03,80,129.250000,62.481477,33.937547,13.228001,109.488900,-1.340000,8.940000
2020-09-04,75,125.190000,58.129709,33.457799,13.213130,109.878500,-0.071839,-0.430000
